,Concept_ID,mn,hr
74,Himmel::N,огторгуй,nebo
75,Sonne::N,нар,sunce
76,Mond::N,сар,mjesec
77,Stern::N,од,zvijezda
78,Luft::N,агаар,zrak
79,Wind::N,салхи,vjetar
80,Welle::N,долгио,val
81,Welle::N,долгио,talas
82,Welle::N,давалгаа,val
83,Welle::N,давалгаа,talas
84,Wasser::N,ус,voda
85,Stein::N,чулуу,kamen
86,Boden::N,хөрс,tlo
87,Boden::N,хөрс,zemlja
88,Erde::N,газар,zemlja
89,Erde::N,шороо,zemlja
90,Staub::N,тоос,prah
91,Staub::N,тоос,prašina
92,Rauch::N,утаа,dim
93,Funke::N,оч,iskra
94,Funke::N,оч,varnica
95,Feuer::N,гал,vatra
96,Licht::N,гэрэл,svjetlo
97,Licht::N,гэгээ,svjetlo
98,Schatten::N,сүүдэр,hlad
99,Schatten::N,сүүдэр,sjena
100,Wetter::N,тэнгэр,vrijeme
101,Wetter::N,цаг уур,vrijeme
102,Nebel::N,будан,magla
103,Wolke::N,үүл,oblak
104,Regen::N,бороо,kiša
105,Schnee::N,цас,snijeg
106,Eis::N,мөс,led
107,Frost::N,хүйт,mraz
108,Kälte::N,хүйт,studen
109,Kälte::N,хүйт,hladnoća
110,Hitze::N,халуун,vrućina
111,Raureif::N,цан,inje
112,Raureif::N,хяруу,inje
113,Regenbogen::N,солонго,duga
114,Donner::N,тэнгэрийн дуу,grom
115,Donner::N,тэнгэрийн дуу,grmljavina
116,Strömung::N,урсгал,struja
117,Strömung::N,урсгал,strujanje
118,Tropfen::N,дусал,kap
119,Tropfen::N,дусал,kaplja
120,Schaum::N,хөөс,pjena
121,Schmutz::N,хир,nečistoća
122,Schmutz::N,хир,prljavština
123,Schmutz::N,шавхай,nečistoća
124,Schmutz::N,шавхай,prljavština
125,See::N,нуур,jezero
126,Sumpf::N,намаг,bara
127,Sumpf::N,балчиг,bara
128,Moor::N,хүлрийн намаг,močvara
129,Wiese::N,нуга,livada
130,Wald::N,ой,šuma
131,Hügel::N,болдог,brijeg
132,Hügel::N,болдог,brežuljak
133,Anhöhe::N,гүвээ,uzvišica
134,Berg::N,уул,brdo
135,Gipfel::N,орой,vrh
136,Gipfel::N,оргил,vrh
137,Höhle::N,агуй,pećina
138,Höhle::N,агуй,spilja
139,Abhang::N,хүр,obronak
140,Abhang::N,хүр,nizbrdica
141,Quelle::N,булаг,izvor
142,Quelle::N,булаг,vrelo
143,Bach::N,горхи,potok
144,Fluss::N,гол,rijeka
145,Fluss::N,мөрөн,rijeka
146,Ufer::N,эрэг,obala
147,Küste::N,эрэг,obala
148,Küste::N,эрэг,morska obala
149,Festland::N,хуурай газар,kopno
150,Meer::N,далай,more
151,Meer::N,тэнгис,more
152,Bucht::N,булан,zaliv
153,Bucht::N,далайн тохой,zaliv
154,Insel::N,арал,ada
155,Insel::N,арал,otok
156,Blume::N,цэцэг,cvijet
157,Gras::N,өвс,trava
158,Gras::N,ногоо,trava
159,Wurzel::N,үндэс,korijen
160,Baum::N,мод,drvo
161,Baum::N,мод,stablo
162,Stamm::N,иш,deblo
163,Stamm::N,иш,stablo
164,Stamm::N,гуалин,deblo
165,Stamm::N,гуалин,stablo
166,Rinde::N,холтос,kora
167,Ast::N,гишүү,grana
168,Zweig::N,салаа,grana
169,Blatt::N,навч,list
170,Birke::N,хус,breza
171,Kiefer[Baum]::N,нарс,bor
172,Weide[Baum]::N,уд,iva
173,Weide[Baum]::N,уд,vŕba
174,Weide[Baum]::N,бургас,iva
175,Weide[Baum]::N,бургас,vŕba
176,Tanne::N,гачуур,jela
177,Horn::N,эвэр,rog
178,Feder::N,өд,pero
179,Fell::N,арьс,koža
180,Flügel::N,жигүүр,krilo
181,Flügel::N,далавч,krilo
182,Klaue::N,савар,papak
183,Klaue::N,хумс,papak
184,Kralle::N,савар,pandža
185,Schwanz::N,сүүл,rep
186,Ei::N,өндөг,jaje
187,Nest::N,үүр,gnijezdo
188,Bau::N,нүх,jazbina
189,Bau::N,элүү,jazbina
190,Tier::N,амьтан,životinja
191,Tier::N,адгуус,životinja
192,Herde::N,сүрэг,krdo
193,Herde::N,сүрэг,stado
194,Kuh::N,үнээ,krava
195,Bulle::N,бух,bik
196,Pferd::N,морь,konj
197,Pferd::N,адуу,konj
198,Schaf::N,хонь,ovca
199,Schwein::N,гахай,svinja
200,Hund::N,нохой,pas
201,Hund::N,нохой,pseto
202,Katze::N,муур,mačka
203,Katze::N,мигуй,mačka
204,Bär::N,баавгай,medvjed
205,Eichhörnchen::N,хэрэм,vjeverica
206,Elch::N,хандгай,los
207,Fuchs::N,үнэг,lisica
208,Hase::N,туулай,zec
209,Maus::N,хулгана,miš
210,Wolf::N,чоно,vuk
211,Wolf::N,чоно,kurjak
212,Vogel::N,шувуу,ptica
213,Schwarm::N,сүрэг,roj
214,Schwarm::N,сүрэг,jato
215,Huhn::N,тахиа,kokoš
216,Hahn::N,эр тахиа,kokot
217,Hahn::N,эр тахиа,pijevac
218,Gans::N,галуу,guska
219,Adler::N,бүргэд,orao
220,Ente::N,нугас,patka
221,Eule::N,ууль,sova
222,Kranich::N,тогоруу,ždral
223,Krähe::N,хэрээ,vrana
224,Kuckuck::N,хөхөө,kukavica
225,Schwan::N,хун,labud
226,Fisch::N,загас,riba
227,Barsch::N,алгана,grgeč
228,Hecht::N,цурхай,štuka
229,Schlange[Tier]::N,могой,guja
230,Schlange[Tier]::N,могой,zmija
231,Wurm::N,өт,crv
232,Wurm::N,хорхой,crv
233,Spinne::N,аалз,pauk
234,Ameise::N,шоргоолж,mrav
235,Laus::N,бөөс,uš
236,Mücke::N,шумуул,komarac
237,Fliege::N,ялаа,muha
238,Schmetterling::N,эрвээхэй,leptir
239,Beere::N,жимсгэнэ,boba
240,Beere::N,жимсгэнэ,bobica
241,Apfel::N,алим,jabuka
242,Pilz::N,мөөг,pečurka
243,Zwiebel::N,сонгино,luk
244,Zwiebel::N,сонгино,kapula
245,Saat::N,тариа,sjemenje
246,Korn::N,үр,zrno
247,Korn::N,мөхлөг,zrno
248,Heu::N,өвс,sijeno
249,Schale::N,хальс,kora
250,Schale::N,хальс,ljuska
251,Grube::N,алам,jama
252,Grube::N,нүх,jama
253,Falle::N,хавх,zamka
254,Falle::N,хавх,klopka
255,Falle::N,занга,zamka
256,Falle::N,занга,klopka
257,Schlinge::N,урхи,uzao
258,Schlinge::N,урхи,petlja
259,Spur::N,мөр,trag
260,Spur::N,мөр,slijed
261,Asche::N,үнс,pepeo
262,Dreck::N,хир,blato
263,Eisen::N,төмөр,željezo
264,Gold::N,алт,zlato
265,Silber::N,мөнгө,srebro
266,Kohle::N,нүүрс,ugalj
267,Kohle::N,нүүрс,ugljen
268,Glas::N,шил,staklo
269,Lehm::N,шавар,glina
270,Lehm::N,шавар,ilovača
271,Sand::N,элс,pijesak
272,Mensch::N,хүн,čovjek
273,Mann::N,эр,muškarac
274,Mann::N,эрэгтэй,muškarac
275,Frau::N,эмэгтэй,žena
276,Frau::N,хатагтай,žena
277,Kind::N,хүүхэд,čedo
