,Concept_ID,bg,zh
0,Auge::N,око,眼睛
1,Ohr::N,ухо,耳朵
2,Nase::N,нос,鼻子
3,Mund::N,уста,嘴
4,Zahn::N,зъб,牙齿
5,Zunge::N,език,舌头
6,Lippe::N,устна,嘴唇
7,Wange::N,буза,面颊
8,Gesicht::N,лице,脸
9,Gesicht::N,образ,脸
10,Stirn::N,чело,额
11,Haar::N,коса,头发
12,Haar::N,косъм,头发
13,Schnurrbart::N,мустаци,髭须
14,Bart::N,брада,胡子
15,Kinn::N,брада,下巴
16,Kinn::N,брадичка,下巴
17,Kiefer[Anatomie]::N,челюст,颌
18,Kehle::N,гърло,嗓子
19,Hals::N,врат,颈
20,Genick::N,тил,后颈
21,Kopf::N,глава,头
22,Rücken::N,гръб,背
23,Bauch::N,корем,肚子
24,Nabel::N,пъп,肚脐
25,Busen::N,бозка,胸脯
26,Brust::N,гръд,胸
27,Schulter::N,рамо,肩膀
28,Schulter::N,плещи,肩膀
29,Arm::N,ръка,臂膀
30,Ellenbogen::N,лакът,肘
31,Hand::N,ръка,手
32,Hand::N,китка,手
33,Handfläche::N,длан,手掌
34,Finger::N,пръст,手指
35,Fingernagel::N,нокът,指甲
36,Nagel[Anatomie]::N,нокът,指甲
37,Zeh::N,пръст на крак,脚趾
38,Fuß::N,крак,脚
39,Fuß::N,нога,脚
40,Ferse::N,пета,后跟
41,Knie::N,коляно,膝
42,Oberschenkel::N,бедро,大腿
43,Bein::N,крак,腿
44,Bein::N,нога,腿
45,Körper::N,тяло,身体
46,Haut::N,кожа,皮肤
47,Blut::N,кръв,血
48,Ader::N,вена,血管
49,Ader::N,артерия,血管
50,Sehne::N,жила,腱
51,Sehne::N,сухожилие,腱
52,Knochen::N,кост,骨
53,Gehirn::N,мозък,脑
54,Herz::N,сърце,心
55,Magen::N,стомах,胃
56,Leber::N,черен дроб,肝
57,Atem::N,дишане,呼吸
58,Hunger::N,глад,饿
59,Träne::N,сълза,眼泪
60,Geschmack::N,вкус,味道
61,Geruch::N,миризма,气味
62,Schlaf::N,сън,睡眠
63,Traum::N,сън,梦
64,Himmel::N,небе,天空
65,Sonne::N,слънце,太阳
66,Mond::N,луна,月亮
67,Mond::N,месец,月亮
68,Stern::N,звезда,星
69,Luft::N,въздух,空气
70,Wind::N,вятър,风
71,Welle::N,вълна,波
72,Wasser::N,вода,水
73,Stein::N,камък,石头
74,Boden::N,земя,地面
75,Boden::N,почва,地面
76,Erde::N,земя,地
77,Erde::N,почва,地
78,Staub::N,прах,灰尘
79,Rauch::N,дим,烟
80,Rauch::N,пушек,烟
81,Funke::N,искра,火花
82,Feuer::N,огън,火
83,Licht::N,светлина,光
84,Schatten::N,сянка,影子
85,Wetter::N,време,天气
86,Nebel::N,мъгла,雾
87,Wolke::N,облак,云
88,Regen::N,дъжд,雨
89,Schnee::N,сняг,雪
90,Eis::N,лед,冰
91,Frost::N,мраз,霜冻
92,Kälte::N,студ,寒冷
93,Hitze::N,жега,炎热
94,Hitze::N,горещина,炎热
95,Raureif::N,скреж,霜
96,Raureif::N,слана,霜
97,Regenbogen::N,дъга,虹
98,Donner::N,гръм,雷
99,Strömung::N,течение,水流
100,Tropfen::N,капка,滴
101,Schaum::N,пяна,泡沫
102,Schmutz::N,кал,赃物
103,Schmutz::N,мръсотия,赃物
104,See::N,езеро,湖
105,Sumpf::N,блато,沼泽
106,Moor::N,мочурище,沼泽
107,Wiese::N,ливада,草地
108,Wald::N,гора,森林
109,Hügel::N,рид,丘陵
110,Hügel::N,хълм,丘陵
111,Anhöhe::N,могила,山丘
112,Anhöhe::N,възвишение,山丘
113,Berg::N,планина,山
114,Gipfel::N,връх,峰
115,Höhle::N,пещера,洞穴
116,Abhang::N,склон,斜坡
117,Abhang::N,стръмнина,斜坡
118,Quelle::N,извор,泉
119,Bach::N,поток,溪
120,Fluss::N,река,河流
121,Ufer::N,бряг,岸
122,Küste::N,бряг,海岸
123,Küste::N,крайбрежие,海岸
124,Festland::N,суша,大陆
125,Meer::N,море,海
126,Bucht::N,залив,海湾
127,Insel::N,остров,岛
128,Blume::N,цвете,花
129,Gras::N,трева,草
130,Wurzel::N,корен,根
131,Baum::N,дърво,树
132,Stamm::N,стъбло,树干
133,Rinde::N,кора,树皮
134,Ast::N,клон,树枝
135,Zweig::N,клон,树枝
136,Blatt::N,лист,叶子
137,Birke::N,бреза,桦木
138,Kiefer[Baum]::N,бор,松树
139,Weide[Baum]::N,върба,柳树
140,Tanne::N,ела,冷杉
141,Horn::N,рог,角
142,Feder::N,перо,羽毛
143,Fell::N,кожа,皮毛
144,Flügel::N,крило,翅膀
145,Klaue::N,нокът,爪子
146,Kralle::N,нокът,爪子
147,Schwanz::N,опашка,尾巴
148,Ei::N,яйце,蛋
149,Nest::N,гнездо,巢
150,Bau::N,дупка,穴
151,Tier::N,животно,动物
152,Herde::N,стадо,群
153,Kuh::N,крава,母牛
154,Bulle::N,бик,公牛
155,Pferd::N,кон,马
156,Schaf::N,овца,羊
157,Schwein::N,свиня,猪
158,Hund::N,куче,狗
159,Katze::N,котка,猫
160,Bär::N,мечка,熊
161,Eichhörnchen::N,катерица,松鼠
162,Elch::N,лос,麋鹿
163,Fuchs::N,лисица,狐狸
164,Hase::N,заек,兔子
165,Maus::N,мишка,老鼠
166,Wolf::N,вълк,狼
167,Vogel::N,птица,鸟
168,Schwarm::N,рой,群
169,Schwarm::N,рояк,群
170,Huhn::N,кокошка,鸡
171,Hahn::N,петел,公鸡
172,Gans::N,гъска,鹅
173,Adler::N,орел,鹰
174,Ente::N,патица,鸭
175,Eule::N,сова,猫头鹰
176,Kranich::N,жерав,鹤
177,Krähe::N,врана,乌鸦
178,Kuckuck::N,кукувица,布谷鸟
179,Schwan::N,лебед,天鹅
180,Fisch::N,риба,鱼
181,Barsch::N,костур,鲈鱼
182,Hecht::N,щука,狗鱼
183,Schlange[Tier]::N,змия,蛇
184,Wurm::N,червей,蠕虫
185,Spinne::N,паяк,蜘蛛
186,Ameise::N,мравка,蚂蚁
187,Laus::N,въшка,虱子
188,Mücke::N,комар,蚊子
189,Fliege::N,муха,苍蝇
190,Schmetterling::N,пеперуда,蝴蝶
191,Beere::N,плод,将果
192,Apfel::N,ябълка,苹果
193,Pilz::N,гъба,蘑菇
194,Zwiebel::N,лук,洋葱
195,Zwiebel::N,кромид,洋葱
196,Saat::N,семе,种子
197,Korn::N,зърно,谷粒
198,Heu::N,сено,干草
199,Schale::N,кора,壳
200,Grube::N,яма,坑
201,Grube::N,дупка,坑
202,Falle::N,примка,圈套
203,Schlinge::N,клуп,活扣
204,Spur::N,диря,踪迹
205,Spur::N,следа,踪迹
206,Asche::N,пепел,灰烬
207,Dreck::N,кал,污垢
208,Eisen::N,желязо,铁
209,Gold::N,злато,金子
210,Silber::N,сребро,银
211,Kohle::N,въглища,煤
212,Glas::N,стъкло,玻璃
213,Lehm::N,глина,粘土
214,Sand::N,пясък,沙
215,Mensch::N,човек,人
216,Mann::N,мъж,男子
217,Frau::N,жена,妇女
218,Kind::N,дете,小孩
219,Junge::N,момче,男孩
