,Concept_ID,hy,be
0,Auge::N,աչք,вока
1,Ohr::N,ականջ,вуха
2,Nase::N,քիթ,нос
3,Mund::N,բերան,рот
4,Zahn::N,ատամ,зуб
5,Zunge::N,լեզու,язык
6,Lippe::N,շրթունք,губа
7,Wange::N,այտ,шчака
8,Wange::N,թուշ,шчака
9,Gesicht::N,դեմք,твар
10,Stirn::N,ճակատ,лоб
11,Haar::N,մազ,волас
12,Haar::N,մազ,валасы
13,Schnurrbart::N,բեղ,вус
14,Schnurrbart::N,բեղ,вусы
15,Bart::N,մորուք,барада
16,Kinn::N,կզակ,падбародак
17,Kiefer[Anatomie]::N,ծնոտ,сківіца
18,Kehle::N,կոկորդ,горла
19,Hals::N,վիզ,шыя
20,Hals::N,պարանոց,шыя
21,Genick::N,ծոծրակ,патыліца
22,Kopf::N,գլուխ,галава
23,Rücken::N,մեջք,спіна
24,Bauch::N,փոր,жывот
25,Bauch::N,որովայն,жывот
26,Nabel::N,պորտ,пупок
27,Busen::N,ծոց,грудзі
28,Brust::N,կուրծք,грудзі
29,Schulter::N,ուս,плячо
30,Arm::N,թեւ,рука
31,Arm::N,բազուկ,рука
32,Ellenbogen::N,արմունկ,локаць
33,Hand::N,ձեռք,кісць
34,Handfläche::N,ափ,далонь
35,Finger::N,մատ,палец
36,Fingernagel::N,եղունգ,ногаць
37,Nagel[Anatomie]::N,եղունգ,ногаць
38,Zeh::N,ոտքի մատ,палец
39,Fuß::N,ոտք,нага
40,Ferse::N,գարշապար,пята
41,Ferse::N,գարշապար,пятка
42,Knie::N,ծունկ,калена
43,Oberschenkel::N,ազդր,бядро
44,Oberschenkel::N,ազդր,сцягно
45,Bein::N,ոտք,нага
46,Körper::N,մարմին,цела
47,Haut::N,մաշկ,скура
48,Blut::N,արյուն,кроў
49,Ader::N,երակ,вена
50,Ader::N,երակ,сасуд
51,Sehne::N,ջիղ,жыла
52,Sehne::N,ջիղ,цеціва
53,Sehne::N,ջիղ,сухажылле
54,Sehne::N,ձգտան,жыла
55,Sehne::N,ձգտան,цеціва
56,Sehne::N,ձգտան,сухажылле
57,Knochen::N,ոսկոր,косць
58,Gehirn::N,խելք,мозг
59,Herz::N,սիրտ,сэрца
60,Magen::N,ստամոքս,страўнік
61,Leber::N,լյարդ,печань
62,Atem::N,շունչ,дыханне
63,Hunger::N,քաղց,голад
64,Träne::N,արտասուք,сляза
65,Geschmack::N,համ,смак
66,Geschmack::N,բուրմունք,смак
67,Geruch::N,հոտ,пах
68,Geruch::N,բուրում,пах
69,Schlaf::N,քուն,сон
70,Traum::N,երազ,сон
71,Himmel::N,երկինք,неба
72,Sonne::N,արեւ,сонца
73,Mond::N,լուսին,месяц
74,Stern::N,աստղ,зорка
75,Luft::N,օդ,паветра
76,Wind::N,քամի,вецер
77,Welle::N,ալիք,хваля
78,Wasser::N,ջուր,вада
79,Stein::N,քար,камень
80,Boden::N,գետին,глеба
81,Erde::N,հող,зямля
82,Staub::N,փոշի,пыл
83,Rauch::N,ծուխ,дым
84,Funke::N,կայծ,іскра
85,Feuer::N,կրակ,агонь
86,Feuer::N,հրդեհ,агонь
87,Licht::N,լույս,святло
88,Schatten::N,ստվեր,цень
89,Wetter::N,եղանակ,пагода
90,Wetter::N,եղանակ,надворʼе
91,Nebel::N,մեգ,туман
92,Nebel::N,մառախուղ,туман
93,Wolke::N,ամպ,воблака
94,Regen::N,անձրև,дождж
95,Schnee::N,ձյուն,снег
96,Eis::N,սառույց,лёд
97,Frost::N,սառնամանիք,мароз
98,Kälte::N,դող,холад
99,Hitze::N,շոգ,спёка
100,Raureif::N,ցօղեղեամ,іней
101,Regenbogen::N,ծիածան,вясёлка
102,Donner::N,որոտ,гром
103,Strömung::N,հոսանք,цячэнне
104,Tropfen::N,կաթիլ,кропля
105,Schaum::N,փրփուր,пена
106,Schmutz::N,կեղտ,гразь
107,See::N,լիճ,возера
108,Sumpf::N,ճահիճ,багна
109,Moor::N,ճահիճ,балота
110,Wiese::N,մարգագետին,луг
111,Wald::N,անտառ,лес
112,Hügel::N,բլուր,узгорак
113,Anhöhe::N,բարձունք,узвышша
114,Berg::N,լեռ,гара
115,Gipfel::N,գագաթ,вяршыня
116,Gipfel::N,կատար,вяршыня
117,Höhle::N,քարայր,пячора
118,Abhang::N,լանջ,схіл
119,Abhang::N,զառիվայր,схіл
120,Quelle::N,աղբյուր,крыніца
121,Bach::N,վտակ,ручай
122,Fluss::N,գետ,рака
123,Ufer::N,ծովափ,бераг
124,Küste::N,ափ,узбярэжжа
125,Küste::N,ծովափ,узбярэжжа
126,Festland::N,ցամաք,суша
127,Meer::N,ծով,мора
128,Bucht::N,հաչիւն,бухта
129,Insel::N,վղզի,востраў
130,Blume::N,ծաղիկ,кветка
131,Gras::N,խոտ,трава
132,Wurzel::N,արմատ,корань
133,Baum::N,ծառ,дрэва
134,Stamm::N,իրան,ствол
135,Rinde::N,կեղեւ,кара
136,Rinde::N,հաչոց,кара
137,Ast::N,ճյուղ,сук
138,Zweig::N,ճյուղ,галіна
139,Blatt::N,տերեւ,ліст
140,Birke::N,ցարասի,бяроза
141,Kiefer[Baum]::N,սոճի,хвоя
142,Kiefer[Baum]::N,սոճի,сасна
143,Weide[Baum]::N,ուռենի,вярба
144,Tanne::N,եղեւին,яліна
145,Feder::N,փետուր,пяро
146,Fell::N,մորթի,шкура
147,Flügel::N,թեւ,крыло
148,Klaue::N,չանչ,кіпцюр
149,Kralle::N,ճանկ,лапа
150,Schwanz::N,պոչ,хвост
151,Ei::N,ձու,яйка
152,Nest::N,բույն,гняздо
153,Bau::N,որջ,нара
154,Bau::N,բայոց,нара
155,Tier::N,կենդանի,жывёла
156,Herde::N,հոտ,статак
157,Kuh::N,կով,карова
158,Bulle::N,ցուլ,бык
159,Pferd::N,ձի,конь
160,Schaf::N,ոչխար,авечка
161,Schwein::N,խոզ,свіння
162,Hund::N,շուն,сабака
163,Katze::N,կատու,кошка
164,Bär::N,արջ,мядзведзь
165,Eichhörnchen::N,սկյուռ,вавёрка
166,Elch::N,հիւսիսային եղջերու,лось
167,Fuchs::N,աղվես,ліса
168,Hase::N,նապաստակ,заяц
169,Maus::N,մուկ,мыш
170,Wolf::N,գայլ,воўк
171,Vogel::N,թռչուն,птах
172,Vogel::N,թռչուն,птушка
173,Schwarm::N,երամ,чарада
174,Huhn::N,հավ,курыца
