,Concept_ID,nl,mn
0,Auge::N,oog,нүд
1,Ohr::N,oor,чих
2,Nase::N,neus,хамар
3,Mund::N,mond,ам
4,Zahn::N,tand,шүд
5,Zunge::N,tong,хэл
6,Lippe::N,lip,уруул
7,Wange::N,wang,хацар
8,Gesicht::N,gelaat,царай
9,Gesicht::N,gelaat,нүүр
10,Gesicht::N,gezicht,царай
11,Gesicht::N,gezicht,нүүр
12,Stirn::N,voorhoofd,дух
13,Haar::N,haar,үс
14,Schnurrbart::N,snor,дээд сахал
15,Schnurrbart::N,snor,живэр сахал
16,Bart::N,baard,сахал
17,Kinn::N,kin,эрүү
18,Kiefer[Anatomie]::N,kaak,эрүү
19,Kehle::N,keel,хоолой
20,Kehle::N,strot,хоолой
21,Hals::N,hals,хүзүү
22,Genick::N,nek,шил
23,Genick::N,nek,хүзүү
24,Kopf::N,hoofd,толгой
25,Rücken::N,rug,ар
26,Rücken::N,rug,нуруу
27,Bauch::N,buik,хэвлий
28,Bauch::N,buik,гэдэс
29,Nabel::N,navel,хүйс
30,Busen::N,boezem,хөх
31,Brust::N,borst,цээж
32,Schulter::N,schouder,мөр
33,Schulter::N,schouder,бугалга
34,Arm::N,arm,гар
35,Ellenbogen::N,elleboog,тохой
36,Hand::N,hand,гар
37,Hand::N,hand,алга
38,Handfläche::N,handpalm,алга
39,Finger::N,vinger,хуруу
40,Fingernagel::N,nagel,хурууны хумс
41,Nagel[Anatomie]::N,nagel,хумс
42,Zeh::N,teen,хуруу
43,Fuß::N,voet,хөл
44,Ferse::N,hak,өсгий
45,Ferse::N,hiel,өсгий
46,Knie::N,knie,өвдөг
47,Oberschenkel::N,dij,гуя
48,Bein::N,been,хөл
49,Körper::N,lichaam,бие
50,Haut::N,huid,арьс
51,Blut::N,bloed,цус
52,Ader::N,ader,судас
53,Sehne::N,pees,бүлх
54,Sehne::N,pees,шандас
55,Knochen::N,bot,яс
56,Knochen::N,been,яс
57,Knochen::N,knook,яс
58,Gehirn::N,hersenen,тархи
59,Herz::N,hart,зүрх
60,Magen::N,maag,ходоод
61,Leber::N,lever,элэг
62,Atem::N,adem,амьсгаа
63,Hunger::N,honger,өлсгөлөн
64,Träne::N,traan,нулимс
65,Geschmack::N,smaak,амт
66,Geruch::N,geur,үнэр
67,Schlaf::N,slaap,нойр
68,Traum::N,droom,зүүд
69,Himmel::N,hemel,тэнгэр
70,Himmel::N,hemel,огторгуй
71,Sonne::N,zon,нар
72,Mond::N,maan,сар
73,Stern::N,ster,од
74,Luft::N,lucht,агаар
