,Concept_ID,kl,hr
0,Auge::N,isi,oko
1,Ohr::N,siut,uho
2,Mund::N,paaq,usta
3,Mund::N,qaneq,usta
4,Zahn::N,kigut,zub
5,Zunge::N,oqaq,jezik
6,Lippe::N,qarloq,usna
7,Wange::N,ersaq,obraz
8,Gesicht::N,kiinaq,lice
9,Stirn::N,qaaq,čelo
10,Haar::N,meqqoq,kosa
11,Bart::N,umik,brada
12,Kinn::N,talloq,brada
13,Kinn::N,talloq,podbradak
14,Kiefer[Anatomie]::N,alleroq,čeljust
15,Kehle::N,malaq,grlo
16,Hals::N,qungaseq,vrat
17,Genick::N,pukusuk,zatiljak
18,Kopf::N,niaqoq,glava
19,Rücken::N,qimerlut,leđa
20,Rücken::N,qimerlut,hrbat
21,Bauch::N,naaq,trbuh
22,Nabel::N,qalaseq,pupak
23,Busen::N,iviangeq,sisa
24,Busen::N,iviangeq,njedra
25,Brust::N,iviangeq,prsa
26,Schulter::N,ersik,rame
27,Schulter::N,ersik,pleći
28,Schulter::N,assaqqoq,rame
29,Schulter::N,assaqqoq,pleći
30,Arm::N,taleq,ruka
31,Ellenbogen::N,ikusik,lakat
32,Hand::N,assak,ruka
33,Handfläche::N,itumak,dlan
34,Finger::N,inuak,prst
35,Fingernagel::N,kikiak,nokat
36,Nagel[Anatomie]::N,kukik,nokat
37,Zeh::N,isigak,nozni prst
38,Ferse::N,kimmik,peta
39,Knie::N,seeqqoq,koljeno
40,Oberschenkel::N,uppat,bedro
41,Oberschenkel::N,quttoraq,bedro
42,Bein::N,isigak,noga
43,Körper::N,timi,tijelo
44,Haut::N,mattak,put
45,Haut::N,mattak,koža
46,Blut::N,aak,krv
47,Ader::N,taqaq,žila
48,Sehne::N,ujalu,tetiva
49,Sehne::N,ujaloq,tetiva
50,Knochen::N,saanikut,kost
51,Gehirn::N,qarasaq,
52,Herz::N,uummat,srce
53,Magen::N,aqajaroq,stomak
54,Magen::N,aqajaroq,želudac
55,Leber::N,tinguk,jetra
56,Atem::N,anerneq,dah
57,Hunger::N,kaanneq,glad
58,Träne::N,qia,suza
59,Träne::N,qiak,suza
60,Geschmack::N,qilanaartuut,ukus
61,Geruch::N,tipi,njuh
62,Geruch::N,tipi,miris
63,Geruch::N,tipik,njuh
64,Geruch::N,tipik,miris
65,Traum::N,sinnattoq,san
66,Traum::N,sinnattugaq,san
67,Himmel::N,qilak,nebo
68,Sonne::N,seqineq,sunce
69,Mond::N,qaammat,mjesec
70,Stern::N,ulloriaq,zvijezda
71,Luft::N,silaannaq,zrak
72,Wind::N,anori,vjetar
73,Wind::N,anorsarik,vjetar
74,Welle::N,aalappaa,val
75,Welle::N,aalappaa,talas
76,Wasser::N,imeq,voda
77,Stein::N,ujarak,kamen
78,Boden::N,nateq,tlo
79,Boden::N,nateq,zemlja
80,Erde::N,issoq,zemlja
81,Staub::N,pujualanerit,prah
82,Staub::N,pujualanerit,prašina
83,Staub::N,pujoralanerit,prah
84,Staub::N,pujoralanerit,prašina
85,Rauch::N,iseq,dim
86,Rauch::N,pujoq,dim
87,Funke::N,illoorneq,iskra
88,Funke::N,illoorneq,varnica
89,Feuer::N,inneq,vatra
90,Licht::N,qaamaneq,svjetlo
91,Schatten::N,tarraq,hlad
92,Schatten::N,tarraq,sjena
93,Wetter::N,sila,vrijeme
94,Nebel::N,pujoq,magla
95,Wolke::N,nuia,oblak
96,Regen::N,sialuk,kiša
97,Schnee::N,aput,snijeg
98,Eis::N,siku,led
99,Frost::N,issi,mraz
100,Frost::N,issik,mraz
101,Kälte::N,issi,studen
102,Kälte::N,issi,hladnoća
103,Hitze::N,kianneq,vrućina
104,Hitze::N,kiassuseq,vrućina
105,Raureif::N,kaneq,inje
106,Regenbogen::N,neriusaaq,duga
107,Donner::N,kalleq,grom
108,Donner::N,kalleq,grmljavina
109,Tropfen::N,kuseriarneq,kap
110,Tropfen::N,kuseriarneq,kaplja
111,Schaum::N,qapuk,pjena
112,Schmutz::N,minguk,nečistoća
113,Schmutz::N,minguk,prljavština
114,See::N,taseq,jezero
115,Sumpf::N,maqulluk,bara
116,Wiese::N,masarsuk,livada
117,Hügel::N,qattuneq,brijeg
118,Hügel::N,qattuneq,brežuljak
119,Hügel::N,majuariaq,brijeg
120,Hügel::N,majuariaq,brežuljak
121,Hügel::N,majorajaaq,brijeg
122,Hügel::N,majorajaaq,brežuljak
123,Hügel::N,qaqqannguaq,brijeg
124,Hügel::N,qaqqannguaq,brežuljak
125,Berg::N,qaqqaq,brdo
126,Höhle::N,qaarusuk,pećina
127,Höhle::N,qaarusuk,spilja
128,Abhang::N,ippik,obronak
129,Abhang::N,ippik,nizbrdica
130,Abhang::N,sivinganeq,obronak
131,Abhang::N,sivinganeq,nizbrdica
132,Abhang::N,sivingajaaq,obronak
133,Abhang::N,sivingajaaq,nizbrdica
134,Abhang::N,kussangajaaq,obronak
135,Abhang::N,kussangajaaq,nizbrdica
136,Bach::N,kuunnguaq,potok
137,Fluss::N,kuuk,rijeka
138,Ufer::N,sissap sinaa,obala
139,Küste::N,sineriak,obala
140,Küste::N,sineriak,morska obala
141,Meer::N,imaq,more
142,Bucht::N,ikeq,zaliv
143,Bucht::N,kangerluk,zaliv
144,Bucht::N,kangerliumaneq,zaliv
145,Insel::N,qeqertaq,ada
146,Insel::N,qeqertaq,otok
147,Blume::N,naasoq,cvijet
148,Gras::N,ivigaq,trava
149,Wurzel::N,niulutaq,korijen
150,Baum::N,orpik,drvo
151,Baum::N,orpik,stablo
152,Stamm::N,kanaartaq,deblo
153,Stamm::N,kanaartaq,stablo
154,Rinde::N,ameraq,kora
155,Ast::N,avalequt,grana
156,Zweig::N,avalequt,grana
157,Blatt::N,pilutaq,list
158,Birke::N,patitsit,breza
159,Weide[Baum]::N,palleq,iva
160,Weide[Baum]::N,palleq,vŕba
161,Tanne::N,orsuerneq,jela
162,Horn::N,nassuk,rog
163,Feder::N,suluk,pero
164,Fell::N,ameq,koža
165,Flügel::N,suluk,krilo
166,Flügel::N,isaroq,krilo
167,Klaue::N,kukik,papak
168,Kralle::N,kukik,pandža
169,Schwanz::N,pamioq,rep
170,Schwanz::N,paperuusaq,rep
171,Ei::N,mannik,jaje
172,Nest::N,ullut,gnijezdo
173,Bau::N,ini,jazbina
174,Tier::N,uumasoq,životinja
175,Herde::N,unguukkat,krdo
176,Herde::N,unguukkat,stado
177,Kuh::N,ussik,krava
178,Bulle::N,angukulak,bik
179,Bulle::N,anguteralak,bik
180,Bulle::N,angutikulooq,bik
181,Schaf::N,sava,ovca
182,Schwein::N,puuluki,svinja
183,Hund::N,qimmeq,pas
184,Hund::N,qimmeq,pseto
185,Katze::N,puisaaq,mačka
186,Bär::N,allaq,medvjed
187,Eichhörnchen::N,sissinnguaq,vjeverica
188,Fuchs::N,terianniaq,lisica
189,Hase::N,ukaleq,zec
190,Maus::N,teriannguaq,miš
191,Wolf::N,amaroq,vuk
192,Wolf::N,amaroq,kurjak
193,Vogel::N,timmiaq,ptica
194,Huhn::N,kukkukooq,kokoš
195,Huhn::N,marloraaqaaq,kokoš
196,Hahn::N,kiasiusaq,kokot
197,Hahn::N,kiasiusaq,pijevac
198,Gans::N,nerleq,guska
199,Adler::N,nattoralik,orao
200,Eule::N,uppik,sova
201,Kranich::N,qorlorfik,ždral
202,Krähe::N,tuluatsiaq,vrana
203,Kuckuck::N,kukkooq,kukavica
204,Schwan::N,qussuk,labud
205,Fisch::N,aalisagaq,riba
206,Schlange[Tier]::N,pulateriarsuk,guja
207,Schlange[Tier]::N,pulateriarsuk,zmija
208,Schlange[Tier]::N,pulateriaarsuk,guja
209,Schlange[Tier]::N,pulateriaarsuk,zmija
210,Spinne::N,aasiaq,pauk
211,Spinne::N,nissavaarsuk,pauk
212,Ameise::N,uniaaluk,mrav
213,Laus::N,kumak,uš
214,Mücke::N,ippernaq,komarac
215,Fliege::N,ippernaq,muha
216,Schmetterling::N,paluaq,leptir
217,Schmetterling::N,pakkaluaq,leptir
218,Schmetterling::N,utsuppaluaq,leptir
219,Schmetterling::N,taqaleqisaaq,leptir
220,Beere::N,paarmaq,boba
221,Beere::N,paarmaq,bobica
222,Beere::N,paarngaq,boba
223,Beere::N,paarngaq,bobica
224,Apfel::N,iipili,jabuka
225,Pilz::N,anngiusaq,pečurka
226,Zwiebel::N,uanitsoq,luk
227,Zwiebel::N,uanitsoq,kapula
228,Saat::N,naatsiiassaq,sjemenje
229,Korn::N,maannineq,zrno
230,Schale::N,niutsivik,kora
231,Schale::N,niutsivik,ljuska
232,Schale::N,ilulissaq qaartussaq,kora
233,Schale::N,ilulissaq qaartussaq,ljuska
234,Grube::N,itersaq,jama
235,Falle::N,pualavoq,zamka
236,Falle::N,pualavoq,klopka
237,Schlinge::N,orseq,uzao
238,Schlinge::N,orseq,petlja
239,Schlinge::N,norloq,uzao
240,Schlinge::N,norloq,petlja
241,Spur::N,tumaa,trag
242,Spur::N,tumaa,slijed
243,Asche::N,arsat,pepeo
244,Dreck::N,minguk,blato
245,Eisen::N,savimineq,željezo
246,Eisen::N,saffiugassaq,željezo
247,Gold::N,kuulti,zlato
248,Silber::N,siilviuvoq,srebro
249,Kohle::N,aamarsuit aamaruutissat,ugalj
250,Kohle::N,aamarsuit aamaruutissat,ugljen
251,Glas::N,igalaaq,staklo
252,Glas::N,imertarfik,staklo
253,Glas::N,igalaamineq,staklo
254,Lehm::N,marraq,glina
255,Lehm::N,marraq,ilovača
256,Sand::N,sioqqat,pijesak
257,Mensch::N,inuk,čovjek
258,Mensch::N,silamiu,čovjek
259,Mann::N,angut,muškarac
260,Frau::N,arnaq,žena
261,Kind::N,meeraq,čedo
262,Kind::N,meeraq,dijete
263,Junge::N,nukappiaraq,momče
264,Junge::N,nukappiaraq,dječak
265,Mädchen::N,arnannguaq,djevojka
266,Mädchen::N,arnannguaq,djevojčica
267,Familie::N,ilaqutakka,obitelj
268,Familie::N,ilaqutakka,porodica
269,Familie::N,ilaqutariit,obitelj
270,Familie::N,ilaqutariit,porodica
271,Großvater::N,aatak,djed
272,Großmutter::N,aanaq,baka
273,Eltern::N,angajoqqaat,roditelji
274,Vater::N,ataata,otac
275,Vater::N,ataataq,otac
276,Mutter::N,anaana,majka
277,Sohn::N,erneq,sin
278,Tochter::N,panik,kći
279,Tochter::N,panik,kćerka
280,Bruder::N,ani,brat
281,Bruder::N,aqqaluk,brat
282,Bruder::N,qatanngut,brat
283,Schwester::N,naja,sestra
284,Schwester::N,aleqa,sestra
285,Schwester::N,qatanngut,sestra
286,Onkel::N,akkak,čika
287,Onkel::N,akkak,ujak
288,Tante::N,aja,ujna
289,Tante::N,aja,tetka
290,Tante::N,ajak,ujna
291,Tante::N,ajak,tetka
292,Tante::N,atsak,ujna
293,Tante::N,atsak,tetka
294,Ehemann::N,ui,muž
295,Ehemann::N,ui,suprug
296,Ehefrau::N,nuliaq,žena
297,Ehefrau::N,nuliaq,supruga
298,Freude::N,tipaatsussuseq,radost
299,Gelächter::N,illaq,grohot
300,Glück::N,usornaat,sreća
301,Glück::N,usornarsuseq,sreća
302,Wunsch::N,kissaat,želja
303,Lust::N,illigussuseq,volja
304,Lust::N,piummaseq,volja
305,Geist::N,anerneq,duh
306,Geist::N,toornaq,duh
307,Gedanke::N,isumassaq,misao
308,Gedächtnis::N,eqqaamannissuseq,pamćenje
309,Verstand::N,isuma,um
310,Verstand::N,isuma,razum
311,Verstand::N,sianissut,um
312,Verstand::N,sianissut,razum
313,Verstand::N,misigissut,um
314,Verstand::N,misigissut,razum
315,Verstand::N,sianissuseq,um
316,Verstand::N,sianissuseq,razum
317,Verstand::N,silaqassuseq,um
318,Verstand::N,silaqassuseq,razum
319,Sinn::N,isuma,smisao
320,Sinn::N,isuma,značenje
321,Grund::N,patsit,razlog
322,Wahrheit::N,sallusuissut,istina
323,Märchen::N,oqalualaarut,bajka
324,Märchen::N,oqaluasaaq,bajka
325,Erzählung::N,oqaluttuaq,priča
326,Erzählung::N,oqaluttuaq,pripovijest
327,Nachricht::N,oqaassut,vijest
328,Nachricht::N,oqqersuut,vijest
329,Neuigkeit::N,tusarnartaq,novost
330,Name::N,ateq,ime
331,Rätsel::N,nalorsitsaarut,zagonetka
332,Rede::N,oqaluuseq,govor
333,Rede::N,oqaluuseq,besjeda
334,Sprache::N,oqaatsit,jezik
335,Stimme::N,erinaq,glas
336,Stimme::N,qarluuseq,glas
337,Wort::N,oqaasii,riječ
338,Zeichen::N,nalunaaqqut,znak
339,Ruf::N,qaaqqussut,povik
340,Ruf::N,qaaqqussut,poklik
341,Lärm::N,perpaluk,buka
342,Lärm::N,perpaluk,galama
343,Laut::N,torsukattak,zvuk
344,Ton::N,erinaq,ton
345,Lied::N,taalliaq,pjesma
346,Lied::N,erinarsuut,pjesma
347,Ruhe::N,qatsunganeq,tišina
348,Ruhe::N,qatsunganeq,počinak
