,Concept_ID,bn,lez
0,Auge::N,চক্ষু,вил
1,Ohr::N,কর্ণ,яб
2,Nase::N,নাক,нер
3,Mund::N,মুখ,сив
4,Zahn::N,দাঁত,сас
5,Zahn::N,দাঁত,свах
6,Zunge::N,জিহবা,мез
7,Lippe::N,অধর,пӏуз
8,Wange::N,গণ্ড,хъвехъ
9,Gesicht::N,মুখমণ্ডল,ччин
10,Stirn::N,কপাল,пел
11,Haar::N,চুল,чӏар
12,Schnurrbart::N,গোঁফ,спел
13,Schnurrbart::N,গোঁফ,спелар
14,Bart::N,শ্মশ্রু,ччуру
15,Kinn::N,চিবুক,чене
16,Kiefer[Anatomie]::N,চোয়াল,чене
17,Kehle::N,কণ্ঠ,туьд
18,Hals::N,গল,гардан
19,Genick::N,ঘাড়,кьам
20,Kopf::N,মাথা,кьил
21,Rücken::N,পৃষ্ঠ,далу
22,Bauch::N,উদর,руфун
23,Nabel::N,নাভি,пицӏ
24,Busen::N,স্তন,мам
25,Brust::N,বুক,хур
26,Schulter::N,স্কন্ধ,къуьн
27,Arm::N,বাহু,гъил
28,Ellenbogen::N,কনুই,кьуьнт
29,Hand::N,হাত,капаш
30,Handfläche::N,করতল,капан юкь
31,Finger::N,আঙ্গুল,тӏуб
32,Fingernagel::N,হাতের নখ,кек
33,Nagel[Anatomie]::N,নখ,кек
34,Zeh::N,আঙ্গুল,кул
35,Fuß::N,পা,кӏвач
36,Ferse::N,গোড়ালি,дабан
37,Knie::N,হাঁটু,мет
38,Oberschenkel::N,ঊরু,
39,Bein::N,পা,кӏвач
40,Körper::N,দেহ,беден
41,Haut::N,ত্বক,хам
42,Blut::N,রক্ত,иви
43,Ader::N,শিরা,дамар
44,Sehne::N,কণ্ডরা,кьуру дамар
45,Knochen::N,অস্থি,кӏараб
46,Gehirn::N,মস্তিষ্ক,мефт
47,Herz::N,হৃৎপিণ্ড,рикӏ
48,Magen::N,পাকস্থলী,хук
49,Leber::N,যকৃৎ,лекь
50,Atem::N,শ্বাস,ял
51,Atem::N,শ্বাস,нефес
52,Hunger::N,ক্ষুধা,каш
53,Träne::N,অশ্রু,вилин нагъв
54,Geschmack::N,স্বাদ,дад
55,Geschmack::N,স্বাদ,тӏям
56,Geruch::N,গন্ধ,ни
57,Schlaf::N,ঘুম,ахвар
58,Traum::N,স্বপ্ন,ахвар
59,Himmel::N,আকাশ,цав
60,Sonne::N,সূর্য,рагъ
61,Mond::N,চন্দ্র,варз
62,Stern::N,নক্ষত্র,гъед
63,Luft::N,বায়ু,гьава
64,Wind::N,বাতাস,гар
65,Welle::N,ঢেউ,лепе
66,Welle::N,তরঙ্গ,лепе
67,Wasser::N,জল,яд
68,Stein::N,ঢিল,къван
69,Stein::N,প্রস্তর,къван
70,Boden::N,ভূতল,накьв
71,Erde::N,ভূমি,ччил
72,Staub::N,ধুলা,руг
73,Rauch::N,ধোঁয়া,гум
74,Funke::N,স্ফুলিঙ্গ,цӏелхем
75,Feuer::N,অগ্নি,цӏай
76,Licht::N,আলো,экв
77,Schatten::N,ছায়া,серин
78,Wetter::N,আবহাওয়া,гьава
79,Nebel::N,কুহেলিকা,ччилин циф
80,Wolke::N,মেঘ,циф
81,Regen::N,বৃষ্টি,марф
82,Schnee::N,তুষার,жив
83,Eis::N,বরফ,мурк
84,Frost::N,তুষার,аяз
85,Kälte::N,শৈত্য,мекь
86,Kälte::N,শৈত্য,мекьивал
87,Hitze::N,তাপ,зегьем
88,Raureif::N,তুহিন,къирав
89,Regenbogen::N,রামধনু,яргъируш
90,Donner::N,বজ্রধ্বনি,цавун ван
91,Strömung::N,স্রোত,
92,Tropfen::N,ফোঁটা,стӏал
93,Schaum::N,ফেনা,каф
94,Schmutz::N,ধুলা,чирк
95,Schmutz::N,ধুলা,кьуруш
96,See::N,হ্রদ,вир
97,Sumpf::N,জলা,уьлен
98,Moor::N,মাঠ,
99,Wiese::N,তৃণভূমি,векь
100,Wald::N,বন,там
101,Hügel::N,পাহাড়,кӏунтӏ
102,Anhöhe::N,টিলা,тепе
103,Anhöhe::N,টিলা,гьуьндуьрвал
104,Berg::N,পর্বত,дагъ
105,Gipfel::N,শীর্ষ,кӏукӏ
106,Höhle::N,গুহা,кьветӏ
107,Abhang::N,ঢাল,гуьне
108,Quelle::N,উৎস,чешме
109,Bach::N,ক্ষুদ্র নদী,булах
110,Fluss::N,নদী,вацӏ
111,Ufer::N,উপকূল,къерех
112,Küste::N,তীর,къерех
113,Festland::N,ভূমি,кьурамат
114,Meer::N,সমুদ্র,гьуьл
115,Bucht::N,উপসাগর,бухта
116,Insel::N,দ্বীপ,остров
117,Blume::N,ফুল,цуьк
118,Gras::N,ঘাস,хъач
119,Wurzel::N,শিকড়,дувул
120,Baum::N,গাছ,ттар
121,Stamm::N,স্কন্ধ,тан
122,Rinde::N,বল্কল,чкал
123,Ast::N,শাখা,тӏур
124,Zweig::N,ডাল,хел
125,Blatt::N,পর্ণ,пеш
126,Birke::N,ভুর্জ,верх
127,Kiefer[Baum]::N,পাইন গাছ,шамагъаж
128,Weide[Baum]::N,উইলো,цӏвелин ттар
129,Tanne::N,দেবদারূ গাছ,ель
130,Horn::N,শিং,карч
131,Feder::N,পালক,цӏакул
132,Fell::N,রোম,хам
133,Flügel::N,ডানা,лув
134,Klaue::N,নখর,къармах
135,Kralle::N,নখর,пац
136,Kralle::N,নখর,тапас
137,Schwanz::N,লেজ,ттум
138,Ei::N,ডিম,кака
139,Nest::N,কুলায়,муг
140,Bau::N,ডেরা,тӏеквен
141,Tier::N,জন্তু,гьайван
142,Herde::N,ঝাঁক,суьруь
143,Kuh::N,গোরু,ккал
144,Bulle::N,বৃষ,яц
145,Bulle::N,বৃষ,бугъа
146,Pferd::N,ঘোড়া,балкӏан
147,Schaf::N,ভেড়া,хеб
148,Schwein::N,শূকর,вак
149,Hund::N,কুকুর,кицӏ
150,Katze::N,বেড়াল,кац
151,Bär::N,ভল্লুক,сев
152,Eichhörnchen::N,কাঠবিড়াল,белка
153,Elch::N,হরিণবিশেষ,лось
154,Fuchs::N,পাঁতিশিয়াল,сикӏ
155,Hase::N,শশক,къуьр
156,Maus::N,নেংটি ইঁদুর,кьиф
157,Wolf::N,নেকড়ে,жанавур
158,Vogel::N,পক্ষী,луван ничхир
159,Schwarm::N,ঝাঁক,луж
160,Huhn::N,মোরগ,верч
161,Hahn::N,কুক্কুট,кӏек
162,Gans::N,হংসী,къаз
163,Adler::N,ইগল,лекь
164,Ente::N,হংসী,пӏатӏ
165,Eule::N,পেচক,тӏиб
166,Kranich::N,সারস,дурна
167,Krähe::N,কাক,къаргъа
168,Kuckuck::N,কোকিল,кукупӏ
169,Schwan::N,মরাল,къугь
170,Fisch::N,মাছ,гъед
171,Barsch::N,মৎন্যবিশেষ,окунь
172,Hecht::N,বানমাছ,щука
173,Schlange[Tier]::N,সর্প,илан
174,Schlange[Tier]::N,সর্প,гъуьлягъ
175,Wurm::N,কীট,квак
176,Spinne::N,মাকড়সা,хуьшрекан
177,Ameise::N,পিপীলিকা,цегв
178,Laus::N,উকুন,нет
179,Mücke::N,মশা,ветӏ
180,Fliege::N,মাছি,тӏветӏ
181,Schmetterling::N,প্রজাপতি,чепелукь
182,Beere::N,বেরি,куьлуь емиш
183,Apfel::N,আপেল,ич
184,Pilz::N,ছত্রক,къарникъуз
185,Zwiebel::N,পিয়াজ,чичӏек
186,Saat::N,বীজ,тумар
187,Korn::N,শস্য,твар
188,Heu::N,খড়,векь
189,Heu::N,খড়,векьер
190,Schale::N,খোসা,пириш
191,Schale::N,খোসা,хъуьруьш
192,Grube::N,গর্ত,фур
193,Falle::N,ফাঁদ,ракьар
194,Schlinge::N,পাশ,гьалкъа
195,Spur::N,চিহ্ন,гел
196,Asche::N,ভস্ম,руьхъ
197,Dreck::N,ময়লা,чирк
198,Dreck::N,ময়লা,кьуруш
199,Eisen::N,লোহা,ракь
200,Gold::N,স্বর্ণ,алтун
201,Silber::N,রৌপ্য,гимиш
202,Kohle::N,অঙ্গার,цӏивин
203,Glas::N,কাচ,шуьше
204,Lehm::N,মৃত্তিকা,ччеб
205,Sand::N,বালি,къум
206,Mensch::N,নর,инсан
207,Mensch::N,মানুষ,инсан
208,Mann::N,মানুষ,итим
209,Frau::N,নারী,паб
210,Frau::N,নারী,дишегьли
211,Kind::N,বাচ্চা,аял
212,Junge::N,ছেলে,гада
213,Mädchen::N,মেয়ে,руш
214,Familie::N,পরিবার,хзан
215,Familie::N,পরিবার,килфет
216,Großvater::N,মাতামহ,чӏехи буба
217,Großmutter::N,মাতামহী,чӏехи диде
218,Eltern::N,মাতাপিতা,диде-буба
219,Vater::N,পিতা,буба
220,Mutter::N,মাতা,диде
221,Sohn::N,ছেলে,хва
222,Tochter::N,মেয়ে,руш
223,Bruder::N,দাদা,стха
224,Schwester::N,বোন,вах
225,Schwester::N,দিদি,вах
226,Onkel::N,মামা,ими
227,Onkel::N,মামা,халу
228,Tante::N,মাসী,эме
229,Tante::N,মাসী,хала
230,Ehemann::N,স্বামী,гъуьл
231,Ehefrau::N,পত্নী,паб
232,Freude::N,উল্লাস,шадвал
233,Gelächter::N,হাসি,хъвер
234,Glück::N,সুখ,бахт
235,Kummer::N,দুঃখ,дерт
236,Kummer::N,দুঃখ,хажалат
237,Wunsch::N,আকাঙ্ক্ষা,мурад
238,Lust::N,বাসনা,гьевес
239,Geist::N,আত্না,руьгь
240,Gedanke::N,চিন্তা,фикир
241,Gedächtnis::N,স্মরণশক্তি,
242,Verstand::N,মন,акьул
243,Sinn::N,পদার্থ,мана
244,Grund::N,কারণ,себеб
245,Wahrheit::N,সত্য,керчек
246,Wahrheit::N,সত্য,гьакъикъат
247,Gespräch::N,কথাবার্তা,ихтилат
248,Märchen::N,রূপকথা,мах
249,Erzählung::N,গল্প,кьиса
250,Nachricht::N,তথ্য,хабар
251,Neuigkeit::N,খবরাখবর,цӏийи хабар
252,Name::N,নাম,тӏвар
253,Rätsel::N,ধাঁধা,мискӏал
254,Rede::N,বক্তৃতা,рахун
255,Sprache::N,ভাষা,чӏал
256,Stimme::N,স্বর,ван
257,Wort::N,শব্দ,гаф
258,Zeichen::N,প্রতীক,ишара
259,Ruf::N,ডাক,эвер
260,Lärm::N,হৈচৈ,ван-сес
261,Laut::N,ধ্বনি,ван
262,Laut::N,ধ্বনি,сес
263,Ton::N,স্বর,ван-сес
264,Lied::N,গান,мани
265,Ruhe::N,শান্তি,ласвал
266,Ruhe::N,শান্তি,фаракъат
267,Ruhe::N,শান্তি,асайиш
268,Leute::N,প্রজাপুঞ্জ,инсанар
269,Volk::N,জাতি,халкь
270,Arbeit::N,চাকরি,кӏвалах
271,Gast::N,অতিথি,мугьман
272,Geschenk::N,উপহার,савкьат
273,Spiel::N,খেলা,къугъун
274,Gesellschaft::N,সঙ্গিগণ,жемят
275,Gesellschaft::N,সঙ্গিগণ,общество
276,Hilfe::N,সাহায্য,куьмек
277,Freund::N,বন্ধু,дуст
278,Kamerad::N,সঙ্গী,яр-дуст
279,Angelegenheit::N,বিষয়,кар
280,Anzahl::N,পরিমাণ,сан
281,Anzahl::N,পরিমাণ,кьадар
282,Art::N,রকম,жуьре
283,Stück::N,টুকরো,кӏус
284,Teil::N,অংশ,пай
285,Hälfte::N,অর্ধেক,зур
286,Hälfte::N,অর্ধেক,зур пай
287,Kreis::N,বৃত্ত,круг
288,Kreis::N,বৃত্ত,чкаяр
289,Kreis::N,বৃত্ত,элкъвей цӏар
290,Kreuz::N,ক্রুশ,хаш
291,Linie::N,রেখা,цӏар
292,Strich::N,কষি,цӏар
293,Abstand::N,ফাঁক,ара
294,Entfernung::N,ব্যবধান,мензил
295,Gegend::N,ক্ষেত্র,чка
296,Platz::N,জায়গা,ара
297,Ort::N,স্থান,чка
298,Seite::N,পার্শ্ব,пад
299,Mitte::N,মধ্য,юкь
300,Gegenstand::N,জিনিস,затӏ
301,Sache::N,বস্তু,шей
302,Sache::N,বস্তু,затӏ
303,Rand::N,কানা,къерех
304,Kante::N,ধার,син
305,Ecke::N,কোণ,пӏипӏ
306,Spitze::N,ডগা,кӏвенкӏв
307,Ende::N,প্রান্ত,кьил
308,Loch::N,গর্ত,тӏеквен
309,Winkel::N,কোণ,пӏипӏ
310,Muster::N,নমুন্,гишир
311,Größe::N,আয়তন,кьадар
312,Länge::N,দৈর্ঘ্য,яргъивал
313,Höhe::N,উচ্চতা,кьакьанвал
314,Gewicht::N,ওজন,заланвал
315,Menge::N,পরিমাণ,кьадар
316,Haufen::N,পুঞ্জ,хара
317,Reihe::N,শ্রেণী,жерге
318,Boot::N,নৌকা,луьткве
319,Ruder::N,দাঁড়,кьусу
320,Schlitten::N,স্নেজ্-গাড়ি,гъелерар
321,Ski::N,শী,
322,Lagerfeuer::N,অগ্নি,цӏай
323,Last::N,বোঝা,заланвал
324,Gang::N,হণ্টন,ериш
325,Schritt::N,পদ,къадам
326,Norden::N,উত্তরদিক্,кефер
327,Norden::N,উত্তরদিক্,кефер пад
328,Süden::N,দক্ষিণদিক,кьибле
329,Westen::N,পশ্চিমদিক্,рагъакӏидай пад
330,Osten::N,পূর্বদিক,рагъэкъечӏдай пад
331,Holz::N,কাঠ,кӏарас
332,Brett::N,তক্তা,кьул
333,Brett::N,তক্তা,тахта
334,Platte::N,ফলক,
335,Stütze::N,নাগদণ্ড,даях
336,Stange::N,দণ্ড,юрк
337,Stock::N,ছড়ি,лаш
338,Stab::N,যষ্টি,юрк
339,Rohr::N,নল,турба
340,Haus::N,ঘর,ужагъ
341,Heim::N,বাসা,кӏвал
342,Ofen::N,স্টোভ্,пич
343,Fußboden::N,গহতল,кӏвалин ччил
344,Tisch::N,মেজ,стол
345,Tisch::N,টেবিল,стол
346,Stuhl::N,চেয়ার,стул
347,Stuhl::N,কেদারা,стул
348,Wiege::N,দোলনা,кьеб
349,Bett::N,শয্যা,тахт
350,Regal::N,তাক,кьацӏ
351,Kiste::N,বাক্স,ящик
352,Fenster::N,জানালা,дакӏар
353,Tür::N,দ্বার,рак
354,Tor::N,দ্বার,варар
355,Zaun::N,বেড়া,пару
356,Dach::N,ছাদ,къав
357,Leiter::N,মই,гурар
358,Besen::N,গুল্মবিশেষ,таран кул
359,Spaten::N,কোদাল,ппер
360,Schaufel::N,বেলচা,хекендаз
361,Gabel::N,কাঁটা,шиш
362,Löffel::N,চামচ,тӏур
363,Messer::N,ছুরি,чукӏул
364,Nagel::N,পেরেক,мих
365,Netz::N,জাল,чил
366,Haken::N,কাচি,къармах
367,Griff::N,হাতল,ттум
368,Schloss::N,তালা,куьлег
369,Bild::N,ছবি,шикил
370,Bild::N,ছবি,суьрет
