,Concept_ID,hy,de
0,Auge::N,աչք,Auge
1,Ohr::N,ականջ,Ohr
2,Nase::N,քիթ,Nase
3,Mund::N,բերան,Mund
4,Zahn::N,ատամ,Zahn
5,Zunge::N,լեզու,Zunge
6,Lippe::N,շրթունք,Lippe
7,Wange::N,այտ,Wange
8,Wange::N,թուշ,Wange
9,Gesicht::N,դեմք,Gesicht
10,Stirn::N,ճակատ,Stirn
11,Haar::N,մազ,Haar
12,Schnurrbart::N,բեղ,Schnurrbart
13,Bart::N,մորուք,Bart
14,Kinn::N,կզակ,Kinn
15,Kiefer[Anatomie]::N,ծնոտ,Kiefer
16,Kehle::N,կոկորդ,Kehle
17,Hals::N,վիզ,Hals
18,Hals::N,պարանոց,Hals
19,Genick::N,ծոծրակ,Genick
20,Kopf::N,գլուխ,Kopf
21,Rücken::N,մեջք,Rücken
22,Bauch::N,փոր,Bauch
23,Bauch::N,որովայն,Bauch
24,Nabel::N,պորտ,Nabel
25,Busen::N,ծոց,Busen
26,Brust::N,կուրծք,Brust
27,Schulter::N,ուս,Schulter
28,Arm::N,թեւ,Arm
29,Arm::N,բազուկ,Arm
30,Ellenbogen::N,արմունկ,Ellenbogen
31,Hand::N,ձեռք,Hand
32,Handfläche::N,ափ,Handfläche
33,Finger::N,մատ,Finger
34,Fingernagel::N,եղունգ,Fingernagel
35,Nagel[Anatomie]::N,եղունգ,Nagel
36,Zeh::N,ոտքի մատ,Zeh
37,Fuß::N,ոտք,Fuß
38,Ferse::N,գարշապար,Ferse
39,Knie::N,ծունկ,Knie
40,Oberschenkel::N,ազդր,Oberschenkel
41,Bein::N,ոտք,Bein
42,Körper::N,մարմին,Körper
43,Haut::N,մաշկ,Haut
44,Blut::N,արյուն,Blut
45,Ader::N,երակ,Ader
46,Sehne::N,ջիղ,Sehne
47,Sehne::N,ձգտան,Sehne
48,Knochen::N,ոսկոր,Knochen
49,Gehirn::N,խելք,Gehirn
50,Herz::N,սիրտ,Herz
51,Magen::N,ստամոքս,Magen
52,Leber::N,լյարդ,Leber
53,Atem::N,շունչ,Atem
54,Hunger::N,քաղց,Hunger
55,Träne::N,արտասուք,Träne
56,Geschmack::N,համ,Geschmack
57,Geschmack::N,բուրմունք,Geschmack
58,Geruch::N,հոտ,Geruch
59,Geruch::N,բուրում,Geruch
60,Schlaf::N,քուն,Schlaf
61,Traum::N,երազ,Traum
62,Himmel::N,երկինք,Himmel
63,Sonne::N,արեւ,Sonne
64,Mond::N,լուսին,Mond
65,Stern::N,աստղ,Stern
66,Luft::N,օդ,Luft
67,Wind::N,քամի,Wind
68,Welle::N,ալիք,Welle
69,Wasser::N,ջուր,Wasser
70,Stein::N,քար,Stein
71,Boden::N,գետին,Boden
72,Erde::N,հող,Erde
73,Staub::N,փոշի,Staub
74,Rauch::N,ծուխ,Rauch
75,Funke::N,կայծ,Funke
76,Feuer::N,կրակ,Feuer
77,Feuer::N,հրդեհ,Feuer
78,Licht::N,լույս,Licht
79,Schatten::N,ստվեր,Schatten
80,Wetter::N,եղանակ,Wetter
81,Nebel::N,մեգ,Nebel
82,Nebel::N,մառախուղ,Nebel
83,Wolke::N,ամպ,Wolke
84,Regen::N,անձրև,Regen
85,Schnee::N,ձյուն,Schnee
86,Eis::N,սառույց,Eis
87,Frost::N,սառնամանիք,Frost
88,Kälte::N,դող,Kälte
89,Hitze::N,շոգ,Hitze
90,Raureif::N,ցօղեղեամ,Raureif
91,Regenbogen::N,ծիածան,Regenbogen
92,Donner::N,որոտ,Donner
93,Strömung::N,հոսանք,Strömung
94,Tropfen::N,կաթիլ,Tropfen
95,Schaum::N,փրփուր,Schaum
96,Schmutz::N,կեղտ,Schmutz
97,See::N,լիճ,See
98,Sumpf::N,ճահիճ,Sumpf
99,Moor::N,ճահիճ,Moor
100,Wiese::N,մարգագետին,Wiese
101,Wald::N,անտառ,Wald
102,Hügel::N,բլուր,Hügel
103,Anhöhe::N,բարձունք,Anhöhe
104,Berg::N,լեռ,Berg
105,Gipfel::N,գագաթ,Gipfel
106,Gipfel::N,կատար,Gipfel
107,Höhle::N,քարայր,Höhle
108,Abhang::N,լանջ,Abhang
109,Abhang::N,զառիվայր,Abhang
110,Quelle::N,աղբյուր,Quelle
111,Bach::N,վտակ,Bach
112,Fluss::N,գետ,Fluss
113,Ufer::N,ծովափ,Ufer
114,Küste::N,ափ,Küste
115,Küste::N,ծովափ,Küste
116,Festland::N,ցամաք,Festland
117,Meer::N,ծով,Meer
118,Bucht::N,հաչիւն,Bucht
119,Insel::N,վղզի,Insel
120,Blume::N,ծաղիկ,Blume
121,Gras::N,խոտ,Gras
122,Wurzel::N,արմատ,Wurzel
123,Baum::N,ծառ,Baum
124,Stamm::N,իրան,Stamm
125,Rinde::N,կեղեւ,Rinde
126,Rinde::N,հաչոց,Rinde
127,Ast::N,ճյուղ,Ast
128,Zweig::N,ճյուղ,Zweig
129,Blatt::N,տերեւ,Blatt
130,Birke::N,ցարասի,Birke
131,Kiefer[Baum]::N,սոճի,Kiefer
132,Weide[Baum]::N,ուռենի,Weide
133,Tanne::N,եղեւին,Tanne
134,Feder::N,փետուր,Feder
135,Fell::N,մորթի,Fell
136,Flügel::N,թեւ,Flügel
137,Klaue::N,չանչ,Klaue
138,Kralle::N,ճանկ,Kralle
139,Schwanz::N,պոչ,Schwanz
140,Ei::N,ձու,Ei
141,Nest::N,բույն,Nest
142,Bau::N,որջ,Bau
143,Bau::N,բայոց,Bau
144,Tier::N,կենդանի,Tier
145,Herde::N,հոտ,Herde
146,Kuh::N,կով,Kuh
147,Bulle::N,ցուլ,Bulle
148,Pferd::N,ձի,Pferd
149,Schaf::N,ոչխար,Schaf
150,Schwein::N,խոզ,Schwein
151,Hund::N,շուն,Hund
152,Katze::N,կատու,Katze
153,Bär::N,արջ,Bär
154,Eichhörnchen::N,սկյուռ,Eichhörnchen
155,Elch::N,հիւսիսային եղջերու,Elch
156,Fuchs::N,աղվես,Fuchs
157,Hase::N,նապաստակ,Hase
158,Maus::N,մուկ,Maus
159,Wolf::N,գայլ,Wolf
160,Vogel::N,թռչուն,Vogel
161,Schwarm::N,երամ,Schwarm
162,Huhn::N,հավ,Huhn
163,Hahn::N,աքաղաղ,Hahn
164,Gans::N,սագ,Gans
165,Adler::N,արծիվ,Adler
166,Ente::N,բադ,Ente
167,Eule::N,բու,Eule
168,Kranich::N,կռունկ,Kranich
169,Krähe::N,ագռավ,Krähe
170,Kuckuck::N,կուկու,Kuckuck
171,Schwan::N,կարապ,Schwan
172,Fisch::N,ձուկ,Fisch
173,Barsch::N,պերկես,Barsch
174,Hecht::N,գայլաձուկ,Hecht
175,Schlange[Tier]::N,օձ,Schlange
176,Wurm::N,որդ,Wurm
177,Wurm::N,ճիճու,Wurm
178,Spinne::N,սարդ,Spinne
179,Ameise::N,միջյուն,Ameise
180,Laus::N,ոջիլ,Laus
181,Mücke::N,մժղուկ,Mücke
182,Fliege::N,ճանճ,Fliege
183,Schmetterling::N,թիթեռ,Schmetterling
184,Beere::N,հատապտուղ,Beere
185,Apfel::N,խնձոր,Apfel
186,Pilz::N,սունկ,Pilz
187,Zwiebel::N,սոխ,Zwiebel
188,Saat::N,սերմ,Saat
189,Korn::N,հատիկ,Korn
190,Heu::N,խոտ,Heu
191,Schale::N,կեղեւ,Schale
192,Grube::N,փոս,Grube
193,Falle::N,ծուղակ,Falle
194,Schlinge::N,խեղդան,Schlinge
195,Spur::N,հետք,Spur
196,Asche::N,մոխիր,Asche
197,Dreck::N,աղտ,Dreck
198,Eisen::N,երկաթ,Eisen
199,Gold::N,ոսկի,Gold
200,Silber::N,արծաթ,Silber
201,Kohle::N,քարածուխ,Kohle
202,Glas::N,ապակի,Glas
203,Lehm::N,կավ,Lehm
204,Sand::N,ավազ,Sand
205,Mensch::N,մարդ,Mensch
206,Mann::N,մարդ,Mann
207,Mann::N,տղամարդ,Mann
208,Frau::N,կին,Frau
209,Kind::N,զավակ,Kind
210,Junge::N,տղա,Junge
211,Mädchen::N,աղջիկ,Mädchen
212,Familie::N,ընտանիք,Familie
213,Großvater::N,պապ,Großvater
214,Großmutter::N,տատ,Großmutter
215,Eltern::N,ծնողներ,Eltern
216,Vater::N,հայր,Vater
217,Mutter::N,մայր,Mutter
218,Sohn::N,որդի,Sohn
219,Tochter::N,աղջիկ,Tochter
220,Tochter::N,դուստր,Tochter
221,Bruder::N,եղբայր,Bruder
222,Schwester::N,քույր,Schwester
223,Onkel::N,քեռի,Onkel
224,Onkel::N,հորեղբայր,Onkel
225,Tante::N,մորաքույր,Tante
226,Ehemann::N,մարդ,Ehemann
227,Ehemann::N,ամուսին,Ehemann
228,Ehefrau::N,կին ամուսին,Ehefrau
229,Freude::N,ուրախություն,Freude
230,Gelächter::N,ծիծաղ,Gelächter
231,Glück::N,երջանկություն,Glück
232,Kummer::N,վիշտ,Kummer
233,Wunsch::N,ցանկություն,Wunsch
234,Lust::N,փափագ,Lust
235,Lust::N,իղձ,Lust
236,Geist::N,ոգի,Geist
237,Gedanke::N,միտք,Gedanke
238,Gedächtnis::N,հիշողություն,Gedächtnis
239,Verstand::N,խելք,Verstand
240,Sinn::N,իմաստ,Sinn
241,Grund::N,պատճառ,Grund
242,Wahrheit::N,ճշմարտություն,Wahrheit
243,Gespräch::N,զրույց,Gespräch
244,Märchen::N,պայիկի պատմություն,Märchen
245,Erzählung::N,պատմվածք,Erzählung
246,Erzählung::N,պատմություն,Erzählung
247,Nachricht::N,հաղորդագրություն,Nachricht
248,Neuigkeit::N,լուր,Neuigkeit
249,Neuigkeit::N,նորություն,Neuigkeit
250,Name::N,անուն,Name
251,Rätsel::N,բարդ խնդիր,Rätsel
252,Rede::N,ճառ,Rede
253,Rede::N,ելույթ,Rede
254,Sprache::N,լեզու,Sprache
255,Stimme::N,ձայն,Stimme
256,Wort::N,բառ,Wort
257,Zeichen::N,նշան,Zeichen
258,Ruf::N,կոչ,Ruf
259,Ruf::N,կանչ,Ruf
260,Lärm::N,աղմուկ,Lärm
261,Laut::N,հնչյուն,Laut
262,Laut::N,ձայն,Laut
263,Ton::N,տոն,Ton
264,Lied::N,երգ,Lied
265,Ruhe::N,անդորրություն,Ruhe
266,Leute::N,մարդիկ,Leute
267,Volk::N,ազգ,Volk
268,Arbeit::N,գործ,Arbeit
269,Arbeit::N,աշխատանք,Arbeit
270,Gast::N,հյուր,Gast
271,Geschenk::N,նվեր,Geschenk
272,Spiel::N,խաղ,Spiel
273,Gesellschaft::N,ընկերություն,Gesellschaft
274,Hilfe::N,օգնությթուն,Hilfe
275,Freund::N,ընկեր,Freund
276,Freund::N,բարեկամ,Freund
