,Concept_ID,fa,fr
0,Auge::N,چشم,œil
1,Ohr::N,گوش,oreille
2,Nase::N,بینی,nez
3,Mund::N,دهان,bouche
4,Zahn::N,دندان,dent
5,Zunge::N,زبان,langue
6,Lippe::N,لب,lèvre
7,Wange::N,لپ,joue
8,Gesicht::N,رو,face
9,Gesicht::N,رو,visage
10,Gesicht::N,چهره,face
11,Gesicht::N,چهره,visage
12,Stirn::N,پیشانی,front
13,Haar::N,مو,cheveu
14,Schnurrbart::N,سبیل,moustache
15,Bart::N,ریش,barbe
16,Kinn::N,چانه,menton
17,Kiefer[Anatomie]::N,فک,mâchoire
18,Kiefer[Anatomie]::N,آرواره,mâchoire
19,Kehle::N,حلق,gorge
20,Hals::N,گردن,cou
21,Genick::N,پشت گردن,nuque
22,Kopf::N,سر,tête
23,Kopf::N,کله,tête
24,Rücken::N,پشت,dos
25,Bauch::N,شکم,ventre
26,Nabel::N,ناف,nombril
27,Busen::N,پستان,sein
28,Brust::N,سینه,poitrine
29,Schulter::N,دوش,épaule
30,Schulter::N,شانه,épaule
31,Arm::N,بازو,bras
32,Ellenbogen::N,آرنج,coude
33,Hand::N,دست,main
34,Handfläche::N,کف دست,paume
35,Finger::N,انگشت,doigt
36,Fingernagel::N,ناخن دست,ongle
37,Nagel[Anatomie]::N,ناخن,ongle
38,Zeh::N,انگشت پا,orteil
39,Zeh::N,انگشت پا,doigt de pied
40,Fuß::N,پا,pied
41,Ferse::N,پاشنه,talon
42,Knie::N,زانو,genou
43,Oberschenkel::N,ران,cuisse
44,Bein::N,پا,jambe
45,Bein::N,لنگ,jambe
46,Körper::N,تن,corps
47,Körper::N,بدن,corps
48,Haut::N,پوست,peau
49,Blut::N,خون,sang
50,Ader::N,رگ,veine
51,Sehne::N,زردپی,tendon
52,Knochen::N,استخوان,os
53,Gehirn::N,مخ,cerveau
54,Gehirn::N,مغز,cerveau
55,Herz::N,دل,cœur
56,Herz::N,قلب,cœur
57,Magen::N,معده,estomac
58,Leber::N,کبد,foie
59,Atem::N,نفس,haleine
60,Hunger::N,گرسنگی,faim
61,Träne::N,اشک,larme
62,Geschmack::N,مزه,goût
63,Geschmack::N,مزه,saveur
64,Geruch::N,بو,odeur
65,Schlaf::N,خواب,sommeil
66,Traum::N,رؤیا,songe
