,Concept_ID,pt,hy
0,Auge::N,olho,աչք
1,Ohr::N,orelha,ականջ
2,Nase::N,nariz,քիթ
3,Mund::N,boca,բերան
4,Zahn::N,dente,ատամ
5,Zunge::N,língua,լեզու
6,Lippe::N,lábio,շրթունք
7,Wange::N,face,այտ
8,Wange::N,face,թուշ
9,Gesicht::N,cara,դեմք
10,Gesicht::N,rosto,դեմք
11,Stirn::N,testa,ճակատ
12,Haar::N,cabelo,մազ
13,Schnurrbart::N,bigode,բեղ
14,Bart::N,barba,մորուք
15,Kinn::N,queixo,կզակ
16,Kiefer[Anatomie]::N,maxila,ծնոտ
17,Kiefer[Anatomie]::N,mandíbula,ծնոտ
18,Kehle::N,garganta,կոկորդ
19,Hals::N,colo,վիզ
20,Hals::N,colo,պարանոց
21,Hals::N,pescoço,վիզ
22,Hals::N,pescoço,պարանոց
23,Genick::N,nuca,ծոծրակ
24,Kopf::N,cabeça,գլուխ
25,Rücken::N,dorso,մեջք
26,Rücken::N,costas,մեջք
27,Bauch::N,ventre,փոր
28,Bauch::N,ventre,որովայն
29,Bauch::N,barriga,փոր
30,Bauch::N,barriga,որովայն
31,Nabel::N,umbigo,պորտ
32,Busen::N,seio,ծոց
33,Brust::N,peito,կուրծք
34,Schulter::N,ombro,ուս
35,Arm::N,braço,թեւ
36,Arm::N,braço,բազուկ
37,Ellenbogen::N,cotovelo,արմունկ
38,Hand::N,mão,ձեռք
39,Handfläche::N,palma,ափ
40,Handfläche::N,palma da mão,ափ
41,Finger::N,dedo,մատ
42,Fingernagel::N,unha,եղունգ
43,Nagel[Anatomie]::N,unha,եղունգ
44,Zeh::N,dedo do pé,ոտքի մատ
45,Fuß::N,pé,ոտք
46,Ferse::N,calcanhar,գարշապար
47,Knie::N,joelho,ծունկ
48,Oberschenkel::N,coxa,ազդր
49,Bein::N,perna,ոտք
50,Körper::N,corpo,մարմին
51,Haut::N,pele,մաշկ
52,Blut::N,sangue,արյուն
53,Ader::N,veia,երակ
54,Sehne::N,tendão,ջիղ
55,Sehne::N,tendão,ձգտան
56,Knochen::N,osso,ոսկոր
57,Gehirn::N,cérebro,խելք
58,Herz::N,coração,սիրտ
59,Magen::N,estômago,ստամոքս
60,Leber::N,fígado,լյարդ
61,Atem::N,fôlego,շունչ
62,Hunger::N,fome,քաղց
63,Träne::N,lágrima,արտասուք
64,Geschmack::N,gosto,համ
65,Geschmack::N,gosto,բուրմունք
66,Geruch::N,odor,հոտ
67,Geruch::N,odor,բուրում
68,Geruch::N,cheiro,հոտ
69,Geruch::N,cheiro,բուրում
70,Schlaf::N,sono,քուն
71,Traum::N,sonho,երազ
72,Himmel::N,céu,երկինք
73,Sonne::N,sol,արեւ
74,Mond::N,lua,լուսին
75,Stern::N,estrela,աստղ
76,Luft::N,ar,օդ
77,Wind::N,vento,քամի
78,Welle::N,onda,ալիք
79,Wasser::N,água,ջուր
80,Stein::N,pedra,քար
81,Boden::N,solo,գետին
82,Erde::N,terra,հող
83,Staub::N,pó,փոշի
84,Rauch::N,fumo,ծուխ
85,Funke::N,faísca,կայծ
86,Funke::N,centelha,կայծ
87,Feuer::N,fogo,կրակ
88,Feuer::N,fogo,հրդեհ
89,Licht::N,luz,լույս
90,Schatten::N,sombra,ստվեր
91,Wetter::N,tempo,եղանակ
92,Nebel::N,nevoeiro,մեգ
93,Nebel::N,nevoeiro,մառախուղ
94,Wolke::N,nuvem,ամպ
95,Regen::N,chuva,անձրև
96,Schnee::N,neve,ձյուն
97,Eis::N,gelo,սառույց
98,Frost::N,gelo,սառնամանիք
99,Frost::N,geada,սառնամանիք
100,Kälte::N,frio,դող
101,Hitze::N,ardor,շոգ
102,Raureif::N,geada,ցօղեղեամ
103,Regenbogen::N,arco-iris,ծիածան
104,Donner::N,trovão,որոտ
105,Strömung::N,corrente,հոսանք
106,Tropfen::N,gota,կաթիլ
107,Schaum::N,espuma,փրփուր
108,Schmutz::N,sujidade,կեղտ
109,Schmutz::N,imundície,կեղտ
110,See::N,lago,լիճ
111,Sumpf::N,charco,ճահիճ
112,Sumpf::N,pântano,ճահիճ
113,Moor::N,pântano,ճահիճ
114,Wiese::N,prado,մարգագետին
115,Wald::N,bosque,անտառ
116,Wald::N,floresta,անտառ
117,Hügel::N,colina,բլուր
118,Anhöhe::N,alto,բարձունք
119,Anhöhe::N,outeiro,բարձունք
120,Berg::N,monte,լեռ
121,Berg::N,montanha,լեռ
122,Gipfel::N,pico,գագաթ
123,Gipfel::N,pico,կատար
124,Höhle::N,caverna,քարայր
125,Abhang::N,encosta,լանջ
126,Abhang::N,encosta,զառիվայր
127,Quelle::N,fonte,աղբյուր
128,Bach::N,regato,վտակ
129,Bach::N,ribeiro,վտակ
130,Fluss::N,rio,գետ
131,Ufer::N,beira,ծովափ
132,Küste::N,costa,ափ
133,Küste::N,costa,ծովափ
134,Festland::N,terra firme,ցամաք
135,Meer::N,mar,ծով
136,Bucht::N,baía,հաչիւն
137,Insel::N,ilha,վղզի
138,Blume::N,flor,ծաղիկ
139,Gras::N,erva,խոտ
140,Wurzel::N,raiz,արմատ
141,Baum::N,árvore,ծառ
142,Stamm::N,tronco,իրան
143,Rinde::N,casca,կեղեւ
144,Rinde::N,casca,հաչոց
