,Concept_ID,ga,de
0,Auge::N,súil,Auge
1,Ohr::N,cluas,Ohr
2,Nase::N,soc,Nase
3,Mund::N,béal,Mund
4,Zahn::N,fiacail,Zahn
5,Zunge::N,teanga,Zunge
6,Lippe::N,liopa,Lippe
7,Wange::N,grua,Wange
8,Wange::N,leiceann,Wange
9,Gesicht::N,éadan,Gesicht
10,Gesicht::N,aghaidh,Gesicht
11,Stirn::N,baithis,Stirn
12,Stirn::N,clár éadain,Stirn
13,Haar::N,gruaig,Haar
14,Schnurrbart::N,croiméal,Schnurrbart
15,Bart::N,féasóg,Bart
16,Kinn::N,smig,Kinn
17,Kiefer[Anatomie]::N,giall,Kiefer
18,Kehle::N,scornach,Kehle
19,Hals::N,muinéal,Hals
20,Genick::N,baic,Genick
21,Kopf::N,ceann,Kopf
22,Rücken::N,droim,Rücken
23,Bauch::N,bolg,Bauch
24,Nabel::N,imleacán,Nabel
25,Busen::N,cíoch,Busen
26,Brust::N,brollach,Brust
27,Schulter::N,gualainn,Schulter
28,Arm::N,lámh,Arm
29,Ellenbogen::N,uillinn,Ellenbogen
30,Hand::N,lámh,Hand
31,Handfläche::N,bos,Handfläche
32,Finger::N,méar,Finger
33,Fingernagel::N,ionga,Fingernagel
34,Nagel[Anatomie]::N,ionga,Nagel
35,Zeh::N,ladhar,Zeh
36,Fuß::N,cos,Fuß
37,Fuß::N,troigh,Fuß
38,Ferse::N,sáil,Ferse
39,Knie::N,glúin,Knie
40,Oberschenkel::N,ceathrú,Oberschenkel
41,Bein::N,cos,Bein
42,Körper::N,corp,Körper
43,Körper::N,colainn,Körper
44,Haut::N,cneas,Haut
45,Haut::N,craiceann,Haut
46,Blut::N,fuil,Blut
47,Sehne::N,teannán,Sehne
48,Sehne::N,féitheog,Sehne
49,Knochen::N,cnámh,Knochen
50,Gehirn::N,inchinn,Gehirn
51,Herz::N,croí,Herz
52,Magen::N,bolg,Magen
53,Magen::N,goile,Magen
54,Leber::N,ae,Leber
55,Atem::N,anáil,Atem
56,Hunger::N,ocras,Hunger
57,Träne::N,deoir,Träne
58,Geschmack::N,blas,Geschmack
59,Geruch::N,boladh,Geruch
60,Schlaf::N,suan,Schlaf
61,Schlaf::N,codladh,Schlaf
62,Traum::N,taibhreamh,Traum
63,Himmel::N,spéir,Himmel
64,Sonne::N,grian,Sonne
65,Mond::N,ré,Mond
66,Mond::N,gealach,Mond
67,Stern::N,rinn,Stern
68,Stern::N,réalta,Stern
69,Luft::N,aer,Luft
70,Wind::N,gaoth,Wind
71,Welle::N,tonn,Welle
72,Wasser::N,uisce,Wasser
73,Stein::N,cloch,Stein
74,Boden::N,talamh,Boden
75,Erde::N,cré,Erde
76,Erde::N,ithir,Erde
77,Staub::N,dusta,Staub
78,Staub::N,deannach,Staub
79,Rauch::N,toit,Rauch
80,Rauch::N,deatach,Rauch
81,Funke::N,drithle,Funke
82,Feuer::N,tine,Feuer
83,Licht::N,solas,Licht
84,Schatten::N,scáth,Schatten
85,Wetter::N,aimsir,Wetter
86,Nebel::N,ceo,Nebel
87,Wolke::N,néal,Wolke
88,Wolke::N,scamall,Wolke
89,Regen::N,báisteach,Regen
90,Regen::N,fearthainn,Regen
91,Schnee::N,sneachta,Schnee
92,Eis::N,oighear,Eis
93,Frost::N,sioc,Frost
94,Kälte::N,fuacht,Kälte
95,Hitze::N,teas,Hitze
96,Hitze::N,teocht,Hitze
97,Raureif::N,sioc bán,Raureif
98,Regenbogen::N,stua ceatha,Regenbogen
99,Regenbogen::N,bogha báistí,Regenbogen
100,Donner::N,toirneach,Donner
101,Strömung::N,sruth,Strömung
102,Tropfen::N,deoir,Tropfen
103,Schaum::N,cúr,Schaum
104,Schmutz::N,salachar,Schmutz
105,See::N,loch,See
106,Sumpf::N,portach,Sumpf
107,Moor::N,caorán,Moor
108,Moor::N,móinteán,Moor
109,Wiese::N,cluain,Wiese
110,Wiese::N,móinéar,Wiese
111,Wald::N,coill,Wald
112,Wald::N,foraois,Wald
113,Hügel::N,ard,Hügel
114,Anhöhe::N,ard,Anhöhe
115,Anhöhe::N,ardán,Anhöhe
116,Berg::N,sliabh,Berg
117,Gipfel::N,barr,Gipfel
118,Gipfel::N,mullach,Gipfel
119,Höhle::N,uaimh,Höhle
120,Höhle::N,pluais,Höhle
121,Abhang::N,fána,Abhang
122,Quelle::N,foinse,Quelle
123,Bach::N,sruthán,Bach
124,Fluss::N,abhainn,Fluss
125,Ufer::N,bruach,Ufer
126,Küste::N,cósta,Küste
127,Küste::N,cladach,Küste
128,Festland::N,míntír,Festland
129,Meer::N,muir,Meer
130,Meer::N,farraige,Meer
131,Bucht::N,bá,Bucht
132,Bucht::N,cuan,Bucht
133,Insel::N,inis,Insel
134,Insel::N,oileán,Insel
135,Blume::N,bláth,Blume
136,Gras::N,féar,Gras
137,Wurzel::N,rúta,Wurzel
138,Wurzel::N,fréamh,Wurzel
139,Baum::N,crann,Baum
140,Stamm::N,stoc,Stamm
141,Stamm::N,tamhan,Stamm
142,Rinde::N,coirt,Rinde
143,Rinde::N,craiceann,Rinde
144,Ast::N,géag,Ast
145,Zweig::N,géag,Zweig
146,Zweig::N,craobh,Zweig
147,Blatt::N,duille,Blatt
148,Blatt::N,duilleog,Blatt
149,Birke::N,beith,Birke
150,Birke::N,crann beithe,Birke
151,Kiefer[Baum]::N,péine,Kiefer
152,Weide[Baum]::N,saileach,Weide
153,Tanne::N,giúis,Tanne
154,Horn::N,adharc,Horn
155,Feder::N,cleite,Feder
156,Fell::N,clúmh,Fell
157,Flügel::N,eite,Flügel
158,Flügel::N,sciathán,Flügel
159,Klaue::N,crúb,Klaue
160,Klaue::N,crobh,Klaue
161,Kralle::N,crobh,Kralle
162,Schwanz::N,eireaball,Schwanz
163,Ei::N,ubh,Ei
164,Nest::N,nead,Nest
165,Bau::N,brocais,Bau
