,Concept_ID,fa,it
0,Auge::N,چشم,occhio
1,Ohr::N,گوش,orecchio
2,Nase::N,بینی,naso
3,Mund::N,دهان,bocca
4,Zahn::N,دندان,dente
5,Zunge::N,زبان,lingua
6,Lippe::N,لب,labbro
7,Wange::N,لپ,guancia
8,Gesicht::N,رو,viso
9,Gesicht::N,رو,faccia
10,Gesicht::N,چهره,viso
11,Gesicht::N,چهره,faccia
12,Stirn::N,پیشانی,fronte
13,Haar::N,مو,capello
14,Schnurrbart::N,سبیل,baffi
15,Schnurrbart::N,سبیل,mustacchi
16,Bart::N,ریش,barba
17,Kinn::N,چانه,mento
18,Kiefer[Anatomie]::N,فک,mascella
19,Kiefer[Anatomie]::N,آرواره,mascella
20,Kehle::N,حلق,gola
21,Hals::N,گردن,collo
22,Genick::N,پشت گردن,nuca
23,Kopf::N,سر,capo
24,Kopf::N,سر,testa
25,Kopf::N,کله,capo
26,Kopf::N,کله,testa
27,Rücken::N,پشت,dorso
28,Rücken::N,پشت,schiena
29,Bauch::N,شکم,ventre
30,Nabel::N,ناف,ombelico
31,Busen::N,پستان,seno
32,Brust::N,سینه,petto
33,Schulter::N,دوش,spalla
34,Schulter::N,شانه,spalla
35,Arm::N,بازو,braccio
36,Ellenbogen::N,آرنج,gomito
37,Hand::N,دست,mano
38,Handfläche::N,کف دست,palma
39,Finger::N,انگشت,dito
40,Fingernagel::N,ناخن دست,unghia
41,Nagel[Anatomie]::N,ناخن,unghia
42,Zeh::N,انگشت پا,dito del piede
43,Fuß::N,پا,piede
44,Ferse::N,پاشنه,tallone
45,Ferse::N,پاشنه,calcagno
46,Knie::N,زانو,ginocchio
47,Oberschenkel::N,ران,fèmore
48,Bein::N,پا,gamba
49,Bein::N,لنگ,gamba
50,Körper::N,تن,corpo
51,Körper::N,بدن,corpo
52,Haut::N,پوست,pelle
53,Blut::N,خون,sangue
54,Ader::N,رگ,vena
55,Sehne::N,زردپی,tèndine
56,Knochen::N,استخوان,osso
57,Gehirn::N,مخ,cervello
58,Gehirn::N,مغز,cervello
59,Herz::N,دل,cuore
60,Herz::N,قلب,cuore
61,Magen::N,معده,stòmaco
62,Leber::N,کبد,fegato
63,Atem::N,نفس,fiato
64,Atem::N,نفس,respiro
65,Hunger::N,گرسنگی,fame
66,Träne::N,اشک,làcrima
67,Geschmack::N,مزه,gusto
68,Geschmack::N,مزه,sapore
69,Geruch::N,بو,odore
70,Schlaf::N,خواب,sonno
71,Traum::N,رؤیا,sogno
72,Himmel::N,فلک,cielo
73,Himmel::N,آسمان,cielo
74,Sonne::N,آفتاب,sole
75,Sonne::N,خورشید,sole
76,Mond::N,ماه,luna
77,Stern::N,ستاره,stella
78,Luft::N,هوا,aria
79,Wind::N,باد,vento
80,Welle::N,موج,onda
81,Wasser::N,آب,acqua
82,Stein::N,سنگ,sasso
83,Stein::N,سنگ,pietra
84,Boden::N,زمین,suolo
85,Boden::N,زمین,terreno
86,Erde::N,خاک,terra
87,Erde::N,زمین,terra
88,Staub::N,گرد,polvere
89,Staub::N,غبار,polvere
90,Rauch::N,دود,fumo
91,Funke::N,جرقه,scintilla
92,Feuer::N,آتش,fuoco
93,Licht::N,نور,luce
94,Licht::N,روشنی,luce
95,Schatten::N,سایه,ombra
96,Wetter::N,هوا,tempo
97,Nebel::N,مه,nebbia
98,Wolke::N,ابر,nube
99,Wolke::N,ابر,nùvola
100,Regen::N,باران,pioggia
101,Schnee::N,برف,neve
102,Eis::N,یخ,ghiaccio
103,Frost::N,یخبندان,gelo
104,Kälte::N,سرما,freddo
105,Hitze::N,گرما,caldo
106,Hitze::N,گرما,calura
107,Hitze::N,حرارت,caldo
108,Hitze::N,حرارت,calura
109,Raureif::N,برف ریزه,brina
110,Regenbogen::N,رنگین‌کمان,arcobaleno
111,Donner::N,رعد,tuono
112,Strömung::N,جریان,corrente
113,Tropfen::N,قطره,goccia
114,Schaum::N,کف,spuma
115,Schaum::N,کف,schiuma
116,Schmutz::N,گل,sudiciume
117,Schmutz::N,کثافت,sudiciume
118,See::N,دریاچه,lago
119,Sumpf::N,مرداب,palude
120,Sumpf::N,باتلاق,palude
121,Moor::N,باتلاق,torbiera
122,Wiese::N,چمن,prato
123,Wald::N,جنگل,bosco
124,Wald::N,جنگل,foresta
125,Hügel::N,تل,colle
126,Hügel::N,تل,collina
127,Hügel::N,تپه,colle
128,Hügel::N,تپه,collina
129,Anhöhe::N,بلندی,altura
130,Berg::N,کوه,monte
131,Berg::N,کوه,montagna
132,Gipfel::N,قله,cima
133,Höhle::N,غار,grotta
134,Höhle::N,غار,caverna
