,Concept_ID,lbe,ml
0,Auge::N,я,കണ്ണ്
1,Ohr::N,вичӏи,ചെവി
2,Nase::N,май,മൂക്ക്
3,Mund::N,кьацӏ,വായ
4,Zahn::N,ккарччи,പല്ല്
5,Zunge::N,маз,നാക്ക്
6,Lippe::N,мурччи,ചുണ്ട്
7,Wange::N,чӏав,കവിൾത്തടം
8,Gesicht::N,лажин,മുഖം
9,Stirn::N,ненттабакӏ,നെറ്റി
10,Haar::N,чӏара,തലമുടി
11,Schnurrbart::N,ссирссилтту,മീശ
12,Bart::N,чӏири,താടിരോമം
13,Kinn::N,лунттубакӏ,താടി
14,Kiefer[Anatomie]::N,ххинчулул,താടിയെല്ല്
15,Kehle::N,кьакьари,കണ്ഠനാളം
16,Hals::N,ссурссу,കഴുത്ത്
17,Genick::N,махъабакӏ,പിടലി
18,Kopf::N,бакӏ,തല
19,Rücken::N,ттиликӏ,മുതുക്
20,Bauch::N,лякьа,നയറ്
21,Nabel::N,цӏумуккутӏ,നാഭി
22,Busen::N,ккукку,സ്തനം
23,Brust::N,хъазам,സ്തനം
24,Schulter::N,хъачӏ,തോൾ
25,Arm::N,ка,കൈ
26,Ellenbogen::N,ссюрхъ,കൈമുട്ട്
27,Hand::N,бартка,കൈ
28,Handfläche::N,хъат,ഉള്ളം കൈ
29,Handfläche::N,битӏянхъ,ഉള്ളം കൈ
30,Finger::N,кӏисса,വിരൽ
31,Fingernagel::N,михь,നഖം
32,Nagel[Anatomie]::N,михь,നഖം
33,Zeh::N,кӏисса,കാൽവിരൽ
34,Fuß::N,чӏанччан,കാൽപ്പാദം
35,Ferse::N,никъа,ഉപ്പൂറ്റി
36,Knie::N,ник,കാൽമുട്ട്
37,Oberschenkel::N,жира,തുട
38,Bein::N,ччан,കാൽ
39,Körper::N,чурх,ശരീരം
40,Haut::N,бурчу,ചർമ്മം
41,Blut::N,оь,രക്തം
42,Ader::N,тунну,ഞരമ്പ്
43,Sehne::N,хьхьа,സ്നായു
44,Knochen::N,ттаркӏ,അസ്ഥി
45,Gehirn::N,ня,തലച്ചോറ്
46,Herz::N,дакӏ,ഹൃദയം
47,Herz::N,къюкӏ,ഹൃദയം
48,Magen::N,лякьа,വയർ
49,Atem::N,ссихӏ ласаву,ശ്വാസം
50,Atem::N,ссихӏ бигьаву,ശ്വാസം
51,Hunger::N,ккаши,വിശപ്പ്
52,Träne::N,макь,കണ്ണീർ
53,Geschmack::N,тӏин,രുചി
54,Geschmack::N,тӏааьн,രുചി
55,Geruch::N,кьанкь,ഗന്ധം
56,Schlaf::N,шану,ഉറകും
57,Traum::N,макӏру,സ്വപ്നം
58,Himmel::N,ссав,ആകാശം
59,Sonne::N,баргъ,സൂര്യൻ
60,Mond::N,барз,ചന്ദ്രൻ
61,Stern::N,цӏуку,നക്ഷത്രം
62,Luft::N,гьава,കാറ്റ്
63,Wind::N,марч,കാറ്റ്
64,Welle::N,щатӏи,തിരമാല
65,Wasser::N,щин,വെള്ളം
66,Stein::N,чару,ശില
67,Stein::N,чару,കല്ല്
68,Boden::N,аьрщи,തറ
69,Boden::N,аьрщи,നിലം
70,Erde::N,аьрщи,മണ്ണ്
71,Staub::N,ххит,പൊടി
72,Rauch::N,пуркӏу,പുക
73,Funke::N,пиягь,തീപ്പൊരി
74,Feuer::N,цӏу,തീ
75,Licht::N,чани,വിളക്ക്
76,Licht::N,чани,സൂര്യപ്രകാശം
77,Schatten::N,ххют,തണൽ
78,Wetter::N,гьава,കാലാവസ്ഥ
79,Nebel::N,шархь ттурлу,മൂടൽമഞ്ഞ്
80,Wolke::N,ттурлу,മേഘം
81,Regen::N,гъарал,മഴ
82,Schnee::N,марххала,മഞ്ഞ്
83,Eis::N,микӏ,ഐസ്
84,Frost::N,дяркъу,മൂടൽമഞ്ഞ്
85,Frost::N,замгьар,മൂടൽമഞ്ഞ്
86,Kälte::N,дяркъу,തണുപ്പ്
87,Hitze::N,кӏиришиву,ചൂട്
88,Raureif::N,сил,കോടമഞ്ഞ്
89,Raureif::N,бурса,കോടമഞ്ഞ്
90,Regenbogen::N,ссурул ккуртта,മഴവില്ല്
91,Donner::N,къув,ഇടി
92,Strömung::N,экьинанаву,പ്രവാഹം
93,Tropfen::N,кӏунтӏ,തുള്ളി
94,Schaum::N,хьама,നുര
95,Schmutz::N,кьяркьи,അഴുക്ക്
96,See::N,бяр,തടാകം
97,Sumpf::N,кунцӏа,ചതുപ്പുനിലം
98,Wiese::N,кьан,പുൽത്തകിടി
99,Wald::N,вацӏа,വനം
100,Wald::N,вацӏа,കാട്
101,Hügel::N,бакӏу,കുന്ന്
102,Berg::N,зунтту,പർവ്വതം
103,Gipfel::N,мицӏ,ഉച്ചകോടി
104,Höhle::N,нух,ഗുഹ
105,Abhang::N,сун,ചരിവ്
106,Quelle::N,дайдихьу,ഉറവിടം
107,Quelle::N,бакӏ,ഉറവിടം
108,Bach::N,чӏрир нех,അരുവി
109,Fluss::N,нех,നദി
110,Ufer::N,зума,തീരം
111,Küste::N,зумаинхалу,കടൽത്തീരം
112,Küste::N,зуманицӏалу,കടൽത്തീരം
113,Festland::N,кьири,കര
114,Meer::N,хьхьири,കടൽ
115,Insel::N,жазира,ദ്വീപ്
116,Blume::N,тӏутӏи,പൂവ്
117,Gras::N,уртту,പുല്ല്
118,Wurzel::N,мархха,വേര്
119,Baum::N,мурхь,മരം
120,Stamm::N,ттарцӏ,തായ്ത്തടി
121,Rinde::N,ккамара,പട്ട
122,Ast::N,матӏи,ശാഖ
123,Zweig::N,къяртта,ശാഖ
124,Blatt::N,чӏапӏи,ഇല
125,Birke::N,кӏялахӏи,പൂവരശ്
126,Birke::N,кӏялахӏилул мурхь,പൂവരശ്
127,Kiefer[Baum]::N,ттар,പൈൻമരം
128,Kiefer[Baum]::N,ттарлил мурхь,പൈൻമരം
129,Weide[Baum]::N,щавщи,വില്ലോ
130,Tanne::N,ттарлил мурхь,ദേവദാരു
