,Concept_ID,eu,udm
0,Auge::N,begi,син
1,Ohr::N,belarri,пель
2,Nase::N,sudur,ныр
3,Mund::N,aho,ым
4,Zahn::N,hortz,пинь
5,Zunge::N,mihi,кыл
6,Lippe::N,ezpain,ымдур
7,Wange::N,masail,бам
8,Gesicht::N,aurpegi,ымныр
9,Stirn::N,bekoki,кымес
10,Haar::N,ile,йырси
11,Haar::N,bilo,йырси
12,Schnurrbart::N,bibote,мыйык
13,Schnurrbart::N,sudurpeko,мыйык
14,Bart::N,bizar,туш
15,Kinn::N,kokots,ангес
16,Kiefer[Anatomie]::N,masailezur,ан
17,Kiefer[Anatomie]::N,masailezur,анлы
18,Kehle::N,eztarri,гульым
19,Hals::N,sama,чырты
20,Genick::N,garondo,йырбер
21,Kopf::N,buru,йыр
22,Rücken::N,bizkar,мыш
23,Bauch::N,sabel,кӧт
24,Nabel::N,zilbor,гогы
25,Busen::N,titi,ноны
26,Busen::N,ugatz,ноны
27,Brust::N,bular,мӧля
28,Schulter::N,besaburu,пельпум
29,Arm::N,beso,суй
30,Ellenbogen::N,ukondo,гырпум
31,Hand::N,esku,ки
32,Handfläche::N,ahur,ки пыдэс
33,Handfläche::N,ahur,кырым пыдэс
34,Finger::N,hatz,чиньы
35,Fingernagel::N,azazkal,гижы
36,Fingernagel::N,azazkal,гиждӥнь
37,Nagel[Anatomie]::N,azazkal,гижы
38,Zeh::N,behatz,пыдчиньы
39,Fuß::N,oin,пыд
40,Ferse::N,orpo,пыдбер
41,Ferse::N,oinburu,пыдбер
42,Knie::N,belaun,пыдес
43,Oberschenkel::N,izter,макес
44,Bein::N,zango,пыд
45,Körper::N,soin,мугор
46,Körper::N,soin,вылтыр
47,Haut::N,azal,ку
48,Blut::N,odol,вир
49,Ader::N,zain,вирсэр
50,Sehne::N,gihar-zain,вуж
51,Knochen::N,hezur,лы
52,Gehirn::N,garun,вим
53,Gehirn::N,burmuin,вим
54,Herz::N,bihotz,сюлэм
55,Magen::N,urdail,ӝуш
56,Leber::N,gibel,мус
57,Atem::N,hats,лул
58,Atem::N,hats,шокан
59,Atem::N,arnasa,лул
60,Atem::N,arnasa,шокан
61,Hunger::N,gose,кӧтсюман
62,Träne::N,malko,синкыли
63,Geschmack::N,dasta,шӧм
64,Geruch::N,usain,зын
65,Schlaf::N,lo,вӧт
66,Traum::N,amets,уйвӧт
67,Himmel::N,zeru,ин
68,Sonne::N,eguzki,шунды
69,Mond::N,ilargi,толэзь
70,Stern::N,izar,кизили
71,Luft::N,aire,омыр
72,Wind::N,haize,тӧл
73,Welle::N,uhin,тулкым
74,Welle::N,olatu,тулкым
75,Wasser::N,ur,ву
76,Stein::N,harri,из
77,Boden::N,lur,музъем
78,Boden::N,zoru,музъем
79,Erde::N,lur,му
80,Staub::N,hauts,пыль
