,Concept_ID,ka,ku
0,Auge::N,თვალი,çav
1,Ohr::N,ყური,guh
2,Nase::N,ცხვირი,bêvil
3,Mund::N,პირი,dev
4,Zahn::N,კბილი,didan
5,Zunge::N,ენა,ziman
6,Lippe::N,ბაგე,lêv
7,Wange::N,ლოყა,dêm
8,Wange::N,ლოყა,hinarik
9,Gesicht::N,სახე,rû
10,Stirn::N,შუბლი,enî
11,Haar::N,თმა,por
12,Schnurrbart::N,ულვაში,simbêl
13,Bart::N,წვერი,rih
14,Kinn::N,ნიკაპი,zenî
15,Kiefer[Anatomie]::N,ყბა,arguşk
16,Kehle::N,ყელი,qirik
17,Hals::N,ყელი,stû
18,Hals::N,ყელი,qirik
19,Hals::N,კისერი,stû
20,Hals::N,კისერი,qirik
21,Genick::N,კეფა,stû
22,Kopf::N,თავი,serî
23,Rücken::N,ზურგი,pişt
24,Bauch::N,მუცელი,ûr
25,Bauch::N,მუცელი,zik
26,Nabel::N,ჭიპი,navik
27,Busen::N,ძუძუ,sîng
28,Brust::N,მკერდი,sîng
29,Schulter::N,მხარი,mil
30,Schulter::N,მკლავი,mil
31,Arm::N,ხელი,çepil
32,Ellenbogen::N,იდაყვი,enîşk
33,Hand::N,ხელი,dest
34,Handfläche::N,ნები,kefadest
35,Handfläche::N,ხელისგული,kefadest
36,Finger::N,თითი,tilî
37,Fingernagel::N,ფრჩხილი,neynuk
38,Nagel[Anatomie]::N,ფრჩხილი,bizmar
39,Zeh::N,ფეხის თითი,tilî linga
40,Fuß::N,ტერფი,ling
41,Fuß::N,ფეხისგული,ling
42,Ferse::N,ქუსლი,pahnî
43,Knie::N,მუხლი,kabok
44,Oberschenkel::N,ბარძაყი,rahn
45,Bein::N,ფეხი,çip
46,Körper::N,ტანი,laş
47,Körper::N,ტანი,gowde
48,Körper::N,სხეული,laş
49,Körper::N,სხეული,gowde
50,Haut::N,კანი,çerm
51,Blut::N,სისხლი,xwîn
52,Ader::N,ძარღვი,reh
53,Sehne::N,მყესი,reh
54,Knochen::N,ძვალი,hestî
55,Gehirn::N,ტვინი,mêjî
56,Herz::N,გული,dil
57,Magen::N,კუჭი,navêş
58,Leber::N,ღვიძლი,kezeb
59,Atem::N,სუნთქვა,hilm
60,Hunger::N,შიმშილი,birçîtî
61,Träne::N,ცრემლი,hêstir
62,Geschmack::N,გემო,tam
63,Geruch::N,სუნი,bêhn
64,Schlaf::N,ძილი,xew
65,Traum::N,სიზმარი,xewn
66,Himmel::N,ცა,ezman
67,Sonne::N,მზე,roj
68,Mond::N,მთვარე,heyv
69,Stern::N,ვარსკვლავი,stêrk
70,Luft::N,ჰაერი,ba
71,Wind::N,ქარი,ba
72,Welle::N,ტალღა,şewl
73,Wasser::N,წყალი,av
74,Stein::N,ქვა,kevir
75,Boden::N,მიწა,herd
76,Erde::N,ნიადაგი,ax
77,Staub::N,მტვერი,toz
78,Rauch::N,ბოლი,dû
79,Rauch::N,კვამლი,dû
80,Funke::N,ნაკვესი,çirûşk
81,Feuer::N,ცეცხლი,agir
82,Licht::N,შუქი,ronahî
83,Licht::N,სინათლე,ronahî
84,Schatten::N,ლანდი,sî
85,Schatten::N,ჩრდილი,sî
86,Wetter::N,ამინდი,hewa
87,Nebel::N,ნისლი,mij
88,Wolke::N,ღრუბელი,ewr
89,Regen::N,წვიმა,baran
90,Schnee::N,თოვლი,berf
91,Eis::N,თოში,qeşa
92,Eis::N,ყინული,qeşa
93,Frost::N,ყინვა,xûsik
94,Kälte::N,სიცივე,serma
95,Hitze::N,სიცხე,germayî
96,Raureif::N,ჭირხლი,şext
97,Raureif::N,თრთვილი,şext
98,Regenbogen::N,ცისარტყელა,heftreng
99,Donner::N,ქუხილი,gire-gir
100,Strömung::N,დინება,şewl
101,Tropfen::N,წვეთი,dilop
102,Schaum::N,ქაფი,kef
103,Schaum::N,დორბლი,kef
104,Schmutz::N,ჭუჭყი,gemar
105,Schmutz::N,ტალახი,gemar
106,See::N,ტბა,gol
107,Sumpf::N,ჭაობი,hezek
108,Moor::N,ტორფნარი,mafêl
109,Wiese::N,ველი,sûrik
110,Wiese::N,მდელო,sûrik
111,Wald::N,ტყე,çiya
112,Wald::N,ტყე,daristan
113,Hügel::N,ბორცვი,gir
114,Anhöhe::N,მაღლობი,sere gir
115,Berg::N,მთა,kaş
116,Gipfel::N,მწვერვალი,sere gir
