,Concept_ID,kn,is
0,Auge::N,ಕಣ್ಣು,auga
1,Ohr::N,ಕಿವಿ,eyra
2,Nase::N,ಮೂಗು,nef
3,Mund::N,ಬಾಯಿ,munnur
4,Zahn::N,ಹಲ್ಲು,tönn
5,Zunge::N,ನಾಲಿಗೆ,tunga
6,Lippe::N,ತುಟಿ,vör
7,Wange::N,ಗಲ್ಲ,kinn
8,Wange::N,ಗಲ್ಲ,vangi
9,Gesicht::N,ಮುಖ,andlit
10,Stirn::N,ಹಣೆ,enni
11,Haar::N,ಕೂದಲು,hár
12,Schnurrbart::N,ಮೀಸೆ,yfirskegg
13,Bart::N,ಗಡ್ಡ,skegg
14,Kinn::N,ಗದ್ದ,haka
15,Kiefer[Anatomie]::N,ದವಡೆ,kjálki
16,Kiefer[Anatomie]::N,ದವಡೆ,skoltur
17,Kehle::N,ಗಂಟಲು,kverk
18,Hals::N,ಕೊರಳು,háls
19,Genick::N,ಹಿಂಗತ್ತು,hnakki
20,Kopf::N,ತಲೆ,höfuð
21,Rücken::N,ಬೆನ್ನು,hryggur
22,Bauch::N,ಹೊಟ್ಟೆ,kviður
23,Nabel::N,ಹೊಕ್ಕುಳು,nafli
24,Busen::N,ಸ್ತನ,barmur
25,Brust::N,ಎದೆ,brjóst
26,Schulter::N,ಭುಜ,öxl
27,Arm::N,ತೋಳು,armur
28,Ellenbogen::N,ಮೊಣಕೈ,olnbogi
29,Hand::N,ಕೈ,hönd
30,Handfläche::N,ಅಂಗೈ,lófi
31,Finger::N,ಕೈಬೆರಳು,fingur
32,Fingernagel::N,ಉಗುರು,fingurnögl
33,Nagel[Anatomie]::N,ಉಗುರು,nögl
34,Zeh::N,ಕಾಲ್ಬೆರಳು,tá
35,Fuß::N,ಪಾದ,fótur
36,Ferse::N,ಹಿಮ್ಮಡಿ,hæll
37,Knie::N,ಮಂಡಿ,kné
38,Oberschenkel::N,ತೊಡೆ,læri
39,Bein::N,ಕಾಲು,fótleggur
40,Körper::N,ದೇಹ,búkur
41,Körper::N,ದೇಹ,líkami
42,Haut::N,ಚರ್ಮ,húð
43,Haut::N,ಚರ್ಮ,skinn
44,Blut::N,ರಕ್ತ,blóð
45,Ader::N,ನರ,æð
46,Sehne::N,ನರ,sin
47,Knochen::N,ಮೂಳೆ,bein
48,Gehirn::N,ಮಿದುಳು,heili
49,Herz::N,ಹೃದಯ,hjarta
50,Magen::N,ಉದರ,magi
51,Leber::N,ಯಕೃತ್ತು,lifur
52,Atem::N,ಉಸಿರು,andi
53,Atem::N,ಉಸಿರು,andardráttur
54,Hunger::N,ಹಸಿವು,hungur
55,Träne::N,ಕಣ್ಣೀರು,tár
56,Geschmack::N,ರುಚಿ,smekkur
57,Geruch::N,ವಾಸನೆ,lykt
58,Schlaf::N,ನಿದ್ರೆ,svefn
59,Traum::N,ಕನಸು,draumur
60,Himmel::N,ಬಾನು,himinn
61,Sonne::N,ಸೂರ್ಯ,sól
62,Mond::N,ಚಂದ್ರ,tungl
63,Stern::N,ಚುಕ್ಕಿ,stjarna
64,Luft::N,ವಾಯು,loft
65,Wind::N,ಗಾಳಿ,vindur
66,Welle::N,ಅಲೆ,alda
67,Welle::N,ಅಲೆ,bylgja
68,Wasser::N,ನೀರು,vatn
69,Stein::N,ಕಲ್ಲು,steinn
70,Boden::N,ನೆಲ,botn
71,Erde::N,ಭೂಮಿ,jörð
72,Staub::N,ದೂಳು,ryk
73,Staub::N,ದೂಳು,duft
74,Rauch::N,ಹೊಗೆ,reykur
75,Funke::N,ಕಿಡಿ,neisti
76,Feuer::N,ಬೆಂಕಿ,eldur
77,Licht::N,ಬೆಳಕು,ljós
78,Schatten::N,ನೆರಳು,skuggi
79,Wetter::N,ಹವ,veður
80,Nebel::N,ಮಂಜು,þoka
81,Wolke::N,ಮೋಡ,ský
82,Regen::N,ಮಳೆ,regn
83,Schnee::N,ಹಿಮ,snjór
84,Eis::N,ಮಂಜುಗಡ್ಡೆ,ís
85,Frost::N,ಮಂಜು,frost
86,Kälte::N,ಹಿಮ,kuldi
87,Hitze::N,ಉಷ್ಣ,hiti
88,Raureif::N,ಇಬ್ಬನಿ,hrím
89,Regenbogen::N,ಇಂದ್ರಚಾಪ,regnbogi
90,Donner::N,ಗುಡುಗು,þruma
91,Strömung::N,ಪ್ರವಾಹ,straumur
92,Tropfen::N,ತೊಟ್ಟು,dropi
93,Schaum::N,ನೊರೆ,froða
94,Schmutz::N,ಕಸ,óhreinindi
95,See::N,ಸರೋವರ,stöðuvatn
96,Sumpf::N,ಜೌಗುಸ್ಥಳ,fen
97,Moor::N,ಬಂಜರು ಭೂಮಿ,mýri
98,Wiese::N,ಹುಲ್ಲುಗಾವಲು,engi
99,Wald::N,ಕಾಡು,skógur
100,Hügel::N,ಗುಡ್ಡೆ,hæð
101,Hügel::N,ಗುಡ್ಡೆ,hóll
102,Anhöhe::N,ದಿಬ್ಬ,hæð
103,Anhöhe::N,ದಿಬ್ಬ,hóll
104,Berg::N,ಮಲೆ,fell
105,Berg::N,ಮಲೆ,fjall
106,Berg::N,ಪರ್ವತ,fell
107,Berg::N,ಪರ್ವತ,fjall
108,Gipfel::N,ಶೃಂಗ,tindur
109,Höhle::N,ಗುಹೆ,hellir
110,Abhang::N,ಇಳಿಜಾರು,hlíð
111,Abhang::N,ಇಳಿಜಾರು,brekka
112,Quelle::N,ಮೂಲ,lind
113,Quelle::N,ಮೂಲ,uppspretta
114,Bach::N,ತೊರೆ,lækur
115,Fluss::N,ನದಿ,á
116,Fluss::N,ನದಿ,fljót
117,Ufer::N,ತೀರ,árbakki
118,Ufer::N,ತೀರ,sjávarbakki
119,Küste::N,ದಂಡೆ,strönd
120,Festland::N,ಭೂಮಿ,meginland
121,Meer::N,ಕಡಲು,haf
122,Meer::N,ಕಡಲು,sjór
123,Bucht::N,ಖಾರಿ,vík
124,Insel::N,ದ್ವೀಪ,eyja
125,Blume::N,ಸುಮ,blóm
126,Gras::N,ಹುಲ್ಲು,gras
127,Wurzel::N,ಬೇರು,rót
128,Baum::N,ಮರ,tré
129,Stamm::N,ಕಾಂಡ,stofn
130,Rinde::N,ತೂಗಟಿ,börkur
131,Ast::N,ಶಾಖೆ,grein
132,Zweig::N,ರೆಂಬೆ,angi
133,Zweig::N,ರೆಂಬೆ,kvistur
134,Blatt::N,ಎಲೆ,blað
135,Birke::N,ಬರ್ಚ್ ಮರ,birki
136,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,fura
137,Weide[Baum]::N,ವಿಲೋಮರ,víðir
138,Tanne::N,ಭದ್ರದಾರು,greni
139,Horn::N,ಕೊಂಬು,horn
140,Feder::N,ಪುಕ್ಕ,fjöður
141,Fell::N,ರೋಮ,skinn
142,Flügel::N,ರೆಕ್ಕೆ,vængur
143,Klaue::N,ಪಂಜ,kló
144,Kralle::N,ಉಗುರು,kló
145,Schwanz::N,ಬಾಲ,rófa
146,Schwanz::N,ಬಾಲ,skott
147,Ei::N,ಮೊಟ್ಟೆ,egg
148,Nest::N,ಗೂಡು,hreiður
149,Bau::N,ಅಡಗುದಾಣ,greni
150,Bau::N,ಅಡಗುದಾಣ,bæli
151,Tier::N,ಪ್ರಾಣಿ,dýr
152,Herde::N,ಗುಂಪು,hjörð
153,Kuh::N,ಹಸು,kýr
154,Bulle::N,ಗೂಳಿ,boli
155,Pferd::N,ಕುದುರೆ,hestur
156,Schaf::N,ಕುರಿ,kind
157,Schwein::N,ಹಂದಿ,svín
158,Hund::N,ನಾಯಿ,hundur
159,Katze::N,ಬೆಕ್ಕು,köttur
160,Bär::N,ಕರಡಿ,björn
161,Eichhörnchen::N,ಉಡುತೆ,íkorni
162,Elch::N,ಕಡವೆ,elgur
163,Fuchs::N,ನರಿ,refur
164,Hase::N,ಮೊಲ,héri
165,Maus::N,ಇಲಿ,mús
166,Wolf::N,ತೋಳ,úlfur
167,Vogel::N,ಪಕ್ಷಿ,fugl
168,Schwarm::N,ಗುಂಪು,sægur
169,Huhn::N,ಚಿಕ್,hæna
170,Hahn::N,ಹುಂಜ,hani
171,Gans::N,ವರಟೆ,gæs
172,Adler::N,ಗರುಡ,örn
173,Ente::N,ಬಾತು,önd
174,Eule::N,ಗೂಬೆ,uggla
175,Kranich::N,ಕೊಕ್ಕರ,trana
176,Krähe::N,ಕಾಗೆ,kráka
177,Kuckuck::N,ಕೋಗಿಲೆ,gaukur
178,Schwan::N,ಹಂಸಪಕ್ಷಿ,svanur
179,Fisch::N,ಮೀನು,fiskur
180,Barsch::N,ಪರ್ಚ್ ಮೀನು,aborri
181,Hecht::N,ಪೈಕ್ ಮೀನು,gedda
182,Schlange[Tier]::N,ಹಾವು,naðra
183,Wurm::N,ಹುಳು,ormur
184,Spinne::N,ಊರ್ಣನಾಭ,kónguló
185,Ameise::N,ಇರುವೆ,maur
186,Laus::N,ಹೇನು,lús
187,Mücke::N,ಸೊಳ್ಳೆ,mý
188,Mücke::N,ಸೊಳ್ಳೆ,mýfluga
189,Fliege::N,ನೊಣ,fluga
190,Schmetterling::N,ಪತಂಗ,fiðrildi
191,Beere::N,ನಯವಣ್ಣು,ber
192,Apfel::N,ಸೇಬು,epli
193,Pilz::N,ಅಣಬೆ,sveppur
194,Zwiebel::N,ನೀರುಳ್ಳಿ,laukur
195,Saat::N,ಬಿತ್ತ,fræ
196,Saat::N,ಬಿತ್ತ,útsæði
197,Korn::N,ಬೀಜ,korn
198,Heu::N,ಕರಡ,hey
199,Schale::N,ಹೊಟ್ಟು,hýði
200,Grube::N,ಗುಂಡಿ,gryfja
201,Falle::N,ಬೋನು,gildra
202,Schlinge::N,ಉರುಲು,snara
203,Spur::N,ಜಾಡು,spor
204,Asche::N,ಬೂದಿ,aska
205,Dreck::N,ಹೊಲಸು,óþverri
206,Eisen::N,ಕಬ್ಬಿಣ,járn
207,Gold::N,ಚಿನ್ನ,gull
208,Silber::N,ಬೆಳ್ಳಿ,silfur
209,Kohle::N,ಕಲ್ಲಿದ್ದಲು,kol
210,Glas::N,ಗಾಜು,gler
211,Lehm::N,ಜೇಡಿಮಣ್ಣು,leir
212,Sand::N,ಮರಳು,sandur
213,Mensch::N,ಪುರುಷ,maður
214,Mensch::N,ಪುರುಷ,manneskja
215,Mann::N,ಆಳು,maður
216,Mann::N,ಆಳು,karlmaður
217,Frau::N,ಹೆಣ್ಣು,kona
218,Kind::N,ಮಗು,barn
219,Kind::N,ಮಗು,krakki
220,Junge::N,ಹುಡುಗ,drengur
221,Mädchen::N,ಹುಡುಗಿ,stelpa
222,Familie::N,ಕುಟುಂಬ,fjölskylda
223,Großvater::N,ಅಜ್ಜ,afi
224,Großmutter::N,ಅಮ್ಮ,amma
225,Eltern::N,ಹೆತ್ತವರು,foreldrar
226,Vater::N,ತಂದೆ,faðir
227,Mutter::N,ಅಮ್ಮ,móðir
228,Sohn::N,ಮಗ ,sonur
229,Tochter::N,ಮಗಳು,dóttir
230,Bruder::N,ತಮ್ಮ,bróðir
231,Schwester::N,ತಂಗಿ,systir
232,Onkel::N,ಸೋದರಮಾವ,föðurbróðir
233,Onkel::N,ದೊಡ್ಡಪ್ಪ,föðurbróðir
234,Tante::N,ಚಿಕ್ಕಮ್ಮ,frænka
235,Tante::N,ಚಿಕ್ಕಮ್ಮ,móðursystir
236,Ehemann::N,ಗಂಡ,eiginmaður
237,Ehefrau::N,ಹೆಂಡತಿ,eiginkona
238,Freude::N,ನಲಿವು,gleði
239,Gelächter::N,ನಗೆ,hlátur
240,Glück::N,ಆನಂದ,gæfa
241,Kummer::N,ದುಃಖ,sorg
242,Wunsch::N,ಬಯಕೆ,ósk
243,Lust::N,ಇಷ್ಟ,fýsn
244,Lust::N,ಇಷ್ಟ,löngun
245,Geist::N,ಆತ್ಮ,andi
246,Gedanke::N,ಯೋಚನೆ,hugsun
247,Gedächtnis::N,ಸ್ಮರಣೆ,minni
248,Verstand::N,ಮನಸ್ಸು,vit
249,Sinn::N,ಅರ್ಥ,merking
250,Grund::N,ಕಾರಣ,ástæða
251,Wahrheit::N,ಸತ್ಯ,sannleikur
252,Gespräch::N,ಸಂಭಾಷಣೆ,samtal
253,Märchen::N,ಸುಳ್ಳು ಕಥೆ,ævintýri
254,Erzählung::N,ಕಥೆ,saga
255,Nachricht::N,ಸಂದೇಶ,frétt
256,Neuigkeit::N,ಸುದ್ದಿ,frétt
257,Name::N,ಹೆಸರು,nafn
258,Rätsel::N,ಒಗಟು,gáta
259,Rede::N,ಮಾತು,ræða
260,Sprache::N,ಭಾಷೆ,mál
261,Sprache::N,ಭಾಷೆ,tungumál
262,Stimme::N,ಧ್ವನಿ,rödd
263,Wort::N,ಮಾತು,orð
264,Zeichen::N,ಗುರುತು,tákn
265,Zeichen::N,ಗುರುತು,merki
266,Ruf::N,ಕೂಗು,kall
267,Lärm::N,ಸದ್ದು,hávaði
268,Laut::N,ಶಬ್ದ,hljóð
269,Ton::N,ನಾದ,tónn
270,Lied::N,ಗಾನ,ljóð
271,Lied::N,ಗಾನ,söngur
272,Ruhe::N,ಶಾಂತಿ,ró
273,Ruhe::N,ಶಾಂತಿ,kyrrð
274,Leute::N,ಮಂದಿ,fólk
275,Volk::N,ಜನಾಂಗ,þjóð
276,Arbeit::N,ಕೆಲಸ,vinna
277,Gast::N,ಅತಿಥಿ,gestur
278,Geschenk::N,ಕಾಣಿಕೆ,gjöf
279,Spiel::N,ಆಟ,leikur
280,Gesellschaft::N,ಸಂಗ,selskapur
281,Hilfe::N,ಸಹಾಯ,hjálp
282,Freund::N,ಸ್ನೇಹಿತ,vinur
283,Kamerad::N,ಜೊತೆಗಾರ,félagi
284,Angelegenheit::N,ವಿಚಾರ,mál
285,Angelegenheit::N,ವಿಚಾರ,málefni
286,Anzahl::N,ಎಣಿಕೆ,tala
287,Anzahl::N,ಎಣಿಕೆ,fjöldi
288,Art::N,ತರ,tegund
289,Stück::N,ತುಂಡು,biti
290,Stück::N,ತುಂಡು,stykki
291,Teil::N,ಭಾಗ,hluti
292,Teil::N,ಭಾಗ,partur
293,Hälfte::N,ಅರ್ಧ,helmingur
294,Kreis::N,ವೃತ್ತ,hringur
295,Kreuz::N,ಶಿಲುಬೆ,kross
296,Kreuz::N,ಶಿಲುಬೆ,krossmark
297,Linie::N,ರೀಖೆ,lína
298,Strich::N,ಗೀಟು,strik
299,Abstand::N,ಅಂತರ,millibil
300,Entfernung::N,ದೂರ,fjarlægð
301,Gegend::N,ವಿಸ್ತೀರ್ಣ,hérað
302,Platz::N,ಅಂತರ,pláss
303,Ort::N,ಸ್ಥಳ,staður
304,Seite::N,ಪಕ್ಷ,hlið
305,Mitte::N,ನಡು,miðja
306,Gegenstand::N,ವಸ್ತು,hlutur
307,Sache::N,ವಸ್ತು,mál
308,Rand::N,ಅಂಚು,brún
309,Kante::N,ಅಂಚು,rönd
310,Ecke::N,ಮೂಲೆ,horn
311,Spitze::N,ತುದಿ,oddur
312,Ende::N,ಕೊನೆ,endi
313,Loch::N,ತೂತು,gat
314,Loch::N,ತೂತು,hola
315,Winkel::N,ಕೋನ,skot
316,Winkel::N,ಕೋನ,krókur
317,Muster::N,ನಮೂನೆ,munstur
318,Größe::N,ಪ್ರಮಾಣ,stærð
319,Länge::N,ಉದ್ದ,lengd
320,Höhe::N,ಎತ್ತರ,hæð
321,Gewicht::N,ತೂಕ,vigt
322,Gewicht::N,ತೂಕ,þyngd
323,Menge::N,ಮೊತ್ತ,magn
324,Haufen::N,ರಾಶಿ,hrúga
325,Haufen::N,ರಾಶಿ,haugur
326,Reihe::N,ಸಾಲು,röð
327,Boot::N,ದೋಣಿ,bátur
328,Ruder::N,ಹುಟ್ಟು,ár
329,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,sleði
330,Ski::N,ಜಾರುಪಟ್ಟಿ,skíði
331,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,varðeldur
332,Last::N,ಹೊರೆ,byrði
333,Last::N,ಹೊರೆ,farmur
334,Gang::N,ತಿರುಗಾಟ,ganga
335,Schritt::N,ಹೆಜ್ಜೆ,skref
336,Norden::N,ಉತ್ತರ,norður
337,Süden::N,ದಕ್ಷಿಣ,suður
338,Westen::N,ಪಶ್ಚಿಮ,vestur
339,Osten::N,ಮೂಡಲು,austur
340,Holz::N,ಚೌಬೀನೆ,viður
341,Brett::N,ಹಲಗೆ,fjöl
342,Platte::N,ಹಲಗೆ,flötur
343,Stütze::N,ಆಸರೆ,stoð
344,Stange::N,ಕಂಬ,stöng
345,Stock::N,ಕೋಲು,prik
346,Stock::N,ಕೋಲು,stafur
347,Stab::N,ದೊಣ್ಣೆ,prik
348,Stab::N,ದೊಣ್ಣೆ,stafur
349,Rohr::N,ನಳಿಕೆ,rör
350,Rohr::N,ನಳಿಕೆ,pípa
351,Haus::N,ಮನೆ,hús
352,Heim::N,ಗೃಹ,heimili
353,Ofen::N,ಒಲೆ,ofn
354,Fußboden::N,ನೆಲ,gólf
355,Tisch::N,ಮೇಜು,borð
356,Stuhl::N,ಕುರ್ಚಿ,stóll
357,Wiege::N,ತೊಟ್ಟಿಲು,vagga
358,Bett::N,ಹಾಸಿಗೆ,rúm
359,Bett::N,ಹಾಸಿಗೆ,hvíla
360,Regal::N,ಬೀರು,hilla
361,Kiste::N,ಪಟ್ಟಿಗೆ,kassi
362,Fenster::N,ಕಿಟಕಿ,gluggi
363,Tür::N,ಬಾಗಿಲು,dyr
364,Tür::N,ಬಾಗಿಲು,hurð
365,Tor::N,ಹೆಬ್ಬಾಗಿಲು,hlið
366,Zaun::N,ಬೇಲಿ,girðing
367,Zaun::N,ಬೇಲಿ,limgarður
368,Dach::N,ಮಾಳಿಗೆ,þak
369,Leiter::N,ಏಣಿ,stigi
370,Besen::N,ಪೊರಕೆ,sópur
371,Spaten::N,ಗುದ್ದಲಿ,spaði
372,Schaufel::N,ಸನಿಕೆ,skófla
373,Gabel::N,ಕವಲು,gaffall
374,Löffel::N,ಚಮಚ,skeið
375,Messer::N,ಚಾಕು,hnífur
376,Nagel::N,ಆಣಿ,nögl
377,Netz::N,ಬಲೆ,net
378,Haken::N,ಕೊಂಡಿ,krókur
379,Griff::N,ಹಿಡಿ,tak
380,Schloss::N,ವೀಗ,lás
381,Bild::N,ಚಿತ್ರ,mynd
382,Figur::N,ಆಕಾರ,stytta
383,Puppe::N,ಗೊಂಬೆ,brúða
384,Beutel::N,ಸಂಚಿ,poki
385,Beutel::N,ಸಂಚಿ,baggi
386,Bündel::N,ಕಟ್ಟು,böggull
387,Tasche::N,ಚೀಲ,veski
388,Eimer::N,ಬಾನೆ,fata
389,Deckel::N,ಮುಚ್ಚಳ,lok
390,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,leirtau
391,Sack::N,ಮೂಟೆ,sekkur
392,Tasse::N,ಬಟ್ಟಲು,bolli
393,Topf::N,ಮಡಕೆ,pottur
394,Kessel::N,ಕೆಟಲ್,ketill
395,Essen::N,ಊಟ,matur
396,Nahrung::N,ಆಹಾರ,fæða
397,Speise::N,ಊಟ,réttur
398,Speise::N,ಊಟ,matarréttur
399,Fleisch::N,ಮಾಂಸ,kjöt
400,Getreide::N,ಧಾನ್ಯ,korn
401,Brei::N,ಗಂಜಿ,grautur
402,Brot::N,ರೊಟ್ಟಿ,brauð
403,Scheibe::N,ಹೋಳು,sneið
404,Fett::N,ಕೊಬ್ಬು,fita
405,Butter::N,ಬೆಣ್ಣೆ,smjör
406,Öl::N,ಎಣ್ಣೆ,olía
407,Salz::N,ಉಪ್ಪು,salt
408,Suppe::N,ಎಸರು,súpa
409,Honig::N,ಮಧು,hunang
410,Milch::N,ಹಾಲು,mjólk
411,Tee::N,ಚಹ,te
412,Leder::N,ಚಕ್ಕಳ,skinn
