,Concept_ID,en,ku
0,Auge::N,eye,çav
1,Ohr::N,ear,guh
2,Nase::N,nose,bêvil
3,Mund::N,mouth,dev
4,Zahn::N,tooth,didan
5,Zunge::N,tongue,ziman
6,Lippe::N,lip,lêv
7,Wange::N,cheek,dêm
8,Wange::N,cheek,hinarik
9,Gesicht::N,face,rû
10,Stirn::N,forehead,enî
11,Haar::N,hair,por
12,Schnurrbart::N,moustache,simbêl
13,Bart::N,beard,rih
14,Kinn::N,chin,zenî
15,Kiefer[Anatomie]::N,jaw,arguşk
16,Kehle::N,throat,qirik
17,Hals::N,neck,stû
18,Hals::N,neck,qirik
19,Genick::N,nape,stû
20,Kopf::N,head,serî
21,Rücken::N,back,pişt
22,Rücken::N,spine,pişt
23,Bauch::N,belly,ûr
24,Bauch::N,belly,zik
25,Nabel::N,navel,navik
26,Busen::N,bosom,sîng
27,Brust::N,chest,sîng
28,Brust::N,breast,sîng
29,Schulter::N,shoulder,mil
30,Arm::N,arm,çepil
31,Ellenbogen::N,elbow,enîşk
32,Hand::N,hand,dest
33,Handfläche::N,palm,kefadest
34,Finger::N,finger,tilî
35,Fingernagel::N,fingernail,neynuk
36,Nagel[Anatomie]::N,nail,bizmar
37,Zeh::N,toe,tilî linga
38,Fuß::N,foot,ling
39,Ferse::N,heel,pahnî
40,Knie::N,knee,kabok
41,Oberschenkel::N,thigh,rahn
42,Bein::N,leg,çip
43,Körper::N,body,laş
44,Körper::N,body,gowde
45,Haut::N,skin,çerm
46,Blut::N,blood,xwîn
47,Ader::N,vein,reh
48,Sehne::N,sinew,reh
49,Knochen::N,bone,hestî
50,Gehirn::N,brain,mêjî
51,Herz::N,heart,dil
52,Magen::N,stomach,navêş
53,Leber::N,liver,kezeb
54,Atem::N,breath,hilm
55,Hunger::N,hunger,birçîtî
56,Träne::N,tear,hêstir
57,Geschmack::N,flavour,tam
58,Geschmack::N,flavor,tam
59,Geruch::N,odour,bêhn
60,Geruch::N,odor,bêhn
61,Schlaf::N,sleep,xew
62,Traum::N,dream,xewn
63,Himmel::N,sky,ezman
64,Sonne::N,sun,roj
65,Mond::N,moon,heyv
66,Stern::N,star,stêrk
67,Luft::N,air,ba
68,Wind::N,wind,ba
69,Welle::N,wave,şewl
70,Wasser::N,water,av
71,Stein::N,stone,kevir
72,Boden::N,soil,herd
73,Boden::N,ground,herd
74,Erde::N,earth,ax
75,Staub::N,dust,toz
76,Rauch::N,smoke,dû
77,Funke::N,spark,çirûşk
78,Feuer::N,fire,agir
79,Licht::N,light,ronahî
80,Schatten::N,shadow,sî
81,Wetter::N,weather,hewa
82,Nebel::N,fog,mij
83,Wolke::N,cloud,ewr
84,Regen::N,rain,baran
85,Schnee::N,snow,berf
86,Eis::N,ice,qeşa
87,Frost::N,frost,xûsik
88,Kälte::N,chill,serma
89,Hitze::N,heat,germayî
90,Raureif::N,hoarfrost,şext
91,Regenbogen::N,rainbow,heftreng
92,Donner::N,thunder,gire-gir
93,Strömung::N,current,şewl
94,Tropfen::N,drop,dilop
95,Schaum::N,foam,kef
96,Schmutz::N,dirt,gemar
97,See::N,lake,gol
98,Sumpf::N,swamp,hezek
99,Moor::N,moor,mafêl
100,Wiese::N,meadow,sûrik
101,Wald::N,forest,çiya
102,Wald::N,forest,daristan
103,Hügel::N,hill,gir
104,Anhöhe::N,elevation,sere gir
105,Berg::N,mountain,kaş
106,Gipfel::N,summit,sere gir
107,Höhle::N,cave,şikeft
108,Abhang::N,slope,kaş
109,Quelle::N,source,kanî
110,Bach::N,brook,çem
111,Fluss::N,river,çem
112,Fluss::N,river,rûbar
113,Ufer::N,shore,kevî
114,Küste::N,coast,berav
115,Festland::N,land,bejahî
116,Meer::N,sea,behr
117,Bucht::N,cove,derav
118,Insel::N,island,girav
119,Blume::N,flower,kulînk
120,Gras::N,grass,giha
121,Wurzel::N,root,reh
122,Baum::N,tree,dar
123,Stamm::N,trunk,bavik
124,Rinde::N,bark,qaqil
125,Ast::N,limb,gulî
126,Zweig::N,branch,şax
127,Blatt::N,leaf,pel
128,Birke::N,birch,dara sipî
129,Kiefer[Baum]::N,pine,dara bî
130,Weide[Baum]::N,willow,dara belalûk
131,Tanne::N,fir,merx
132,Horn::N,horn,strô
133,Feder::N,feather,pîrtîk
134,Fell::N,fur,heyar
135,Flügel::N,wing,per
136,Klaue::N,claw,napîk
137,Kralle::N,claw,dinik
138,Kralle::N,claw,dirnax
139,Schwanz::N,tail,dûv
140,Ei::N,egg,hêk
141,Nest::N,nest,hêlîn
