,Concept_ID,ku,he
0,Auge::N,çav,עין
1,Ohr::N,guh,אזן
2,Nase::N,bêvil,אף
3,Nase::N,bêvil,חטם
4,Mund::N,dev,פה
5,Zahn::N,didan,שן
6,Zunge::N,ziman,לשון
7,Lippe::N,lêv,שפה
8,Wange::N,dêm,לחי
9,Wange::N,hinarik,לחי
10,Gesicht::N,rû,פנים
11,Stirn::N,enî,מצח
12,Haar::N,por,שערה
13,Schnurrbart::N,simbêl,שפם
14,Bart::N,rih,זקן
15,Kinn::N,zenî,סנטר
16,Kiefer[Anatomie]::N,arguşk,לסת
17,Kehle::N,qirik,גרון
18,Hals::N,stû,צואר
19,Hals::N,qirik,צואר
20,Genick::N,stû,ערף
21,Kopf::N,serî,ראש
22,Rücken::N,pişt,גב
23,Bauch::N,ûr,בטן
24,Bauch::N,zik,בטן
25,Nabel::N,navik,טבור
26,Busen::N,sîng,שד
27,Brust::N,sîng,חזה
28,Schulter::N,mil,כתף
29,Arm::N,çepil,זרוע
30,Ellenbogen::N,enîşk,מרפק
31,Hand::N,dest,יד
32,Handfläche::N,kefadest,כף יד
33,Finger::N,tilî,אצבע
34,Fingernagel::N,neynuk,צפרן
35,Nagel[Anatomie]::N,bizmar,צפרן
36,Zeh::N,tilî linga,אצבע
37,Fuß::N,ling,רגל
38,Ferse::N,pahnî,עקב
39,Knie::N,kabok,ברך
40,Oberschenkel::N,rahn,ירך
41,Bein::N,çip,רגל
42,Körper::N,laş,גוף
43,Körper::N,gowde,גוף
44,Haut::N,çerm,עור
45,Blut::N,xwîn,דם
46,Ader::N,reh,וריד
47,Sehne::N,reh,גיד
48,Knochen::N,hestî,עצם
49,Gehirn::N,mêjî,מוח
50,Herz::N,dil,לב
51,Magen::N,navêş,קבה
52,Leber::N,kezeb,כבד
53,Atem::N,hilm,נשימה
54,Hunger::N,birçîtî,רעב
55,Träne::N,hêstir,דמעה
56,Geschmack::N,tam,טעם
57,Geruch::N,bêhn,ריח
58,Schlaf::N,xew,שנה
59,Traum::N,xewn,חלום
60,Himmel::N,ezman,שמים
61,Sonne::N,roj,שמש
62,Mond::N,heyv,ירח
63,Stern::N,stêrk,כוכב
64,Luft::N,ba,אויר
65,Wind::N,ba,רוח
66,Welle::N,şewl,גל
67,Wasser::N,av,מים
68,Stein::N,kevir,אבן
69,Boden::N,herd,קרקע
70,Erde::N,ax,אדמה
71,Staub::N,toz,אבק
72,Rauch::N,dû,עשן
73,Funke::N,çirûşk,ניצוץ
74,Feuer::N,agir,אש
75,Licht::N,ronahî,אור
76,Schatten::N,sî,צל
77,Wetter::N,hewa,מזג אויר
78,Nebel::N,mij,ערפל
79,Wolke::N,ewr,ענן
80,Regen::N,baran,גשם
81,Schnee::N,berf,שלג
82,Eis::N,qeşa,קרח
83,Frost::N,xûsik,צנה
84,Kälte::N,serma,קר
85,Hitze::N,germayî,חם
86,Raureif::N,şext,כפור
87,Regenbogen::N,heftreng,קשת
88,Donner::N,gire-gir,רעם
89,Strömung::N,şewl,זרימה
90,Tropfen::N,dilop,טפה
91,Schaum::N,kef,קצף
92,Schmutz::N,gemar,לכלוך
93,See::N,gol,אגם
94,Sumpf::N,hezek,בצה
95,Moor::N,mafêl,בצה
96,Wiese::N,sûrik,מרעה
97,Wald::N,çiya,יער
98,Wald::N,daristan,יער
99,Hügel::N,gir,תל
100,Anhöhe::N,sere gir,מעלה
101,Berg::N,kaş,הר
102,Gipfel::N,sere gir,פסגה
103,Höhle::N,şikeft,מערה
104,Abhang::N,kaş,מדרון
105,Abhang::N,kaş,שפוע
106,Quelle::N,kanî,מעין
107,Bach::N,çem,נחל
108,Fluss::N,çem,נהר
109,Fluss::N,rûbar,נהר
110,Ufer::N,kevî,גדה
111,Küste::N,berav,חוף
112,Festland::N,bejahî,יבשה
113,Meer::N,behr,ים
114,Bucht::N,derav,מפרץ
115,Insel::N,girav,אי
116,Blume::N,kulînk,פרח
117,Gras::N,giha,דשא
118,Wurzel::N,reh,שרש
119,Baum::N,dar,עץ
120,Stamm::N,bavik,גזע
121,Rinde::N,qaqil,קלפת עץ
122,Ast::N,gulî,ענף
123,Zweig::N,şax,ענף
124,Blatt::N,pel,עלה
125,Birke::N,dara sipî,שדר
126,Kiefer[Baum]::N,dara bî,ארן
127,Weide[Baum]::N,dara belalûk,ערבה
128,Tanne::N,merx,אשוח
129,Horn::N,strô,קרן
130,Feder::N,pîrtîk,נוצה
131,Fell::N,heyar,פרוה
132,Flügel::N,per,כנף
133,Klaue::N,napîk,טלף
134,Kralle::N,dinik,טפר
135,Kralle::N,dirnax,טפר
136,Schwanz::N,dûv,זנב
137,Ei::N,hêk,ביצה
138,Nest::N,hêlîn,קן
139,Bau::N,avahî,מחלה
140,Tier::N,heywan,חיה
141,Herde::N,hoz,עדר
142,Kuh::N,çêlek,פרה
143,Bulle::N,ga,פר
144,Pferd::N,hesp,סוס
145,Schaf::N,mîh,כבשה
146,Schwein::N,beraz,חזיר
147,Hund::N,seh,כלב
148,Katze::N,pişîk,חתול
149,Bär::N,hirç,דב
150,Eichhörnchen::N,pilûr,סנאי
151,Elch::N,pazkovî,דישון
152,Fuchs::N,rovî,שועל
153,Hase::N,kîroşk,ארנב
154,Maus::N,mişk,עכבר
155,Wolf::N,gur,זאב
156,Vogel::N,çûk,צפור
157,Schwarm::N,lufik,נחיל
158,Schwarm::N,lufik,להקה
159,Huhn::N,mirîşk,תרנגלת
160,Hahn::N,dîk,תרנגול
161,Gans::N,qaz,אוז
162,Adler::N,eylo,עיט
163,Ente::N,werdek,ברוז
164,Eule::N,bûm,ינשוף
165,Eule::N,kund,ינשוף
166,Kranich::N,quling,עגור
167,Kranich::N,quling,כרוכיה
168,Krähe::N,qijik,עורב
169,Kuckuck::N,pepûk,קוקיה
170,Schwan::N,qû,ברבור
171,Fisch::N,masî,דג
172,Barsch::N,okûn,אוקונוס
173,Hecht::N,mesîyê lûf,זאב הים
174,Schlange[Tier]::N,mar,נחש
175,Wurm::N,kurm,תולעת
176,Spinne::N,pîrê,עכביש
177,Ameise::N,mîro,נמלה
178,Ameise::N,gêrîk,נמלה
179,Laus::N,spi,כנה
180,Mücke::N,mêş,יתוש
181,Fliege::N,mêş,זבוב
182,Schmetterling::N,perperîk,פרפר
183,Beere::N,hirç,ענבה
184,Apfel::N,sêv,תפוח
185,Pilz::N,bîrov,פטריה
186,Zwiebel::N,pîvaz,בצל
187,Saat::N,tov,זרעים
188,Korn::N,dexl,גרעין
189,Heu::N,sap,חציר
190,Schale::N,qaşik,קלפה
191,Grube::N,çahl,בור
192,Grube::N,çahl,שוחה
193,Falle::N,dafik,מלכדת
194,Schlinge::N,dahf,לולאה
195,Spur::N,rêç,עקבה
196,Asche::N,xweli,אפר
197,Dreck::N,gemarî,זהמה
198,Eisen::N,hesing,ברזל
199,Gold::N,zêr,זהב
200,Silber::N,zîv,כסף
201,Kohle::N,komir,פחם
202,Glas::N,qedeh,זכוכית
203,Lehm::N,kelpîç,חרסית
204,Sand::N,qûm,חול
205,Mensch::N,mirov,אדם
206,Mann::N,mêr,איש
207,Mann::N,mêr,גבר
208,Frau::N,jin,אשה
209,Frau::N,jin,גברת
210,Kind::N,zarok,ילד
211,Junge::N,kur,ילד
212,Mädchen::N,keç,נערה
213,Mädchen::N,keçik,נערה
214,Familie::N,malbat,משפחה
215,Großvater::N,bapîr,סבא
216,Großmutter::N,pîrik,סבתא
217,Eltern::N,bavudê,הורים
218,Vater::N,bav,אב
219,Mutter::N,dê,אם
220,Mutter::N,dayik,אם
221,Sohn::N,kur,בן
222,Tochter::N,keç,בת
223,Bruder::N,bira,אח
224,Schwester::N,xweh,אחות
225,Onkel::N,am,דוד
226,Onkel::N,xal,דוד
227,Tante::N,metik,דודה
228,Tante::N,xaltîk,דודה
229,Ehemann::N,mêr,איש
230,Ehemann::N,mêr,בעל
231,Ehefrau::N,kulfet,אשה
232,Freude::N,kêfxweşî,שמחה
233,Gelächter::N,pîrqînî,צחוק
234,Glück::N,bext,אשר
235,Kummer::N,derd,יגון
236,Kummer::N,derd,עגמה
237,Wunsch::N,daxwaz,אחול
238,Wunsch::N,daxwaz,משאלה
239,Wunsch::N,xwestek,אחול
240,Wunsch::N,xwestek,משאלה
241,Lust::N,şewq,חשק
242,Lust::N,şewq,תשוקה
243,Geist::N,aqil,רוח
244,Gedanke::N,fikir,מחשבה
245,Gedächtnis::N,aqil,זכרון
246,Verstand::N,fêm,שכל
247,Sinn::N,aqil,מובן
248,Sinn::N,aqil,משמעות
249,Grund::N,asas,סבה
250,Wahrheit::N,rastî,אמת
251,Gespräch::N,guftûgo,דיון
252,Märchen::N,çirok,אגדה
253,Erzählung::N,çirok,ספור
254,Erzählung::N,vegotin,ספור
255,Nachricht::N,nûçe,ידיעה
256,Neuigkeit::N,hewal,חדשה
257,Name::N,nav,שם
258,Name::N,paşnav,שם
259,Rätsel::N,tiştonek,תעלומה
260,Rede::N,gotar,נאום
261,Rede::N,axavtin,נאום
262,Sprache::N,ziman,לשון
263,Stimme::N,pejn,קול
264,Wort::N,gotin,מלה
265,Zeichen::N,şanek,סימן
266,Ruf::N,hawar,קריאה
267,Lärm::N,xarbalix,רעש
268,Laut::N,deng,הגה
269,Laut::N,hês,הגה
270,Ton::N,awaz,צליל
271,Lied::N,sitran,שיר
272,Ruhe::N,rihetî,שלוה
273,Leute::N,xelk,אנשים
274,Volk::N,xelk,עם
275,Arbeit::N,xebat,עבודה
276,Gast::N,mêvan,אורח
277,Geschenk::N,diyarî,מתנה
278,Spiel::N,lîstik,משחק
279,Gesellschaft::N,komal,חברה
280,Hilfe::N,alîkarî,עזרה
281,Freund::N,heval,חבר
282,Freund::N,heval,ידיד
283,Kamerad::N,heval,רע
284,Angelegenheit::N,pirsgirêk,ענין
285,Anzahl::N,çend,מספר
286,Art::N,çeh,סוג
287,Stück::N,lib,חתיכה
288,Stück::N,parçe,חתיכה
289,Teil::N,parçe,פרק
290,Hälfte::N,nîvî,חצי
291,Kreis::N,çemil,מעגל
292,Kreuz::N,xaç,צלב
293,Linie::N,xezik,קו
294,Strich::N,xezik,קו קצר
295,Abstand::N,dûrahî,מרחק
296,Entfernung::N,dûrahî,מרחק
297,Gegend::N,dever,נוף
298,Platz::N,çih,שטח
299,Ort::N,dever,אתר
300,Ort::N,dever,מקום
301,Seite::N,rûpel,צד
302,Mitte::N,nav,אמצע
303,Mitte::N,nabênê,אמצע
304,Gegenstand::N,tişt,אוביקט
305,Sache::N,tişt,דבר
306,Rand::N,kevî,פרור
307,Kante::N,kevî,קצה
308,Ecke::N,qunç,פנה
309,Spitze::N,derzî,קצה
310,Ende::N,talî,סוף
311,Loch::N,qul,חר
312,Winkel::N,kurnîşk,פנה
313,Muster::N,desen,תבנית
314,Größe::N,mezinî,גדל
315,Länge::N,dirêjahî,ארך
316,Höhe::N,bilindayî,קומה
317,Höhe::N,bilindayî,גבה
318,Gewicht::N,giranî,משקל
319,Menge::N,qas,כמות
320,Haufen::N,lod,ערמה
321,Reihe::N,rêz,רצף
322,Boot::N,kelek,סירה
323,Ruder::N,bêrik,משוט
324,Schlitten::N,xîjik,מזחלת
325,Ski::N,lakan,מגלשים
326,Lagerfeuer::N,agir,מדורה
327,Last::N,bar,משא
328,Gang::N,fîtêz,הליכה
329,Schritt::N,gav,צעד
330,Norden::N,bakur,צפון
331,Süden::N,başur,דרום
332,Westen::N,rojava,מערב
333,Osten::N,rojhilat,מזרח
334,Holz::N,dep,עץ
335,Brett::N,dep,קרש
336,Platte::N,dep,לוח
337,Stütze::N,destek,משען
338,Stange::N,sing,מוט
339,Stock::N,çam,מקל
340,Stab::N,qat,מוט
341,Rohr::N,borî,צנור
342,Haus::N,mal,בית
343,Haus::N,xanî,בית
344,Heim::N,mal,בית
345,Ofen::N,sobe,תנור
346,Fußboden::N,binpê,רצפה
347,Tisch::N,mase,שלחן
348,Stuhl::N,kursî,כסא
349,Wiege::N,derguş,ערש
350,Bett::N,qerewêle,מטה
351,Regal::N,rêbaz,מדף
352,Kiste::N,sindoq,תבה
353,Kiste::N,sindoq,ארגז
354,Fenster::N,çam,חלון
355,Fenster::N,şibeke,חלון
356,Tür::N,derî,דלת
357,Tor::N,derge,שער
358,Zaun::N,hejik,גדר
359,Dach::N,sere xanî,גג
360,Leiter::N,pêling,סלם
361,Besen::N,melkes,מטאטא
362,Spaten::N,mer,את
363,Schaufel::N,bêr,את
