,Concept_ID,ba,av
0,Auge::N,күҙ,
1,Ohr::N,ҡолаҡ,гӏин
2,Nase::N,танау,мегӏер
3,Mund::N,ауыҙ,кӏал
4,Zahn::N,теш,гӏус
5,Zunge::N,тел,мацӏ
6,Lippe::N,ирен,кӏветӏ
7,Wange::N,яцаҡтар,гӏоно
8,Gesicht::N,бит,гьумер
9,Stirn::N,маңлай,нодо
10,Haar::N,сәс,рас
11,Schnurrbart::N,мылтыҡ,михъ
12,Bart::N,һаҡал,мегеж
13,Kinn::N,эйэк,нилъу
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,чанагъ
15,Kehle::N,тамаҡ,щекъер
16,Hals::N,муйын,габур
17,Genick::N,соңҡа,гъванща
18,Kopf::N,баш,бетӏер
19,Rücken::N,арҡа,мугъ
20,Bauch::N,ҡорһаҡ,чехь
21,Nabel::N,кендек,цӏину
22,Busen::N,күкрәк,керен
23,Brust::N,түш,керен
24,Schulter::N,яурын,гъажазубетӏер
25,Arm::N,ҡул,гъеж
26,Ellenbogen::N,терһәк,гӏункӏрукь
27,Hand::N,ҡул,квер
28,Hand::N,ҡул суғы,квер
29,Handfläche::N,ус төбө,огъохъат
30,Handfläche::N,ус төбө,жанисахъат
31,Finger::N,бармаҡ,килищ
32,Fingernagel::N,тырнаҡ,малъ
33,Nagel[Anatomie]::N,тырнаҡ,малъ
34,Zeh::N,бармаҡ,килищ
35,Fuß::N,табан,хӏетӏ
36,Fuß::N,табан,хӏетӏе
37,Ferse::N,үксә,эгъе
38,Knie::N,тубыҡ,наку
39,Oberschenkel::N,сандыр,мачӏ
40,Bein::N,аяҡ,бох
41,Körper::N,тән,къаркъала
42,Haut::N,тире,тӏом
43,Blut::N,ҡан,би
44,Ader::N,тамыр,бидурихь
45,Sehne::N,һеңер,
46,Sehne::N,тарамыш,
47,Knochen::N,һойәк,ракьа
48,Gehirn::N,мейе,гӏадалнах
49,Herz::N,йорәк,ракӏ
50,Magen::N,ашҡаҙан,кванирукъ
51,Leber::N,бауыр,тӏул
52,Atem::N,һулыш,хӏухь
53,Hunger::N,аслыҡ,ракъи
54,Träne::N,күҙ иәше,магӏу
55,Geschmack::N,тәм,тату
56,Geruch::N,еҫ,махӏ
57,Schlaf::N,йоҡлау,макьу
58,Traum::N,төш,макьу
59,Himmel::N,күк,зоб
60,Sonne::N,ҡояш,бакъ
61,Mond::N,ай,моцӏ
62,Stern::N,йондоҙ,цӏва
63,Luft::N,һауа,гьава
64,Wind::N,ел,гьури
65,Welle::N,тулҡын,карачел
66,Wasser::N,һыу,лъим
67,Stein::N,таш,гьецӏо
68,Boden::N,тупраҡ,ракь
69,Erde::N,балсҡ,ракь
70,Erde::N,балсҡ,дуниял
71,Staub::N,туҙан,хӏур
72,Rauch::N,төтөн,кӏкӏуй
73,Funke::N,осҡон,
74,Feuer::N,ут,цӏа
75,Licht::N,яҡтылыҡ,канлъи
76,Schatten::N,күләгә,рагӏад
77,Wetter::N,һауа торошо,гьава-бакъ
78,Nebel::N,төман,гӏодобнакӏкӏ
79,Wolke::N,болот,накӏкӏ
80,Regen::N,ямғыр,цӏад
81,Schnee::N,ҡар,гӏазу
82,Eis::N,боҙ,цӏер
83,Frost::N,һалҡын,замгьари
84,Kälte::N,һыуыҡ,квач
85,Hitze::N,томра,багӏари
86,Hitze::N,эҫелек,багӏари
87,Raureif::N,ҡырау,мартӏ
88,Regenbogen::N,йәйғор,нур
89,Regenbogen::N,йәйғор,чамбара
90,Donner::N,күк күкрәү,гъугъай
91,Donner::N,күк күкрәү,гъугъади
92,Strömung::N,ағым,чвахи
93,Tropfen::N,тамсы,резел
94,Tropfen::N,тамсы,тӏинкӏ
95,Tropfen::N,тамсы,къатӏра
96,Tropfen::N,тамсы,тӏенкӏел
97,Schaum::N,күбек,полоп
98,Schmutz::N,батҡаҡ,чороклъи
99,See::N,күл,хӏор
100,Sumpf::N,һаҙлык,хьуцӏ
101,Moor::N,һаҙ,
102,Wiese::N,болон,мегъ
103,Wiese::N,болон,гӏурдаллъи
104,Wald::N,урман,рохь
105,Hügel::N,түбә,гохӏ
106,Anhöhe::N,түбә,сийитма
107,Anhöhe::N,ҡалҡыулыҡ,сийитма
108,Berg::N,тау,мегӏер
109,Gipfel::N,түбә,тӏогь
110,Höhle::N,мәмерйә,нохъо
111,Abhang::N,ипкен,лабаллъи
112,Quelle::N,шишмә,ицц
113,Bach::N,шишмә,лъар
114,Fluss::N,йылға,гӏор
115,Ufer::N,яр,рагӏал
116,Küste::N,яр буйы,рагӏал
117,Festland::N,ҡоро ер,ракь
118,Festland::N,ҡоро ер,ракъдаллъи
119,Meer::N,диңгез,ралъад
120,Bucht::N,бухта,кӏветӏ
121,Insel::N,үтрау,чӏинкӏиллъи
122,Blume::N,сәскә,тӏегь
123,Gras::N,үлән,хер
124,Wurzel::N,тамыр,кьибил
125,Baum::N,ағас,гъветӏ
126,Stamm::N,олон,рохти
127,Stamm::N,көбәк,рохти
128,Rinde::N,ҡабыҡ,макъар
129,Ast::N,ботаҡ,ноцӏ
130,Zweig::N,ботаҡ,гӏаркьел
131,Zweig::N,тармаҡ,гӏаркьел
132,Blatt::N,япраҡ,тӏамах
133,Birke::N,ҡайын,мах
134,Birke::N,ҡайын,махигъветӏ
135,Kiefer[Baum]::N,ҡарғай,накӏкӏигъветӏ
136,Weide[Baum]::N,тал,рицӏцӏ
137,Weide[Baum]::N,тал,рицӏцӏигъветӏ
138,Tanne::N,шыршы,ёлка
139,Horn::N,мөғөҙ,лълъар
140,Feder::N,ҡауырһын,хӏули
141,Fell::N,тире,тӏом
142,Fell::N,тире,цӏоко
143,Flügel::N,ҡанат,кваркьи
144,Klaue::N,тырнаҡ,галъ
145,Kralle::N,аяҡ,квачӏ
146,Kralle::N,аяҡ,катиквачӏ
147,Schwanz::N,ҡойроҡ,рачӏ
148,Ei::N,йомортҡа,хоно
149,Nest::N,оя,бусен
150,Bau::N,оң,каратӏ
151,Tier::N,жайуан,хӏайван
152,Tier::N,йыртҡыс,хӏайван
153,Herde::N,көтөү,рехъен
154,Herde::N,көтөү,рехъед
155,Kuh::N,һыйыр,гӏака
156,Bulle::N,үгеҙ,оц
157,Pferd::N,ат,чу
158,Schaf::N,һарыҡ,чахъу
159,Schwein::N,сусҡа,болъон
160,Hund::N,эт,гьой
161,Katze::N,бесәй,кету
162,Bär::N,айыу,ци
163,Eichhörnchen::N,тейен,гвангва
164,Elch::N,мышы,
165,Fuchs::N,төлкө,цер
166,Hase::N,ҡуян,гӏанкӏ
167,Maus::N,сысҡан,гӏункӏкӏ
168,Wolf::N,бүре,бацӏ
169,Vogel::N,ҡош,хӏинчӏ
170,Schwarm::N,көтөү,тӏел
171,Huhn::N,тауыҡ,гӏанкӏу
172,Hahn::N,әтәс,хӏелеко
173,Gans::N,ҡаҙ,хъаз
174,Adler::N,бөркөт,цӏум
175,Ente::N,өйрәк,ордек
176,Eule::N,өкө,беццаруз
177,Eule::N,ябалаҡ,беццаруз
178,Kranich::N,торна,къункъра
179,Krähe::N,ҡарға,гъеду
180,Kuckuck::N,кәкүк,гагу
181,Schwan::N,аҡҡош,хӏанкъва
182,Fisch::N,балыҡ,ччугӏа
183,Barsch::N,алабуға,окунь
184,Hecht::N,суртан,щука
185,Schlange[Tier]::N,йылан,борохь
186,Wurm::N,селяүсен,хӏапара
187,Spinne::N,үрмәксе,хъанхъра
188,Ameise::N,ҡырмыҫҡа,цӏунцӏра
189,Laus::N,бет,нацӏ
190,Mücke::N,серәкәй,кӏкӏара
