,Concept_ID,mdf,kv
0,Auge::N,сельме,син
1,Ohr::N,пиле,пель
2,Nase::N,шалхка,ныр
3,Mund::N,курга,ӧм
4,Zahn::N,пей,пинь
5,Zunge::N,кяль,кыв
6,Lippe::N,търва́,тырп
7,Wange::N,щёка,рожабан
8,Gesicht::N,шама,бан
9,Stirn::N,коня,кымӧс
10,Haar::N,шя́ярь,юрси
11,Schnurrbart::N,уса́,уссэз
12,Bart::N,сакал,тош
13,Kinn::N,ула,тшӧка
14,Kiefer[Anatomie]::N,саласка,ан
15,Kehle::N,кълдома,юан
16,Kehle::N,кърга́парь,юан
17,Hals::N,сялдаз,юан
18,Genick::N,шовонь,юр бӧр
19,Kopf::N,пря,юр
20,Rücken::N,копорь,мышк
21,Bauch::N,пеке,кынӧм
22,Nabel::N,по́кон,гӧг
23,Busen::N,потя,морос
24,Brust::N,мяште,морос
25,Schulter::N,лафту,пельпон
26,Arm::N,кядь,ки
27,Ellenbogen::N,кенерьба́карь,гырдзза
28,Hand::N,кядь,кикар
29,Handfläche::N,кядьлапш,ки пыдӧс
30,Finger::N,сур,чунь
31,Fingernagel::N,кенже,гыж
32,Nagel[Anatomie]::N,кенже,гыж
33,Zeh::N,пильгосу́р,чунь
34,Fuß::N,пильге,кокпыдӧс
35,Fuß::N,пильгелапа,кокпыдӧс
36,Ferse::N,кочкяря,кокдзир
37,Knie::N,эль,пидзӧс
38,Knie::N,пълма́нжа,пидзӧс
39,Oberschenkel::N,пильгепукша,лядьбей
40,Bein::N,пильге,кок
41,Körper::N,ро́нга,вывтыр
42,Körper::N,по́нда,вывтыр
43,Haut::N,киське,кучик
44,Blut::N,вер,вир
45,Ader::N,сан,сӧн
46,Ader::N,верза́н,сӧн
47,Sehne::N,коське сан,жила
48,Knochen::N,пакарь,коска
49,Gehirn::N,уй,вем
50,Herz::N,седи,сьӧлӧм
51,Magen::N,коткърдазь,жӧвдӧк
52,Leber::N,макса,мус
53,Atem::N,лекома,лолалӧм
54,Atem::N,ваймонь тарксема,лолалӧм
55,Hunger::N,вачеши,тшыг
56,Träne::N,сельмове́дь,синва
