,Concept_ID,uk,lt
1280,schlagen::V,ударити,mušti
1281,schlagen::V,ударити,smogti
1282,schlagen::V,ударити,trenkti
1283,treten::V,штовхати,mygti
1284,stechen::V,вколоти,gelti
1285,stechen::V,вколоти,smeigti
1286,stoßen::V,штовхнути,stumti
1287,stoßen::V,штовхнути,pastumti
1288,stehlen::V,украсти,vogti
1289,stören::V,перешкодити,trikdyti
1290,belästigen::V,докучати,apsunkinti
1291,verbergen::V,сховати,slėpti
1292,verbergen::V,сховати,paslėpti
1293,täuschen::V,обдурити,klaidinti
1294,betrügen::V,зшахраювати,apgauti
1295,töten::V,убити,žudyti
1296,töten::V,убити,nužudyti
1297,wohnen::V,жити,gyventi
1298,wohnen::V,мешкати,gyventi
1299,arbeiten::V,працювати,dirbti
1300,arbeiten::V,працювати,triūsti
1301,sammeln::V,зібрати,rinkti
1302,pflücken::V,зривати,skinti
1303,pflücken::V,зривати,raškyti
1304,jagen::V,полювати,medžioti
1305,fischen::V,рибалити,žvejoti
1306,fassen::V,піймати,sučiupti
1307,hüten::V,пасти,ganyti
1308,treiben::V,гнати,ginti
1309,anbinden::V,прив’язати,pririšti
1310,füttern::V,годувати,šerti
1311,füttern::V,харчувати,šerti
1312,melken::V,доїти,melžti
1313,hacken::V,рубати,kapoti
1314,gießen::V,полити,lieti
1315,gießen::V,полити,laistyti
1316,reifen::V,дозріти,nokti
1317,reifen::V,дозріти,sirpti
1318,zubereiten::V,зготовити,ruošti
1319,zubereiten::V,зготовити,gaminti
1320,zubereiten::V,приготувати,ruošti
1321,zubereiten::V,приготувати,gaminti
1322,kochen::V,варити,virti
1323,kochen::V,варити,virinti
1324,kochen::V,готувати,virti
1325,kochen::V,готувати,virinti
1326,backen::V,пекти,kepti
1327,braten::V,смажити,kepti
1328,braten::V,смажити,kepinti
1329,umrühren::V,переміщати,maišyti
1330,umrühren::V,переміщати,pamaišyti
1331,stricken::V,в’язати,megzti
1332,nähen::V,шити,siūti
1333,färben::V,пофарбувати,dažyti
1334,färben::V,пофарбувати,nudažyti
1335,reinigen::V,очистити,valyti
1336,reinigen::V,очистити,švarinti
1337,waschen::V,мити,plauti
1338,waschen::V,мити,mazgoti
1339,waschen::V,мити,skalbti
1340,abwischen::V,витерти,nušluostyti
1341,spülen::V,полоскати,plauti
1342,spülen::V,полоскати,skalauti
1343,fegen::V,підмітати,šluoti
1344,kehren::V,мести,šluoti
1345,baden::V,купатися,maudytis
1346,sich waschen::V,митися,praustis
1347,ausziehen::V,зняти,numauti
1348,ausziehen::V,зняти,nuvilkti
1349,anziehen::V,надіти,mauti
1350,anziehen::V,надіти,apsivilkti
1351,sich anziehen::V,одягтися,rengtis
1352,sich anziehen::V,одягтися,apsirengti
1353,sich anziehen::V,одягнутися,rengtis
1354,sich anziehen::V,одягнутися,apsirengti
1355,kämmen::V,зачесати,šukuoti
1356,schmücken::V,оздобити,puošti
1357,schmücken::V,оздобити,dabinti
1358,schmücken::V,оздобити,gražinti
1359,sagen::V,сказати,tarti
1360,sprechen::V,говорити,kalbėti
1361,reden::V,розмовляти,šnekėti
1362,sich unterhalten::V,бесідувати,kalbėtis
1363,sich unterhalten::V,бесідувати,šnekučiuotis
1364,fragen::V,запитати,klausti
1365,bitten::V,просити,prašyti
1366,erzählen::V,розповісти,pasakoti
1367,mitteilen::V,повідомити,skelbti
1368,mitteilen::V,повідомити,pranešti
1369,nennen::V,назвати,vadinti
1370,nennen::V,назвати,vardyti
1371,rufen::V,кликати,šaukti
1372,rufen::V,кликати,kviesti
1373,prahlen::V,хвалитися,girtis
1374,übersetzen::V,перекласти,versti
1375,übersetzen::V,перекласти,išversti
1376,denken::V,думати,galvoti
1377,denken::V,мислити,galvoti
1378,glauben::V,вірити,manyti
1379,glauben::V,вірити,tikėti
1380,bemerken::V,помітити,pamatyti
1381,bemerken::V,помітити,pastebėti
1382,erkennen::V,пізнати,pažinti
1383,erkennen::V,пізнати,atpažinti
1384,begreifen::V,осягнути,suvokti
1385,verstehen::V,почути,suprasti
1386,lernen::V,навчатися,mokytis
1387,wissen::V,знати,žinoti
1388,sich erinnern an::V,пам’ятати,prisiminti
1389,vergessen::V,забути,užmiršti
1390,messen::V,міряти,matuoti
1391,zählen::V,лічити,skaičiuoti
1392,rechnen::V,рахувати,skaičiuoti
1393,lesen::V,читати,skaityti
1394,malen::V,малювати,tapyti
1395,zeichnen::V,рисувати,piešti
1396,zeichnen::V,рисувати,žymėti
1397,zeichnen::V,рисувати,braižyti
1398,schreiben::V,писати,rašyti
1399,besitzen::V,мати,turėti
1400,kaufen::V,купити,pirkti
1401,verkaufen::V,продати,parduoti
1402,bezahlen::V,заплатити,apmokėti
1403,zahlen::V,платити,mokėti
1404,beherrschen::V,володіти,valdyti
1405,ertragen::V,витерпіти,kę̃sti
1406,ertragen::V,витерпіти,pakelti
1407,ertragen::V,витерпіти,iškę̃sti
