,Concept_ID,ps,sq
0,Auge::N,سترګه,sy
1,Ohr::N,غوږ,vesh
2,Nase::N,پوزه,hundë
3,Mund::N,خوله,gojë
4,Zahn::N,غاښ,dhëmb
5,Zunge::N,جبه,gjuhë
6,Lippe::N,شونډه,buzë
7,Wange::N,باړخو,faqe
8,Wange::N,باړخو,mollëz
9,Gesicht::N,مخ,fytyrë
10,Stirn::N,تندی,ballë
11,Stirn::N,وچولی,ballë
12,Haar::N,وېښته,flokë
13,Schnurrbart::N,برېت,mustaqe
14,Bart::N,ږیره,mjekër
15,Kinn::N,زنه,mjekër
16,Kiefer[Anatomie]::N,جامه,nofull
17,Kehle::N,غاړه,fyt
18,Kehle::N,غاړه,grykë
19,Hals::N,غاړه,qafë
20,Genick::N,ورمېږ,arrëz
21,Kopf::N,سر,kokë
22,Rücken::N,شا,kurriz
23,Bauch::N,نس,bark
24,Bauch::N,ګېډه,bark
25,Nabel::N,نوم,kërthizë
26,Busen::N,تی,gji
27,Brust::N,سینه,gjoks
28,Brust::N,سینه,kraharor
29,Schulter::N,اوږه,sup
30,Schulter::N,اوږه,krah
31,Arm::N,لاس,krah
32,Ellenbogen::N,څنګل,bërryl
33,Hand::N,لاس,dorë
34,Handfläche::N,ورغوی,pëllëmbë
35,Finger::N,ګوته,gisht
36,Fingernagel::N,نوک,thua
37,Nagel[Anatomie]::N,نوک,thua
38,Zeh::N,ګوته,gisht i këmbës
39,Fuß::N,پښه,këmbë
40,Ferse::N,پونده,thembër
41,Knie::N,زنګون,gju
42,Oberschenkel::N,پتون,kofshë
43,Bein::N,پښه,këmbë
44,Körper::N,ځان,trup
45,Haut::N,پوټکی,lëkurë
46,Blut::N,وینه,gjak
47,Ader::N,رګ,venë
48,Sehne::N,پله,dell
49,Knochen::N,هډوکی,asht
50,Knochen::N,هډوکی,kockë
51,Gehirn::N,ماغزه,tru
52,Herz::N,زړه,zemër
53,Magen::N,معده,stomak
54,Leber::N,ينه,mëlçi
55,Leber::N,ځیګر,mëlçi
56,Atem::N,نفس,frymë
57,Hunger::N,ولږه,uri
58,Träne::N,اوښکه,lot
59,Geschmack::N,مزه,shije
60,Geschmack::N,خوند,shije
61,Geruch::N,بوی,erë
62,Schlaf::N,خوب,gjumë
63,Traum::N,خوب,ëndërr
