,Concept_ID,se,ba
0,Auge::N,tjelmie,күҙ
1,Auge::N,tjalmme,күҙ
2,Auge::N,čalbmi,күҙ
3,Auge::N,čalme,күҙ
4,Auge::N,čâ´lmm,күҙ
5,Auge::N,ча̄лльм,күҙ
6,Ohr::N,bieljie,ҡолаҡ
7,Ohr::N,biellje,ҡолаҡ
8,Ohr::N,beallji,ҡолаҡ
9,Ohr::N,pelji,ҡолаҡ
10,Ohr::N,pe´llj,ҡолаҡ
11,Ohr::N,пе̄лльй,ҡолаҡ
12,Nase::N,njuenie,танау
13,Nase::N,njunnje,танау
14,Nase::N,njunni,танау
15,Nase::N,njuṇe,танау
16,Nase::N,njuu´nn,танау
17,Nase::N,нюннҍ,танау
18,Mund::N,njaelmie,ауыҙ
19,Mund::N,njálmme,ауыҙ
20,Mund::N,njálbmi,ауыҙ
21,Mund::N,njälmi,ауыҙ
22,Mund::N,njä´lmm,ауыҙ
23,Mund::N,ня̄лльм,ауыҙ
24,Zahn::N,baenie,теш
25,Zahn::N,bádne,теш
26,Zahn::N,bátni,теш
27,Zahn::N,pääṇi,теш
28,Zahn::N,pää´nn,теш
29,Zahn::N,па̄ннҍ,теш
30,Zunge::N,njoektjeme,тел
31,Zunge::N,njuovtjav,тел
32,Zunge::N,njuovčča,тел
33,Zunge::N,njuovčâ,тел
34,Zunge::N,njuhččâm,тел
35,Zunge::N,нюхчем,тел
36,Lippe::N,bangseme,ирен
37,Lippe::N,njálmmerabdda,ирен
38,Lippe::N,bavssa,ирен
39,Lippe::N,poovsâ,ирен
40,Lippe::N,põõus,ирен
41,Lippe::N,пэ̄кс,ирен
42,Wange::N,skiehrie,яцаҡтар
43,Wange::N,nierra,яцаҡтар
44,Wange::N,muohtu,яцаҡтар
45,Wange::N,nieṛâ,яцаҡтар
46,Wange::N,njiõrr,яцаҡтар
47,Wange::N,нӣрр,яцаҡтар
48,Gesicht::N,ååredæjja,бит
49,Gesicht::N,muohto,бит
50,Gesicht::N,muođut,бит
51,Gesicht::N,ámadadju,бит
52,Gesicht::N,muáđuh,бит
53,Gesicht::N,muâđ,бит
54,Gesicht::N,ка̄ссв,бит
55,Stirn::N,gaalloe,маңлай
56,Stirn::N,gállo,маңлай
57,Stirn::N,gállu,маңлай
58,Stirn::N,kállu,маңлай
59,Stirn::N,käll,маңлай
60,Stirn::N,вуэххьц,маңлай
61,Haar::N,voepte,сәс
62,Haar::N,vuoppta,сәс
63,Haar::N,vuokta,сәс
64,Haar::N,vuop'tâ,сәс
65,Haar::N,vuõpt,сәс
66,Haar::N,вӯппт,сәс
67,Schnurrbart::N,bijjie-skaavtjoe,мылтыҡ
68,Schnurrbart::N,njunjevuolskávttjá,мылтыҡ
69,Schnurrbart::N,seamu,мылтыҡ
70,Schnurrbart::N,siämu,мылтыҡ
71,Schnurrbart::N,ää´bben,мылтыҡ
72,Schnurrbart::N,о̄а̄бпан,мылтыҡ
73,Bart::N,skaavtja,һаҡал
74,Bart::N,skaavtjoe,һаҡал
75,Bart::N,skávttjá,һаҡал
76,Bart::N,seamu,һаҡал
77,Bart::N,siämu,һаҡал
78,Bart::N,seäm,һаҡал
79,Bart::N,ся̄м,һаҡал
80,Kinn::N,gaejpie,эйэк
81,Kinn::N,gájbbe,эйэк
82,Kinn::N,gáibi,эйэк
83,Kinn::N,käibi,эйэк
84,Kinn::N,käi´bb,эйэк
85,Kinn::N,ка̄ййп,эйэк
86,Kiefer[Anatomie]::N,gaejpie,яңаҡ һөйәге
87,Kiefer[Anatomie]::N,oalol,яңаҡ һөйәге
88,Kiefer[Anatomie]::N,oaloldákte,яңаҡ һөйәге
89,Kiefer[Anatomie]::N,gáibi,яңаҡ һөйәге
90,Kiefer[Anatomie]::N,uá'lultähti,яңаҡ һөйәге
91,Kiefer[Anatomie]::N,vuâl'lõš,яңаҡ һөйәге
92,Kiefer[Anatomie]::N,вуаллнешш,яңаҡ һөйәге
93,Kehle::N,gealoe,тамаҡ
94,Kehle::N,tjåttå,тамаҡ
95,Kehle::N,njiello,тамаҡ
96,Kehle::N,čotta,тамаҡ
97,Kehle::N,čuudâ,тамаҡ
98,Kehle::N,čoodd,тамаҡ
99,Kehle::N,чонт,тамаҡ
100,Kehle::N,кэ̄ҏс,тамаҡ
101,Hals::N,tjeapohke,муйын
102,Hals::N,tjiebet,муйын
103,Hals::N,čeabet,муйын
104,Hals::N,čiäppát,муйын
105,Hals::N,čeäppat,муйын
106,Hals::N,ча̄пэх,муйын
107,Genick::N,tjovrese,соңҡа
108,Genick::N,nisske,соңҡа
109,Genick::N,niehkki,соңҡа
110,Genick::N,niski,соңҡа
111,Genick::N,niek'ki,соңҡа
112,Genick::N,nji´šǩǩmaadd,соңҡа
113,Genick::N,нышшькмоант,соңҡа
114,Kopf::N,åejjie,баш
115,Kopf::N,oajvve,баш
116,Kopf::N,oaivi,баш
117,Kopf::N,uái'vi,баш
118,Kopf::N,vuei´vv,баш
119,Kopf::N,вуэййв,баш
120,Rücken::N,rudtje,арҡа
121,Rücken::N,hárddo,арҡа
122,Rücken::N,tjavelk,арҡа
123,Rücken::N,sealgi,арҡа
124,Rücken::N,selgi,арҡа
125,Rücken::N,čielgi,арҡа
126,Rücken::N,seä´lǧǧ,арҡа
127,Rücken::N,се̄лльк,арҡа
128,Bauch::N,tjåejjie,ҡорһаҡ
129,Bauch::N,tjoajvve,ҡорһаҡ
130,Bauch::N,čoavji,ҡорһаҡ
131,Bauch::N,čuáv'ji,ҡорһаҡ
132,Bauch::N,čåu´jj,ҡорһаҡ
133,Bauch::N,чо̄ввьй,ҡорһаҡ
134,Nabel::N,naepie,кендек
135,Nabel::N,náhpe,кендек
136,Nabel::N,náhpi,кендек
137,Nabel::N,nääpi,кендек
138,Nabel::N,nää´pp,кендек
139,Nabel::N,на̄бпь,кендек
140,Busen::N,boenge,күкрәк
141,Busen::N,bållå,күкрәк
142,Busen::N,čižži,күкрәк
143,Busen::N,njamma,күкрәк
144,Busen::N,njižže,күкрәк
145,Busen::N,nje´ǯǯ,күкрәк
146,Busen::N,раннҍт,күкрәк
147,Brust::N,mïelke,түш
148,Brust::N,radde,түш
149,Brust::N,mielgga,түш
150,Brust::N,raddi,түш
151,Brust::N,radde,түш
152,Brust::N,râ´dd,түш
153,Brust::N,раннҍт,түш
154,Schulter::N,åelkie,яурын
155,Schulter::N,oalgge,яурын
156,Schulter::N,hárdu,яурын
157,Schulter::N,ärdee,яурын
158,Schulter::N,uál'gi,яурын
159,Schulter::N,a´rddi,яурын
160,Schulter::N,vuä´lǧǧ,яурын
161,Schulter::N,вуэллык,яурын
162,Arm::N,gïete,ҡул
163,Arm::N,giehta,ҡул
164,Arm::N,giehta,ҡул
165,Arm::N,kietâ,ҡул
166,Arm::N,kie'tâkaaṿâ,ҡул
167,Arm::N,ǩiõtt,ҡул
168,Arm::N,кӣдт,ҡул
169,Ellenbogen::N,gernjere,терһәк
170,Ellenbogen::N,garŋŋel,терһәк
171,Ellenbogen::N,gargŋil,терһәк
172,Ellenbogen::N,käŋŋir,терһәк
173,Ellenbogen::N,kõõnjâr,терһәк
174,Ellenbogen::N,карьнэль,терһәк
175,Hand::N,gïete,ҡул
176,Hand::N,gïete,ҡул суғы
177,Hand::N,giehta,ҡул
178,Hand::N,giehta,ҡул суғы
179,Hand::N,giehta,ҡул
180,Hand::N,giehta,ҡул суғы
181,Hand::N,kietâ,ҡул
182,Hand::N,kietâ,ҡул суғы
183,Hand::N,ǩiõtt,ҡул
184,Hand::N,ǩiõtt,ҡул суғы
185,Hand::N,кӣдт,ҡул
186,Hand::N,кӣдт,ҡул суғы
187,Handfläche::N,gïeten-låapoe,ус төбө
188,Handfläche::N,giehtavuodo,ус төбө
189,Handfläche::N,tjårmmåvuodo,ус төбө
190,Handfläche::N,giehtaloahpu,ус төбө
191,Handfläche::N,kiämád,ус төбө
192,Handfläche::N,kuámmir,ус төбө
193,Handfläche::N,kuä´m'mer,ус төбө
194,Handfläche::N,ǩiõttǩeä´m'men,ус төбө
195,Handfläche::N,ко̄а̄ллдэгк,ус төбө
196,Handfläche::N,кӣдткоалдэгк,ус төбө
197,Finger::N,soerme,бармаҡ
198,Finger::N,tjuvdde,бармаҡ
199,Finger::N,suorbma,бармаҡ
200,Finger::N,čuvde,бармаҡ
201,Finger::N,suor'mâ,бармаҡ
202,Finger::N,suõrmm,бармаҡ
203,Finger::N,це̄ххп,бармаҡ
204,Fingernagel::N,gadtse,тырнаҡ
205,Fingernagel::N,guehpere,тырнаҡ
206,Fingernagel::N,gadtsa,тырнаҡ
207,Fingernagel::N,gazza,тырнаҡ
208,Fingernagel::N,kozzâ,тырнаҡ
209,Fingernagel::N,kõʒʒ,тырнаҡ
210,Fingernagel::N,кэ̄ннц,тырнаҡ
211,Nagel[Anatomie]::N,gadtse,тырнаҡ
212,Nagel[Anatomie]::N,guehpere,тырнаҡ
213,Nagel[Anatomie]::N,gadtsa,тырнаҡ
214,Nagel[Anatomie]::N,gazza,тырнаҡ
215,Nagel[Anatomie]::N,kozzâ,тырнаҡ
216,Nagel[Anatomie]::N,kõʒʒ,тырнаҡ
217,Nagel[Anatomie]::N,кэ̄ннц,тырнаҡ
218,Zeh::N,tjiehtjere,бармаҡ
219,Zeh::N,juolggetjuvdde,бармаҡ
220,Zeh::N,juolgesuorbma,бармаҡ
221,Zeh::N,jyel'gisuor'mâ,бармаҡ
222,Zeh::N,jue´lǧǧsuõrmm,бармаҡ
223,Zeh::N,ю̄лльк-це̄һп,бармаҡ
224,Fuß::N,juelkie,табан
225,Fuß::N,juolgge,табан
226,Fuß::N,juolgi,табан
227,Fuß::N,jyel'gi,табан
228,Fuß::N,jue´lǧǧ,табан
229,Fuß::N,ла̄бпь,табан
230,Ferse::N,båetskie,үксә
231,Ferse::N,boasske,үксә
232,Ferse::N,šušmi,үксә
233,Ferse::N,šušme,үксә
234,Ferse::N,jue´lǧǧkädd,үксә
235,Ferse::N,ка̄ннт,үксә
236,Knie::N,boelve,тубыҡ
237,Knie::N,buolvva,тубыҡ
238,Knie::N,čibbi,тубыҡ
239,Knie::N,veaŋki,тубыҡ
240,Knie::N,iidâ,тубыҡ
241,Knie::N,puõlvv,тубыҡ
242,Knie::N,пуллв,тубыҡ
243,Oberschenkel::N,ruaksja,сандыр
244,Oberschenkel::N,tjibbe,сандыр
245,Oberschenkel::N,gassaváhkká,сандыр
246,Oberschenkel::N,badjeváhkáa,сандыр
247,Oberschenkel::N,čuár'bpeeḷi,сандыр
248,Oberschenkel::N,če´bb,сандыр
249,Oberschenkel::N,чуаррбе̄лль,сандыр
250,Bein::N,juelkie,аяҡ
251,Bein::N,juolgge,аяҡ
252,Bein::N,juolgi,аяҡ
253,Bein::N,jyel'gi,аяҡ
254,Bein::N,jue´lǧǧ,аяҡ
255,Bein::N,ю̄лльк,аяҡ
256,Körper::N,kråahpe,тән
257,Körper::N,rumáj,тән
258,Körper::N,rumaš,тән
259,Körper::N,ruumâš,тән
260,Körper::N,rå´pp,тән
261,Körper::N,лышшьк,тән
262,Körper::N,роаӈӈьк,тән
263,Haut::N,njaltja,тире
264,Haut::N,lijkke,тире
265,Haut::N,tjuobma,тире
266,Haut::N,liiki,тире
267,Haut::N,liške,тире
268,Haut::N,le´šǩǩ,тире
269,Haut::N,лышшьк,тире
270,Blut::N,vïrre,ҡан
271,Blut::N,maelie,ҡан
272,Blut::N,varra,ҡан
273,Blut::N,varra,ҡан
274,Blut::N,vorrâ,ҡан
275,Blut::N,võrr,ҡан
276,Blut::N,вэ̄рр,ҡан
277,Ader::N,åerie,тамыр
278,Ader::N,aajroe,тамыр
279,Ader::N,suodna,тамыр
280,Ader::N,varrasuotna,тамыр
281,Ader::N,suoṇâ,тамыр
282,Ader::N,suõnn,тамыр
283,Ader::N,сӯнн,тамыр
284,Sehne::N,soene,һеңер
285,Sehne::N,soene,тарамыш
286,Sehne::N,gåårtenje,һеңер
287,Sehne::N,gåårtenje,тарамыш
