,Concept_ID,vep,no
0,Auge::N,sil'm,øye
1,Ohr::N,korv,øre
2,Nase::N,nena,nese
3,Mund::N,su,munn
4,Zahn::N,pi,tann
5,Zahn::N,hambaz,tann
6,Zunge::N,kel',tunge
7,Lippe::N,hul',leppe
8,Wange::N,modpolišk,kinn
9,Gesicht::N,mod,fjes
10,Gesicht::N,mod,ansikt
11,Stirn::N,oc,panne
12,Haar::N,tuk,hår
13,Haar::N,hibuz,hår
14,Schnurrbart::N,habinod,bart
15,Bart::N,bard,skjegg
16,Kinn::N,löug,hake
17,Kiefer[Anatomie]::N,hambazlu,kjeve
18,Kehle::N,kurk,strupe
19,Hals::N,kagl,hals
20,Genick::N,tagarai,nakke
21,Kopf::N,pä,hode
22,Rücken::N,sel'g,rygg
23,Bauch::N,vac,buk
24,Bauch::N,vac,mage
25,Bauch::N,koht,buk
26,Bauch::N,koht,mage
27,Nabel::N,naba,navle
28,Busen::N,niža,barm
29,Brust::N,rind,bryst
30,Schulter::N,oug,skulder
31,Arm::N,käzi,arm
32,Ellenbogen::N,künambruz,albue
33,Hand::N,käzi,hånd
34,Hand::N,käzitera,hånd
35,Handfläche::N,kämen,håndflate
36,Finger::N,sor'm,finger
37,Fingernagel::N,künz',fingernegl
38,Nagel[Anatomie]::N,künz',negl
39,Zeh::N,barbaz,tå
40,Fuß::N,jaug,fot
41,Ferse::N,kand,hæl
42,Knie::N,komb,kne
43,Knie::N,pol'v,kne
44,Oberschenkel::N,riiže,lår
45,Bein::N,jaug,bein
46,Körper::N,hibj,kropp
47,Körper::N,hibj,legeme
48,Haut::N,nahk,hud
49,Haut::N,nahk,skinn
50,Blut::N,čak,blod
51,Blut::N,veri,blod
52,Ader::N,son',åre
53,Sehne::N,jände,sene
54,Knochen::N,lu,bein
55,Knochen::N,lu,knokkel
56,Gehirn::N,aivod,hjerne
57,Herz::N,südäin,hjerte
58,Magen::N,südäikoht,mage
59,Leber::N,maks,lever
60,Atem::N,hengaiduz,pust
61,Hunger::N,näl'g,sult
62,Träne::N,kündal',tåre
63,Geschmack::N,magu,smak
64,Geruch::N,haju,lukt
65,Schlaf::N,uni,søvn
66,Traum::N,unikuva,drøm
67,Himmel::N,taivaz,himmel
68,Sonne::N,päiväine,sol
69,Mond::N,kudmaine,måne
70,Stern::N,tähtaz,stjerne
71,Luft::N,il'm,luft
72,Wind::N,döl,vind
73,Wind::N,tullei,vind
74,Welle::N,ald,bølge
75,Welle::N,laineh,bølge
76,Wasser::N,vezi,vann
77,Stein::N,kivi,stein
78,Boden::N,ma,bakke
79,Boden::N,pohj,bakke
80,Erde::N,ma,jord
81,Staub::N,pölü,støv
82,Rauch::N,savu,røyk
83,Funke::N,kibin,gnist
84,Feuer::N,lämoi,ild
85,Licht::N,vauktuz,lys
86,Schatten::N,pil'vez,skygge
87,Schatten::N,kuvahaine,skygge
88,Wetter::N,sä,vær
89,Nebel::N,sumeg,tåke
90,Wolke::N,pil'v,sky
91,Regen::N,vihm,regn
92,Schnee::N,lumi,snø
93,Eis::N,jä,is
94,Frost::N,hala,frost
95,Frost::N,pakaine,frost
96,Kälte::N,vilu,kulde
97,Hitze::N,räk,hete
98,Raureif::N,hüde,rimfrost
99,Regenbogen::N,jumalanbembel',regnbue
100,Donner::N,juru,torden
101,Donner::N,jumalanjuru,torden
102,Strömung::N,joksmuz,strømning
103,Tropfen::N,tilkuine,dråpe
104,Schaum::N,vaht,skum
105,Schmutz::N,redu,søl
106,Schmutz::N,redu,skitt
107,Schmutz::N,pačak,søl
108,Schmutz::N,pačak,skitt
109,See::N,järv,sjø
110,Sumpf::N,so,sump
111,Sumpf::N,so,myrlende
112,Moor::N,so,myr
113,Moor::N,so,myrhei
114,Wiese::N,nit,eng
115,Wald::N,mec,skog
116,Hügel::N,kukaz,haug
117,Hügel::N,kukaz,bakke
118,Anhöhe::N,kukaz,haug
119,Anhöhe::N,kukaz,bakke
120,Berg::N,mägi,berg
121,Berg::N,mägi,fjell
122,Gipfel::N,ladv,topp
123,Höhle::N,mägionduz,hule
124,Abhang::N,paute,li
125,Abhang::N,paute,skråning
126,Quelle::N,lähte,kilde
127,Bach::N,oja,bekk
128,Fluss::N,jogi,elv
129,Ufer::N,rand,bredd
130,Küste::N,randišt,kyst
131,Festland::N,kuivma,fastland
132,Meer::N,meri,hav
133,Bucht::N,laht,bukt
134,Insel::N,sar',øy
135,Blume::N,änik,blomst
136,Gras::N,hein,gress
137,Wurzel::N,jur',rot
138,Baum::N,pu,tre
139,Stamm::N,tüvi,stamme
140,Rinde::N,kor',bark
141,Ast::N,oks,gren
142,Zweig::N,oks,kvist
143,Zweig::N,barb,kvist
144,Blatt::N,lehtez,blad
145,Birke::N,koiv,bjørk
146,Kiefer[Baum]::N,pedai,furu
147,Weide[Baum]::N,raid,selje
148,Weide[Baum]::N,raid,piletre
149,Tanne::N,kuz',gran
150,Horn::N,sar'v,horn
151,Feder::N,höuneh,fjær
152,Fell::N,nahk,skinn
153,Flügel::N,suug,vinge
154,Klaue::N,künz',klauv
155,Kralle::N,künz',klo
156,Schwanz::N,händ,hale
157,Ei::N,muna,egg
158,Nest::N,peza,rede
159,Bau::N,uru,hi
160,Tier::N,živat,dyr
161,Herde::N,kogo,flokk
162,Kuh::N,lehm,ku
163,Bulle::N,härg,tyr
164,Pferd::N,hebo,hest
165,Schaf::N,lambaz,får
166,Schwein::N,siga,gris
167,Hund::N,koir,hund
168,Katze::N,kaži,katt
169,Bär::N,kondi,bjørn
170,Eichhörnchen::N,orav,ekorn
171,Elch::N,hirb',elg
172,Fuchs::N,reboi,rev
173,Hase::N,jäniš,hare
174,Maus::N,hir',mus
175,Wolf::N,händikaz,ulv
176,Wolf::N,händikaz,varg
177,Vogel::N,lind,fugl
178,Schwarm::N,parveh,sverm
179,Huhn::N,kana,høne
180,Hahn::N,kukoi,hane
181,Gans::N,hanh',gås
182,Adler::N,orl,ørn
183,Ente::N,sorz,and
184,Eule::N,hir'pulo,ugle
185,Kranich::N,kurg,trane
186,Krähe::N,variš,kråke
187,Kuckuck::N,kägi,gjøk
188,Schwan::N,joucen,svane
189,Fisch::N,kala,fisk
190,Barsch::N,ahven,abbor
191,Hecht::N,haug',gjedde
192,Schlange[Tier]::N,kü,orm
193,Schlange[Tier]::N,kü,slange
194,Schlange[Tier]::N,mado,orm
195,Schlange[Tier]::N,mado,slange
196,Wurm::N,mado,orm
197,Wurm::N,mado,mark
198,Spinne::N,hämähouk,edderkopp
199,Ameise::N,murahaine,maur
200,Laus::N,täi,lus
201,Mücke::N,säs'k,mygg
202,Fliege::N,kärbhaine,flue
203,Schmetterling::N,lipkaine,sommerfugl
204,Beere::N,marj,bær
205,Apfel::N,jablok,eple
206,Pilz::N,sen',sopp
207,Pilz::N,babuk,sopp
208,Zwiebel::N,lauk,løk
209,Saat::N,semned,sæd
210,Korn::N,jüvä,korn
211,Korn::N,vill',korn
212,Heu::N,hein,høy
213,Schale::N,kor',skall
214,Grube::N,kop,grop
215,Falle::N,rida,felle
216,Schlinge::N,rihm,snare
217,Spur::N,jäl'g,spor
218,Asche::N,tuhk,aske
219,Dreck::N,redu,møkk
220,Dreck::N,redu,skitt
221,Dreck::N,pačak,møkk
222,Dreck::N,pačak,skitt
223,Eisen::N,raud,jern
224,Gold::N,kuld,gull
225,Silber::N,hobed,sølv
226,Kohle::N,hil',kol
227,Kohle::N,hil',kull
228,Glas::N,stökol,glass
229,Lehm::N,savi,leire
230,Sand::N,lete,sand
231,Mensch::N,mez',menneske
232,Mensch::N,ristit,menneske
233,Mann::N,mez',mann
234,Frau::N,naine,kvinne
235,Kind::N,laps',barn
236,Junge::N,poig,gutt
237,Junge::N,prihaine,gutt
238,Mädchen::N,neičukaine,pike
239,Mädchen::N,neičukaine,jente
240,Familie::N,kanz,familie
241,Familie::N,pereh,familie
242,Großvater::N,ded,bestefar
243,Großmutter::N,bab,bestemor
244,Eltern::N,vanhembad,foreldre
245,Eltern::N,kazvatajad,foreldre
246,Vater::N,tat,far
247,Mutter::N,mam,mor
248,Sohn::N,poig,sønn
249,Tochter::N,tütär,datter
250,Bruder::N,veik,bror
251,Bruder::N,vell',bror
252,Schwester::N,čiža,søster
253,Schwester::N,sizar,søster
254,Onkel::N,däd',onkel
255,Tante::N,tädi,tante
256,Ehemann::N,mužik,ektemann
257,Ehefrau::N,ak,hustru
258,Freude::N,ilo,glede
259,Freude::N,ihastuz,glede
260,Gelächter::N,nagr,latter
261,Glück::N,oza,lykke
262,Kummer::N,gor'a,sorg
263,Wunsch::N,taht,ønske
264,Lust::N,himo,lyst
265,Geist::N,heng,ånd
266,Gedanke::N,meletuz,tanke
267,Gedächtnis::N,mušt,minne
268,Gedächtnis::N,mušt,hukommelse
269,Verstand::N,mel',forstand
270,Sinn::N,jüvä,mening
271,Sinn::N,jüvä,betydning
272,Grund::N,sü,grunn
273,Wahrheit::N,tozi,sannhet
274,Gespräch::N,lodu,samtale
275,Gespräch::N,pagin,samtale
276,Märchen::N,sarn,eventyr
277,Erzählung::N,sanutez,fortelling
278,Nachricht::N,tedotuz,melding
279,Neuigkeit::N,uzištuz,nyhet
280,Name::N,nimi,navn
281,Rätsel::N,ozoitez,gåte
282,Rede::N,pagin,tale
283,Rede::N,sanad,tale
284,Sprache::N,kel',språk
285,Stimme::N,än',stemme
286,Wort::N,sana,ord
287,Zeichen::N,znam,tegn
288,Ruf::N,kida,rop
289,Ruf::N,kucund,rop
290,Lärm::N,judu,bråk
291,Laut::N,kulund,lyd
292,Ton::N,kulund,tone
293,Lied::N,pajo,vise
294,Ruhe::N,lebu,ro
295,Leute::N,rahvaz,folk
296,Volk::N,rahvaz,folk
297,Arbeit::N,tö,arbeid
298,Arbeit::N,rad,arbeid
299,Gast::N,adiv,gjest
300,Geschenk::N,lahj,gave
301,Spiel::N,vänd,lek
302,Spiel::N,vänd,spill
303,Gesellschaft::N,sebr,selskap
304,Hilfe::N,abu,hjelp
305,Freund::N,sebranik,venn
306,Kamerad::N,sebranik,kamerat
307,Angelegenheit::N,azj,sak
