,Concept_ID,bn,is
0,Auge::N,চক্ষু,auga
1,Ohr::N,কর্ণ,eyra
2,Nase::N,নাক,nef
3,Mund::N,মুখ,munnur
4,Zahn::N,দাঁত,tönn
5,Zunge::N,জিহবা,tunga
6,Lippe::N,অধর,vör
7,Wange::N,গণ্ড,kinn
8,Wange::N,গণ্ড,vangi
9,Gesicht::N,মুখমণ্ডল,andlit
10,Stirn::N,কপাল,enni
11,Haar::N,চুল,hár
12,Schnurrbart::N,গোঁফ,yfirskegg
13,Bart::N,শ্মশ্রু,skegg
14,Kinn::N,চিবুক,haka
15,Kiefer[Anatomie]::N,চোয়াল,kjálki
16,Kiefer[Anatomie]::N,চোয়াল,skoltur
17,Kehle::N,কণ্ঠ,kverk
18,Hals::N,গল,háls
19,Genick::N,ঘাড়,hnakki
20,Kopf::N,মাথা,höfuð
21,Rücken::N,পৃষ্ঠ,hryggur
22,Bauch::N,উদর,kviður
23,Nabel::N,নাভি,nafli
24,Busen::N,স্তন,barmur
25,Brust::N,বুক,brjóst
26,Schulter::N,স্কন্ধ,öxl
27,Arm::N,বাহু,armur
28,Ellenbogen::N,কনুই,olnbogi
29,Hand::N,হাত,hönd
30,Handfläche::N,করতল,lófi
31,Finger::N,আঙ্গুল,fingur
32,Fingernagel::N,হাতের নখ,fingurnögl
33,Nagel[Anatomie]::N,নখ,nögl
34,Zeh::N,আঙ্গুল,tá
35,Fuß::N,পা,fótur
36,Ferse::N,গোড়ালি,hæll
37,Knie::N,হাঁটু,kné
38,Oberschenkel::N,ঊরু,læri
39,Bein::N,পা,fótleggur
40,Körper::N,দেহ,búkur
41,Körper::N,দেহ,líkami
42,Haut::N,ত্বক,húð
43,Haut::N,ত্বক,skinn
44,Blut::N,রক্ত,blóð
45,Ader::N,শিরা,æð
46,Sehne::N,কণ্ডরা,sin
47,Knochen::N,অস্থি,bein
48,Gehirn::N,মস্তিষ্ক,heili
49,Herz::N,হৃৎপিণ্ড,hjarta
50,Magen::N,পাকস্থলী,magi
51,Leber::N,যকৃৎ,lifur
52,Atem::N,শ্বাস,andi
53,Atem::N,শ্বাস,andardráttur
54,Hunger::N,ক্ষুধা,hungur
55,Träne::N,অশ্রু,tár
56,Geschmack::N,স্বাদ,smekkur
57,Geruch::N,গন্ধ,lykt
58,Schlaf::N,ঘুম,svefn
59,Traum::N,স্বপ্ন,draumur
60,Himmel::N,আকাশ,himinn
61,Sonne::N,সূর্য,sól
62,Mond::N,চন্দ্র,tungl
63,Stern::N,নক্ষত্র,stjarna
64,Luft::N,বায়ু,loft
65,Wind::N,বাতাস,vindur
66,Welle::N,ঢেউ,alda
67,Welle::N,ঢেউ,bylgja
68,Welle::N,তরঙ্গ,alda
69,Welle::N,তরঙ্গ,bylgja
70,Wasser::N,জল,vatn
71,Stein::N,ঢিল,steinn
72,Stein::N,প্রস্তর,steinn
73,Boden::N,ভূতল,botn
74,Erde::N,ভূমি,jörð
75,Staub::N,ধুলা,ryk
76,Staub::N,ধুলা,duft
77,Rauch::N,ধোঁয়া,reykur
78,Funke::N,স্ফুলিঙ্গ,neisti
79,Feuer::N,অগ্নি,eldur
80,Licht::N,আলো,ljós
81,Schatten::N,ছায়া,skuggi
82,Wetter::N,আবহাওয়া,veður
83,Nebel::N,কুহেলিকা,þoka
84,Wolke::N,মেঘ,ský
85,Regen::N,বৃষ্টি,regn
86,Schnee::N,তুষার,snjór
87,Eis::N,বরফ,ís
88,Frost::N,তুষার,frost
89,Kälte::N,শৈত্য,kuldi
90,Hitze::N,তাপ,hiti
91,Raureif::N,তুহিন,hrím
92,Regenbogen::N,রামধনু,regnbogi
93,Donner::N,বজ্রধ্বনি,þruma
94,Strömung::N,স্রোত,straumur
95,Tropfen::N,ফোঁটা,dropi
96,Schaum::N,ফেনা,froða
97,Schmutz::N,ধুলা,óhreinindi
98,See::N,হ্রদ,stöðuvatn
99,Sumpf::N,জলা,fen
100,Moor::N,মাঠ,mýri
101,Wiese::N,তৃণভূমি,engi
102,Wald::N,বন,skógur
103,Hügel::N,পাহাড়,hæð
104,Hügel::N,পাহাড়,hóll
105,Anhöhe::N,টিলা,hæð
106,Anhöhe::N,টিলা,hóll
107,Berg::N,পর্বত,fell
108,Berg::N,পর্বত,fjall
109,Gipfel::N,শীর্ষ,tindur
110,Höhle::N,গুহা,hellir
111,Abhang::N,ঢাল,hlíð
112,Abhang::N,ঢাল,brekka
113,Quelle::N,উৎস,lind
114,Quelle::N,উৎস,uppspretta
115,Bach::N,ক্ষুদ্র নদী,lækur
116,Fluss::N,নদী,á
117,Fluss::N,নদী,fljót
118,Ufer::N,উপকূল,árbakki
119,Ufer::N,উপকূল,sjávarbakki
120,Küste::N,তীর,strönd
121,Festland::N,ভূমি,meginland
122,Meer::N,সমুদ্র,haf
123,Meer::N,সমুদ্র,sjór
124,Bucht::N,উপসাগর,vík
125,Insel::N,দ্বীপ,eyja
126,Blume::N,ফুল,blóm
127,Gras::N,ঘাস,gras
128,Wurzel::N,শিকড়,rót
129,Baum::N,গাছ,tré
130,Stamm::N,স্কন্ধ,stofn
131,Rinde::N,বল্কল,börkur
132,Ast::N,শাখা,grein
133,Zweig::N,ডাল,angi
134,Zweig::N,ডাল,kvistur
135,Blatt::N,পর্ণ,blað
136,Birke::N,ভুর্জ,birki
137,Kiefer[Baum]::N,পাইন গাছ,fura
138,Weide[Baum]::N,উইলো,víðir
139,Tanne::N,দেবদারূ গাছ,greni
140,Horn::N,শিং,horn
141,Feder::N,পালক,fjöður
142,Fell::N,রোম,skinn
143,Flügel::N,ডানা,vængur
144,Klaue::N,নখর,kló
145,Kralle::N,নখর,kló
146,Schwanz::N,লেজ,rófa
147,Schwanz::N,লেজ,skott
148,Ei::N,ডিম,egg
149,Nest::N,কুলায়,hreiður
150,Bau::N,ডেরা,greni
151,Bau::N,ডেরা,bæli
152,Tier::N,জন্তু,dýr
153,Herde::N,ঝাঁক,hjörð
154,Kuh::N,গোরু,kýr
155,Bulle::N,বৃষ,boli
156,Pferd::N,ঘোড়া,hestur
157,Schaf::N,ভেড়া,kind
158,Schwein::N,শূকর,svín
159,Hund::N,কুকুর,hundur
160,Katze::N,বেড়াল,köttur
161,Bär::N,ভল্লুক,björn
162,Eichhörnchen::N,কাঠবিড়াল,íkorni
163,Elch::N,হরিণবিশেষ,elgur
164,Fuchs::N,পাঁতিশিয়াল,refur
165,Hase::N,শশক,héri
166,Maus::N,নেংটি ইঁদুর,mús
167,Wolf::N,নেকড়ে,úlfur
168,Vogel::N,পক্ষী,fugl
169,Schwarm::N,ঝাঁক,sægur
170,Huhn::N,মোরগ,hæna
171,Hahn::N,কুক্কুট,hani
172,Gans::N,হংসী,gæs
173,Adler::N,ইগল,örn
174,Ente::N,হংসী,önd
175,Eule::N,পেচক,uggla
176,Kranich::N,সারস,trana
177,Krähe::N,কাক,kráka
178,Kuckuck::N,কোকিল,gaukur
179,Schwan::N,মরাল,svanur
180,Fisch::N,মাছ,fiskur
181,Barsch::N,মৎন্যবিশেষ,aborri
182,Hecht::N,বানমাছ,gedda
183,Schlange[Tier]::N,সর্প,naðra
184,Wurm::N,কীট,ormur
