,Concept_ID,hu,ady
0,Auge::N,szem,нэ
1,Ohr::N,fül,тхьакӏу́м
2,Nase::N,orr,пэ
3,Mund::N,száj,жэ
4,Zahn::N,fog,цэ
5,Zunge::N,nyelv,бзэгу
6,Lippe::N,ajak,ӏупшӏэ́
7,Wange::N,orca,нэкӏу́шъу
8,Gesicht::N,arc,нэ́гу
9,Stirn::N,homlok,натӏэ́
10,Haar::N,haj,шъхьацы́
11,Schnurrbart::N,bajusz,
12,Bart::N,szakáll,жакӏэ́
13,Kinn::N,áll,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,állkapocs,жэпкъы́
15,Kehle::N,gége,чый
16,Kehle::N,torok,чый
17,Hals::N,nyak,пшъэ
18,Genick::N,tarkó,шъхьэпхэтыку
19,Kopf::N,fő,шъхьэ́
20,Kopf::N,fej,шъхьэ́
21,Rücken::N,hát,кӏыбы́
22,Bauch::N,has,ныбэ́
23,Nabel::N,köldök,
24,Busen::N,mell,бгъэ́
25,Busen::N,kebel,бгъэ́
26,Brust::N,mell,бгъэ́
27,Schulter::N,váll,блыпкъ
28,Arm::N,kar,ӏэ
29,Ellenbogen::N,könyök,ӏэнтэ́гъу
30,Hand::N,kéz,ӏэтхьэцу
31,Handfläche::N,tenyér,ӏэ́гу
32,Finger::N,ujj,ӏэхъуа́мб
33,Fingernagel::N,köröm,ӏэбжъа́н
34,Nagel[Anatomie]::N,köröm,ӏэбжъа́н
35,Zeh::N,lábujj,ӏэхъуа́мб
36,Fuß::N,láb,лъэгу
37,Ferse::N,sarok,лъэдакъэ
38,Knie::N,térd,лъагуа́ндж
39,Oberschenkel::N,comb,ко
40,Bein::N,láb,лъакъо́
41,Bein::N,lábszár,лъакъо́
42,Körper::N,test,пкъышъол
43,Haut::N,bőr,кӏы́шъу
44,Blut::N,vér,лъы
45,Ader::N,ér,льытф
46,Sehne::N,ín,фэ
47,Knochen::N,csont,къупшъхьэ́
48,Gehirn::N,agy,куцӏы
49,Gehirn::N,agyvelő,куцӏы
50,Herz::N,szív,гу
51,Magen::N,gyomor,мышкӏу
52,Leber::N,máj,шӏу
53,Atem::N,lehelet,къэщэныр
54,Atem::N,lélegzet,къэщэныр
55,Hunger::N,éhség,гъаблэ́
56,Träne::N,könny,нэпсы
57,Geschmack::N,íz,ӏэшӏугъа́кӏ
58,Geruch::N,szag,мэ
59,Schlaf::N,álom,пчыхьы́пӏ
60,Schlaf::N,alvás,пчыхьы́пӏ
61,Traum::N,álom,пчыхьы́пӏ
62,Himmel::N,ég,уашъо́
63,Himmel::N,menny,уашъо́
64,Sonne::N,nap,тыгъэ
65,Mond::N,hold,мазэ
66,Stern::N,csillag,жъуагъо́
67,Luft::N,levegő,жьы
68,Wind::N,szél,жьыбгъэ́
69,Welle::N,hullám,ор
70,Welle::N,hullám,оры
71,Wasser::N,víz,псы
72,Stein::N,kő,мыжъо́
73,Boden::N,föld,чӏ́ыгу
74,Boden::N,talaj,чӏ́ыгу
75,Erde::N,föld,чӏ́ыгу
76,Staub::N,por,сап
