,Concept_ID,ady,udm
0,Auge::N,нэ,син
1,Ohr::N,тхьакӏу́м,пель
2,Nase::N,пэ,ныр
3,Mund::N,жэ,ым
4,Zahn::N,цэ,пинь
5,Zunge::N,бзэгу,кыл
6,Lippe::N,ӏупшӏэ́,ымдур
7,Wange::N,нэкӏу́шъу,бам
8,Gesicht::N,нэ́гу,ымныр
9,Stirn::N,натӏэ́,кымес
10,Haar::N,шъхьацы́,йырси
11,Bart::N,жакӏэ́,туш
12,Kinn::N,жэкӏэпэпкъ,ангес
13,Kiefer[Anatomie]::N,жэпкъы́,ан
14,Kiefer[Anatomie]::N,жэпкъы́,анлы
15,Kehle::N,чый,гульым
16,Hals::N,пшъэ,чырты
17,Genick::N,шъхьэпхэтыку,йырбер
18,Kopf::N,шъхьэ́,йыр
19,Rücken::N,кӏыбы́,мыш
20,Bauch::N,ныбэ́,кӧт
21,Busen::N,бгъэ́,ноны
22,Brust::N,бгъэ́,мӧля
23,Schulter::N,блыпкъ,пельпум
24,Arm::N,ӏэ,суй
25,Ellenbogen::N,ӏэнтэ́гъу,гырпум
26,Hand::N,ӏэтхьэцу,ки
27,Handfläche::N,ӏэ́гу,ки пыдэс
28,Handfläche::N,ӏэ́гу,кырым пыдэс
29,Finger::N,ӏэхъуа́мб,чиньы
30,Fingernagel::N,ӏэбжъа́н,гижы
31,Fingernagel::N,ӏэбжъа́н,гиждӥнь
32,Nagel[Anatomie]::N,ӏэбжъа́н,гижы
33,Zeh::N,ӏэхъуа́мб,пыдчиньы
34,Fuß::N,лъэгу,пыд
35,Ferse::N,лъэдакъэ,пыдбер
36,Knie::N,лъагуа́ндж,пыдес
37,Oberschenkel::N,ко,макес
38,Bein::N,лъакъо́,пыд
39,Körper::N,пкъышъол,мугор
40,Körper::N,пкъышъол,вылтыр
41,Haut::N,кӏы́шъу,ку
42,Blut::N,лъы,вир
43,Ader::N,льытф,вирсэр
44,Sehne::N,фэ,вуж
45,Knochen::N,къупшъхьэ́,лы
46,Gehirn::N,куцӏы,вим
47,Herz::N,гу,сюлэм
48,Magen::N,мышкӏу,ӝуш
49,Leber::N,шӏу,мус
50,Atem::N,къэщэныр,лул
51,Atem::N,къэщэныр,шокан
52,Hunger::N,гъаблэ́,кӧтсюман
53,Träne::N,нэпсы,синкыли
54,Geschmack::N,ӏэшӏугъа́кӏ,шӧм
55,Geruch::N,мэ,зын
56,Schlaf::N,пчыхьы́пӏ,вӧт
57,Traum::N,пчыхьы́пӏ,уйвӧт
58,Himmel::N,уашъо́,ин
59,Sonne::N,тыгъэ,шунды
60,Mond::N,мазэ,толэзь
61,Stern::N,жъуагъо́,кизили
62,Luft::N,жьы,омыр
63,Wind::N,жьыбгъэ́,тӧл
64,Welle::N,ор,тулкым
65,Welle::N,оры,тулкым
66,Wasser::N,псы,ву
67,Stein::N,мыжъо́,из
68,Boden::N,чӏ́ыгу,музъем
69,Erde::N,чӏ́ыгу,му
70,Staub::N,сап,пыль
71,Rauch::N,ӏугъо́,ӵын
72,Funke::N,мэшӏуа́ч,гизьы
73,Feuer::N,машӏо́,тыл
74,Licht::N,нэфы,тыл
75,Licht::N,нэфын,тыл
76,Schatten::N,жьау́,вужер
77,Schatten::N,ныбжьыкъу,вужер
78,Nebel::N,пща́гъу,бус
79,Wolke::N,ошъуапщэ,пилем
80,Regen::N,ощхы,зор
81,Schnee::N,осы́,лымы
82,Eis::N,мылы,йӧ
83,Kälte::N,чъыӏэ́,кезьыт
