,Concept_ID,nl,ro
0,Auge::N,oog,ochi
1,Ohr::N,oor,ureche
2,Nase::N,neus,nas
3,Mund::N,mond,gură
4,Zahn::N,tand,dinte
5,Zunge::N,tong,limbă
6,Lippe::N,lip,buză
7,Wange::N,wang,bucă
8,Wange::N,wang,obraz
9,Gesicht::N,gelaat,față
10,Gesicht::N,gelaat,figură
11,Gesicht::N,gezicht,față
12,Gesicht::N,gezicht,figură
13,Stirn::N,voorhoofd,frunte
14,Haar::N,haar,păr
15,Schnurrbart::N,snor,mustață
16,Bart::N,baard,barbă
17,Kinn::N,kin,bărbie
18,Kiefer[Anatomie]::N,kaak,falcă
19,Kehle::N,keel,beregată
20,Kehle::N,strot,beregată
21,Hals::N,hals,gât
22,Genick::N,nek,ceafă
23,Kopf::N,hoofd,cap
24,Rücken::N,rug,dos
25,Rücken::N,rug,spate
26,Rücken::N,rug,spinare
27,Bauch::N,buik,burtă
28,Bauch::N,buik,pântece
29,Nabel::N,navel,buric
30,Busen::N,boezem,sân
31,Brust::N,borst,piept
32,Schulter::N,schouder,umăr
33,Schulter::N,schouder,spate
34,Arm::N,arm,braț
35,Ellenbogen::N,elleboog,cot
36,Hand::N,hand,mână
37,Handfläche::N,handpalm,palmă
38,Finger::N,vinger,deget
39,Fingernagel::N,nagel,unghie
40,Nagel[Anatomie]::N,nagel,unghie
41,Zeh::N,teen,deget de la picior
42,Fuß::N,voet,picior
43,Ferse::N,hak,călcâi
44,Ferse::N,hiel,călcâi
45,Knie::N,knie,genunchi
46,Oberschenkel::N,dij,coapsă
47,Bein::N,been,picior
48,Körper::N,lichaam,corp
49,Haut::N,huid,piele
50,Blut::N,bloed,sânge
51,Ader::N,ader,vână
52,Ader::N,ader,arteră
53,Sehne::N,pees,tendon
54,Knochen::N,bot,os
55,Knochen::N,been,os
56,Knochen::N,knook,os
57,Gehirn::N,hersenen,creier
58,Herz::N,hart,inimă
59,Magen::N,maag,stomac
60,Leber::N,lever,ficat
61,Atem::N,adem,răsuflare
62,Atem::N,adem,respirație
63,Hunger::N,honger,foame
64,Träne::N,traan,lacrimă
65,Geschmack::N,smaak,gust
66,Geruch::N,geur,miros
67,Schlaf::N,slaap,somn
68,Traum::N,droom,vis
69,Himmel::N,hemel,cer
70,Sonne::N,zon,soare
71,Mond::N,maan,lună
72,Stern::N,ster,stea
73,Luft::N,lucht,aer
74,Wind::N,wind,vânt
