,Concept_ID,cs,mhr
0,Auge::N,oko,шинча́
1,Ohr::N,ucho,пы́лыш
2,Nase::N,nos,нер
3,Mund::N,pusa,умша́
4,Zahn::N,zub,пӱй
5,Zunge::N,jazyk,йы́лме
6,Lippe::N,ret,тӱ́рвӧ
7,Wange::N,tvář,шӱ́ргӧ
8,Gesicht::N,obličej,чури́й
9,Stirn::N,čelo,саҥга́
10,Haar::N,vlas,ӱп
11,Haar::N,vlasy,ӱп
12,Schnurrbart::N,kníry,ӧ́рыш
13,Bart::N,vousy,понда́ш
14,Kinn::N,brada,оҥыла́ш
15,Kiefer[Anatomie]::N,čelist,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,čelist,пӱйората́
17,Kehle::N,hrdlo,лога́р
18,Hals::N,krk,шӱй
19,Genick::N,týl,шӱйло́дыш
20,Kopf::N,hlava,вуй
21,Rücken::N,záda,туп
22,Rücken::N,hřbet,туп
23,Bauch::N,břicho,мӱ́шкыр
24,Nabel::N,pupek,кы́лымде
25,Busen::N,ňadra,чы́зе
26,Brust::N,prsa,оҥ
27,Schulter::N,plece,ва́че
28,Schulter::N,rameno,ва́че
29,Arm::N,ruka,кид
30,Ellenbogen::N,loket,кынерву́й
31,Hand::N,ruka,кид
32,Hand::N,ruka,копа́
33,Handfläche::N,dlaň,со́во
34,Finger::N,prst,парня́
35,Fingernagel::N,nehet,кидкӱ́ч
36,Fingernagel::N,nehet,парнягӱ́ч
37,Nagel[Anatomie]::N,nehet,кӱч
38,Zeh::N,prst u nohy,йолварня́
39,Fuß::N,noha,йол
40,Fuß::N,noha,йолкопа́
41,Ferse::N,pata,тага́н
42,Knie::N,koleno,пулву́й
43,Oberschenkel::N,stehno,э́рде
44,Bein::N,noha,йол
45,Körper::N,tělo,кап
46,Haut::N,kůže,кова́ште
47,Blut::N,krev,вӱр
48,Ader::N,céva,шӧн
49,Sehne::N,šlacha,шӧн
50,Sehne::N,šlacha,кӱсе́н
51,Knochen::N,kost,лу
52,Gehirn::N,mozek,вем
53,Gehirn::N,mozek,вуйве́м
54,Herz::N,srdce,шӱм
55,Magen::N,žaludek,пага́р
56,Leber::N,játra,мокш
57,Atem::N,dech,шӱ́лыш
58,Hunger::N,hlad,шужыма́ш
59,Träne::N,slza,шинчавӱ́д
60,Geschmack::N,vkus,там
61,Geruch::N,vůně,пуш
62,Geruch::N,zápach,пуш
63,Schlaf::N,spánek,о́мо
64,Traum::N,sen,йӱдо́мо
65,Himmel::N,nebe,кава́
66,Sonne::N,slunce,ке́че
67,Mond::N,měsíc,ты́лзе
68,Stern::N,hvězda,шӱ́дыр
69,Luft::N,vzduch,юж
70,Wind::N,vítr,марде́ж
71,Welle::N,vlna,то́лкын
72,Wasser::N,voda,вӱд
73,Stein::N,kámen,кӱ
74,Boden::N,půda,рок
75,Erde::N,země,мла́нде
76,Staub::N,prach,пура́к
77,Rauch::N,dým,шикш
78,Rauch::N,kouř,шикш
79,Funke::N,jiskra,сеске́м
80,Funke::N,jiskra,тулйы́п
81,Feuer::N,oheň,тул
82,Licht::N,světlo,со́то
83,Schatten::N,stín,ӱ́мыл
84,Wetter::N,počasí,иге́че
85,Nebel::N,mlha,тӱтыра́
86,Wolke::N,mrak,пыл
87,Wolke::N,oblak,пыл
88,Regen::N,déšť,йӱр
89,Schnee::N,sníh,лум
90,Eis::N,led,ий
91,Frost::N,mráz,чатлама́
92,Kälte::N,chlad,йӱ́штӧ
93,Hitze::N,horko,шо́кшо
94,Raureif::N,jinovatka,пӧрш
95,Raureif::N,jinovatka,по́кшым
96,Regenbogen::N,duha,шонанпы́л
97,Donner::N,hrom,кӱ́дырчӧ
98,Strömung::N,proudění,йо́гын
99,Tropfen::N,kapka,чӱча́лтыш
100,Schaum::N,pěna,шоҥ
101,Schmutz::N,špína,лавыра́
102,See::N,jezero,ер
103,Sumpf::N,močál,лӱ́кӧ
104,Sumpf::N,bažina,лӱ́кӧ
105,Moor::N,bažina,куп
106,Moor::N,slatina,куп
107,Wiese::N,louka,о́лык
108,Wald::N,les,чодыра́
109,Hügel::N,kopec,арка́
110,Anhöhe::N,pahorek,тӧва́
111,Anhöhe::N,pahorek,кӱкшака́
112,Berg::N,hora,ку́рык
113,Gipfel::N,vrchol,чаҥга́
114,Gipfel::N,vrchol,курыкву́й
115,Höhle::N,jeskyně,пеще́р
116,Höhle::N,jeskyně,курыкпо́мыш
117,Abhang::N,svah,та́йыл
118,Abhang::N,stráň,та́йыл
119,Quelle::N,pramen,важ
120,Quelle::N,pramen,вӱдшинча́
121,Bach::N,potok,изэҥе́р
122,Fluss::N,řeka,эҥе́р
123,Ufer::N,břeh,сер
124,Küste::N,pobřeží,вӱдтӱ́р
125,Festland::N,souš,мла́нде
126,Festland::N,pevnina,мла́нде
127,Meer::N,moře,те́ҥыз
128,Bucht::N,záliv,икса́
129,Bucht::N,zátoka,икса́
130,Insel::N,ostrov,отро́
131,Blume::N,květina,пеле́дыш
132,Gras::N,tráva,шу́до
133,Wurzel::N,kořen,вож
134,Baum::N,strom,пуше́ҥге
135,Stamm::N,kmen,йы́тыр
136,Rinde::N,kůra,шӱм
