,Concept_ID,se,av
0,Auge::N,tjelmie,
1,Auge::N,tjalmme,
2,Auge::N,čalbmi,
3,Auge::N,čalme,
4,Auge::N,čâ´lmm,
5,Auge::N,ча̄лльм,
6,Ohr::N,bieljie,гӏин
7,Ohr::N,biellje,гӏин
8,Ohr::N,beallji,гӏин
9,Ohr::N,pelji,гӏин
10,Ohr::N,pe´llj,гӏин
11,Ohr::N,пе̄лльй,гӏин
12,Nase::N,njuenie,мегӏер
13,Nase::N,njunnje,мегӏер
14,Nase::N,njunni,мегӏер
15,Nase::N,njuṇe,мегӏер
16,Nase::N,njuu´nn,мегӏер
17,Nase::N,нюннҍ,мегӏер
18,Mund::N,njaelmie,кӏал
19,Mund::N,njálmme,кӏал
20,Mund::N,njálbmi,кӏал
21,Mund::N,njälmi,кӏал
22,Mund::N,njä´lmm,кӏал
23,Mund::N,ня̄лльм,кӏал
24,Zahn::N,baenie,гӏус
25,Zahn::N,bádne,гӏус
26,Zahn::N,bátni,гӏус
27,Zahn::N,pääṇi,гӏус
28,Zahn::N,pää´nn,гӏус
29,Zahn::N,па̄ннҍ,гӏус
30,Zunge::N,njoektjeme,мацӏ
31,Zunge::N,njuovtjav,мацӏ
32,Zunge::N,njuovčča,мацӏ
33,Zunge::N,njuovčâ,мацӏ
34,Zunge::N,njuhččâm,мацӏ
35,Zunge::N,нюхчем,мацӏ
36,Lippe::N,bangseme,кӏветӏ
37,Lippe::N,njálmmerabdda,кӏветӏ
38,Lippe::N,bavssa,кӏветӏ
39,Lippe::N,poovsâ,кӏветӏ
40,Lippe::N,põõus,кӏветӏ
41,Lippe::N,пэ̄кс,кӏветӏ
42,Wange::N,skiehrie,гӏоно
43,Wange::N,nierra,гӏоно
44,Wange::N,muohtu,гӏоно
45,Wange::N,nieṛâ,гӏоно
46,Wange::N,njiõrr,гӏоно
47,Wange::N,нӣрр,гӏоно
48,Gesicht::N,ååredæjja,гьумер
49,Gesicht::N,muohto,гьумер
50,Gesicht::N,muođut,гьумер
51,Gesicht::N,ámadadju,гьумер
52,Gesicht::N,muáđuh,гьумер
53,Gesicht::N,muâđ,гьумер
54,Gesicht::N,ка̄ссв,гьумер
55,Stirn::N,gaalloe,нодо
56,Stirn::N,gállo,нодо
57,Stirn::N,gállu,нодо
58,Stirn::N,kállu,нодо
59,Stirn::N,käll,нодо
60,Stirn::N,вуэххьц,нодо
61,Haar::N,voepte,рас
62,Haar::N,vuoppta,рас
63,Haar::N,vuokta,рас
64,Haar::N,vuop'tâ,рас
65,Haar::N,vuõpt,рас
66,Haar::N,вӯппт,рас
67,Schnurrbart::N,bijjie-skaavtjoe,михъ
68,Schnurrbart::N,njunjevuolskávttjá,михъ
69,Schnurrbart::N,seamu,михъ
70,Schnurrbart::N,siämu,михъ
71,Schnurrbart::N,ää´bben,михъ
72,Schnurrbart::N,о̄а̄бпан,михъ
73,Bart::N,skaavtja,мегеж
74,Bart::N,skaavtjoe,мегеж
75,Bart::N,skávttjá,мегеж
76,Bart::N,seamu,мегеж
77,Bart::N,siämu,мегеж
78,Bart::N,seäm,мегеж
79,Bart::N,ся̄м,мегеж
80,Kinn::N,gaejpie,нилъу
81,Kinn::N,gájbbe,нилъу
82,Kinn::N,gáibi,нилъу
83,Kinn::N,käibi,нилъу
84,Kinn::N,käi´bb,нилъу
85,Kinn::N,ка̄ййп,нилъу
86,Kiefer[Anatomie]::N,gaejpie,чанагъ
87,Kiefer[Anatomie]::N,oalol,чанагъ
88,Kiefer[Anatomie]::N,oaloldákte,чанагъ
89,Kiefer[Anatomie]::N,gáibi,чанагъ
90,Kiefer[Anatomie]::N,uá'lultähti,чанагъ
91,Kiefer[Anatomie]::N,vuâl'lõš,чанагъ
92,Kiefer[Anatomie]::N,вуаллнешш,чанагъ
93,Kehle::N,gealoe,щекъер
94,Kehle::N,tjåttå,щекъер
95,Kehle::N,njiello,щекъер
96,Kehle::N,čotta,щекъер
97,Kehle::N,čuudâ,щекъер
98,Kehle::N,čoodd,щекъер
99,Kehle::N,чонт,щекъер
100,Kehle::N,кэ̄ҏс,щекъер
101,Hals::N,tjeapohke,габур
102,Hals::N,tjiebet,габур
103,Hals::N,čeabet,габур
104,Hals::N,čiäppát,габур
105,Hals::N,čeäppat,габур
106,Hals::N,ча̄пэх,габур
107,Genick::N,tjovrese,гъванща
108,Genick::N,nisske,гъванща
109,Genick::N,niehkki,гъванща
110,Genick::N,niski,гъванща
111,Genick::N,niek'ki,гъванща
112,Genick::N,nji´šǩǩmaadd,гъванща
113,Genick::N,нышшькмоант,гъванща
114,Kopf::N,åejjie,бетӏер
115,Kopf::N,oajvve,бетӏер
116,Kopf::N,oaivi,бетӏер
117,Kopf::N,uái'vi,бетӏер
118,Kopf::N,vuei´vv,бетӏер
119,Kopf::N,вуэййв,бетӏер
120,Rücken::N,rudtje,мугъ
121,Rücken::N,hárddo,мугъ
122,Rücken::N,tjavelk,мугъ
123,Rücken::N,sealgi,мугъ
124,Rücken::N,selgi,мугъ
125,Rücken::N,čielgi,мугъ
126,Rücken::N,seä´lǧǧ,мугъ
127,Rücken::N,се̄лльк,мугъ
128,Bauch::N,tjåejjie,чехь
129,Bauch::N,tjoajvve,чехь
130,Bauch::N,čoavji,чехь
131,Bauch::N,čuáv'ji,чехь
132,Bauch::N,čåu´jj,чехь
133,Bauch::N,чо̄ввьй,чехь
134,Nabel::N,naepie,цӏину
135,Nabel::N,náhpe,цӏину
136,Nabel::N,náhpi,цӏину
137,Nabel::N,nääpi,цӏину
138,Nabel::N,nää´pp,цӏину
139,Nabel::N,на̄бпь,цӏину
140,Busen::N,boenge,керен
141,Busen::N,bållå,керен
142,Busen::N,čižži,керен
143,Busen::N,njamma,керен
144,Busen::N,njižže,керен
145,Busen::N,nje´ǯǯ,керен
146,Busen::N,раннҍт,керен
147,Brust::N,mïelke,керен
148,Brust::N,radde,керен
149,Brust::N,mielgga,керен
150,Brust::N,raddi,керен
151,Brust::N,radde,керен
152,Brust::N,râ´dd,керен
153,Brust::N,раннҍт,керен
154,Schulter::N,åelkie,гъажазубетӏер
155,Schulter::N,oalgge,гъажазубетӏер
156,Schulter::N,hárdu,гъажазубетӏер
157,Schulter::N,ärdee,гъажазубетӏер
158,Schulter::N,uál'gi,гъажазубетӏер
159,Schulter::N,a´rddi,гъажазубетӏер
160,Schulter::N,vuä´lǧǧ,гъажазубетӏер
161,Schulter::N,вуэллык,гъажазубетӏер
162,Arm::N,gïete,гъеж
163,Arm::N,giehta,гъеж
164,Arm::N,giehta,гъеж
165,Arm::N,kietâ,гъеж
166,Arm::N,kie'tâkaaṿâ,гъеж
167,Arm::N,ǩiõtt,гъеж
168,Arm::N,кӣдт,гъеж
169,Ellenbogen::N,gernjere,гӏункӏрукь
170,Ellenbogen::N,garŋŋel,гӏункӏрукь
171,Ellenbogen::N,gargŋil,гӏункӏрукь
172,Ellenbogen::N,käŋŋir,гӏункӏрукь
173,Ellenbogen::N,kõõnjâr,гӏункӏрукь
174,Ellenbogen::N,карьнэль,гӏункӏрукь
175,Hand::N,gïete,квер
176,Hand::N,giehta,квер
177,Hand::N,giehta,квер
178,Hand::N,kietâ,квер
179,Hand::N,ǩiõtt,квер
180,Hand::N,кӣдт,квер
181,Handfläche::N,gïeten-låapoe,огъохъат
182,Handfläche::N,gïeten-låapoe,жанисахъат
183,Handfläche::N,giehtavuodo,огъохъат
184,Handfläche::N,giehtavuodo,жанисахъат
185,Handfläche::N,tjårmmåvuodo,огъохъат
186,Handfläche::N,tjårmmåvuodo,жанисахъат
187,Handfläche::N,giehtaloahpu,огъохъат
188,Handfläche::N,giehtaloahpu,жанисахъат
189,Handfläche::N,kiämád,огъохъат
190,Handfläche::N,kiämád,жанисахъат
191,Handfläche::N,kuámmir,огъохъат
192,Handfläche::N,kuámmir,жанисахъат
193,Handfläche::N,kuä´m'mer,огъохъат
194,Handfläche::N,kuä´m'mer,жанисахъат
195,Handfläche::N,ǩiõttǩeä´m'men,огъохъат
196,Handfläche::N,ǩiõttǩeä´m'men,жанисахъат
197,Handfläche::N,ко̄а̄ллдэгк,огъохъат
198,Handfläche::N,ко̄а̄ллдэгк,жанисахъат
199,Handfläche::N,кӣдткоалдэгк,огъохъат
200,Handfläche::N,кӣдткоалдэгк,жанисахъат
201,Finger::N,soerme,килищ
202,Finger::N,tjuvdde,килищ
203,Finger::N,suorbma,килищ
204,Finger::N,čuvde,килищ
205,Finger::N,suor'mâ,килищ
206,Finger::N,suõrmm,килищ
207,Finger::N,це̄ххп,килищ
208,Fingernagel::N,gadtse,малъ
209,Fingernagel::N,guehpere,малъ
210,Fingernagel::N,gadtsa,малъ
211,Fingernagel::N,gazza,малъ
212,Fingernagel::N,kozzâ,малъ
213,Fingernagel::N,kõʒʒ,малъ
214,Fingernagel::N,кэ̄ннц,малъ
215,Nagel[Anatomie]::N,gadtse,малъ
216,Nagel[Anatomie]::N,guehpere,малъ
217,Nagel[Anatomie]::N,gadtsa,малъ
218,Nagel[Anatomie]::N,gazza,малъ
219,Nagel[Anatomie]::N,kozzâ,малъ
220,Nagel[Anatomie]::N,kõʒʒ,малъ
221,Nagel[Anatomie]::N,кэ̄ннц,малъ
222,Zeh::N,tjiehtjere,килищ
223,Zeh::N,juolggetjuvdde,килищ
224,Zeh::N,juolgesuorbma,килищ
225,Zeh::N,jyel'gisuor'mâ,килищ
226,Zeh::N,jue´lǧǧsuõrmm,килищ
227,Zeh::N,ю̄лльк-це̄һп,килищ
228,Fuß::N,juelkie,хӏетӏ
229,Fuß::N,juelkie,хӏетӏе
230,Fuß::N,juolgge,хӏетӏ
231,Fuß::N,juolgge,хӏетӏе
232,Fuß::N,juolgi,хӏетӏ
233,Fuß::N,juolgi,хӏетӏе
234,Fuß::N,jyel'gi,хӏетӏ
235,Fuß::N,jyel'gi,хӏетӏе
236,Fuß::N,jue´lǧǧ,хӏетӏ
237,Fuß::N,jue´lǧǧ,хӏетӏе
238,Fuß::N,ла̄бпь,хӏетӏ
239,Fuß::N,ла̄бпь,хӏетӏе
240,Ferse::N,båetskie,эгъе
241,Ferse::N,boasske,эгъе
242,Ferse::N,šušmi,эгъе
243,Ferse::N,šušme,эгъе
244,Ferse::N,jue´lǧǧkädd,эгъе
245,Ferse::N,ка̄ннт,эгъе
246,Knie::N,boelve,наку
247,Knie::N,buolvva,наку
248,Knie::N,čibbi,наку
249,Knie::N,veaŋki,наку
250,Knie::N,iidâ,наку
251,Knie::N,puõlvv,наку
252,Knie::N,пуллв,наку
253,Oberschenkel::N,ruaksja,мачӏ
254,Oberschenkel::N,tjibbe,мачӏ
255,Oberschenkel::N,gassaváhkká,мачӏ
256,Oberschenkel::N,badjeváhkáa,мачӏ
257,Oberschenkel::N,čuár'bpeeḷi,мачӏ
258,Oberschenkel::N,če´bb,мачӏ
259,Oberschenkel::N,чуаррбе̄лль,мачӏ
260,Bein::N,juelkie,бох
261,Bein::N,juolgge,бох
262,Bein::N,juolgi,бох
263,Bein::N,jyel'gi,бох
264,Bein::N,jue´lǧǧ,бох
265,Bein::N,ю̄лльк,бох
266,Körper::N,kråahpe,къаркъала
267,Körper::N,rumáj,къаркъала
268,Körper::N,rumaš,къаркъала
269,Körper::N,ruumâš,къаркъала
270,Körper::N,rå´pp,къаркъала
271,Körper::N,лышшьк,къаркъала
272,Körper::N,роаӈӈьк,къаркъала
273,Haut::N,njaltja,тӏом
274,Haut::N,lijkke,тӏом
275,Haut::N,tjuobma,тӏом
276,Haut::N,liiki,тӏом
277,Haut::N,liške,тӏом
278,Haut::N,le´šǩǩ,тӏом
279,Haut::N,лышшьк,тӏом
280,Blut::N,vïrre,би
281,Blut::N,maelie,би
282,Blut::N,varra,би
283,Blut::N,varra,би
284,Blut::N,vorrâ,би
285,Blut::N,võrr,би
286,Blut::N,вэ̄рр,би
287,Ader::N,åerie,бидурихь
288,Ader::N,aajroe,бидурихь
289,Ader::N,suodna,бидурихь
290,Ader::N,varrasuotna,бидурихь
291,Ader::N,suoṇâ,бидурихь
292,Ader::N,suõnn,бидурихь
293,Ader::N,сӯнн,бидурихь
294,Sehne::N,soene,
295,Sehne::N,gåårtenje,
296,Sehne::N,suodna,
297,Sehne::N,suotna,
298,Sehne::N,suoṇâ,
299,Sehne::N,suõnn,
300,Sehne::N,сӯнн,
301,Knochen::N,måara,ракьа
302,Knochen::N,måaroe,ракьа
303,Knochen::N,dákte,ракьа
304,Knochen::N,dákti,ракьа
305,Knochen::N,tähti,ракьа
306,Knochen::N,tä´htt,ракьа
307,Knochen::N,та̄ххт,ракьа
308,Knochen::N,та̄ффьт,ракьа
309,Gehirn::N,aajla,гӏадалнах
310,Gehirn::N,vuojŋam,гӏадалнах
311,Gehirn::N,vuoigŋašat,гӏадалнах
312,Gehirn::N,vuoi'ŋâšeh,гӏадалнах
313,Gehirn::N,vuo'ivâšneh,гӏадалнах
314,Gehirn::N,vuõivâšn,гӏадалнах
315,Gehirn::N,вуэййвэшна,гӏадалнах
316,Herz::N,vaajmoe,ракӏ
317,Herz::N,tsåhke,ракӏ
318,Herz::N,váibmu,ракӏ
319,Herz::N,váimu,ракӏ
320,Herz::N,čââ´đ,ракӏ
321,Herz::N,кӯттҌк,ракӏ
322,Magen::N,tjåejjie,кванирукъ
323,Magen::N,tjoajvve,кванирукъ
324,Magen::N,čoavji,кванирукъ
325,Magen::N,čuáv'ji,кванирукъ
326,Magen::N,čåu´jj,кванирукъ
327,Magen::N,чо̄ввьй,кванирукъ
328,Leber::N,mueksie,тӏул
329,Leber::N,librre,тӏул
330,Leber::N,vuoivvas,тӏул
331,Leber::N,vuoivâs,тӏул
332,Leber::N,vuõivâs,тӏул
333,Leber::N,вуйвас,тӏул
334,Atem::N,voejngehtasse,хӏухь
335,Atem::N,båssånis,хӏухь
336,Atem::N,vuojŋadahka,хӏухь
337,Atem::N,vuoiŋŋahat,хӏухь
338,Atem::N,vuo'iŋâstim,хӏухь
339,Atem::N,jiõg'g,хӏухь
340,Atem::N,вӯйнас,хӏухь
341,Atem::N,вӯййнмушш,хӏухь
342,Hunger::N,nielkie,ракъи
343,Hunger::N,nielgge,ракъи
344,Hunger::N,nealgi,ракъи
345,Hunger::N,nelgi,ракъи
346,Hunger::N,neä´lǧǧ,ракъи
347,Hunger::N,не̄лльк,ракъи
348,Träne::N,gïknjele,магӏу
349,Träne::N,ganjál,магӏу
350,Träne::N,ganjal,магӏу
351,Träne::N,koonjâl,магӏу
352,Träne::N,kõõnjâl,магӏу
353,Träne::N,кэ̄нял,магӏу
354,Geschmack::N,aelmie,тату
355,Geschmack::N,muosse,тату
356,Geschmack::N,smáhkka,тату
357,Geschmack::N,máhku,тату
358,Geschmack::N,smáhkka,тату
359,Geschmack::N,mááhu,тату
360,Geschmack::N,smakkâ,тату
361,Geschmack::N,njõõd,тату
362,Geschmack::N,smääkk,тату
363,Geschmack::N,ня̄лльк,тату
364,Geruch::N,haaje,махӏ
365,Geruch::N,habjja,махӏ
366,Geruch::N,hádja,махӏ
367,Geruch::N,opsâ,махӏ
368,Geruch::N,haajâ,махӏ
369,Geruch::N,õpss,махӏ
370,Geruch::N,haajj,махӏ
371,Geruch::N,апс,махӏ
372,Geruch::N,лэ̄гк,махӏ
373,Schlaf::N,nahkerh,макьу
374,Schlaf::N,nager,макьу
375,Schlaf::N,oados,макьу
376,Schlaf::N,nagir,макьу
377,Schlaf::N,naṿer,макьу
378,Schlaf::N,nââ´er,макьу
379,Schlaf::N,нагерь,макьу
380,Traum::N,nahkere,макьу
381,Traum::N,niehko,макьу
382,Traum::N,niehku,макьу
383,Traum::N,naṿer,макьу
384,Traum::N,nââ´er,макьу
385,Traum::N,нагерь,макьу
386,Himmel::N,elmie,зоб
387,Himmel::N,almme,зоб
388,Himmel::N,albmi,зоб
389,Himmel::N,alme,зоб
390,Himmel::N,â´lmm,зоб
391,Himmel::N,алльм,зоб
392,Sonne::N,biejjie,бакъ
393,Sonne::N,bæjvásj,бакъ
394,Sonne::N,beaivváš,бакъ
395,Sonne::N,peivi,бакъ
396,Sonne::N,piäiváš,бакъ
397,Sonne::N,pei´vv,бакъ
398,Sonne::N,пе̄ййв,бакъ
399,Mond::N,aske,моцӏ
400,Mond::N,mánno,моцӏ
401,Mond::N,mánnu,моцӏ
402,Mond::N,máánu,моцӏ
403,Mond::N,mään,моцӏ
404,Mond::N,ма̄нн,моцӏ
405,Stern::N,daasta,цӏва
406,Stern::N,naestie,цӏва
407,Stern::N,násste,цӏва
408,Stern::N,násti,цӏва
409,Stern::N,täsni,цӏва
410,Stern::N,tä´snn,цӏва
411,Stern::N,та̄ссьт,цӏва
412,Luft::N,elmie,гьава
413,Luft::N,ájmmo,гьава
414,Luft::N,áibmu,гьава
415,Luft::N,áimu,гьава
416,Luft::N,šõŋŋ,гьава
417,Luft::N,вӯйнас,гьава
418,Wind::N,bïegke,гьури
419,Wind::N,biegga,гьури
420,Wind::N,biegga,гьури
421,Wind::N,pieg'gâ,гьури
422,Wind::N,piõg'g,гьури
423,Wind::N,пӣӈӈк,гьури
424,Welle::N,baaroe,карачел
425,Welle::N,bárro,карачел
426,Welle::N,bárru,карачел
427,Welle::N,pááṛu,карачел
428,Welle::N,päärr,карачел
429,Welle::N,нэ̄ммп,карачел
430,Wasser::N,tjaetsie,лъим
431,Wasser::N,tjáhtje,лъим
432,Wasser::N,čáhci,лъим
433,Wasser::N,čääci,лъим
434,Wasser::N,čää´cc,лъим
435,Wasser::N,ча̄дзь,лъим
436,Stein::N,gierkie,гьецӏо
437,Stein::N,giergge,гьецӏо
438,Stein::N,geađgi,гьецӏо
439,Stein::N,keđgi,гьецӏо
440,Stein::N,ǩeä´dǧǧ,гьецӏо
441,Stein::N,ке̄ддҌк,гьецӏо
442,Boden::N,betnie,ракь
443,Boden::N,ednam,ракь
444,Boden::N,bodni,ракь
445,Boden::N,vuođđu,ракь
446,Boden::N,ponne,ракь
447,Boden::N,vuáđ̣u,ракь
448,Boden::N,vuâđđ,ракь
449,Boden::N,лаввьн,ракь
450,Boden::N,е̄ммьне,ракь
451,Erde::N,jåarta,ракь
452,Erde::N,jåarta,дуниял
453,Erde::N,mueltie,ракь
454,Erde::N,mueltie,дуниял
455,Erde::N,ednam,ракь
456,Erde::N,ednam,дуниял
457,Erde::N,mållde,ракь
458,Erde::N,mållde,дуниял
459,Erde::N,eana,ракь
460,Erde::N,eana,дуниял
461,Erde::N,eennâm,ракь
462,Erde::N,eennâm,дуниял
463,Erde::N,mädd,ракь
464,Erde::N,mädd,дуниял
465,Erde::N,jânnam,ракь
466,Erde::N,jânnam,дуниял
467,Erde::N,е̄ммьне,ракь
468,Erde::N,е̄ммьне,дуниял
469,Staub::N,heblie,хӏур
470,Staub::N,tsumhtsie,хӏур
471,Staub::N,dubme,хӏур
472,Staub::N,dopmu,хӏур
473,Staub::N,kovjâ,хӏур
474,Staub::N,põõ´l,хӏур
475,Staub::N,кэ̄ббьй,хӏур
476,Rauch::N,soeve,кӏкӏуй
477,Rauch::N,suovva,кӏкӏуй
478,Rauch::N,suovva,кӏкӏуй
479,Rauch::N,suoṿâ,кӏкӏуй
480,Rauch::N,suõvv,кӏкӏуй
481,Rauch::N,сӯвв,кӏкӏуй
482,Funke::N,naestie,
483,Funke::N,tjuonam,
484,Funke::N,čuotnan,
485,Funke::N,čuođâlm,
486,Funke::N,iiskâr,
487,Funke::N,čuõzzâm,
488,Funke::N,чӯссэм,
489,Feuer::N,dålle,цӏа
490,Feuer::N,dållå,цӏа
491,Feuer::N,dolla,цӏа
492,Feuer::N,tullâ,цӏа
493,Feuer::N,toll,цӏа
494,Feuer::N,то̄лл,цӏа
495,Licht::N,tjoevke,канлъи
496,Licht::N,tjuovgga,канлъи
497,Licht::N,čuovga,канлъи
