,Concept_ID,el,kv
0,Auge::N,μάτι,син
1,Auge::N,οφθαλμός,син
2,Ohr::N,αυτί,пель
3,Nase::N,μύτη,ныр
4,Mund::N,στόμα,ӧм
5,Zahn::N,δόντι,пинь
6,Zunge::N,γλώσσα,кыв
7,Lippe::N,χείλος,тырп
8,Wange::N,παρειά,рожабан
9,Wange::N,μάγουλο,рожабан
10,Gesicht::N,πρόσωπο,бан
11,Stirn::N,μέτωπο,кымӧс
12,Haar::N,μαλλιά,юрси
13,Schnurrbart::N,μουστάκι,уссэз
14,Bart::N,γένια,тош
15,Kinn::N,πιγούνι,тшӧка
16,Kiefer[Anatomie]::N,σαγόνι,ан
17,Kehle::N,λαρύγγι,юан
18,Hals::N,λαιμός,юан
19,Genick::N,σβέρκος,юр бӧр
20,Kopf::N,κεφάλι,юр
21,Rücken::N,ράχη,мышк
22,Bauch::N,κοιλιά,кынӧм
23,Nabel::N,αφαλός,гӧг
24,Busen::N,στήθος,морос
25,Brust::N,στήθος,морос
26,Schulter::N,ώμος,пельпон
27,Arm::N,χέρι,ки
28,Arm::N,μπράτςο,ки
29,Ellenbogen::N,αγκώνας,гырдзза
30,Hand::N,χέρι,кикар
31,Handfläche::N,παλάμη,ки пыдӧс
32,Finger::N,δάχτυλο,чунь
33,Fingernagel::N,νύχι,гыж
34,Nagel[Anatomie]::N,νύχι,гыж
35,Zeh::N,δάχτυλο του ποδιού,чунь
36,Fuß::N,πόδι,кокпыдӧс
37,Ferse::N,φτέρνα,кокдзир
38,Knie::N,γόνατο,пидзӧс
39,Oberschenkel::N,μηρός,лядьбей
40,Bein::N,πόδι,кок
41,Körper::N,σώμα,вывтыр
42,Körper::N,κορμί,вывтыр
43,Haut::N,πετσί,кучик
44,Blut::N,αίμα,вир
45,Ader::N,φλέβα,сӧн
46,Sehne::N,νεύρο,жила
47,Sehne::N,τένοντας,жила
48,Knochen::N,οστό,коска
49,Knochen::N,κόκκαλο,коска
50,Gehirn::N,μυαλό,вем
51,Gehirn::N,εγκέφαλος,вем
52,Herz::N,καρδιά,сьӧлӧм
53,Magen::N,στομάχι,жӧвдӧк
54,Leber::N,ήπαρ,мус
55,Leber::N,συκωτί,мус
56,Atem::N,αναπνοή,лолалӧм
57,Hunger::N,πείνα,тшыг
58,Träne::N,δάκρυ,синва
59,Geschmack::N,γεύση,кӧр
60,Geruch::N,οσμή,дук
61,Geruch::N,μυρωδία,дук
62,Schlaf::N,ύπνος,он
63,Traum::N,όνειρο,вӧт
64,Himmel::N,ουρανός,небо
65,Sonne::N,ήλιος,шондi
66,Mond::N,σελήνη,тӧлiсь
67,Mond::N,φεγγάρι,тӧлiсь
68,Stern::N,άστρο,кӧдзыв
69,Stern::N,αστέρι,кӧдзыв
70,Luft::N,αέρας,ру
71,Wind::N,αέρας,тӧв
72,Wind::N,άνεμος,тӧв
73,Welle::N,κύμα,гы
74,Wasser::N,νερό,ва
75,Stein::N,πέτρα,из
76,Boden::N,χώμα,му
77,Erde::N,γη,му
78,Staub::N,σκόνη,бус
79,Rauch::N,καπνός,тшын
80,Funke::N,σπίθα,бичир
81,Funke::N,σπινθήρας,бичир
82,Feuer::N,φωτιά,би
83,Licht::N,φως,би
84,Schatten::N,σκιά,вуджӧр
85,Schatten::N,ίσκιος,вуджӧр
86,Wetter::N,καιρός,погоддя
87,Nebel::N,ομίχλη,туман
88,Wolke::N,σύννεφο,кымӧр
89,Regen::N,βροχή,зэр
90,Schnee::N,χιόνι,лым
91,Eis::N,πάγος,йы
92,Frost::N,παγωνία,мороз
93,Kälte::N,κρύο,кӧдзыт
94,Kälte::N,ψύχος,кӧдзыт
95,Hitze::N,ζέστη,ӧд
96,Raureif::N,πάχνη,кижа
97,Regenbogen::N,ουράνιο τόξο,енӧшка
98,Donner::N,βροντή,гым
99,Strömung::N,ρεύμα,визывтӧм
100,Tropfen::N,στάλα,тёп
101,Schaum::N,αφρός,быг
102,Schmutz::N,βρωμιά,нять
103,See::N,λίμνη,ты
104,Sumpf::N,βάλτος,арай
105,Moor::N,έλος,нюр
106,Wiese::N,λιβάδι,видз
107,Wald::N,δάσος,вӧр
108,Hügel::N,λόφος,мыльк
109,Anhöhe::N,ύψωμα,вывтас
110,Anhöhe::N,ύψωμα,вылынін
111,Berg::N,όρος,керӧс
112,Berg::N,βουνό,керӧс
113,Gipfel::N,κορυφή,йыв
114,Höhle::N,σπηλιά,нора
115,Abhang::N,πλαγιά,покат
116,Quelle::N,πηγή,больган
117,Quelle::N,βρύση,больган
118,Bach::N,ρυάκι,шор
119,Fluss::N,ποτάμι,ю
120,Fluss::N,ποταμός,ю
121,Ufer::N,όχθη,берег
122,Küste::N,ακτή,берег
123,Küste::N,ακρογιαλιά,берег
124,Festland::N,στεριά,му
125,Meer::N,θάλασσα,море
126,Bucht::N,κόλπος,курья
127,Insel::N,νησί,
128,Insel::N,νήσος,
129,Blume::N,άνθος,цветок
130,Blume::N,λουλούδι,цветок
131,Gras::N,χόρτο,турун
132,Gras::N,χορτάρι,турун
133,Wurzel::N,ρίζα,вуж
134,Baum::N,δέντρο,пу
135,Stamm::N,κορμός,мыр
136,Stamm::N,κορμός,кер
137,Rinde::N,φλούδα,кач
138,Ast::N,κλαδί,ув
139,Zweig::N,κλαδί,ув
140,Zweig::N,κλάδος,ув
141,Blatt::N,φύλλο,лист
142,Birke::N,σημύδα,кыдз
143,Kiefer[Baum]::N,πεύκο,пожум
144,Weide[Baum]::N,ιτιά,бадь
145,Tanne::N,έλατο,кӧз
146,Horn::N,κέρας,сюр
147,Horn::N,κέρατο,сюр
148,Feder::N,φτερό,гӧн
149,Fell::N,δέρμα,кучик
150,Fell::N,τομάρι,кучик
151,Flügel::N,πτερύγιο,борд
152,Klaue::N,κουλό,гыж
153,Kralle::N,νύχι,кабыр
154,Schwanz::N,ουρά,бӧж
155,Ei::N,αβγό,кольть
156,Nest::N,φωλιά,поз
157,Bau::N,φωλιά,осьта
158,Bau::N,φωλιά,нора
159,Tier::N,ζώο,зверь
160,Herde::N,κοπάδι,гурт
161,Kuh::N,αγελάδα,мӧс
162,Bulle::N,ταύρος,ӧшка
163,Pferd::N,άλογο,вӧв
164,Schaf::N,πρόβατο,баля
165,Schwein::N,γουρούνι,порсь
166,Hund::N,σκυλί,пон
167,Hund::N,σκύλος,пон
168,Katze::N,γάτα,кань
169,Bär::N,άρκτος,ош
170,Bär::N,αρκούδα,ош
171,Eichhörnchen::N,βερβερίτσα,ур
172,Elch::N,άλκη,вӧр мӧс
173,Fuchs::N,αλεπού,руч
174,Hase::N,λαγός,кӧч
175,Maus::N,ποντικός,шыр
176,Wolf::N,λύκος,кӧин
177,Vogel::N,πουλί,кай
178,Schwarm::N,σμήνος,стая
179,Schwarm::N,σμήνος,чукӧр
180,Huhn::N,κότα,курӧг
181,Huhn::N,όρνιθα,курӧг
182,Hahn::N,πετεινός,петух
183,Hahn::N,πετεινός,ай курӧг
184,Gans::N,χήνα,дзодзог
185,Adler::N,αετός,куч
186,Adler::N,αετός,кутш
187,Ente::N,πάπια,утка
188,Eule::N,κουκουβάγια,тупка
189,Kranich::N,γερανός,тури
190,Krähe::N,καρακάξα,рака
191,Kuckuck::N,κούκος,кӧк
192,Schwan::N,κύκνος,юсь
193,Fisch::N,ψάρι,чери
194,Barsch::N,πέρκα,ёкыш
195,Hecht::N,λούτσος,сирпинь
196,Schlange[Tier]::N,φίδι,змей
197,Wurm::N,σκουλήκι,номыр
198,Spinne::N,αράχνη,черань
199,Ameise::N,μυρμήγκι,кӧдзывкар
200,Laus::N,ψείρα,ляпа той
201,Mücke::N,κουνούπι,ном
202,Fliege::N,μύγα,гут
203,Schmetterling::N,πεταλούδα,бабыв
204,Beere::N,ρόγα,ягӧд
205,Apfel::N,μήλο,яблоко
206,Pilz::N,μανιτάρι,тшак
207,Zwiebel::N,κρεμμύδι,грез
208,Saat::N,σπόρος,кӧдзыс
209,Korn::N,σπυρί,сю
210,Heu::N,σανός,турун
211,Schale::N,τσόφλι,кыш
212,Schale::N,τσόφλι,киль
213,Grube::N,λάκκος,яма
214,Falle::N,παγίδα,нальк
215,Falle::N,παγίδα,кляпча
216,Schlinge::N,θηλειά,лӧч
217,Spur::N,ίχνος,туй
218,Asche::N,στάχτη,пӧим
219,Dreck::N,βρωμιά,нять
220,Eisen::N,σίδερο,кӧрт
221,Gold::N,μάλαμα,зарни
222,Gold::N,χρυσάφι,зарни
223,Silber::N,ασήμι,язісь
224,Silber::N,άργυρος,язісь
225,Kohle::N,κάρβουνο,шом
226,Kohle::N,κάρβουνο,уголь
227,Glas::N,γυαλί,стекло
228,Lehm::N,πηλός,сёй
229,Sand::N,άμμος,лыа
230,Mensch::N,άνθρωπος,морт
231,Mann::N,άνδρας,мужик
232,Frau::N,γυναίκα,инька
233,Kind::N,παιδί,кага
234,Junge::N,αγόρι,зонка
235,Mädchen::N,κοπέλα,нывкаок
236,Mädchen::N,κορίτσι,нывкаок
237,Familie::N,οικογένεια,семья
238,Großvater::N,παππούς,дед
239,Großmutter::N,γιαγιά,баб
240,Eltern::N,γονείς,ай-мам
241,Vater::N,πατέρας,ай
242,Mutter::N,μητέρα,мам
243,Sohn::N,γιος,зон
244,Tochter::N,κόρη,ныв
245,Bruder::N,αδελφός,вон
246,Schwester::N,αδελφή,сой
247,Onkel::N,θείος,дядь
248,Tante::N,θεία,айӧлӧн сой
249,Tante::N,θεία,ичинь
250,Ehemann::N,σύζυγος,жӧник
251,Ehefrau::N,σύζυγος,инь
252,Freude::N,χαρά,гаж
253,Freude::N,χαρά,радъялӧм
254,Gelächter::N,γέλια,сералӧм
255,Glück::N,ευτυχία,мичлун
256,Kummer::N,έγνοια,шог
257,Wunsch::N,επιθυμία,мӧдӧм
258,Wunsch::N,επιθυμία,охотитӧм
259,Lust::N,όρεξη,охота
260,Geist::N,πνέυμα,лов
261,Gedanke::N,σκέψη,дума
262,Gedächtnis::N,μνήμη,тӧдвыв
263,Verstand::N,νους,вежӧр
264,Sinn::N,νόημα,ылӧс
265,Grund::N,λόγος,мог
266,Wahrheit::N,αλήθεια,правда
267,Gespräch::N,συνομιλία,сёрни
268,Märchen::N,παραμύθι,сказка
269,Erzählung::N,διήγημα,висьт
270,Nachricht::N,είδηση,юӧр
271,Nachricht::N,είδηση,висьталӧм
272,Neuigkeit::N,νέο,новость
273,Name::N,όνομα,ним
274,Rätsel::N,αίνιγμα,загадка
275,Rede::N,λόγος,сёрни
276,Rede::N,ομιλία,сёрни
277,Sprache::N,γλώσσα,кыв
278,Stimme::N,φωνή,голос
279,Wort::N,λέξη,кыв
280,Zeichen::N,σημείο,пас
281,Ruf::N,κραυγή,чуксӧм
282,Ruf::N,κραυγή,чукӧстӧм
283,Lärm::N,θόρυβος,шум
284,Laut::N,ήχος,шы
285,Ton::N,ήχος,гор
286,Ton::N,τόνος,гор
287,Lied::N,τραγούδι,сьыланкыв
288,Ruhe::N,ησυχία,спокой
289,Leute::N,κόσμος,йӧз
290,Leute::N,άνθρωποι,йӧз
291,Volk::N,λαός,йӧз
292,Volk::N,λαός,народ
293,Arbeit::N,εργασία,удж
294,Gast::N,επισκέπτης,гӧсь
295,Geschenk::N,δώρο,гӧснеч
296,Geschenk::N,δώρο,подарок
297,Spiel::N,παιχνίδι,орсӧм
298,Gesellschaft::N,κοινωνία,компания
299,Hilfe::N,βοήθεια,отсӧт
300,Freund::N,φίλος,модз
301,Freund::N,φίλος,дружок
302,Kamerad::N,σύντροφος,тӧдса
303,Angelegenheit::N,υπόθεση,дело
304,Anzahl::N,αριθμός,лыд
305,Art::N,είδος,пӧлӧс
306,Stück::N,κομμάτι,тор
307,Teil::N,μέρος,юкӧм
308,Hälfte::N,μισό,джын
309,Kreis::N,κύκλος,круг
310,Kreuz::N,σταυρός,перна
311,Linie::N,γραμμή,визь
312,Strich::N,γραμμή,кырӧв
313,Abstand::N,απόσταση,колас
314,Entfernung::N,απόσταση,ылына
315,Gegend::N,περιοχή,места
316,Gegend::N,τοποθεσία,места
317,Platz::N,χώρος,места
318,Ort::N,τόπος,места
319,Seite::N,πλευρά,ладор
320,Mitte::N,μέση,шӧр
321,Gegenstand::N,αντικείμενο,тор
322,Sache::N,πράγμα,тор
323,Rand::N,άκρη,дор
324,Rand::N,χείλος,дор
325,Kante::N,άκρη,ордлы
326,Ecke::N,γωνιά,пельӧс
327,Spitze::N,μύτη,йыв
328,Ende::N,άκρη,йыв
329,Loch::N,τρύπα,осьта
330,Winkel::N,γωνία,пельӧс
331,Muster::N,σχέδιο,сер
332,Größe::N,μέγεθος,ыжда
333,Länge::N,μήκος,кузя
334,Höhe::N,ύψος,сувда
335,Höhe::N,ύψος,вылына
336,Gewicht::N,βάρος,сьӧкта
337,Menge::N,ποσότητα,
338,Haufen::N,σωρός,куча
339,Reihe::N,αράδα,лёдз
340,Boot::N,βάρκα,пыж
341,Ruder::N,κουπί,пелыс
342,Schlitten::N,έλκηθρο,додь
343,Ski::N,σκι,лямпа
344,Lagerfeuer::N,φωτιά,бипур
345,Last::N,φορτίο,тягота
346,Gang::N,δρόμος,мунӧм
347,Schritt::N,βήμα,вожмӧв
348,Norden::N,βορράς,ой
349,Süden::N,νότος,лун
350,Westen::N,δύση,рытвыв
351,Osten::N,ανατολή,асыв
352,Holz::N,ξύλο,пу
353,Brett::N,σανίδι,пӧв
354,Platte::N,πλάκα,плита
355,Stütze::N,στήριγμα,пика
356,Stange::N,ραβδί,зор
357,Stange::N,ραβδί,потш
358,Stange::N,κοντός,зор
359,Stange::N,κοντός,потш
360,Stock::N,ξύλο,бедь
361,Stock::N,μπαστούνι,бедь
362,Stab::N,ραβδί,шест
363,Rohr::N,σωλήνας,труба
364,Haus::N,σπίτι,керку
365,Heim::N,σπίτι,керку
366,Ofen::N,σόμπα,пӧжавны
367,Ofen::N,θερμάστρα,пӧжавны
368,Fußboden::N,πάτωμα,джодж
369,Tisch::N,τραπέζι,пызан
370,Stuhl::N,καρέκλα,стул
371,Wiege::N,κούνια,зыбка
372,Bett::N,κρεβάτι,кровать
373,Regal::N,ράφι,джадж
374,Kiste::N,κιβώτιο,ящик
375,Fenster::N,παράθυρο,ӧшын
376,Tür::N,πόρτα,ыбӧс
377,Tor::N,πύλη,ворота
378,Zaun::N,φράχτης,забор
379,Dach::N,στέγη,крыша
380,Leiter::N,σκάλα,лиснич
381,Leiter::N,κλίμακα,лиснич
382,Besen::N,σκούπα,рос
383,Spaten::N,φτυάρι,зыр
384,Schaufel::N,φτυάρι,зыр
385,Gabel::N,πιρούνι,вила
386,Löffel::N,κουτάλι,пань
387,Messer::N,μαχαίρι,пурт
388,Nagel::N,καρφί,кӧрттув
389,Netz::N,δίχτυ,кыйӧт
390,Haken::N,γάντζος,ем
391,Haken::N,αγκίστρι,ем
392,Griff::N,λαβή,пу
393,Schloss::N,κλειδαριά,замок
394,Bild::N,εικόνα,картина
395,Figur::N,ανάστημα,мыгӧр
396,Puppe::N,κούκλα,акань
397,Beutel::N,πουγγί,мешӧк
398,Bündel::N,δεμάτι,нин
399,Tasche::N,τσάντα,сумка
400,Eimer::N,κουβάς,ведра
401,Deckel::N,καπάκι,вевт
402,Geschirr::N,σκεύη,доз
403,Geschirr::N,σκεύη,бекӧрпань
404,Sack::N,σάκος,мешӧк
405,Tasse::N,φλιτζάνι,бекӧр
406,Topf::N,χύτρα,кастрюля
407,Kessel::N,καζάνι,пӧрт
408,Essen::N,φαγητό,сёйӧм
409,Nahrung::N,τροφή,вердан
410,Speise::N,φαγητό,сёян
411,Fleisch::N,κρέας,яй
412,Getreide::N,σιτάρι,сю
413,Brei::N,χυλός,каша
414,Brot::N,ψωμί,нянь
415,Brot::N,άρτος,нянь
416,Scheibe::N,φέτα,шӧрӧм
417,Fett::N,πάχος,гос
418,Butter::N,βούτυρο,ви
419,Öl::N,λάδι,ви
420,Salz::N,αλάτι,сов
421,Suppe::N,σούπα,шыд
422,Honig::N,μέλι,ма
423,Milch::N,γάλα,йӧв
424,Tee::N,τσάι,чай
425,Leder::N,πετσί,кучик
426,Wolle::N,μαλλί,гӧн
427,Stoff::N,ύφασμα,дӧра
428,Nadel::N,βελόνα,ем
429,Faden::N,κλωστή,сунис
430,Knopf::N,κουμπί,кизь
431,Knoten::N,κόμπος,узӧв
432,Knoten::N,κόμπος,гӧрӧд
433,Farbe::N,μπογιά,краска
434,Kleidung::N,ρούχα,паськӧм
435,Kleidung::N,ενδυμασία,паськӧм
436,Hemd::N,πουκάμισο,йӧрнӧс
437,Kragen::N,κολάρο,воротник
438,Ärmel::N,μανίκι,сос
439,Hose::N,πανταλόνι,вешьян
440,Gürtel::N,ζώνη,йи
441,Mütze::N,σκούφος,шапка
442,Schuh::N,παπούτσι,ботинки
443,Stiefel::N,μπότα,сапог
444,Ring::N,δαχτυλίδι,чунькытш
445,Band::N,κορδέλα,ленточка
446,Kamm::N,χτένα,сынан
447,Spiegel::N,καθρέφτης,зеркало
448,Riemen::N,λουρί,ремень
449,Schnur::N,κορδόνι,гез
450,Leine::N,σχοινί,повод
451,Decke::N,κουβέρτα,одеяло
452,Kissen::N,μαξιλάρι,подушка
453,Tuch::N,πανί,чышьян
454,Tuch::N,μαντήλι,чышьян
455,Handtuch::N,πετσέτα,чышкӧт
456,Kraft::N,δύναμη,прак
457,Stärke::N,ισχύς,вын
458,Stärke::N,δύναμη,вын
459,Gesundheit::N,υγεία,здоровье
460,Krankheit::N,αρρώστια,шог
461,Schmerz::N,πόνος,зубыт
462,Wunde::N,πληγή,рана
463,Fieber::N,πυρετός,лёк тресся
464,Fieber::N,πυρετός,кынтан шогӧт
465,Arznei::N,φάρμακο,лекарство
466,Brücke::N,γέφυρα,пос
467,Brunnen::N,πηγάδι,колодец 
468,Weide::N,βοσκή,пода йирсян
469,Pfad::N,μονοπάτι,туй
470,Weg::N,δρόμος,туй
471,Straße::N,οδός,туй
472,Straße::N,δρόμος,туй
473,Dorf::N,χωριό,деревня
474,Stadt::N,πόλη,город
475,Brief::N,γράμμα,гижӧт
476,Brief::N,επιστολή,гижӧт
477,Buch::N,βιβλίο,книга
478,Buchstabe::N,γράμμα,буква
479,Zeitung::N,εφημερίδα,газета
480,Leben::N,ζωή,олан
481,Leben::N,βίος,олан
482,Tod::N,θάνατος,кулӧм
483,Grab::N,τάφος,гу
484,Kirche::N,εκκλησία,вичку
485,Sünde::N,αμαρτία,грек
486,Gott::N,θεός,ен
487,Arbeiter::N,εργάτης,уджалiсь
488,Chef::N,προϊστάμενος,начальник
489,Meister::N,μάστορας,мастер
490,Meister::N,αρχιτεχνίτης,мастер
491,Arzt::N,γιατρός,врач
492,Lehrer::N,δάσκαλος,велӧтісь
493,Geld::N,λεφτά,деньга
494,Geld::N,χρήματα,деньга
495,Geschäft::N,συναλλαγή,удж
496,Laden::N,μαγαζί,магазин
497,Laden::N,κατάστημα,магазин
498,Preis::N,τιμή,дон
499,Ware::N,εμπόρευμα,товар
500,Nutzen::N,όφελος,путь
501,Reichtum::N,πλούτος,богатство
502,Welt::N,κόσμος,му
503,Land::N,χώρα,страна
504,Staat::N,κράτος,государство
505,Staat::N,πολιτεία,государство
506,König::N,βασιλιάς,кан
507,Macht::N,εξουσία,власть
508,Grenze::N,σύνορα,граница
509,Krieg::N,πόλεμος,война
510,Feind::N,εχθρός,враг
511,Gewalt::N,βία,
512,Kampf::N,αγώνας,нярасьӧм
513,Kampf::N,αγώνας,вермасьӧм
514,Bogen[Waffe]::N,τόξο,лук
515,Pfeil::N,σαΐτα,ньӧв
516,Gewehr::N,τουφέκι,ружьё
517,Fehler::N,λάθος,ошибка
518,Fehler::N,σφάλμα,ошибка
519,Lüge::N,ψέμα,ылӧтӧм
520,Lüge::N,ψέμα,пӧрьялӧм
521,Lüge::N,ψεύδος,ылӧтӧм
522,Lüge::N,ψεύδος,пӧрьялӧм
523,Schaden::N,ζημία,лёк
524,Unglück::N,δυστυχία,пик
525,Unglück::N,δυστυχία,оказзё
526,Schuld::N,ενοχή,вина
527,Schuld::N,φταίξιμο,вина
528,Alter::N,ηλικία,
529,Schluss::N,τέλος,ком
530,Zeit::N,χρόνος,кад
531,Tag::N,μέρα,лун
532,Tag::N,ημέρα,лун
533,Morgen::N,πρωί,асыв
534,Mittag::N,μεσημέρι,луншӧр кад
535,Abend::N,βράδυ,рыт
536,Nacht::N,νύχτα,ой
537,Woche::N,εβδομάδα,неделя
538,Monat::N,μήνας,тӧлicь
539,Jahr::N,έτος,год
540,Jahr::N,χρόνος,год
541,Frühling::N,άνοιξη,тулыс
542,Sommer::N,καλοκαίρι,гожум
543,Herbst::N,φθινόπωρο,ар
544,Winter::N,χειμώνας,тӧв
545,Januar::N,Ιανουάριος,январ
546,Februar::N,Φεβρουάριος,февраль
547,März::N,Μάρτιος,март
548,April::N,Απρίλιος,апрель
549,Mai::N,Μάιος,май
550,Juni::N,Ιούνιος,юнь
551,Juli::N,Ιούλιος,юль
552,August::N,Αύγουστος,август
553,September::N,Σεπτέμβριος,сентяб
554,Oktober::N,Οκτώβριος,октяб
555,November::N,Νοέμβριος,нояб
556,Dezember::N,Δεκέμβριος,декаб
557,Montag::N,Δευτέρα,вильлун
558,Dienstag::N,Τρίτη,мӧдӧдзлун
559,Mittwoch::N,Τετάρτη,шӧрлун
560,Donnerstag::N,Πέμπτη,нёльӧдзлун
561,Freitag::N,Παρασκευή,витӧдзлун
562,Samstag::N,Σάββατο,пывсянлун
563,Sonntag::N,Κυριακή,кресення
564,groß::A,μεγάλος,ыджыт
565,klein::A,μικρός,учӧтик
566,lang::A,μακρύς,кузь
567,kurz::A,κοντός,дженыт
568,breit::A,φαρδύς,ота
569,schmal::A,στενός,векнит
570,dicht::A,πυκνός,тшӧк
571,dick[Gegenstand]::A,παχύς,кыз
572,dick[Gegenstand]::A,χοντρός,кыз
573,dünn::A,ψιλός,вӧснит
574,dünn::A,λεπτός,вӧснит
575,fein::A,ψιλός,вӧснит
576,fest::A,στερεός,крепыт
577,flach::A,επίπεδος,лапкӧса
578,glatt::A,λείος,волькыт
579,glatt::A,ομαλός,волькыт
580,hart::A,σκληρός,чӧрыт
581,weich::A,μαλακός,небыт
582,rund::A,στρογγυλός,гӧгрӧса
583,spitz::A,μυτερός,ёся
584,scharf::A,κοφτερός,лэчыт
585,stumpf::A,αμβλύς,ныж
586,schwer::A,βαρύς,сьӧкыт
587,schön::A,ωραίος,басӧк
588,schön::A,όμορφος,басӧк
589,heiß::A,ζεστός,жар
590,warm::A,θερμός,шоныт
591,kalt::A,κρύος,кӧдзыт
592,kalt::A,ψυχρός,кӧдзыт
593,kühl::A,δροσερός,сайкыт
594,frisch::A,νωπός,виль
595,frisch::A,φρέσκος,виль
596,feucht::A,υγρός,вакодь
597,nass::A,βρεγμένος,ва
598,trocken::A,ξηρός,кӧс
599,trocken::A,στεγνός,кӧс
600,voll::A,γεμάτος,тыра
601,leer::A,άδειος,тыртӧм
602,offen::A,ανοιχτός,оссьӧм
603,geschlossen::A,κλειστός,игана
604,geschlossen::A,κλειστός,пӧдана
605,sauber::A,καθαρός,сӧдз
606,sauber::A,καθαρός,сӧстӧм
