,Concept_ID,uz,zh
0,Auge::N,ko'z,眼睛
1,Ohr::N,quloq,耳朵
2,Nase::N,burun,鼻子
3,Mund::N,og'iz,嘴
4,Zahn::N,tish,牙齿
5,Zunge::N,til,舌头
6,Lippe::N,dudoq,嘴唇
7,Wange::N,bet,面颊
8,Gesicht::N,yuz,脸
9,Stirn::N,manglay,额
10,Haar::N,soch,头发
11,Schnurrbart::N,mo'ylov,髭须
12,Bart::N,soqol,胡子
13,Kinn::N,ängak,下巴
14,Kiefer[Anatomie]::N,iyak,颌
15,Kehle::N,bo'g'iz,嗓子
16,Hals::N,bo'yin,颈
17,Genick::N,gardan,后颈
18,Kopf::N,bosh,头
19,Rücken::N,orqa,背
20,Bauch::N,qorin,肚子
21,Nabel::N,kindik,肚脐
22,Busen::N,ämchak,胸脯
23,Brust::N,ko'krak,胸
24,Schulter::N,elka,肩膀
25,Arm::N,bilak,臂膀
26,Ellenbogen::N,tirsak,肘
27,Hand::N,qo'l,手
28,Handfläche::N,kaft,手掌
29,Finger::N,barmoq,手指
30,Fingernagel::N,tirnoq,指甲
31,Nagel[Anatomie]::N,tirnoq,指甲
32,Zeh::N,oyoq barmog'i,脚趾
33,Fuß::N,oyoq,脚
34,Ferse::N,tovon,后跟
35,Knie::N,tiz,膝
36,Oberschenkel::N,son,大腿
37,Bein::N,oyoq,腿
38,Körper::N,badna,身体
39,Haut::N,teri,皮肤
40,Blut::N,qon,血
41,Ader::N,qon tomir,血管
42,Sehne::N,tomir,腱
43,Knochen::N,suyak,骨
44,Gehirn::N,miya,脑
45,Herz::N,qalb,心
46,Magen::N,oshqozon,胃
47,Leber::N,bag'ir,肝
48,Atem::N,dam,呼吸
49,Hunger::N,ochlik,饿
50,Träne::N,yosh,眼泪
51,Geschmack::N,tam,味道
52,Geruch::N,jid,气味
53,Schlaf::N,uyqu,睡眠
54,Traum::N,tush,梦
55,Himmel::N,osmon,天空
56,Sonne::N,quyosh,太阳
57,Mond::N,oy,月亮
58,Stern::N,yulduz,星
59,Luft::N,havo,空气
60,Wind::N,el,风
61,Welle::N,to'lqin,波
62,Wasser::N,suv,水
63,Stein::N,tosh,石头
