,Concept_ID,bn,xal
158,Huhn::N,মোরগ,така
159,Hahn::N,কুক্কুট,эр така
160,Gans::N,হংসী,һалун
161,Adler::N,ইগল,һәрд
162,Ente::N,হংসী,нуһсн
163,Eule::N,পেচক,һурвлһ
164,Kranich::N,সারস,тоһрун
165,Krähe::N,কাক,шаазһа
166,Kuckuck::N,কোকিল,эргин хуцдг
167,Schwan::N,মরাল,хун
168,Fisch::N,মাছ,заһсн
169,Barsch::N,মৎন্যবিশেষ,шүрг
170,Hecht::N,বানমাছ,цурх
171,Schlange[Tier]::N,সর্প,моһа
172,Wurm::N,কীট,өтн
173,Spinne::N,মাকড়সা,аралҗн
174,Ameise::N,পিপীলিকা,шорһлҗн
175,Laus::N,উকুন,бөөсн
176,Mücke::N,মশা,бөкүн
177,Fliege::N,মাছি,батхн
178,Schmetterling::N,প্রজাপতি,эрвәкә
179,Beere::N,বেরি,бөөлҗрһн
180,Apfel::N,আপেল,альмн
181,Pilz::N,ছত্রক,теңгрин ки
182,Zwiebel::N,পিয়াজ,мәңгрснә толһа
183,Saat::N,বীজ,буудян экн
184,Korn::N,শস্য,экн
185,Heu::N,খড়,өвсн
186,Schale::N,খোসা,хальсн
187,Grube::N,গর্ত,нүкн
188,Falle::N,ফাঁদ,урх
189,Falle::N,ফাঁদ,хавх
190,Schlinge::N,পাশ,бүтү
191,Spur::N,চিহ্ন,мөр
192,Asche::N,ভস্ম,үмсн
193,Dreck::N,ময়লা,бальчг
194,Eisen::N,লোহা,төмр
195,Gold::N,স্বর্ণ,алтн
196,Silber::N,রৌপ্য,мөңгн
197,Silber::N,রৌপ্য,цаһан мөңгн
198,Kohle::N,অঙ্গার,нүүрсн
199,Glas::N,কাচ,шил
200,Lehm::N,মৃত্তিকা,шавр
201,Sand::N,বালি,элсн
202,Mensch::N,নর,күн
203,Mensch::N,নর,күмн
204,Mensch::N,মানুষ,күн
205,Mensch::N,মানুষ,күмн
206,Mann::N,মানুষ,эр
207,Frau::N,নারী,күүкд күн
208,Kind::N,বাচ্চা,үрн
209,Junge::N,ছেলে,көвүн
210,Mädchen::N,মেয়ে,бичкн күүкн
211,Familie::N,পরিবার,бүл
212,Großvater::N,মাতামহ,өвк эцк
213,Großvater::N,মাতামহ,наһц эцк
