,Concept_ID,ba,sk
0,Auge::N,күҙ,oko
1,Ohr::N,ҡолаҡ,ucho
2,Nase::N,танау,nos
3,Mund::N,ауыҙ,ústa
4,Zahn::N,теш,zub
5,Zunge::N,тел,jazyk
6,Lippe::N,ирен,pera
7,Wange::N,яцаҡтар,líce
8,Gesicht::N,бит,tvár
9,Gesicht::N,бит,obličaj
10,Stirn::N,маңлай,čelo
11,Haar::N,сәс,vlas
12,Schnurrbart::N,мылтыҡ,fúzy
13,Bart::N,һаҡал,brada
14,Kinn::N,эйэк,brada
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,čeľusť
16,Kehle::N,тамаҡ,hrdlo
17,Hals::N,муйын,krk
18,Genick::N,соңҡа,väzy
19,Kopf::N,баш,hlava
20,Rücken::N,арҡа,chrbát
21,Bauch::N,ҡорһаҡ,brucho
22,Nabel::N,кендек,pupok
23,Busen::N,күкрәк,prsia
24,Brust::N,түш,hruď
25,Schulter::N,яурын,plece
26,Arm::N,ҡул,rameno
27,Ellenbogen::N,терһәк,lakeť
28,Hand::N,ҡул,ruka
29,Hand::N,ҡул суғы,ruka
30,Handfläche::N,ус төбө,dlaň
31,Finger::N,бармаҡ,prst
32,Fingernagel::N,тырнаҡ,necht
33,Nagel[Anatomie]::N,тырнаҡ,necht
34,Zeh::N,бармаҡ,prst na nohe
35,Fuß::N,табан,noha
36,Ferse::N,үксә,päta
37,Knie::N,тубыҡ,koleno
38,Oberschenkel::N,сандыр,stehno
39,Bein::N,аяҡ,noha
40,Körper::N,тән,telo
41,Haut::N,тире,koža
42,Blut::N,ҡан,krv
43,Ader::N,тамыр,žila
44,Sehne::N,һеңер,šľacha
45,Sehne::N,тарамыш,šľacha
46,Knochen::N,һойәк,kosť
47,Gehirn::N,мейе,mozog
48,Herz::N,йорәк,srdce
49,Magen::N,ашҡаҙан,žalúdok
50,Leber::N,бауыр,pečeň
51,Atem::N,һулыш,dych
52,Hunger::N,аслыҡ,hlad
53,Träne::N,күҙ иәше,slza
54,Geschmack::N,тәм,chuť
55,Geruch::N,еҫ,pach
56,Schlaf::N,йоҡлау,spánok
57,Traum::N,төш,sen
58,Himmel::N,күк,nebo
59,Sonne::N,ҡояш,slnko
60,Mond::N,ай,mesiac
61,Stern::N,йондоҙ,hviezda
62,Luft::N,һауа,vzduch
63,Wind::N,ел,vietor
64,Welle::N,тулҡын,vlna
65,Wasser::N,һыу,voda
66,Stein::N,таш,kameň
67,Boden::N,тупраҡ,zem
68,Boden::N,тупраҡ,pôda
69,Erde::N,балсҡ,zem
70,Staub::N,туҙан,prach
71,Rauch::N,төтөн,dym
72,Funke::N,осҡон,iskra
73,Feuer::N,ут,oheň
74,Licht::N,яҡтылыҡ,svetlo
75,Schatten::N,күләгә,tieň
76,Wetter::N,һауа торошо,počasie
77,Nebel::N,төман,hmla
78,Wolke::N,болот,oblak
79,Wolke::N,болот,mračno
80,Regen::N,ямғыр,dážď
81,Schnee::N,ҡар,sneh
82,Eis::N,боҙ,ľad
83,Frost::N,һалҡын,mráz
84,Kälte::N,һыуыҡ,zima
85,Kälte::N,һыуыҡ,chlad
86,Hitze::N,томра,horúčava
87,Hitze::N,эҫелек,horúčava
88,Raureif::N,ҡырау,srieň
89,Raureif::N,ҡырау,inovať
90,Regenbogen::N,йәйғор,dúha
91,Donner::N,күк күкрәү,hrom
92,Strömung::N,ағым,prúdenie
93,Tropfen::N,тамсы,kvapka
94,Schaum::N,күбек,pena
95,Schmutz::N,батҡаҡ,špina
96,Schmutz::N,батҡаҡ,nečistota
97,See::N,күл,jazero
98,Sumpf::N,һаҙлык,bahno
99,Moor::N,һаҙ,močiar
100,Wiese::N,болон,lúka
101,Wald::N,урман,les
102,Wald::N,урман,hora
103,Hügel::N,түбә,vŕšok
