,Concept_ID,uz,en
0,Auge::N,ko'z,eye
1,Ohr::N,quloq,ear
2,Nase::N,burun,nose
3,Mund::N,og'iz,mouth
4,Zahn::N,tish,tooth
5,Zunge::N,til,tongue
6,Lippe::N,dudoq,lip
7,Wange::N,bet,cheek
8,Gesicht::N,yuz,face
9,Stirn::N,manglay,forehead
10,Haar::N,soch,hair
11,Schnurrbart::N,mo'ylov,moustache
12,Bart::N,soqol,beard
13,Kinn::N,ängak,chin
14,Kiefer[Anatomie]::N,iyak,jaw
15,Kehle::N,bo'g'iz,throat
16,Hals::N,bo'yin,neck
17,Genick::N,gardan,nape
18,Kopf::N,bosh,head
19,Rücken::N,orqa,back
20,Rücken::N,orqa,spine
21,Bauch::N,qorin,belly
22,Nabel::N,kindik,navel
23,Busen::N,ämchak,bosom
24,Brust::N,ko'krak,chest
25,Brust::N,ko'krak,breast
26,Schulter::N,elka,shoulder
27,Arm::N,bilak,arm
28,Ellenbogen::N,tirsak,elbow
29,Hand::N,qo'l,hand
30,Handfläche::N,kaft,palm
31,Finger::N,barmoq,finger
32,Fingernagel::N,tirnoq,fingernail
33,Nagel[Anatomie]::N,tirnoq,nail
34,Zeh::N,oyoq barmog'i,toe
35,Fuß::N,oyoq,foot
36,Ferse::N,tovon,heel
37,Knie::N,tiz,knee
38,Oberschenkel::N,son,thigh
39,Bein::N,oyoq,leg
40,Körper::N,badna,body
41,Haut::N,teri,skin
42,Blut::N,qon,blood
43,Ader::N,qon tomir,vein
44,Sehne::N,tomir,sinew
45,Knochen::N,suyak,bone
46,Gehirn::N,miya,brain
47,Herz::N,qalb,heart
48,Magen::N,oshqozon,stomach
49,Leber::N,bag'ir,liver
50,Atem::N,dam,breath
51,Hunger::N,ochlik,hunger
52,Träne::N,yosh,tear
53,Geschmack::N,tam,flavour
54,Geschmack::N,tam,flavor
55,Geruch::N,jid,odour
56,Geruch::N,jid,odor
57,Schlaf::N,uyqu,sleep
58,Traum::N,tush,dream
59,Himmel::N,osmon,sky
60,Sonne::N,quyosh,sun
61,Mond::N,oy,moon
62,Stern::N,yulduz,star
63,Luft::N,havo,air
64,Wind::N,el,wind
65,Welle::N,to'lqin,wave
66,Wasser::N,suv,water
67,Stein::N,tosh,stone
68,Boden::N,tuproq,soil
69,Boden::N,tuproq,ground
70,Erde::N,er,earth
71,Staub::N,chang,dust
72,Rauch::N,tutun,smoke
73,Funke::N,yalt,spark
74,Feuer::N,o't,fire
75,Licht::N,yorug',light
76,Schatten::N,soya,shadow
77,Wetter::N,havo,weather
78,Nebel::N,tuman,fog
79,Wolke::N,bulut,cloud
80,Regen::N,yomg'ir,rain
81,Schnee::N,qor,snow
82,Eis::N,muz,ice
83,Frost::N,ajoz,frost
84,Kälte::N,ajoz,chill
85,Hitze::N,issiq,heat
86,Raureif::N,qirov,hoarfrost
87,Regenbogen::N,kamalak,rainbow
88,Donner::N,guldur,thunder
89,Strömung::N,oqim,current
90,Tropfen::N,tomchi,drop
91,Schaum::N,ko'pik,foam
92,Schmutz::N,gard,dirt
93,See::N,ko'l,lake
94,Sumpf::N,botqoq,swamp
95,Moor::N,qir-adir,moor
96,Wiese::N,o'tzor,meadow
97,Wald::N,o'rmon,forest
98,Hügel::N,tepa,hill
99,Anhöhe::N,adir,elevation
100,Berg::N,tog',mountain
101,Gipfel::N,cho'qqi,summit
102,Höhle::N,kavak,cave
103,Abhang::N,to'sh,slope
104,Quelle::N,buloq,source
105,Bach::N,o'zan,brook
106,Fluss::N,daryo,river
107,Ufer::N,sohil,shore
108,Küste::N,qirg'oq,coast
109,Festland::N,materik,land
110,Meer::N,dengiz,sea
111,Bucht::N,qo'ltiq,cove
112,Insel::N,orol,island
113,Blume::N,gul,flower
114,Gras::N,sabza,grass
115,Wurzel::N,tub,root
116,Wurzel::N,tomir,root
117,Baum::N,daraxt,tree
118,Stamm::N,o'simta,trunk
119,Rinde::N,qobiq,bark
120,Ast::N,shox,limb
121,Zweig::N,butoq,branch
122,Blatt::N,barg,leaf
123,Birke::N,qayin,birch
124,Kiefer[Baum]::N,qarag'ay,pine
125,Weide[Baum]::N,shum,willow
126,Tanne::N,archa,fir
127,Horn::N,mugiz,horn
128,Feder::N,par,feather
129,Fell::N,mo'yna,fur
130,Flügel::N,qanot,wing
131,Klaue::N,tirnoq,claw
132,Kralle::N,tirnoq,claw
133,Schwanz::N,quyruq,tail
134,Ei::N,tuxum,egg
135,Nest::N,oshyon,nest
136,Bau::N,o'pqon,lair
137,Tier::N,hayvon,animal
138,Herde::N,gala,flock
139,Kuh::N,inak,cow
140,Bulle::N,ho'kiz,bull
141,Pferd::N,ot,horse
142,Schaf::N,qo'y,sheep
143,Schwein::N,cho'chqa,pig
144,Hund::N,it,dog
145,Katze::N,mushuk,cat
146,Bär::N,ayiq,bear
147,Eichhörnchen::N,tiyin,squirrel
148,Elch::N,los,elk
149,Fuchs::N,tulki,fox
150,Hase::N,kuyon,hare
151,Maus::N,sichqon,mouse
152,Wolf::N,bo'ri,wolf
153,Vogel::N,qush,bird
154,Schwarm::N,to'da,swarm
155,Huhn::N,tovuq,chicken
156,Hahn::N,xo'roz,cock
157,Gans::N,g'oz,goose
158,Adler::N,burgut,eagle
159,Ente::N,o'rdak,duck
160,Eule::N,boyo'g'li,owl
161,Kranich::N,turna,crane
162,Krähe::N,qarg'a,crow
163,Kuckuck::N,kakku,cuckoo
164,Schwan::N,oqkush,swan
165,Fisch::N,baliq,fish
166,Barsch::N,olabug'a,perch
167,Hecht::N,cho'rtan,pike
168,Schlange[Tier]::N,ilon,snake
169,Wurm::N,qurt,worm
170,Spinne::N,o'rgimchak,spider
171,Ameise::N,chumoli,ant
172,Laus::N,bit,louse
173,Mücke::N,chivin,midge
174,Fliege::N,pashsha,fly
175,Schmetterling::N,kapalak,butterfly
176,Beere::N,meva,berry
177,Apfel::N,olma,apple
178,Pilz::N,qo'ziqorin,mushroom
179,Zwiebel::N,piyoz,onion
180,Saat::N,äkin,seed
181,Korn::N,zarra,grain
182,Heu::N,xashak,hay
183,Schale::N,po'choq,husk
184,Grube::N,co'ra,pit
185,Falle::N,qopqon,trap
186,Schlinge::N,sirtmoq,noose
187,Spur::N,iz,track
188,Asche::N,kul,ashes
189,Dreck::N,kir,filth
190,Eisen::N,temir,iron
191,Gold::N,tilla,gold
192,Silber::N,kumush,silver
193,Kohle::N,ko'mir,coal
194,Glas::N,oyna,glass
195,Lehm::N,loy,clay
196,Sand::N,qum,sand
197,Mensch::N,odam,human
198,Mann::N,ärkak,man
199,Frau::N,ayol,woman
200,Kind::N,bola,child
201,Kind::N,kichkintoy,child
202,Junge::N,bola,boy
203,Mädchen::N,qiz,girl
204,Familie::N,oila,family
205,Großvater::N,buva,grandfather
206,Großvater::N,katta ota,grandfather
207,Großmutter::N,buvi,grandmother
208,Großmutter::N,katta oyi,grandmother
209,Eltern::N,ota-ona,parents
210,Vater::N,ota,father
211,Mutter::N,ona,mother
212,Sohn::N,o'g'il,son
213,Tochter::N,qiz,daughter
214,Bruder::N,og'a,brother
215,Bruder::N,uka,brother
216,Schwester::N,opa,sister
217,Schwester::N,singil,sister
218,Onkel::N,amaki,uncle
219,Tante::N,amma,aunt
220,Tante::N,xola,aunt
221,Ehemann::N,är,husband
222,Ehefrau::N,rafiqa,wife
223,Freude::N,ayish,joy
224,Gelächter::N,kulgi,laughter
225,Glück::N,saodat,happiness
226,Kummer::N,g'am,grief
227,Wunsch::N,orzu,wish
228,Lust::N,rag'bat,desire
229,Geist::N,ruh,spirit
230,Gedanke::N,fikr,thought
231,Gedächtnis::N,äs,memory
232,Verstand::N,aql,mind
233,Sinn::N,ma'ni,meaning
234,Grund::N,sabab,reason
235,Wahrheit::N,haq,truth
236,Gespräch::N,gap,talk
237,Märchen::N,ärtak,fairy tale
238,Erzählung::N,rivoyat,story
239,Nachricht::N,xabar,message
240,Neuigkeit::N,yangilik,news
241,Name::N,ot,name
242,Rätsel::N,topishmoq,puzzle
243,Rede::N,nutq,speech
244,Sprache::N,til,language
245,Stimme::N,ovoz,voice
246,Wort::N,so'z,word
247,Zeichen::N,alomat,sign
248,Ruf::N,chaqiriq,call
249,Lärm::N,taraq,noise
250,Laut::N,tovush,sound
251,Ton::N,un,tone
252,Lied::N,ashula,song
253,Ruhe::N,tinchlik,calm
254,Leute::N,xaloyiq,people
255,Volk::N,xalq,nation
256,Arbeit::N,ish,work
257,Gast::N,mehmon,guest
258,Geschenk::N,hadya,gift
259,Spiel::N,o'yin,game
260,Gesellschaft::N,jamiyat,company
261,Hilfe::N,yordam,help
262,Freund::N,do'st,friend
263,Kamerad::N,yo'ldosh,companion
264,Angelegenheit::N,daxl,matter
265,Anzahl::N,son,count
266,Art::N,tur,sort
267,Stück::N,parcha,piece
268,Teil::N,bo'lak,part
269,Hälfte::N,yarim,half
270,Kreis::N,aylana,circle
271,Kreuz::N,xoch,cross
272,Linie::N,liniya,line
273,Strich::N,chiziq,stroke
274,Abstand::N,oralik,gap
275,Entfernung::N,uzoqlik,distance
276,Gegend::N,yer,area
277,Platz::N,oralig,space
278,Ort::N,joy,place
279,Seite::N,yon,side
280,Mitte::N,o'rta,middle
281,Gegenstand::N,ashyo,item
282,Sache::N,buyum,thing
283,Rand::N,chek,fringe
284,Kante::N,tig',edge
285,Ecke::N,burchak,corner
286,Spitze::N,uch,tip
287,Ende::N,oxir,end
288,Loch::N,teshik,hole
289,Winkel::N,go'sha,angle
290,Muster::N,nusha,pattern
291,Größe::N,kattalik,size
292,Länge::N,uzunlik,length
293,Höhe::N,yuksaklik,height
294,Gewicht::N,solmoq,weight
295,Menge::N,miqdor,amount
296,Haufen::N,uyum,heap
297,Reihe::N,saf,row
298,Boot::N,qayiq,boat
299,Ruder::N,äshkak,oar
300,Schlitten::N,chana,sleigh
301,Ski::N,chang'i,ski
302,Lagerfeuer::N,gulxan,campfire
303,Last::N,yuk,load
304,Gang::N,yurish,walk
305,Schritt::N,qadam,step
306,Norden::N,shimol,north
307,Süden::N,janub,south
308,Westen::N,g'arb,west
309,Osten::N,sharq,east
310,Holz::N,yog'och,wood
311,Brett::N,taxta,board
312,Platte::N,tabaqa,slab
313,Stütze::N,tayanchi,bracket
314,Stange::N,qo'noq,pole
315,Stock::N,tayoq,stick
316,Stab::N,gavron,staff
317,Rohr::N,tarnov,pipe
318,Haus::N,uy,house
319,Heim::N,makon,home
320,Ofen::N,pechka,stove
321,Fußboden::N,pol,floor
322,Tisch::N,mosa,table
323,Stuhl::N,o'rindiq,chair
324,Wiege::N,beshik,cradle
325,Bett::N,yotoq,bed
326,Regal::N,tokcha,shelf
327,Kiste::N,sandiq,box
328,Fenster::N,deraza,window
329,Tür::N,äshik,door
330,Tor::N,darvoza,gate
331,Zaun::N,panjara,fence
332,Dach::N,tom,roof
333,Leiter::N,narvon,ladder
334,Besen::N,supurgi,broom
335,Spaten::N,bel,spade
336,Schaufel::N,kurak,shovel
337,Gabel::N,bilka,fork
338,Löffel::N,qoshiq,spoon
339,Messer::N,pichoq,knife
340,Nagel::N,mix,nail
341,Netz::N,to'r,net
342,Haken::N,ilgak,hook
343,Griff::N,sop,handle
344,Griff::N,tutqich,handle
345,Schloss::N,qulf,lock
346,Bild::N,rasm,picture
347,Figur::N,shakl,figure
348,Puppe::N,ko'g'irchoq,doll
349,Beutel::N,to'rva,pouch
350,Bündel::N,bog'lam,bundle
351,Tasche::N,kissa,bag
352,Eimer::N,chelak,bucket
353,Deckel::N,qopqoq,cover
354,Geschirr::N,idish,dishes
355,Sack::N,qop,sack
356,Tasse::N,piyola,cup
357,Topf::N,tuvak,pot
358,Kessel::N,qozon,kettle
359,Essen::N,tomoq,meal
360,Nahrung::N,emak,food
361,Speise::N,taom,dish
362,Fleisch::N,go'sht,meat
363,Getreide::N,g'alla,corn
364,Brei::N,bo'tqa,mush
365,Brot::N,non,bread
366,Scheibe::N,disk,slice
367,Fett::N,moy,fat
368,Butter::N,yog',butter
369,Öl::N,moy,oil
370,Salz::N,tuz,salt
371,Suppe::N,sho'rva,soup
372,Honig::N,asal,honey
373,Milch::N,sut,milk
374,Tee::N,choy,tea
375,Leder::N,charm,leather
376,Wolle::N,jun,wool
377,Stoff::N,mato,cloth
378,Nadel::N,igna,needle
379,Faden::N,ip,thread
380,Knopf::N,tugma,button
381,Knoten::N,tugun,knot
382,Farbe::N,bo'yok,paint
383,Kleidung::N,kiyim,clothes
384,Hemd::N,ko'ylak,shirt
385,Kragen::N,yoqa,collar
386,Ärmel::N,yeng,sleeve
387,Hose::N,shim,trousers
388,Gürtel::N,tasma,belt
389,Mütze::N,shapka,cap
390,Schuh::N,but,shoe
391,Stiefel::N,botinka,boot
392,Ring::N,yuzuk,ring
393,Band::N,rishta,ribbon
394,Kamm::N,taroq,comb
395,Spiegel::N,ko'zgu,mirror
396,Riemen::N,qayish,strap
397,Schnur::N,bog'ich,string
398,Leine::N,etak,leash
399,Decke::N,odyol,blanket
400,Kissen::N,yostiq,pillow
401,Tuch::N,gazlama,scarf
402,Handtuch::N,sochiq,towel
403,Kraft::N,kuch,force
404,Stärke::N,quvvat,strength
405,Gesundheit::N,sog'lik,health
406,Krankheit::N,kasallik,illness
407,Schmerz::N,og'riq,pain
