,Concept_ID,ku,ka
0,Auge::N,çav,თვალი
1,Ohr::N,guh,ყური
2,Nase::N,bêvil,ცხვირი
3,Mund::N,dev,პირი
4,Zahn::N,didan,კბილი
5,Zunge::N,ziman,ენა
6,Lippe::N,lêv,ბაგე
7,Wange::N,dêm,ლოყა
8,Wange::N,hinarik,ლოყა
9,Gesicht::N,rû,სახე
10,Stirn::N,enî,შუბლი
11,Haar::N,por,თმა
12,Schnurrbart::N,simbêl,ულვაში
13,Bart::N,rih,წვერი
14,Kinn::N,zenî,ნიკაპი
15,Kiefer[Anatomie]::N,arguşk,ყბა
16,Kehle::N,qirik,ყელი
17,Hals::N,stû,ყელი
18,Hals::N,stû,კისერი
19,Hals::N,qirik,ყელი
20,Hals::N,qirik,კისერი
21,Genick::N,stû,კეფა
22,Kopf::N,serî,თავი
23,Rücken::N,pişt,ზურგი
24,Bauch::N,ûr,მუცელი
25,Bauch::N,zik,მუცელი
26,Nabel::N,navik,ჭიპი
27,Busen::N,sîng,ძუძუ
28,Brust::N,sîng,მკერდი
29,Schulter::N,mil,მხარი
30,Schulter::N,mil,მკლავი
31,Arm::N,çepil,ხელი
32,Ellenbogen::N,enîşk,იდაყვი
33,Hand::N,dest,ხელი
34,Handfläche::N,kefadest,ნები
35,Handfläche::N,kefadest,ხელისგული
36,Finger::N,tilî,თითი
37,Fingernagel::N,neynuk,ფრჩხილი
38,Nagel[Anatomie]::N,bizmar,ფრჩხილი
39,Zeh::N,tilî linga,ფეხის თითი
40,Fuß::N,ling,ტერფი
41,Fuß::N,ling,ფეხისგული
42,Ferse::N,pahnî,ქუსლი
43,Knie::N,kabok,მუხლი
44,Oberschenkel::N,rahn,ბარძაყი
45,Bein::N,çip,ფეხი
46,Körper::N,laş,ტანი
47,Körper::N,laş,სხეული
48,Körper::N,gowde,ტანი
49,Körper::N,gowde,სხეული
50,Haut::N,çerm,კანი
51,Blut::N,xwîn,სისხლი
52,Ader::N,reh,ძარღვი
53,Sehne::N,reh,მყესი
54,Knochen::N,hestî,ძვალი
55,Gehirn::N,mêjî,ტვინი
56,Herz::N,dil,გული
57,Magen::N,navêş,კუჭი
58,Leber::N,kezeb,ღვიძლი
59,Atem::N,hilm,სუნთქვა
60,Hunger::N,birçîtî,შიმშილი
61,Träne::N,hêstir,ცრემლი
62,Geschmack::N,tam,გემო
63,Geruch::N,bêhn,სუნი
64,Schlaf::N,xew,ძილი
65,Traum::N,xewn,სიზმარი
66,Himmel::N,ezman,ცა
67,Sonne::N,roj,მზე
68,Mond::N,heyv,მთვარე
69,Stern::N,stêrk,ვარსკვლავი
70,Luft::N,ba,ჰაერი
71,Wind::N,ba,ქარი
72,Welle::N,şewl,ტალღა
73,Wasser::N,av,წყალი
74,Stein::N,kevir,ქვა
75,Boden::N,herd,მიწა
76,Erde::N,ax,ნიადაგი
77,Staub::N,toz,მტვერი
78,Rauch::N,dû,ბოლი
79,Rauch::N,dû,კვამლი
80,Funke::N,çirûşk,ნაკვესი
81,Feuer::N,agir,ცეცხლი
82,Licht::N,ronahî,შუქი
83,Licht::N,ronahî,სინათლე
84,Schatten::N,sî,ლანდი
85,Schatten::N,sî,ჩრდილი
86,Wetter::N,hewa,ამინდი
87,Nebel::N,mij,ნისლი
88,Wolke::N,ewr,ღრუბელი
89,Regen::N,baran,წვიმა
90,Schnee::N,berf,თოვლი
91,Eis::N,qeşa,თოში
92,Eis::N,qeşa,ყინული
93,Frost::N,xûsik,ყინვა
94,Kälte::N,serma,სიცივე
95,Hitze::N,germayî,სიცხე
96,Raureif::N,şext,ჭირხლი
97,Raureif::N,şext,თრთვილი
98,Regenbogen::N,heftreng,ცისარტყელა
99,Donner::N,gire-gir,ქუხილი
100,Strömung::N,şewl,დინება
101,Tropfen::N,dilop,წვეთი
102,Schaum::N,kef,ქაფი
103,Schaum::N,kef,დორბლი
104,Schmutz::N,gemar,ჭუჭყი
105,Schmutz::N,gemar,ტალახი
106,See::N,gol,ტბა
107,Sumpf::N,hezek,ჭაობი
108,Moor::N,mafêl,ტორფნარი
109,Wiese::N,sûrik,ველი
110,Wiese::N,sûrik,მდელო
111,Wald::N,çiya,ტყე
112,Wald::N,daristan,ტყე
113,Hügel::N,gir,ბორცვი
114,Anhöhe::N,sere gir,მაღლობი
115,Berg::N,kaş,მთა
116,Gipfel::N,sere gir,მწვერვალი
117,Höhle::N,şikeft,მღვიმე
118,Höhle::N,şikeft,გამოქვებული
119,Abhang::N,kaş,ფერდობი
120,Quelle::N,kanî,წყარო
121,Quelle::N,kanî,სათავე
122,Bach::N,çem,რუ
123,Bach::N,çem,ნაკადული
124,Fluss::N,çem,მდინარე
125,Fluss::N,rûbar,მდინარე
126,Ufer::N,kevî,კიდე
127,Ufer::N,kevî,ნაპირი
128,Küste::N,berav,ნაპირი
129,Festland::N,bejahî,ხმელეთი
130,Meer::N,behr,ზღვა
131,Bucht::N,derav,ყურე
132,Insel::N,girav,კუნძული
133,Blume::N,kulînk,ყვავილი
134,Gras::N,giha,ბალახი
135,Wurzel::N,reh,ძირი
136,Wurzel::N,reh,ფესვი
137,Baum::N,dar,ხე
138,Stamm::N,bavik,ტანი
139,Rinde::N,qaqil,ქერქი
140,Ast::N,gulî,ტოტი
141,Zweig::N,şax,შტო
142,Blatt::N,pel,ფოთოლი
143,Birke::N,dara sipî,არყი
144,Kiefer[Baum]::N,dara bî,ფიჭვი
145,Weide[Baum]::N,dara belalûk,ტირიფი
146,Tanne::N,merx,ნაძვი
147,Horn::N,strô,რქა
148,Feder::N,pîrtîk,ფრთა
149,Fell::N,heyar,ტყავი
150,Flügel::N,per,ფრთა
151,Klaue::N,napîk,კლანჭი
152,Kralle::N,dinik,ტორი
153,Kralle::N,dirnax,ტორი
154,Schwanz::N,dûv,კუდი
155,Ei::N,hêk,კვერცხი
156,Nest::N,hêlîn,ბუდე
157,Bau::N,avahî,სორო
158,Tier::N,heywan,ნადირი
159,Tier::N,heywan,ცხოველი
160,Herde::N,hoz,ფარა
161,Kuh::N,çêlek,ფური
162,Kuh::N,çêlek,ძროხა
163,Bulle::N,ga,ხარი
164,Pferd::N,hesp,რაში
165,Pferd::N,hesp,ცხენი
166,Schaf::N,mîh,ცხვარი
167,Schwein::N,beraz,ღორი
168,Hund::N,seh,ძაღლი
169,Katze::N,pişîk,კატა
170,Bär::N,hirç,დათვი
171,Eichhörnchen::N,pilûr,ციყვი
172,Elch::N,pazkovî,ცხენ-ირემი
173,Fuchs::N,rovî,მელა
174,Hase::N,kîroşk,კურდღელი
175,Maus::N,mişk,თაგვი
176,Wolf::N,gur,მგელი
177,Vogel::N,çûk,ჩიტი
178,Vogel::N,çûk,ფრინველი
179,Schwarm::N,lufik,გუნდი
180,Huhn::N,mirîşk,დედალი
181,Hahn::N,dîk,მამალი
182,Gans::N,qaz,ბატი
183,Adler::N,eylo,არწივი
184,Ente::N,werdek,იხვი
185,Eule::N,bûm,ბუ
186,Eule::N,kund,ბუ
187,Kranich::N,quling,წერო
188,Krähe::N,qijik,ყვავი
189,Kuckuck::N,pepûk,გუგული
190,Schwan::N,qû,გედი
191,Fisch::N,masî,თევზი
192,Barsch::N,okûn,ქორჭილა
193,Hecht::N,mesîyê lûf,ქარიყლაპია
194,Schlange[Tier]::N,mar,გველი
195,Wurm::N,kurm,ჭია
196,Spinne::N,pîrê,ობობა
197,Ameise::N,mîro,ჭიანჭველა
198,Ameise::N,gêrîk,ჭიანჭველა
199,Laus::N,spi,ტილი
200,Laus::N,spi,მკბენარი
201,Mücke::N,mêş,კოღო
202,Fliege::N,mêş,ბუზი
203,Schmetterling::N,perperîk,პეპელა
204,Beere::N,hirç,კენკრა
205,Apfel::N,sêv,ვაშლი
206,Pilz::N,bîrov,სოკო
207,Zwiebel::N,pîvaz,ხახვი
208,Saat::N,tov,თესლი
209,Korn::N,dexl,მარცვალი
210,Heu::N,sap,თივა
211,Schale::N,qaşik,ჩენჩო
212,Grube::N,çahl,ორმო
213,Falle::N,dafik,ხაფანგი
214,Schlinge::N,dahf,მახე
215,Spur::N,rêç,კვალი
216,Asche::N,xweli,ფერფლი
217,Dreck::N,gemarî,ტალახი
218,Dreck::N,gemarî,სიბინძურე
219,Eisen::N,hesing,რკინა
220,Gold::N,zêr,ოქრო
221,Silber::N,zîv,ვერცხლი
222,Kohle::N,komir,ნახშირი
223,Glas::N,qedeh,მინა
224,Lehm::N,kelpîç,თიხა
225,Sand::N,qûm,ქვიშა
226,Mensch::N,mirov,ადამიანი
227,Mann::N,mêr,კაცი
228,Frau::N,jin,ქალი
229,Kind::N,zarok,ბავშვი
230,Junge::N,kur,ვაჟი
231,Mädchen::N,keç,გოგო
232,Mädchen::N,keçik,გოგო
233,Familie::N,malbat,ოჯახი
234,Großvater::N,bapîr,პაპა
235,Großvater::N,bapîr,ბაბუა
236,Großmutter::N,pîrik,ბებია
237,Großmutter::N,pîrik,დიდედა
238,Eltern::N,bavudê,მშობლები
239,Vater::N,bav,მამა
240,Mutter::N,dê,დედა
241,Mutter::N,dayik,დედა
242,Sohn::N,kur,ვაჟიშვილი
243,Tochter::N,keç,ქალიშვილი
244,Bruder::N,bira,ძმა
245,Schwester::N,xweh,და
246,Onkel::N,am,ბიძა
247,Onkel::N,xal,ბიძა
248,Tante::N,metik,დეიდა
249,Tante::N,metik,მამიდა
250,Tante::N,xaltîk,დეიდა
251,Tante::N,xaltîk,მამიდა
252,Ehemann::N,mêr,ქმარი
253,Ehefrau::N,kulfet,ცოლი
254,Freude::N,kêfxweşî,სიხარული
255,Gelächter::N,pîrqînî,სიცილი
256,Glück::N,bext,ბედნიერება
257,Kummer::N,derd,მწუხარება
258,Wunsch::N,daxwaz,წადილი
259,Wunsch::N,daxwaz,სურვილი
260,Wunsch::N,xwestek,წადილი
261,Wunsch::N,xwestek,სურვილი
262,Lust::N,şewq,წადილი
263,Geist::N,aqil,სული
264,Gedanke::N,fikir,ფიქრი
265,Gedächtnis::N,aqil,მეხსიერება
266,Verstand::N,fêm,ჭკუა
267,Verstand::N,fêm,გონება
268,Sinn::N,aqil,მნიშვნელობა
269,Grund::N,asas,მიზეზი
270,Wahrheit::N,rastî,სიმართლე
271,Wahrheit::N,rastî,ჭეშმარიტება
272,Gespräch::N,guftûgo,ბაასი
273,Gespräch::N,guftûgo,საუბარი
274,Märchen::N,çirok,არაკი
275,Märchen::N,çirok,ზღაპარი
276,Erzählung::N,çirok,თქმულება
277,Erzählung::N,vegotin,თქმულება
278,Nachricht::N,nûçe,ცნობა
279,Nachricht::N,nûçe,ამბავი
280,Neuigkeit::N,hewal,სიახლე
281,Name::N,nav,სახელი
