,Concept_ID,sv,he
0,Auge::N,öga,עין
1,Ohr::N,öra,אזן
2,Nase::N,näsa,אף
3,Nase::N,näsa,חטם
4,Mund::N,mun,פה
5,Zahn::N,tand,שן
6,Zunge::N,tunga,לשון
7,Lippe::N,läpp,שפה
8,Wange::N,kind,לחי
9,Gesicht::N,syn,פנים
10,Gesicht::N,ansikte,פנים
11,Stirn::N,panna,מצח
12,Haar::N,hår,שערה
13,Schnurrbart::N,mustasch,שפם
14,Bart::N,skägg,זקן
15,Kinn::N,haka,סנטר
16,Kiefer[Anatomie]::N,käke,לסת
17,Kehle::N,strupe,גרון
18,Hals::N,hals,צואר
19,Genick::N,nacke,ערף
20,Kopf::N,huvud,ראש
21,Rücken::N,rygg,גב
22,Bauch::N,buk,בטן
23,Bauch::N,mage,בטן
24,Nabel::N,navel,טבור
25,Busen::N,barm,שד
26,Brust::N,bröst,חזה
27,Schulter::N,skuldra,כתף
28,Arm::N,arm,זרוע
29,Ellenbogen::N,armbåge,מרפק
30,Hand::N,hand,יד
31,Handfläche::N,handflata,כף יד
32,Finger::N,finger,אצבע
33,Fingernagel::N,fingernagel,צפרן
34,Nagel[Anatomie]::N,nagel,צפרן
35,Zeh::N,tå,אצבע
36,Fuß::N,fot,רגל
37,Ferse::N,häl,עקב
38,Knie::N,knä,ברך
39,Oberschenkel::N,lår,ירך
40,Bein::N,ben,רגל
41,Körper::N,kropp,גוף
42,Haut::N,hud,עור
43,Haut::N,skinn,עור
44,Blut::N,blod,דם
45,Ader::N,åder,וריד
46,Sehne::N,sena,גיד
47,Knochen::N,ben,עצם
48,Gehirn::N,hjärna,מוח
49,Herz::N,hjärta,לב
50,Magen::N,mage,קבה
51,Leber::N,lever,כבד
52,Atem::N,anda,נשימה
53,Atem::N,andedräkt,נשימה
54,Hunger::N,svält,רעב
55,Hunger::N,hunger,רעב
56,Träne::N,tår,דמעה
57,Geschmack::N,smak,טעם
58,Geruch::N,lukt,ריח
59,Schlaf::N,sömn,שנה
60,Traum::N,dröm,חלום
61,Himmel::N,himmel,שמים
62,Sonne::N,sol,שמש
63,Mond::N,måne,ירח
64,Stern::N,stjärna,כוכב
65,Luft::N,luft,אויר
66,Wind::N,vind,רוח
67,Welle::N,våg,גל
68,Welle::N,bölja,גל
69,Wasser::N,vatten,מים
70,Stein::N,sten,אבן
71,Boden::N,mark,קרקע
72,Erde::N,jord,אדמה
73,Staub::N,damm,אבק
74,Rauch::N,rök,עשן
75,Funke::N,gnista,ניצוץ
76,Feuer::N,eld,אש
77,Licht::N,ljus,אור
78,Schatten::N,skugga,צל
79,Wetter::N,väder,מזג אויר
80,Nebel::N,dimma,ערפל
81,Nebel::N,töcken,ערפל
82,Wolke::N,sky,ענן
83,Wolke::N,moln,ענן
84,Regen::N,regn,גשם
85,Schnee::N,snö,שלג
86,Eis::N,is,קרח
87,Frost::N,frost,צנה
88,Kälte::N,köld,קר
89,Hitze::N,hetta,חם
90,Raureif::N,rimfrost,כפור
91,Regenbogen::N,regnbåge,קשת
92,Donner::N,åska,רעם
93,Donner::N,dunder,רעם
94,Strömung::N,strömning,זרימה
95,Tropfen::N,dropper,טפה
96,Schaum::N,skum,קצף
97,Schmutz::N,lort,לכלוך
98,Schmutz::N,smuts,לכלוך
99,See::N,sjö,אגם
100,Sumpf::N,träsk,בצה
101,Moor::N,myr,בצה
102,Moor::N,mosse,בצה
103,Wiese::N,äng,מרעה
104,Wald::N,skog,יער
105,Hügel::N,höjd,תל
106,Hügel::N,kulle,תל
107,Anhöhe::N,höjd,מעלה
108,Anhöhe::N,backe,מעלה
109,Berg::N,berg,הר
110,Berg::N,fjäll,הר
111,Gipfel::N,topp,פסגה
112,Höhle::N,håla,מערה
113,Höhle::N,grotta,מערה
114,Abhang::N,slänt,מדרון
115,Abhang::N,slänt,שפוע
116,Abhang::N,sluttning,מדרון
117,Abhang::N,sluttning,שפוע
118,Quelle::N,källa,מעין
119,Bach::N,bäck,נחל
120,Fluss::N,älv,נהר
121,Fluss::N,flod,נהר
122,Ufer::N,strand,גדה
123,Küste::N,kust,חוף
124,Festland::N,fastland,יבשה
125,Meer::N,hav,ים
126,Bucht::N,vik,מפרץ
127,Bucht::N,bukt,מפרץ
128,Insel::N,ö,אי
129,Blume::N,blomma,פרח
130,Blume::N,blomster,פרח
131,Gras::N,gräs,דשא
132,Wurzel::N,rot,שרש
133,Baum::N,träd,עץ
134,Stamm::N,stam,גזע
135,Rinde::N,bark,קלפת עץ
136,Ast::N,gren,ענף
137,Zweig::N,kvist,ענף
138,Blatt::N,löv,עלה
139,Blatt::N,blad,עלה
140,Birke::N,björk,שדר
141,Kiefer[Baum]::N,tall,ארן
142,Weide[Baum]::N,pil,ערבה
143,Weide[Baum]::N,vide,ערבה
144,Tanne::N,gran,אשוח
145,Horn::N,horn,קרן
146,Feder::N,fjäder,נוצה
147,Fell::N,fäll,פרוה
148,Fell::N,skinn,פרוה
149,Flügel::N,vinge,כנף
150,Klaue::N,klöv,טלף
151,Kralle::N,klo,טפר
152,Schwanz::N,svans,זנב
153,Schwanz::N,stjärt,זנב
154,Ei::N,ägg,ביצה
155,Nest::N,rede,קן
156,Nest::N,näste,קן
157,Bau::N,bo,מחלה
158,Tier::N,djur,חיה
159,Herde::N,flock,עדר
160,Kuh::N,ko,פרה
161,Bulle::N,tjur,פר
162,Pferd::N,häst,סוס
163,Schaf::N,får,כבשה
164,Schwein::N,svin,חזיר
165,Hund::N,hund,כלב
166,Katze::N,katt,חתול
167,Bär::N,björn,דב
168,Eichhörnchen::N,ekorre,סנאי
169,Elch::N,älg,דישון
170,Fuchs::N,räv,שועל
171,Hase::N,hare,ארנב
172,Maus::N,mus,עכבר
173,Wolf::N,varg,זאב
174,Vogel::N,fågel,צפור
175,Schwarm::N,svärm,נחיל
176,Schwarm::N,svärm,להקה
177,Huhn::N,höns,תרנגלת
178,Hahn::N,tupp,תרנגול
179,Gans::N,gås,אוז
180,Adler::N,örn,עיט
181,Ente::N,anka,ברוז
182,Eule::N,uggla,ינשוף
183,Kranich::N,trana,עגור
184,Kranich::N,trana,כרוכיה
185,Krähe::N,kråka,עורב
186,Kuckuck::N,gök,קוקיה
187,Schwan::N,svan,ברבור
188,Fisch::N,fisk,דג
189,Barsch::N,abborre,אוקונוס
190,Hecht::N,gädda,זאב הים
191,Schlange[Tier]::N,orm,נחש
192,Wurm::N,mask,תולעת
193,Spinne::N,spindel,עכביש
194,Ameise::N,myra,נמלה
195,Laus::N,lus,כנה
196,Mücke::N,mygga,יתוש
197,Fliege::N,fluga,זבוב
198,Schmetterling::N,fjäril,פרפר
199,Beere::N,bär,ענבה
200,Apfel::N,äpple,תפוח
201,Pilz::N,svamp,פטריה
202,Zwiebel::N,lök,בצל
203,Saat::N,sådd,זרעים
204,Korn::N,korn,גרעין
205,Heu::N,hö,חציר
206,Schale::N,skal,קלפה
207,Grube::N,grop,בור
208,Grube::N,grop,שוחה
209,Falle::N,fälla,מלכדת
210,Schlinge::N,snara,לולאה
211,Spur::N,spår,עקבה
212,Asche::N,aska,אפר
213,Dreck::N,lort,זהמה
214,Eisen::N,järn,ברזל
215,Gold::N,guld,זהב
216,Silber::N,silver,כסף
217,Kohle::N,kol,פחם
218,Glas::N,glas,זכוכית
219,Lehm::N,lera,חרסית
220,Sand::N,sand,חול
221,Mensch::N,människa,אדם
222,Mann::N,man,איש
223,Mann::N,man,גבר
224,Frau::N,kvinna,אשה
225,Frau::N,kvinna,גברת
226,Kind::N,barn,ילד
227,Junge::N,pojke,ילד
228,Mädchen::N,flicka,נערה
229,Familie::N,familj,משפחה
230,Großvater::N,morfar,סבא
231,Großmutter::N,farmor,סבתא
232,Eltern::N,föräldrar,הורים
233,Vater::N,far,אב
234,Mutter::N,mor,אם
235,Sohn::N,son,בן
236,Tochter::N,dotter,בת
237,Bruder::N,bror,אח
238,Schwester::N,syster,אחות
239,Onkel::N,morbror,דוד
240,Tante::N,tant,דודה
241,Ehemann::N,äkta man,איש
242,Ehemann::N,äkta man,בעל
243,Ehefrau::N,hustru,אשה
244,Freude::N,fröjd,שמחה
245,Freude::N,glädje,שמחה
246,Gelächter::N,åtlöje,צחוק
247,Glück::N,lycka,אשר
248,Kummer::N,sorg,יגון
249,Kummer::N,sorg,עגמה
250,Wunsch::N,önskan,אחול
251,Wunsch::N,önskan,משאלה
252,Lust::N,lust,חשק
253,Lust::N,lust,תשוקה
254,Geist::N,ande,רוח
255,Gedanke::N,tanke,מחשבה
256,Gedächtnis::N,minne,זכרון
257,Verstand::N,förstånd,שכל
258,Sinn::N,mening,מובן
259,Sinn::N,mening,משמעות
260,Sinn::N,betydelse,מובן
261,Sinn::N,betydelse,משמעות
262,Grund::N,skäl,סבה
263,Grund::N,grund,סבה
264,Wahrheit::N,sanning,אמת
265,Gespräch::N,samtal,דיון
266,Märchen::N,saga,אגדה
267,Erzählung::N,berättelse,ספור
268,Nachricht::N,meddelande,ידיעה
269,Neuigkeit::N,nyhet,חדשה
270,Name::N,namn,שם
271,Rätsel::N,gåta,תעלומה
272,Rede::N,tal,נאום
273,Sprache::N,språk,לשון
274,Stimme::N,stämma,קול
275,Wort::N,ord,מלה
276,Zeichen::N,tecken,סימן
277,Ruf::N,rop,קריאה
278,Lärm::N,bråk,רעש
279,Lärm::N,oväsen,רעש
280,Laut::N,ljud,הגה
281,Ton::N,ton,צליל
282,Lied::N,sång,שיר
283,Ruhe::N,ro,שלוה
284,Ruhe::N,lugn,שלוה
285,Leute::N,folk,אנשים
286,Volk::N,folk,עם
287,Arbeit::N,arbete,עבודה
288,Gast::N,gäst,אורח
289,Geschenk::N,gåva,מתנה
290,Geschenk::N,present,מתנה
291,Spiel::N,lek,משחק
292,Spiel::N,spel,משחק
293,Gesellschaft::N,sällskap,חברה
294,Hilfe::N,hjälp,עזרה
295,Freund::N,vän,חבר
296,Freund::N,vän,ידיד
297,Kamerad::N,kamrat,רע
298,Angelegenheit::N,ärende,ענין
299,Angelegenheit::N,angelägenhet,ענין
300,Anzahl::N,antal,מספר
301,Art::N,art,סוג
302,Art::N,slag,סוג
303,Stück::N,stycke,חתיכה
304,Teil::N,del,פרק
305,Hälfte::N,halva,חצי
306,Kreis::N,krets,מעגל
307,Kreis::N,cirkel,מעגל
308,Kreuz::N,kors,צלב
309,Kreuz::N,kryss,צלב
310,Linie::N,linje,קו
311,Strich::N,streck,קו קצר
312,Abstand::N,avstånd,מרחק
313,Entfernung::N,avstånd,מרחק
314,Gegend::N,trakt,נוף
315,Platz::N,plats,שטח
316,Ort::N,plats,אתר
317,Ort::N,plats,מקום
318,Ort::N,ställe,אתר
319,Ort::N,ställe,מקום
320,Seite::N,sida,צד
321,Mitte::N,mitt,אמצע
322,Gegenstand::N,föremål,אוביקט
323,Sache::N,sak,דבר
324,Rand::N,rand,פרור
325,Kante::N,kant,קצה
326,Ecke::N,vrå,פנה
327,Ecke::N,hörn,פנה
328,Spitze::N,spets,קצה
329,Ende::N,ända,סוף
330,Loch::N,hål,חר
331,Winkel::N,vinkel,פנה
332,Muster::N,mönster,תבנית
333,Größe::N,storlek,גדל
334,Länge::N,längd,ארך
335,Höhe::N,höjd,קומה
336,Höhe::N,höjd,גבה
337,Gewicht::N,tyngd,משקל
338,Menge::N,mängd,כמות
339,Haufen::N,hög,ערמה
340,Reihe::N,rad,רצף
341,Boot::N,båt,סירה
342,Ruder::N,åra,משוט
343,Schlitten::N,släde,מזחלת
344,Ski::N,skida,מגלשים
345,Lagerfeuer::N,lägereld,מדורה
346,Last::N,last,משא
347,Last::N,börda,משא
348,Gang::N,gång,הליכה
349,Schritt::N,steg,צעד
350,Norden::N,norr,צפון
351,Süden::N,söder,דרום
352,Westen::N,väster,מערב
353,Osten::N,öster,מזרח
354,Holz::N,trä,עץ
355,Brett::N,bräda,קרש
356,Platte::N,platta,לוח
357,Stütze::N,stöd,משען
358,Stütze::N,stötta,משען
359,Stange::N,stång,מוט
360,Stock::N,käpp,מקל
361,Stock::N,pinne,מקל
362,Stab::N,stav,מוט
363,Rohr::N,rör,צנור
364,Haus::N,hus,בית
365,Heim::N,hem,בית
366,Ofen::N,ugn,תנור
367,Fußboden::N,golv,רצפה
368,Tisch::N,bord,שלחן
369,Stuhl::N,stol,כסא
370,Wiege::N,vagga,ערש
371,Bett::N,säng,מטה
372,Regal::N,hylla,מדף
373,Kiste::N,låda,תבה
374,Kiste::N,låda,ארגז
375,Fenster::N,fönster,חלון
376,Tür::N,dörr,דלת
377,Tor::N,port,שער
378,Zaun::N,staket,גדר
379,Zaun::N,stängsel,גדר
380,Dach::N,tak,גג
381,Leiter::N,stege,סלם
382,Besen::N,kvast,מטאטא
383,Spaten::N,spade,את
384,Schaufel::N,skovel,את
385,Schaufel::N,skyffel,את
386,Gabel::N,gaffel,מזלג
387,Löffel::N,sked,כף
388,Messer::N,kniv,סכין
389,Nagel::N,spik,מסמר
390,Netz::N,nät,רשת
391,Haken::N,krok,וו
392,Haken::N,krok,קרס
393,Griff::N,tag,ידית
394,Griff::N,handtag,ידית
395,Schloss::N,las,מנעול
396,Bild::N,bild,תמונה
397,Figur::N,figur,פסל
398,Puppe::N,docka,בבה
399,Beutel::N,påse,שק
400,Bündel::N,bunt,צרור
401,Bündel::N,knippa,צרור
402,Tasche::N,väska,שקית
403,Eimer::N,hink,דלי
404,Eimer::N,ämbar,דלי
405,Deckel::N,lock,מכסה
406,Geschirr::N,servis,כלים
407,Geschirr::N,porslin,כלים
408,Sack::N,säck,שק
409,Tasse::N,kopp,ספל
410,Topf::N,gryta,סיר
411,Topf::N,kastrull,סיר
412,Kessel::N,kittel,קנקן
413,Essen::N,mål,אכל
414,Essen::N,mål,ארוחה
415,Nahrung::N,näring,הזנה
416,Nahrung::N,näring,תזונה
417,Speise::N,maträtt,מאכל
418,Speise::N,maträtt,ארוחה
419,Fleisch::N,kött,בשר
420,Getreide::N,säd,דגן
421,Getreide::N,spannmål,דגן
422,Brei::N,gröt,מחית
423,Brot::N,bröd,לחם
424,Scheibe::N,skiva,עגול
425,Scheibe::N,skiva,פרוסה
426,Fett::N,fett,שמן
427,Butter::N,smör,חמאה
428,Öl::N,olja,שמן
429,Salz::N,salt,מלח
430,Suppe::N,soppa,מרק
431,Honig::N,honung,דבש
432,Milch::N,mjölk,חלב
433,Tee::N,te,תה
434,Leder::N,läder,עור
435,Wolle::N,ull,צמר
436,Wolle::N,ylle,צמר
437,Stoff::N,tyg,בד
438,Stoff::N,tyg,אריג
439,Stoff::N,stoff,בד
440,Stoff::N,stoff,אריג
441,Nadel::N,nål,מחט
442,Faden::N,tråd,חוט
443,Knopf::N,knapp,כפתור
444,Knoten::N,knut,קשר
445,Farbe::N,färg,צבע
446,Kleidung::N,klädsel,בגדים
447,Hemd::N,skjorta,חלצה
448,Kragen::N,krage,צוארון
449,Ärmel::N,ärm,שרוול
450,Hose::N,byxor,מכנסים
451,Gürtel::N,bälte,חגורה
452,Mütze::N,mössa,כובע
453,Schuh::N,sko,נעל
454,Stiefel::N,stövel,מגף
455,Ring::N,ring,טבעת
456,Band::N,band,סרט
457,Kamm::N,kam,מסרק
458,Spiegel::N,spegel,מראה
459,Riemen::N,rem,רצועה
460,Schnur::N,snöre,חבל
461,Leine::N,lina,מושכות
462,Decke::N,täcke,שמיכה
463,Kissen::N,dyna,כרית
464,Kissen::N,kudde,כרית
465,Tuch::N,sjal,צעיף
466,Handtuch::N,handduk,מגבת
467,Kraft::N,kraft,כוח
468,Stärke::N,styrka,און
469,Gesundheit::N,hälsa,בריאות
470,Krankheit::N,sjukdom,מחלה
471,Schmerz::N,smärta,כאב
472,Wunde::N,sår,פציעה
473,Fieber::N,feber,חם
474,Arznei::N,medicin,תרופה
475,Arznei::N,läkemedel,תרופה
476,Brücke::N,bro,גשר
477,Brunnen::N,brunn,באר
478,Weide::N,bete,אחו
479,Weide::N,bete,מרעה
480,Pfad::N,stig,שביל
481,Pfad::N,stig,מדרכה
482,Weg::N,väg,דרך
483,Straße::N,gata,כביש
484,Dorf::N,by,כפר
485,Stadt::N,stad,עיר
486,Brief::N,brev,מכתב
487,Buch::N,bok,ספר
488,Buchstabe::N,bokstav,אות
489,Zeitung::N,tidning,עתון
490,Leben::N,liv,חיים
491,Tod::N,död,מות
492,Grab::N,grav,קבר
493,Kirche::N,kyrka,כנסיה
494,Sünde::N,synd,חטא
495,Gott::N,gud,אל
496,Arbeiter::N,arbetare,פועל
497,Chef::N,chef,ראש
498,Chef::N,chef,מנהל
499,Meister::N,mästare,ממחה
500,Arzt::N,läkare,רופא
501,Lehrer::N,lärare,מורה
502,Geld::N,pengar,כסף
503,Geschäft::N,rörelse,עסקה
504,Laden::N,affär,חנות
505,Preis::N,pris,מחיר
506,Ware::N,vara,סחורה
507,Nutzen::N,gagn,תועלת
508,Nutzen::N,nytta,תועלת
509,Reichtum::N,rikedom,עשר
510,Welt::N,värld,עולם
511,Land::N,land,ארץ
512,Staat::N,stat,מדינה
513,König::N,kung,מלך
514,König::N,konung,מלך
515,Macht::N,makt,כוח
516,Grenze::N,gräns,גבול
517,Krieg::N,krig,מלחמה
518,Feind::N,fiende,אויב
519,Gewalt::N,våld,אלימות
520,Kampf::N,kamp,קרב
521,Kampf::N,kamp,לחימה
522,Kampf::N,strid,קרב
523,Kampf::N,strid,לחימה
524,Bogen[Waffe]::N,båge,קשת
525,Pfeil::N,pil,חץ
526,Gewehr::N,gevär,רובה
527,Fehler::N,fel,טעות
528,Lüge::N,lögn,שקר
529,Schaden::N,skada,נזק
530,Unglück::N,otur,מזל רע
531,Unglück::N,olycka,מזל רע
532,Schuld::N,skuld,אשמה
533,Alter::N,ålder,גיל
534,Schluss::N,slut,סיום
535,Zeit::N,tid,זמן
536,Tag::N,dag,יום
537,Morgen::N,morgon,בקר
538,Mittag::N,middag,צהרים
539,Abend::N,kväll,ערב
540,Nacht::N,natt,לילה
541,Woche::N,vecka,שבוע
542,Monat::N,månad,חדש
543,Jahr::N,år,שנה
544,Frühling::N,vår,אביב
545,Sommer::N,sommar,קיץ
546,Herbst::N,höst,סתו
547,Winter::N,vinter,חרף
548,Januar::N,januari,ינואר
549,Februar::N,februari,פברואר
550,März::N,mars,מרץ
551,April::N,april,אפריל
552,Mai::N,maj,מאי
553,Juni::N,juni,יוני
554,Juli::N,juli,יולי
555,August::N,augusti,אוגוסט
556,September::N,september,ספטמבר
557,Oktober::N,oktober,אוקטובר
558,November::N,november,נובמבר
559,Dezember::N,december,דצמבר
560,Montag::N,måndag,יום שני
561,Dienstag::N,tisdag,יום שלישי
562,Mittwoch::N,onsdag,יום רביעי
563,Donnerstag::N,torsdag,יום חמישי
564,Freitag::N,fredag,יום ששי
565,Samstag::N,lördag,יום שבת
566,Sonntag::N,söndag,יום ראשון
567,groß::A,stor,גדול
568,klein::A,liten,קטן
569,lang::A,lång,ארך
570,kurz::A,kort,קצר
571,breit::A,bred,רחב
572,schmal::A,smal,צר
573,dicht::A,tät,צפוף
574,dick[Gegenstand]::A,tjock,עבה
575,dünn::A,tunn,דק
576,fein::A,fin,מעדן
577,fest::A,fast,מוצק
578,flach::A,platt,שטוח
579,glatt::A,glatt,חלק
580,hart::A,hård,קשיח
581,weich::A,mjuk,רך
582,rund::A,rund,עגל
583,spitz::A,toppig,חד
584,spitz::A,spetsig,חד
585,scharf::A,vass,חד
586,scharf::A,skarp,חד
587,stumpf::A,slö,קהה
588,schwer::A,tung,כבד
