,Concept_ID,zh,ps
0,Auge::N,眼睛,سترګه
1,Ohr::N,耳朵,غوږ
2,Nase::N,鼻子,پوزه
3,Mund::N,嘴,خوله
4,Zahn::N,牙齿,غاښ
5,Zunge::N,舌头,جبه
6,Lippe::N,嘴唇,شونډه
7,Wange::N,面颊,باړخو
8,Gesicht::N,脸,مخ
9,Stirn::N,额,تندی
10,Stirn::N,额,وچولی
11,Haar::N,头发,وېښته
12,Schnurrbart::N,髭须,برېت
13,Bart::N,胡子,ږیره
14,Kinn::N,下巴,زنه
15,Kiefer[Anatomie]::N,颌,جامه
16,Kehle::N,嗓子,غاړه
17,Hals::N,颈,غاړه
18,Genick::N,后颈,ورمېږ
19,Kopf::N,头,سر
20,Rücken::N,背,شا
21,Bauch::N,肚子,نس
22,Bauch::N,肚子,ګېډه
23,Nabel::N,肚脐,نوم
24,Busen::N,胸脯,تی
25,Brust::N,胸,سینه
26,Schulter::N,肩膀,اوږه
27,Arm::N,臂膀,لاس
28,Ellenbogen::N,肘,څنګل
29,Hand::N,手,لاس
30,Handfläche::N,手掌,ورغوی
31,Finger::N,手指,ګوته
32,Fingernagel::N,指甲,نوک
33,Nagel[Anatomie]::N,指甲,نوک
34,Zeh::N,脚趾,ګوته
35,Fuß::N,脚,پښه
36,Ferse::N,后跟,پونده
37,Knie::N,膝,زنګون
38,Oberschenkel::N,大腿,پتون
39,Bein::N,腿,پښه
40,Körper::N,身体,ځان
41,Haut::N,皮肤,پوټکی
42,Blut::N,血,وینه
43,Ader::N,血管,رګ
44,Sehne::N,腱,پله
45,Knochen::N,骨,هډوکی
46,Gehirn::N,脑,ماغزه
47,Herz::N,心,زړه
48,Magen::N,胃,معده
49,Leber::N,肝,ينه
50,Leber::N,肝,ځیګر
51,Atem::N,呼吸,نفس
52,Hunger::N,饿,ولږه
53,Träne::N,眼泪,اوښکه
54,Geschmack::N,味道,مزه
55,Geschmack::N,味道,خوند
56,Geruch::N,气味,بوی
57,Schlaf::N,睡眠,خوب
58,Traum::N,梦,خوب
59,Himmel::N,天空,اسمان
60,Sonne::N,太阳,لمر
61,Mond::N,月亮,سپوږمۍ
62,Stern::N,星,ستوری
63,Luft::N,空气,هوا
64,Wind::N,风,ورښ
65,Welle::N,波,موج
66,Wasser::N,水,اوبه
67,Stein::N,石头,ډبره
68,Boden::N,地面,مځکه
69,Erde::N,地,خاوره
70,Staub::N,灰尘,ګرد
71,Staub::N,灰尘,خاوره
72,Rauch::N,烟,دود
73,Rauch::N,烟,لوګی
74,Funke::N,火花,سپرغۍ
75,Feuer::N,火,اور
76,Licht::N,光,رڼا
77,Schatten::N,影子,سیوری
78,Wetter::N,天气,هوا
79,Nebel::N,雾,لړه
80,Wolke::N,云,ورېځ
81,Regen::N,雨,وریا
82,Regen::N,雨,باران
83,Schnee::N,雪,واوره
84,Eis::N,冰,یخ
85,Eis::N,冰,کنګل
86,Frost::N,霜冻,یخ
87,Kälte::N,寒冷,ساړه
88,Hitze::N,炎热,تودوخي
89,Raureif::N,霜,سپینه پرخه
90,Regenbogen::N,虹,بوډۍ ټال
91,Regenbogen::N,虹,سره زرغونه
92,Donner::N,雷,تالنده
93,Strömung::N,水流,بهېدنه
94,Tropfen::N,滴,قطره
95,Tropfen::N,滴,څاڅکی
96,Schaum::N,泡沫,ځګ
97,Schmutz::N,赃物,ناپاکي
98,See::N,湖,جهیل
99,Sumpf::N,沼泽,جبه
100,Moor::N,沼泽,جبه
101,Wiese::N,草地,چمن
102,Wiese::N,草地,شنېلی
103,Wald::N,森林,ځنګل
104,Hügel::N,丘陵,تپه
105,Anhöhe::N,山丘,غونډۍ
106,Berg::N,山,غ‍‍‍‍‍ر
107,Gipfel::N,峰,څوکه
108,Höhle::N,洞穴,کاز
109,Abhang::N,斜坡,لمن
