,Concept_ID,ku,ce
0,Auge::N,çav,бӏаьрг
1,Ohr::N,guh,лерг
2,Nase::N,bêvil,мара
3,Mund::N,dev,бага
4,Zahn::N,didan,церг
5,Zunge::N,ziman,мотт
6,Lippe::N,lêv,балда
7,Wange::N,dêm,бесни
8,Wange::N,hinarik,бесни
9,Gesicht::N,rû,юьхь
10,Stirn::N,enî,хьаж
11,Haar::N,por,мас
12,Schnurrbart::N,simbêl,мекх
13,Bart::N,rih,маж
14,Kinn::N,zenî,чӏениг
15,Kiefer[Anatomie]::N,arguşk,мочхал
16,Kehle::N,qirik,къамкъарг
17,Hals::N,stû,ворта
18,Hals::N,qirik,ворта
19,Genick::N,stû,кӏесаркӏаг
20,Kopf::N,serî,корта
21,Rücken::N,pişt,букъ
22,Bauch::N,ûr,кийра
23,Bauch::N,zik,кийра
24,Nabel::N,navik,цӏонга
25,Busen::N,sîng,зударийн накха
26,Brust::N,sîng,накха
27,Schulter::N,mil,белш
28,Arm::N,çepil,пхьарс
29,Ellenbogen::N,enîşk,пхьаьрсан гола
30,Hand::N,dest,куьг
31,Handfläche::N,kefadest,кераюкъ
32,Finger::N,tilî,пӏелг
33,Fingernagel::N,neynuk,мӏара
34,Nagel[Anatomie]::N,bizmar,мӏара
35,Zeh::N,tilî linga,кога пӏелг
36,Fuß::N,ling,ког
37,Ferse::N,pahnî,кӏажа
38,Knie::N,kabok,гола
39,Oberschenkel::N,rahn,варе
40,Bein::N,çip,ког
41,Körper::N,laş,хӏума
42,Körper::N,gowde,хӏума
43,Haut::N,çerm,чкъор
44,Blut::N,xwîn,цӏий
45,Ader::N,reh,пха
46,Sehne::N,reh,хьорзам
47,Knochen::N,hestî,даьӏахк
48,Gehirn::N,mêjî,хье
49,Herz::N,dil,дог
50,Magen::N,navêş,зорх
51,Leber::N,kezeb,доӏах
52,Atem::N,hilm,садеӏар
53,Hunger::N,birçîtî,мацалла
54,Träne::N,hêstir,бӏаьрхи
55,Geschmack::N,tam,чам
56,Geruch::N,bêhn,хьожа
57,Schlaf::N,xew,наб
58,Traum::N,xewn,гӏан
59,Himmel::N,ezman,стигал
60,Sonne::N,roj,малх
61,Mond::N,heyv,бутт
62,Stern::N,stêrk,седа
63,Luft::N,ba,xӏаваъ
64,Wind::N,ba,мох
65,Welle::N,şewl,тулгӏе
66,Wasser::N,av,хи
67,Stein::N,kevir,тӏулг
68,Boden::N,herd,цӏенкъа
69,Erde::N,ax,латта
70,Staub::N,toz,чан
71,Rauch::N,dû,кӏур
72,Funke::N,çirûşk,суй
73,Feuer::N,agir,цӏе
74,Licht::N,ronahî,серло
75,Schatten::N,sî,ӏиндагӏ
76,Wetter::N,hewa,хенан хӏоттам
77,Nebel::N,mij,дохк
78,Wolke::N,ewr,марха
79,Regen::N,baran,догӏа
80,Schnee::N,berf,ло
81,Eis::N,qeşa,ша
82,Frost::N,xûsik,шело
83,Kälte::N,serma,шело
84,Hitze::N,germayî,йовхо
85,Raureif::N,şext,йис
86,Regenbogen::N,heftreng,стелаӏад
87,Donner::N,gire-gir,ткъес
88,Strömung::N,şewl,дӏаэхар
89,Strömung::N,şewl,дӏасалелар
90,Tropfen::N,dilop,тӏадам
91,Schaum::N,kef,чопа
92,Schmutz::N,gemar,хатт
93,See::N,gol,ӏам
94,Sumpf::N,hezek,уьшал
95,Moor::N,mafêl,уьшал
96,Wiese::N,sûrik,бай
97,Wald::N,çiya,хьун
98,Wald::N,daristan,хьун
99,Hügel::N,gir,гу
100,Hügel::N,gir,шу
101,Hügel::N,gir,барз
102,Anhöhe::N,sere gir,акъари
103,Berg::N,kaş,лам
104,Gipfel::N,sere gir,бохь
105,Höhle::N,şikeft,хьех
106,Abhang::N,kaş,басе
107,Quelle::N,kanî,шовда
108,Bach::N,çem,татол
109,Fluss::N,çem,хи
110,Fluss::N,rûbar,хи
111,Ufer::N,kevî,хийист
112,Küste::N,berav,йист
113,Festland::N,bejahî,латта
114,Meer::N,behr,xӏорд
115,Bucht::N,derav,чож
116,Insel::N,girav,гӏайре
117,Blume::N,kulînk,зезаг
118,Gras::N,giha,буц
119,Wurzel::N,reh,орам
120,Baum::N,dar,дитт
121,Stamm::N,bavik,гӏад
122,Stamm::N,bavik,тайпа
123,Rinde::N,qaqil,кевстиг
124,Ast::N,gulî,га
125,Zweig::N,şax,га
126,Blatt::N,pel,гӏа
127,Birke::N,dara sipî,дакх
128,Kiefer[Baum]::N,dara bî,бага
129,Weide[Baum]::N,dara belalûk,дак
130,Tanne::N,merx,база
131,Horn::N,strô,маӏа
132,Feder::N,pîrtîk,пелаг
133,Fell::N,heyar,цӏока
134,Flügel::N,per,тӏам
135,Klaue::N,napîk,мӏара
136,Kralle::N,dinik,тlод
137,Kralle::N,dirnax,тlод
138,Schwanz::N,dûv,цӏога
139,Ei::N,hêk,xӏoa
140,Nest::N,hêlîn,бен
141,Bau::N,avahî,lуьрг
142,Tier::N,heywan,дийнат
143,Herde::N,hoz,жа
144,Kuh::N,çêlek,етт
145,Bulle::N,ga,сту
146,Pferd::N,hesp,говр
147,Schaf::N,mîh,жий
148,Schaf::N,mîh,уьстагӏ
149,Schwein::N,beraz,хьакха
150,Hund::N,seh,жӏаьла
151,Katze::N,pişîk,цициг
