,Concept_ID,da,tt
0,Auge::N,øje,күз
1,Ohr::N,øre,колак
2,Nase::N,næse,борын
3,Mund::N,mund,авыз
4,Mund::N,mund,тамак
5,Zahn::N,tand,теш
6,Zunge::N,tunge,тел
7,Lippe::N,læbe,ирен
8,Wange::N,kind,яңак
9,Gesicht::N,ansigt,йөз
10,Stirn::N,pande,маңгай
11,Haar::N,hår,чәч
12,Schnurrbart::N,overskæg,мыек
13,Bart::N,skæg,сакал
14,Kinn::N,hage,ияк
15,Kiefer[Anatomie]::N,kæbe,казналык
16,Kehle::N,strube,тамак
17,Hals::N,hals,бугаз
18,Genick::N,nakke,җилкә
19,Kopf::N,hoved,баш
20,Rücken::N,ryg,сырт
21,Bauch::N,mave,корсак
22,Nabel::N,navle,кендек
23,Busen::N,barm,түш
24,Brust::N,bryst,имчәк
25,Brust::N,bryst,күкрәк
26,Schulter::N,skulder,иңбаш
27,Schulter::N,skulder,кулбаш
28,Arm::N,arm,кул
29,Ellenbogen::N,albue,терсәк
30,Hand::N,hånd,кул
31,Handfläche::N,håndflade,уч
32,Finger::N,finger,бармак
33,Fingernagel::N,fingernegl,тырнак
34,Nagel[Anatomie]::N,negl,тырнак
35,Zeh::N,tå,бармак
36,Fuß::N,fod,табан
37,Ferse::N,hæl,үкчә
38,Knie::N,knæ,тез
39,Oberschenkel::N,lår,бот
40,Bein::N,ben,аяк
41,Körper::N,krop,тән
42,Körper::N,krop,җисем
43,Körper::N,legeme,тән
44,Körper::N,legeme,җисем
45,Haut::N,hud,тире
46,Blut::N,blod,кан
47,Ader::N,åre,тамыр
48,Sehne::N,sene,сеңер
49,Knochen::N,ben,сөяк
50,Gehirn::N,hjerne,ми
51,Herz::N,hjerte,йөрәк
52,Magen::N,mave,ашказаны
53,Leber::N,lever,бавыр
54,Atem::N,ånde,сулыш
55,Hunger::N,sult,ачлык
56,Träne::N,tåre,яшь
57,Geschmack::N,smag,тәм
58,Geschmack::N,smag,зәвык
59,Geruch::N,lugt,ис
60,Schlaf::N,søvn,йокы
61,Traum::N,drøm,төш
62,Himmel::N,himmel,күк
63,Sonne::N,sol,кояш
64,Mond::N,måne,ай
65,Stern::N,stjerne,йолдыз
66,Luft::N,luft,һава
67,Wind::N,vind,җил
68,Welle::N,bølge,дулкын
69,Wasser::N,vand,су
70,Stein::N,sten,таш
71,Boden::N,jord,туфрак
72,Erde::N,jord,җир
73,Staub::N,støv,тузан
74,Rauch::N,røg,төтен
75,Funke::N,gnist,очкын
76,Feuer::N,ild,ут
77,Licht::N,lys,якты
78,Schatten::N,skygge,күләгә
79,Wetter::N,vejr,һава
80,Nebel::N,tåge,томан
81,Wolke::N,sky,болыт
82,Regen::N,regn,яңгыр
83,Schnee::N,sne,кар
84,Eis::N,is,боз
85,Frost::N,frost,суык
86,Frost::N,frost,салкын
87,Kälte::N,kulde,суык
88,Kälte::N,kulde,салкын
89,Hitze::N,hede,эсселек
90,Raureif::N,rimfrost,бәс
91,Raureif::N,rimfrost,сыкы
92,Regenbogen::N,regnbue,салават күпере
93,Donner::N,torden,күкрәү
94,Strömung::N,strømning,агыш'агым
95,Tropfen::N,dråbe,тамчы
96,Schaum::N,skum,күбек
97,Schmutz::N,snavs,пычрак
98,See::N,sø,күл
99,Sumpf::N,sump,саз
100,Moor::N,mose,торфлык
101,Wiese::N,eng,болын
102,Wald::N,skov,урман
103,Hügel::N,høj,калку
104,Hügel::N,bakke,калку
105,Anhöhe::N,høj,үр
106,Anhöhe::N,bakke,үр
107,Berg::N,bjerg,тау
108,Gipfel::N,top,оч
109,Höhle::N,hule,мәгарә
110,Abhang::N,skrænt,кабырга
111,Abhang::N,skråning,кабырга
112,Quelle::N,kilde,чишмә
113,Bach::N,bæk,елга
114,Fluss::N,flod,дәрья
115,Ufer::N,bred,су кырые
116,Küste::N,kyst,яр буе
117,Festland::N,fastland,коры җир
118,Meer::N,hav,диңгез
119,Bucht::N,bugt,бухта
120,Bucht::N,bugt,култык
121,Insel::N,ø,атау
122,Insel::N,ø,утрау
123,Blume::N,blomst,чәчкә
124,Gras::N,græs,үлән
125,Wurzel::N,rod,тамыр
126,Baum::N,træ,агач
127,Stamm::N,stamme,кәүсә
128,Rinde::N,bark,кабык
129,Ast::N,gren,ботак
130,Zweig::N,kvist,ботак
131,Zweig::N,kvist,тармак
132,Blatt::N,blad,яфрак
133,Birke::N,birk,каен
134,Kiefer[Baum]::N,fyrretræ,нарат
135,Weide[Baum]::N,piletræ,тал
136,Tanne::N,gran,чыршы
137,Horn::N,horn,мөгез
138,Feder::N,fjer,йон
139,Fell::N,skind,тире
140,Flügel::N,vinge,канат
141,Klaue::N,klov,тырнак
142,Kralle::N,klo,тырнак
143,Schwanz::N,hale,койрык
144,Ei::N,æg,күкәй
145,Ei::N,æg,йомырка
146,Nest::N,rede,оя
147,Bau::N,bo,өн
148,Tier::N,dyr,хайван
149,Herde::N,flok,көтү
150,Kuh::N,ko,сыер
151,Bulle::N,tyr,үгез
152,Pferd::N,hest,ат
153,Schaf::N,får,сарык
154,Schwein::N,gris,дуңгыз
155,Hund::N,hund,эт
156,Katze::N,kat,песи
157,Bär::N,bjørn,аю
158,Eichhörnchen::N,egern,тиен
159,Elch::N,elg,поши
160,Fuchs::N,ræv,төлке
161,Hase::N,hare,куян
162,Maus::N,mus,тычкан
163,Wolf::N,ulv,бүре
164,Vogel::N,fugl,кош
165,Schwarm::N,sværm,көтү
166,Huhn::N,høne,тавык
167,Hahn::N,hane,әтәч
168,Gans::N,gås,каз
169,Adler::N,ørn,каракош
170,Ente::N,and,үрдәк
171,Eule::N,ugle,ябалак
172,Kranich::N,trane,торна
173,Krähe::N,krage,карга
174,Kuckuck::N,gøg,күке
175,Kuckuck::N,gøg,кәккүк
176,Schwan::N,svane,аккош
177,Fisch::N,fisk,балык
178,Barsch::N,aborre,алабуга
179,Hecht::N,gedde,чуртан
180,Schlange[Tier]::N,slange,елан
181,Wurm::N,orm,корт
182,Spinne::N,edderkop,үрмәкүч
183,Ameise::N,myre,кырмыска
184,Laus::N,lus,бет
185,Mücke::N,myg,черки
186,Mücke::N,myg,озынборын
187,Fliege::N,flue,чебен
188,Schmetterling::N,sommerfugl,күбәләк
189,Beere::N,bær,җиләк
190,Apfel::N,æble,алма
191,Pilz::N,svamp,гөмбә
192,Zwiebel::N,løg,суган
193,Zwiebel::N,løg,суганбаш
194,Saat::N,sæd,орлык
195,Korn::N,korn,иген
196,Korn::N,korn,орлык
197,Heu::N,hø,печән
198,Schale::N,skræl,кабык
199,Grube::N,grav,баз
200,Grube::N,grav,чокыр
201,Falle::N,fælde,тозак
202,Falle::N,fælde,капкын
203,Schlinge::N,snare,элмәк
204,Spur::N,spor,эз
205,Asche::N,aske,көл
206,Dreck::N,snavs,пычрак
207,Eisen::N,jern,тимер
208,Gold::N,guld,алтын
209,Silber::N,sølv,көмеш
210,Kohle::N,kul,күмер
211,Glas::N,glas,пыяла
212,Lehm::N,ler,балчык
213,Sand::N,sand,ком
214,Mensch::N,mennesge,адәм
215,Mensch::N,mennesge,инсан
216,Mann::N,mand,ир
217,Frau::N,kvinde,хатын
218,Kind::N,barn,бала
219,Junge::N,dreng,малай
220,Mädchen::N,pige,кыз
221,Familie::N,familie,гаилә
222,Großvater::N,bedstefar,бабай
223,Großmutter::N,bedstemor,әби
224,Eltern::N,forældre,ата-ана
225,Vater::N,far,ата
226,Mutter::N,mor,ана
227,Sohn::N,søn,ул
228,Tochter::N,datter,кыз
229,Bruder::N,bror,кардәш
230,Schwester::N,søster,апа
231,Schwester::N,søster,сеңел
232,Onkel::N,onkel,дәдә
233,Onkel::N,onkel,дәдәй
234,Tante::N,tante,түти
235,Tante::N,tante,тәтәй
236,Ehemann::N,ægtemand,ир
237,Ehefrau::N,hustru,хатын
238,Freude::N,glæde,сөенеч
239,Gelächter::N,latter,көлү
240,Gelächter::N,latter,көлеш
241,Glück::N,lykke,бәхет
242,Kummer::N,sorg,хәсрәт
243,Wunsch::N,ønske,теләк
244,Lust::N,lyst,теләк
245,Lust::N,lyst,теләү
246,Geist::N,ånd,рух
247,Gedanke::N,tanke,уй
248,Gedanke::N,tanke,фикер
249,Gedächtnis::N,hukommelse,хәтер
250,Verstand::N,forstand,акыл
251,Sinn::N,mening,мәгънә
252,Sinn::N,betydning,мәгънә
253,Grund::N,grund,сәбәп
254,Wahrheit::N,sandhed,хак
255,Gespräch::N,samtale,әңгәмә
256,Märchen::N,eventyr,әкият
257,Erzählung::N,fortælling,хикәя
258,Nachricht::N,efterretning,хәбәр
259,Neuigkeit::N,nyhed,яңалык
260,Name::N,navn,исем
261,Rätsel::N,gåde,табышмак
262,Rede::N,tale,нотык
263,Sprache::N,sprog,тел
264,Stimme::N,stemme,тавыш
265,Wort::N,ord,сүз
266,Zeichen::N,tegn,ишарә
267,Ruf::N,råb,дәшү
268,Lärm::N,larm,шау
269,Laut::N,lyd,аваз
270,Ton::N,tone,шалтырату
271,Lied::N,sang,җыр
272,Ruhe::N,ro,тынлык
273,Ruhe::N,hvile,тынлык
274,Leute::N,folk,халык
275,Leute::N,mennesker,халык
276,Volk::N,folk,халык
277,Arbeit::N,arbejde,эш
278,Arbeit::N,arbejde,хезмәт
279,Gast::N,gæst,кунак
280,Geschenk::N,gave,бүләк
281,Spiel::N,leg,уен
282,Gesellschaft::N,selskab,җәмгыять
283,Hilfe::N,hjælp,ярдәм
284,Hilfe::N,hjælp,булышлык
285,Freund::N,ven,дус
286,Kamerad::N,kammerat,иптәш
287,Angelegenheit::N,sag,эш
288,Angelegenheit::N,anliggende,эш
289,Anzahl::N,antal,микъдар
290,Art::N,art,төр
291,Stück::N,stykke,кисәк
292,Teil::N,del,өлеш
293,Hälfte::N,halvdel,ярым
294,Kreis::N,cirkel,түгәрәк
295,Kreuz::N,kors,хач
296,Kreuz::N,kors,тәре
297,Kreuz::N,kryds,хач
298,Kreuz::N,kryds,тәре
299,Linie::N,linie,сызык
300,Strich::N,streg,сызык
301,Abstand::N,afstand,ара
302,Entfernung::N,afstand,ераклык
303,Gegend::N,egn,урын
304,Platz::N,plads,бушлык
305,Ort::N,sted,урын
306,Seite::N,side,як
307,Mitte::N,midte,урта
308,Gegenstand::N,genstand,нәрсә
309,Sache::N,sag,нәрсә
310,Rand::N,rand,чит
311,Kante::N,kant,кырый
312,Ecke::N,hjørne,почмак
313,Spitze::N,spids,оч
314,Ende::N,ende,азак
315,Loch::N,hul,тишек
316,Winkel::N,vinkel,почмак
317,Muster::N,mønster,парча
318,Größe::N,størrelse,зурлык
319,Länge::N,længde,озынлык
320,Höhe::N,højde,биеклек
321,Gewicht::N,vægt,авырлык
322,Menge::N,mængde,микъдар
323,Haufen::N,bunke,өем
324,Reihe::N,række,рәт
325,Boot::N,båd,каек
326,Boot::N,båd,көймә
327,Ruder::N,åre,ишкәк
328,Schlitten::N,kælk,чана
329,Schlitten::N,slæde,чана
330,Ski::N,ski,чаңгы
331,Lagerfeuer::N,lejrbål,костёр
332,Last::N,last,йөк
333,Last::N,byrde,йөк
334,Gang::N,gang,йөреш
335,Schritt::N,skridt,адым
336,Norden::N,nord,төньяк
337,Süden::N,syd,көньяк
338,Westen::N,vest,көнбатыш
339,Osten::N,øst,шәрык
340,Osten::N,øst,көнчыгыш
341,Holz::N,træ,агач
342,Brett::N,bræt,такта
343,Platte::N,plade,плитә
344,Stütze::N,støtte,таяу
345,Stange::N,stang,колга
346,Stock::N,stok,таяк
347,Stab::N,stav,таяк
348,Rohr::N,rør,торба
349,Haus::N,hus,өй
350,Haus::N,hus,йорт
351,Heim::N,hjem,гаилә
352,Heim::N,hjem,нәсел
353,Ofen::N,ovn,мич
354,Fußboden::N,gulv,идән
355,Tisch::N,bord,өстәл
356,Stuhl::N,stol,утыргыч
357,Wiege::N,vugge,бишек
358,Bett::N,seng,ятак
359,Bett::N,seng,урын-җир
360,Regal::N,reol,киштә
361,Regal::N,reol,шүрлек
362,Kiste::N,kasse,әрҗә
363,Fenster::N,vindue,тәрәзә
364,Tür::N,dør,ишек
365,Tor::N,port,капка
366,Zaun::N,stakit,койма
367,Dach::N,tag,түбә
368,Leiter::N,stige,баскыч
369,Besen::N,kost,себерке
370,Spaten::N,spade,көрәк
371,Schaufel::N,skovl,көрәк
372,Gabel::N,gaffel,чәннечке
373,Löffel::N,ske,кашык
374,Messer::N,kniv,пычак
375,Nagel::N,søm,кадак
376,Netz::N,net,челтәр
377,Haken::N,krog,ыргак
378,Griff::N,tag,тотка
379,Griff::N,håndtag,тотка
380,Schloss::N,lås,йозак
381,Bild::N,billede,рәсем
382,Bild::N,billede,картина
383,Figur::N,figur,сын
384,Figur::N,figur,фигура
385,Puppe::N,dukke,курчак
386,Beutel::N,pose,луза
387,Bündel::N,bylt,бәйләм
388,Bündel::N,bundt,бәйләм
389,Tasche::N,taske,букча
390,Eimer::N,spand,чиләк
391,Deckel::N,låg,капкач
392,Geschirr::N,husgeråd,савыт-саба
393,Geschirr::N,husgeråd,кашык-аяк
394,Sack::N,sæk,капчык
395,Tasse::N,kop,чынаяк
396,Topf::N,gryde,чүлмәк
397,Kessel::N,kedel,казан
398,Essen::N,måltid,ашау
399,Nahrung::N,mad,азык
400,Nahrung::N,mad,тәгам
401,Nahrung::N,mad,ашамлык
402,Nahrung::N,næring,азык
403,Nahrung::N,næring,тәгам
404,Nahrung::N,næring,ашамлык
405,Speise::N,ret,ризык
406,Fleisch::N,kød,ит
407,Getreide::N,korn,ашлык
408,Brei::N,grød,ботка
409,Brot::N,brød,ипи
410,Brot::N,brød,икмәк
411,Scheibe::N,skive,телем
412,Fett::N,fedt,май
413,Butter::N,smør,май
414,Öl::N,olie,май
415,Salz::N,salt,тоз
416,Suppe::N,suppe,шулпа
417,Honig::N,honning,бал
418,Milch::N,mælk,сөт
419,Tee::N,te,чәй
420,Leder::N,skind,күн
421,Wolle::N,uld,йон
422,Stoff::N,stof,тукыма
423,Nadel::N,nål,энә
424,Faden::N,tråd,җеп
425,Knopf::N,knap,төймә
426,Knoten::N,knude,төен
427,Farbe::N,farve,буяу
428,Kleidung::N,påklædning,кием
429,Hemd::N,skjorte,күлмәк
430,Kragen::N,krave,яка
431,Ärmel::N,ærme,җиң
432,Hose::N,bukser,чалбар
433,Gürtel::N,bælte,билбау
434,Mütze::N,hue,бүрек
435,Schuh::N,sko,башмак
436,Stiefel::N,støvle,итек
437,Ring::N,ring,балдак
438,Band::N,bånd,тасма
439,Kamm::N,kam,тарак
440,Spiegel::N,spejl,көзге
441,Riemen::N,rem,каеш
442,Schnur::N,snor,бау
443,Leine::N,snor,тезген
444,Decke::N,tæppe,юрган
445,Kissen::N,pude,мендәр
446,Tuch::N,sjaltørklæde,яулык
447,Handtuch::N,håndklæde,сөлгә
448,Kraft::N,kraft,егәр
449,Kraft::N,kraft,дәрман
450,Stärke::N,styrke,көч
451,Stärke::N,styrke,дәрман
452,Gesundheit::N,sundhed,саулык
453,Krankheit::N,sygdom,чир
454,Krankheit::N,sygdom,хаста
455,Krankheit::N,sygdom,сырхау
456,Schmerz::N,smerte,авырту
457,Wunde::N,sår,яра
458,Wunde::N,sår,җәрәхәт
459,Fieber::N,feber,бизгәк
460,Arznei::N,medicin,дару
461,Arznei::N,lægemiddel,дару
462,Brücke::N,bro,күпер
463,Brunnen::N,brønd,кое
464,Weide::N,græsgang,утлавык
465,Pfad::N,sti,сукмак
466,Weg::N,vej,юл
467,Straße::N,gade,урам
468,Dorf::N,landsby,авыл
469,Stadt::N,by,шәһәр
470,Brief::N,brev,хат
471,Buch::N,bog,китап
472,Buchstabe::N,bogstav,хәреф
473,Zeitung::N,avis,газет
474,Zeitung::N,avis,газета
475,Leben::N,liv,гомер
476,Leben::N,liv,тормыш
477,Leben::N,liv,тереклек
478,Tod::N,død,үлем
479,Grab::N,grav,гүр
480,Grab::N,grav,кабер
481,Kirche::N,kirke,чиркәү
482,Sünde::N,synd,язык
483,Sünde::N,synd,гөнаһ
484,Gott::N,gud,алла
485,Gott::N,gud,ходай
486,Arbeiter::N,arbejder,эшче
487,Chef::N,chef,башлык
488,Meister::N,mester,оста
489,Arzt::N,læge,врач
