,Concept_ID,kk,av
0,Auge::N,көз,
1,Ohr::N,құлақ,гӏин
2,Nase::N,мұрын,мегӏер
3,Mund::N,ауыз,кӏал
4,Zahn::N,тіс,гӏус
5,Zunge::N,тіл,мацӏ
6,Lippe::N,ерін,кӏветӏ
7,Wange::N,ұрт,гӏоно
8,Gesicht::N,бет-аузы,гьумер
9,Stirn::N,маңдай,нодо
10,Haar::N,қыл,рас
11,Schnurrbart::N,мұрт,михъ
12,Bart::N,сақал,мегеж
13,Kinn::N,иек,нилъу
14,Kiefer[Anatomie]::N,жақ,чанагъ
15,Kehle::N,алқым,щекъер
16,Hals::N,мойын,габур
17,Genick::N,желке,гъванща
18,Kopf::N,кәллә,бетӏер
19,Rücken::N,арқа,мугъ
20,Bauch::N,қарын,чехь
21,Nabel::N,кіндік,цӏину
22,Busen::N,омырау,керен
23,Brust::N,кеуде,керен
24,Schulter::N,иық,гъажазубетӏер
25,Arm::N,қол,гъеж
26,Ellenbogen::N,шынтақ,гӏункӏрукь
27,Hand::N,қол,квер
28,Handfläche::N,алақан,огъохъат
29,Handfläche::N,алақан,жанисахъат
30,Finger::N,саусақ,килищ
31,Fingernagel::N,тырнақ,малъ
32,Nagel[Anatomie]::N,тырнақ,малъ
33,Zeh::N,тырнақ,килищ
34,Zeh::N,тұяқ,килищ
35,Fuß::N,аяқ-басы,хӏетӏ
36,Fuß::N,аяқ-басы,хӏетӏе
37,Ferse::N,өкше,эгъе
38,Ferse::N,өкшелік,эгъе
39,Knie::N,тізе,наку
40,Oberschenkel::N,жамбас,мачӏ
41,Bein::N,аяқ,бох
42,Körper::N,дене,къаркъала
43,Haut::N,тері,тӏом
44,Blut::N,қан,би
45,Ader::N,көктамыр,бидурихь
46,Ader::N,күретамыр,бидурихь
47,Sehne::N,сіңір,
48,Knochen::N,жілік,ракьа
49,Gehirn::N,ми,гӏадалнах
50,Herz::N,жүрек,ракӏ
51,Magen::N,асқазан,кванирукъ
52,Leber::N,бауыр,тӏул
53,Atem::N,леп,хӏухь
54,Hunger::N,ашаршылық,ракъи
55,Träne::N,жас,магӏу
56,Geschmack::N,дәм,тату
57,Geschmack::N,татым,тату
58,Geschmack::N,талғам,тату
59,Geruch::N,иіс,махӏ
60,Schlaf::N,ұйқы,макьу
61,Schlaf::N,ұйықтау,макьу
62,Traum::N,түс,макьу
63,Himmel::N,аспан,зоб
64,Himmel::N,көқ,зоб
65,Himmel::N,таңдай,зоб
66,Sonne::N,күн,бакъ
67,Mond::N,ай,моцӏ
68,Stern::N,жұлдыз,цӏва
69,Luft::N,әуе,гьава
70,Wind::N,жел,гьури
71,Welle::N,толқын,карачел
72,Wasser::N,су,лъим
73,Stein::N,тас,гьецӏо
74,Boden::N,қыртыс,ракь
75,Erde::N,топырақ,ракь
76,Erde::N,топырақ,дуниял
77,Staub::N,шаң,хӏур
78,Rauch::N,түтін,кӏкӏуй
79,Funke::N,ұшқын,
80,Feuer::N,алау,цӏа
81,Licht::N,шұғыла,канлъи
82,Schatten::N,көлеңке,рагӏад
83,Wetter::N,ауа райы,гьава-бакъ
84,Nebel::N,тұман,гӏодобнакӏкӏ
85,Wolke::N,бұлт,накӏкӏ
86,Regen::N,жаңбыр,цӏад
87,Schnee::N,қар,гӏазу
88,Eis::N,мұз,цӏер
89,Frost::N,суық,замгьари
90,Kälte::N,ызғар,квач
91,Kälte::N,суықтық,квач
92,Hitze::N,аптап,багӏари
93,Raureif::N,қырау,мартӏ
94,Regenbogen::N,кемпірқосақ,нур
95,Regenbogen::N,кемпірқосақ,чамбара
