,Concept_ID,el,sq
0,Auge::N,μάτι,sy
1,Auge::N,οφθαλμός,sy
2,Ohr::N,αυτί,vesh
3,Nase::N,μύτη,hundë
4,Mund::N,στόμα,gojë
5,Zahn::N,δόντι,dhëmb
6,Zunge::N,γλώσσα,gjuhë
7,Lippe::N,χείλος,buzë
8,Wange::N,παρειά,faqe
9,Wange::N,παρειά,mollëz
10,Wange::N,μάγουλο,faqe
11,Wange::N,μάγουλο,mollëz
12,Gesicht::N,πρόσωπο,fytyrë
13,Stirn::N,μέτωπο,ballë
14,Haar::N,μαλλιά,flokë
15,Schnurrbart::N,μουστάκι,mustaqe
16,Bart::N,γένια,mjekër
17,Kinn::N,πιγούνι,mjekër
18,Kiefer[Anatomie]::N,σαγόνι,nofull
19,Kehle::N,λαρύγγι,fyt
20,Kehle::N,λαρύγγι,grykë
21,Hals::N,λαιμός,qafë
22,Genick::N,σβέρκος,arrëz
23,Kopf::N,κεφάλι,kokë
24,Rücken::N,ράχη,kurriz
25,Bauch::N,κοιλιά,bark
26,Nabel::N,αφαλός,kërthizë
27,Busen::N,στήθος,gji
28,Brust::N,στήθος,gjoks
29,Brust::N,στήθος,kraharor
30,Schulter::N,ώμος,sup
31,Schulter::N,ώμος,krah
32,Arm::N,χέρι,krah
33,Arm::N,μπράτςο,krah
34,Ellenbogen::N,αγκώνας,bërryl
35,Hand::N,χέρι,dorë
36,Handfläche::N,παλάμη,pëllëmbë
37,Finger::N,δάχτυλο,gisht
38,Fingernagel::N,νύχι,thua
39,Nagel[Anatomie]::N,νύχι,thua
40,Zeh::N,δάχτυλο του ποδιού,gisht i këmbës
41,Fuß::N,πόδι,këmbë
42,Ferse::N,φτέρνα,thembër
43,Knie::N,γόνατο,gju
44,Oberschenkel::N,μηρός,kofshë
45,Bein::N,πόδι,këmbë
46,Körper::N,σώμα,trup
47,Körper::N,κορμί,trup
48,Haut::N,πετσί,lëkurë
49,Blut::N,αίμα,gjak
50,Ader::N,φλέβα,venë
51,Sehne::N,νεύρο,dell
52,Sehne::N,τένοντας,dell
53,Knochen::N,οστό,asht
