,Concept_ID,is,lez
0,Auge::N,auga,вил
1,Ohr::N,eyra,яб
2,Nase::N,nef,нер
3,Mund::N,munnur,сив
4,Zahn::N,tönn,сас
5,Zahn::N,tönn,свах
6,Zunge::N,tunga,мез
7,Lippe::N,vör,пӏуз
8,Wange::N,kinn,хъвехъ
9,Wange::N,vangi,хъвехъ
10,Gesicht::N,andlit,ччин
11,Stirn::N,enni,пел
12,Haar::N,hár,чӏар
13,Schnurrbart::N,yfirskegg,спел
14,Schnurrbart::N,yfirskegg,спелар
15,Bart::N,skegg,ччуру
16,Kinn::N,haka,чене
17,Kiefer[Anatomie]::N,kjálki,чене
18,Kiefer[Anatomie]::N,skoltur,чене
19,Kehle::N,kverk,туьд
20,Hals::N,háls,гардан
21,Genick::N,hnakki,кьам
22,Kopf::N,höfuð,кьил
23,Rücken::N,hryggur,далу
24,Bauch::N,kviður,руфун
25,Nabel::N,nafli,пицӏ
26,Busen::N,barmur,мам
27,Brust::N,brjóst,хур
28,Schulter::N,öxl,къуьн
29,Arm::N,armur,гъил
30,Ellenbogen::N,olnbogi,кьуьнт
31,Hand::N,hönd,капаш
32,Handfläche::N,lófi,капан юкь
33,Finger::N,fingur,тӏуб
34,Fingernagel::N,fingurnögl,кек
35,Nagel[Anatomie]::N,nögl,кек
36,Zeh::N,tá,кул
37,Fuß::N,fótur,кӏвач
38,Ferse::N,hæll,дабан
39,Knie::N,kné,мет
40,Oberschenkel::N,læri,
41,Bein::N,fótleggur,кӏвач
42,Körper::N,búkur,беден
43,Körper::N,líkami,беден
44,Haut::N,húð,хам
45,Haut::N,skinn,хам
46,Blut::N,blóð,иви
47,Ader::N,æð,дамар
48,Sehne::N,sin,кьуру дамар
49,Knochen::N,bein,кӏараб
50,Gehirn::N,heili,мефт
51,Herz::N,hjarta,рикӏ
52,Magen::N,magi,хук
53,Leber::N,lifur,лекь
54,Atem::N,andi,ял
55,Atem::N,andi,нефес
56,Atem::N,andardráttur,ял
57,Atem::N,andardráttur,нефес
58,Hunger::N,hungur,каш
59,Träne::N,tár,вилин нагъв
60,Geschmack::N,smekkur,дад
61,Geschmack::N,smekkur,тӏям
62,Geruch::N,lykt,ни
63,Schlaf::N,svefn,ахвар
64,Traum::N,draumur,ахвар
65,Himmel::N,himinn,цав
66,Sonne::N,sól,рагъ
67,Mond::N,tungl,варз
68,Stern::N,stjarna,гъед
69,Luft::N,loft,гьава
70,Wind::N,vindur,гар
71,Welle::N,alda,лепе
72,Welle::N,bylgja,лепе
73,Wasser::N,vatn,яд
74,Stein::N,steinn,къван
75,Boden::N,botn,накьв
76,Erde::N,jörð,ччил
77,Staub::N,ryk,руг
78,Staub::N,duft,руг
79,Rauch::N,reykur,гум
80,Funke::N,neisti,цӏелхем
81,Feuer::N,eldur,цӏай
82,Licht::N,ljós,экв
83,Schatten::N,skuggi,серин
84,Wetter::N,veður,гьава
85,Nebel::N,þoka,ччилин циф
