,Concept_ID,be,hu
0,Auge::N,вока,szem
1,Ohr::N,вуха,fül
2,Nase::N,нос,orr
3,Mund::N,рот,száj
4,Zahn::N,зуб,fog
5,Zunge::N,язык,nyelv
6,Lippe::N,губа,ajak
7,Wange::N,шчака,orca
8,Gesicht::N,твар,arc
9,Stirn::N,лоб,homlok
10,Haar::N,волас,haj
11,Haar::N,валасы,haj
12,Schnurrbart::N,вус,bajusz
13,Schnurrbart::N,вусы,bajusz
14,Bart::N,барада,szakáll
15,Kinn::N,падбародак,áll
16,Kiefer[Anatomie]::N,сківіца,állkapocs
17,Kehle::N,горла,gége
18,Kehle::N,горла,torok
19,Hals::N,шыя,nyak
20,Genick::N,патыліца,tarkó
21,Kopf::N,галава,fő
22,Kopf::N,галава,fej
23,Rücken::N,спіна,hát
24,Bauch::N,жывот,has
25,Nabel::N,пупок,köldök
26,Busen::N,грудзі,mell
27,Busen::N,грудзі,kebel
28,Brust::N,грудзі,mell
29,Schulter::N,плячо,váll
30,Arm::N,рука,kar
31,Ellenbogen::N,локаць,könyök
32,Hand::N,кісць,kéz
33,Handfläche::N,далонь,tenyér
34,Finger::N,палец,ujj
35,Fingernagel::N,ногаць,köröm
36,Nagel[Anatomie]::N,ногаць,köröm
37,Zeh::N,палец,lábujj
38,Fuß::N,нага,láb
39,Ferse::N,пята,sarok
40,Ferse::N,пятка,sarok
41,Knie::N,калена,térd
42,Oberschenkel::N,бядро,comb
43,Oberschenkel::N,сцягно,comb
44,Bein::N,нага,láb
45,Bein::N,нага,lábszár
46,Körper::N,цела,test
47,Haut::N,скура,bőr
48,Blut::N,кроў,vér
49,Ader::N,вена,ér
50,Ader::N,сасуд,ér
51,Sehne::N,жыла,ín
52,Sehne::N,цеціва,ín
53,Sehne::N,сухажылле,ín
54,Knochen::N,косць,csont
55,Gehirn::N,мозг,agy
56,Gehirn::N,мозг,agyvelő
57,Herz::N,сэрца,szív
58,Magen::N,страўнік,gyomor
59,Leber::N,печань,máj
60,Atem::N,дыханне,lehelet
61,Atem::N,дыханне,lélegzet
62,Hunger::N,голад,éhség
63,Träne::N,сляза,könny
64,Geschmack::N,смак,íz
65,Geruch::N,пах,szag
66,Schlaf::N,сон,álom
67,Schlaf::N,сон,alvás
68,Traum::N,сон,álom
69,Himmel::N,неба,ég
70,Himmel::N,неба,menny
71,Sonne::N,сонца,nap
72,Mond::N,месяц,hold
73,Stern::N,зорка,csillag
74,Luft::N,паветра,levegő
75,Wind::N,вецер,szél
76,Welle::N,хваля,hullám
77,Wasser::N,вада,víz
78,Stein::N,камень,kő
79,Boden::N,глеба,föld
80,Boden::N,глеба,talaj
81,Erde::N,зямля,föld
82,Staub::N,пыл,por
83,Rauch::N,дым,füst
84,Funke::N,іскра,szikra
85,Feuer::N,агонь,tűz
86,Licht::N,святло,fény
87,Schatten::N,цень,árnyék
88,Wetter::N,пагода,idő
89,Wetter::N,пагода,időjárás
90,Wetter::N,надворʼе,idő
91,Wetter::N,надворʼе,időjárás
92,Nebel::N,туман,köd
93,Wolke::N,воблака,felhő
94,Regen::N,дождж,eső
95,Schnee::N,снег,hó
96,Eis::N,лёд,jég
97,Frost::N,мароз,fagy
98,Kälte::N,холад,hideg
99,Hitze::N,спёка,hő
100,Hitze::N,спёка,hőség
101,Raureif::N,іней,zúzmara
102,Regenbogen::N,вясёлка,szivárvány
103,Donner::N,гром,dörgés
104,Donner::N,гром,mennydörgés
105,Strömung::N,цячэнне,áramlat
106,Tropfen::N,кропля,csepp
107,Schaum::N,пена,hab
108,Schaum::N,пена,tajték
109,Schmutz::N,гразь,piszok
110,See::N,возера,tó
111,Sumpf::N,багна,mocsár
112,Moor::N,балота,láp
113,Wiese::N,луг,rét
114,Wiese::N,луг,mező
115,Wald::N,лес,erdő
116,Hügel::N,узгорак,domb
117,Anhöhe::N,узвышша,magaslat
118,Berg::N,гара,hegy
119,Gipfel::N,вяршыня,csúcs
120,Höhle::N,пячора,barlang
121,Abhang::N,схіл,lejtő
122,Quelle::N,крыніца,forrás
123,Bach::N,ручай,patak
124,Fluss::N,рака,folyó
125,Ufer::N,бераг,part
126,Küste::N,узбярэжжа,tengerpart
127,Festland::N,суша,szárazföld
128,Meer::N,мора,tenger
129,Bucht::N,бухта,öböl
130,Insel::N,востраў,sziget
131,Blume::N,кветка,virág
132,Gras::N,трава,fű
133,Wurzel::N,корань,gyökér
134,Baum::N,дрэва,fa
135,Stamm::N,ствол,tő
136,Stamm::N,ствол,törzs
137,Rinde::N,кара,kéreg
138,Ast::N,сук,ág
139,Zweig::N,галіна,gally
140,Blatt::N,ліст,levél
141,Birke::N,бяроза,nyír
142,Kiefer[Baum]::N,хвоя,fenyő
143,Kiefer[Baum]::N,сасна,fenyő
144,Weide[Baum]::N,вярба,fűz
145,Tanne::N,яліна,fenyő
146,Horn::N,рог,szarv
147,Feder::N,пяро,toll
148,Fell::N,шкура,szőr
149,Fell::N,шкура,bunda
150,Flügel::N,крыло,szárny
151,Klaue::N,кіпцюр,köröm
152,Kralle::N,лапа,karom
153,Schwanz::N,хвост,farok
154,Ei::N,яйка,tojás
155,Nest::N,гняздо,fészek
156,Bau::N,нара,odú
157,Tier::N,жывёла,állat
158,Herde::N,статак,nyáj
159,Herde::N,статак,csorda
160,Kuh::N,карова,tehén
161,Bulle::N,бык,bika
162,Pferd::N,конь,ló
163,Schaf::N,авечка,juh
164,Schaf::N,авечка,birka
165,Schwein::N,свіння,sertés
166,Hund::N,сабака,eb
167,Hund::N,сабака,kutya
168,Katze::N,кошка,macska
169,Bär::N,мядзведзь,medve
170,Eichhörnchen::N,вавёрка,mókus
171,Elch::N,лось,jávorszarvas
172,Fuchs::N,ліса,róka
173,Hase::N,заяц,nyúl
174,Maus::N,мыш,egér
175,Wolf::N,воўк,farkas
176,Vogel::N,птах,madár
177,Vogel::N,птушка,madár
178,Schwarm::N,чарада,raj
179,Huhn::N,курыца,tyúk
180,Hahn::N,певень,kakas
181,Gans::N,гусь,lúd
182,Gans::N,гусь,liba
183,Adler::N,арол,sas
184,Ente::N,качка,kacsa
185,Eule::N,сава,bagoly
186,Kranich::N,жораў,daru
187,Kranich::N,журавель,daru
188,Krähe::N,варона,varjú
189,Kuckuck::N,зязюля,kakukk
190,Schwan::N,лебедзь,hattyú
191,Fisch::N,рыба,hal
192,Barsch::N,акунь,sügér
193,Hecht::N,шчупак,csuka
194,Schlange[Tier]::N,змяя,kígyó
195,Wurm::N,чарвяк,kukac
196,Spinne::N,павук,pók
197,Ameise::N,мурашка,hangya
198,Laus::N,вош,tetű
199,Mücke::N,камар,szúnyog
200,Fliege::N,муха,légy
201,Schmetterling::N,матыль,lepke
202,Schmetterling::N,матыль,pillangó
203,Beere::N,ягада,bogyó
204,Apfel::N,яблык,alma
205,Pilz::N,грыб,gomba
206,Zwiebel::N,цыбуля,hagyma
207,Saat::N,семя,vetőmag
208,Korn::N,зерне,mag
209,Korn::N,зерне,szem
210,Heu::N,сена,széna
211,Schale::N,шалупінне,héj
212,Grube::N,яма,verem
213,Falle::N,пастка,csapda
214,Schlinge::N,сіло,tőr
215,Spur::N,след,nyom
216,Asche::N,попел,hamu
217,Dreck::N,бруд,sár
218,Dreck::N,бруд,piszok
219,Eisen::N,жалеза,vas
220,Gold::N,золата,arany
221,Silber::N,сребра,ezüst
222,Kohle::N,вугаль,szén
223,Glas::N,шкло,üveg
224,Lehm::N,гліна,agyag
225,Lehm::N,гліна,vályog
226,Sand::N,пясок,homok
227,Mensch::N,чалавек,ember
228,Mann::N,мужчына,úr
229,Mann::N,мужчына,férfi
230,Frau::N,жанчына,nő
231,Frau::N,жанчына,asszony
232,Kind::N,дзіця,gyerek
233,Kind::N,дзіця,gyermek
234,Junge::N,хлопчык,fiú
235,Mädchen::N,дзяўчынка,lány
236,Familie::N,сямʼя,család
237,Großvater::N,дзядуля,nagyapa
238,Großmutter::N,бабуля,nagyanya
239,Eltern::N,бацькі,szülők
240,Vater::N,бацька,apa
241,Vater::N,бацька,atya
242,Mutter::N,маці,anya
243,Sohn::N,сын,fiú
244,Tochter::N,дачка,lány
245,Bruder::N,брат,fivér
246,Bruder::N,брат,testvér
247,Schwester::N,сястра,nővér
248,Schwester::N,сястра,lánytestvér
