,Concept_ID,ta,de
0,Auge::N,கண்,Auge
1,Ohr::N,காது,Ohr
2,Nase::N,மூக்கு,Nase
3,Mund::N,வாய்,Mund
4,Zahn::N,பல்,Zahn
5,Zunge::N,நாக்கு,Zunge
6,Lippe::N,உதடு,Lippe
7,Wange::N,கன்னம்,Wange
8,Gesicht::N,முகம்,Gesicht
9,Stirn::N,முன்னெற்றி,Stirn
10,Haar::N,முடி,Haar
11,Schnurrbart::N,மீசை,Schnurrbart
12,Bart::N,தாடி,Bart
13,Kinn::N,கீழதாடை,Kinn
14,Kiefer[Anatomie]::N,தாடை,Kiefer
15,Kehle::N,தொண்டை,Kehle
16,Hals::N,கழுத்து,Hals
17,Genick::N,கழுத்து,Genick
18,Kopf::N,தலை,Kopf
19,Rücken::N,முதுகு,Rücken
20,Bauch::N,வயிறு,Bauch
21,Nabel::N,தொப்புள்,Nabel
22,Busen::N,மார்பகம்,Busen
23,Brust::N, மார்பு,Brust
24,Schulter::N,தோள்பட்டை,Schulter
25,Arm::N,கரம்,Arm
26,Ellenbogen::N,முழங்கை,Ellenbogen
27,Hand::N,கை,Hand
28,Handfläche::N,உள்ளங்கை,Handfläche
29,Finger::N,விரல்,Finger
30,Fingernagel::N,விரல் நகம்,Fingernagel
31,Nagel[Anatomie]::N,நகம்,Nagel
32,Zeh::N,கால்விரல்,Zeh
33,Fuß::N,கால்,Fuß
34,Ferse::N,குதிகால்,Ferse
35,Knie::N,முழங்கால்,Knie
36,Oberschenkel::N,தொடை,Oberschenkel
37,Bein::N,கால்,Bein
38,Körper::N,உடல்,Körper
39,Haut::N,சருமம்,Haut
40,Blut::N,இரத்தம்,Blut
41,Ader::N,நாளம்,Ader
42,Sehne::N,தசைநார்,Sehne
43,Knochen::N,எலுமபு,Knochen
44,Gehirn::N,மூனை,Gehirn
45,Herz::N,இதயம,Herz
46,Magen::N,வயிறு,Magen
47,Leber::N,கல்லீரல்,Leber
48,Atem::N,மூச்சு,Atem
49,Hunger::N,பசி,Hunger
50,Träne::N,கண்ணீர்,Träne
51,Geschmack::N,நறுமணம்,Geschmack
52,Geruch::N,துர்நாற்றம்,Geruch
53,Schlaf::N,தூக்கம்,Schlaf
54,Traum::N,கனவு,Traum
55,Himmel::N,வானம்,Himmel
56,Sonne::N,சூரியன்,Sonne
57,Mond::N,சந்திரன்,Mond
58,Stern::N,நட்சத்திரம்,Stern
59,Luft::N,காறறு,Luft
60,Wind::N,காற்று,Wind
61,Welle::N,அலை,Welle
62,Wasser::N,நீர்,Wasser
63,Stein::N,கல்,Stein
64,Boden::N,தரை,Boden
65,Erde::N,மண்,Erde
66,Staub::N,தூசி,Staub
67,Rauch::N,புகை,Rauch
68,Funke::N,தீப்பொறி,Funke
69,Feuer::N,தீ,Feuer
70,Licht::N,வெளிச்சம்,Licht
71,Schatten::N,நிழல்,Schatten
72,Wetter::N,வானிலை,Wetter
73,Nebel::N,பனிமூட்டம்,Nebel
74,Wolke::N,மேகம்,Wolke
75,Regen::N,மழை,Regen
76,Schnee::N,உறைபனி,Schnee
77,Eis::N,பனிக்கட்டி,Eis
78,Frost::N,உறைபனி,Frost
79,Kälte::N,குளிர்ந்த,Kälte
80,Hitze::N,சூடு,Hitze
81,Raureif::N,உறைபனி வெண்திரை,Raureif
82,Regenbogen::N,வானவில்,Regenbogen
83,Donner::N,இடி,Donner
84,Strömung::N,நீரோட்டம்,Strömung
85,Tropfen::N,துளி,Tropfen
86,Schaum::N,நுரை,Schaum
87,Schmutz::N,அழுக்கு,Schmutz
88,See::N,ஏரி,See
89,Sumpf::N,சதுப்பு நிலம்,Sumpf
90,Moor::N,முட்புதற்காடு,Moor
91,Wiese::N,பசும் புல்தரை,Wiese
92,Wald::N,காடு,Wald
93,Hügel::N,குன்று,Hügel
94,Anhöhe::N,பதுக்கை,Anhöhe
95,Berg::N,மலை,Berg
96,Gipfel::N,உச்சி மாநாடு,Gipfel
97,Höhle::N,குகை,Höhle
98,Abhang::N,சரிவு,Abhang
99,Quelle::N,மூலம்,Quelle
100,Bach::N,ஓடை,Bach
101,Fluss::N,ஆறு,Fluss
102,Ufer::N,நீர்க்கரை,Ufer
103,Küste::N,கடற்கரை,Küste
104,Festland::N,நிலம்,Festland
105,Meer::N,கடல்,Meer
106,Bucht::N,சிறுகுடா,Bucht
107,Insel::N,தீவு,Insel
108,Blume::N,பூ,Blume
109,Gras::N,புல்தரை,Gras
110,Wurzel::N,வேர்,Wurzel
111,Baum::N,மரம்,Baum
112,Stamm::N,அடிமரம்,Stamm
113,Rinde::N,பட்டை,Rinde
114,Rinde::N,மரப்பட்டை,Rinde
115,Ast::N,கினை,Ast
116,Zweig::N,குச்சி,Zweig
117,Blatt::N,இலை,Blatt
118,Birke::N,பிர்ச் மரம்,Birke
119,Kiefer[Baum]::N,தேவதாரு மரம்,Kiefer
120,Weide[Baum]::N,மர வகைகளுள் ஒன்று,Weide
121,Tanne::N,சாதிக்கய்,Tanne
122,Horn::N,கொம்பு,Horn
123,Feder::N,இறகு,Feder
124,Fell::N,மென்முடி,Fell
125,Flügel::N,இறக்கை,Flügel
126,Klaue::N,நகம்,Klaue
127,Kralle::N,நகம்,Kralle
128,Schwanz::N,வால்,Schwanz
129,Ei::N,முட்டை,Ei
130,Nest::N,கூடு,Nest
131,Bau::N,குகை,Bau
132,Tier::N,விலங்கு,Tier
133,Herde::N,கூட்டம்,Herde
134,Kuh::N,பசு,Kuh
135,Bulle::N,காளை,Bulle
136,Pferd::N,குதிரை,Pferd
137,Schaf::N,செம்மறிஆடு,Schaf
138,Schwein::N,பன்றி,Schwein
139,Hund::N,நாய்,Hund
140,Katze::N,பூனை,Katze
141,Bär::N,கரடி,Bär
142,Eichhörnchen::N,அணில்,Eichhörnchen
143,Elch::N,கடம்பை,Elch
144,Fuchs::N,நரி,Fuchs
145,Hase::N,முயல்,Hase
146,Maus::N,எலி,Maus
147,Wolf::N,ஓநாய்,Wolf
148,Vogel::N,பறவை,Vogel
149,Schwarm::N,தொகுதி,Schwarm
150,Huhn::N,கோழிக்குஞசு,Huhn
151,Hahn::N,சேவல்,Hahn
152,Gans::N,பெண் வாத்து,Gans
153,Adler::N,பருநது,Adler
154,Ente::N,வாத்து,Ente
155,Eule::N,ஆந்தை,Eule
156,Kranich::N,நாரை,Kranich
157,Krähe::N,காகம்,Krähe
158,Kuckuck::N,குயில்,Kuckuck
159,Schwan::N,அன்னம்,Schwan
160,Fisch::N,மீன்,Fisch
161,Barsch::N,பேர்ச்,Barsch
162,Hecht::N,கோலாச்சி மீன்,Hecht
163,Schlange[Tier]::N,பாம்பு,Schlange
164,Wurm::N,புழு,Wurm
165,Spinne::N,சிலந்தி,Spinne
166,Ameise::N,எறும்பு,Ameise
167,Laus::N,பேன்,Laus
168,Mücke::N,கொசுவினப்பூச்சி,Mücke
169,Fliege::N,ஈ,Fliege
170,Schmetterling::N,வண்ணத்துப்பூச்சி,Schmetterling
171,Beere::N,சதைப்பழம்,Beere
172,Apfel::N,ஆப்பிள பழம்,Apfel
173,Pilz::N,காளான்,Pilz
174,Zwiebel::N,வெங்காயம்,Zwiebel
175,Saat::N,விதை,Saat
176,Korn::N,தானியம்,Korn
177,Heu::N,வைக்கோல்,Heu
178,Schale::N,தோல்,Schale
179,Grube::N,குழி,Grube
180,Falle::N,பொறி,Falle
181,Schlinge::N,கண்ணி,Schlinge
182,Spur::N,சுவடு,Spur
183,Asche::N,சாம்பல்,Asche
184,Dreck::N,அழுக்கு,Dreck
185,Eisen::N,இரும்பு,Eisen
186,Gold::N,தங்கம்,Gold
187,Silber::N,வெள்ளி,Silber
188,Kohle::N,நிலக்கரி,Kohle
189,Glas::N,கண்ணாடி,Glas
190,Lehm::N,களிமண்,Lehm
191,Sand::N,மணல்,Sand
192,Mensch::N,மனிதர்கள்,Mensch
193,Mann::N,மனிதன்,Mann
194,Frau::N,பெண்,Frau
195,Kind::N,குழந்தை,Kind
196,Junge::N,பையன்,Junge
197,Mädchen::N,சிறுமி,Mädchen
198,Familie::N,குடும்பம்,Familie
199,Großvater::N,தாத்தா,Großvater
200,Großmutter::N,பாட்டி,Großmutter
201,Eltern::N,பெற்றோர்,Eltern
202,Vater::N,தந்தை,Vater
203,Mutter::N,தாய்,Mutter
204,Sohn::N,மகன்,Sohn
205,Tochter::N,மகள்,Tochter
206,Bruder::N,சகோதரன்,Bruder
207,Schwester::N,அக்கா,Schwester
208,Onkel::N,தாய் மாமன்,Onkel
209,Tante::N,அத்தை,Tante
210,Ehemann::N,கணவன்,Ehemann
211,Ehefrau::N,மனைவி,Ehefrau
212,Freude::N,கொண்டாட்டம்,Freude
213,Gelächter::N,சிரிப்பு,Gelächter
214,Glück::N,மகிழ்ச்சி,Glück
215,Kummer::N,துயரம்,Kummer
216,Wunsch::N,விருப்பம்,Wunsch
217,Lust::N,விருப்பம்,Lust
218,Geist::N,ஆன்மா,Geist
219,Gedanke::N,எண்ணம்,Gedanke
220,Gedächtnis::N,ஞாபகம்,Gedächtnis
221,Verstand::N,மனம்,Verstand
222,Sinn::N,அர்த்தம்,Sinn
223,Grund::N,காரணம்,Grund
224,Wahrheit::N,உண்நை,Wahrheit
225,Gespräch::N,பெசு,Gespräch
226,Märchen::N,நம்பத்தகாத கதை,Märchen
227,Erzählung::N,கதை,Erzählung
228,Nachricht::N,செய்தி,Nachricht
229,Neuigkeit::N,செய்தி,Neuigkeit
230,Name::N,பெயர்,Name
231,Rätsel::N,புதிர்,Rätsel
232,Rede::N,பேச்சு,Rede
233,Sprache::N,மொழி,Sprache
234,Stimme::N,குரல்,Stimme
235,Wort::N,வார்த்தை,Wort
236,Zeichen::N,குறி,Zeichen
237,Ruf::N,அழைப்பு,Ruf
238,Lärm::N,சத்தம்,Lärm
239,Laut::N,ஒலி,Laut
240,Ton::N,குரல்,Ton
241,Lied::N,பாட்டு,Lied
242,Ruhe::N,அமைதி,Ruhe
243,Leute::N,மக்கள்,Leute
244,Volk::N,மக்கள்,Volk
245,Arbeit::N,வேலை,Arbeit
246,Gast::N,விருந்தாளி,Gast
247,Geschenk::N,பரிசுப் பொருள்,Geschenk
248,Spiel::N,விளையாட்டு,Spiel
249,Gesellschaft::N,சமுதாயம்,Gesellschaft
250,Hilfe::N,உதவி,Hilfe
251,Freund::N,நண்பன்,Freund
252,Kamerad::N,உடனிருப்பவன்,Kamerad
253,Angelegenheit::N,செய்தி,Angelegenheit
254,Anzahl::N,எண்ணிக்கை,Anzahl
255,Art::N,வகை,Art
256,Stück::N,துண்டம்,Stück
257,Teil::N,பகுதி,Teil
258,Hälfte::N,பாதி,Hälfte
259,Kreis::N,வட்டம்,Kreis
260,Kreuz::N,சிலுவை,Kreuz
261,Linie::N,கோடு,Linie
262,Strich::N,வாத நோய்,Strich
263,Abstand::N,இடைவெளி,Abstand
264,Entfernung::N,தூரம்,Entfernung
265,Gegend::N,வட்டாரம்,Gegend
266,Platz::N,வெற்றிடம்,Platz
267,Ort::N,இடம்,Ort
268,Seite::N,பக்கம்,Seite
269,Mitte::N,இடைப்பகுதி,Mitte
270,Gegenstand::N,உருப்படி,Gegenstand
271,Sache::N,பொருள்,Sache
272,Rand::N,தொங்கு,Rand
273,Kante::N,விளிம்பு,Kante
274,Ecke::N,மூலை,Ecke
275,Spitze::N,முனை,Spitze
276,Ende::N,முடிவு,Ende
277,Loch::N,துளை,Loch
278,Winkel::N,கோணம்,Winkel
279,Muster::N,பாங்கு,Muster
280,Größe::N,அளவு,Größe
281,Länge::N,நீளம்,Länge
282,Höhe::N,உயரம்,Höhe
283,Gewicht::N,எடை,Gewicht
284,Menge::N,தொகை,Menge
285,Haufen::N,குவியல்,Haufen
286,Reihe::N,வரிசை,Reihe
287,Boot::N,படகு,Boot
288,Ruder::N,துடுப்பு,Ruder
289,Schlitten::N,சகடையிலா வண்டி,Schlitten
