,Concept_ID,ko,ar
0,Auge::N,눈,عين
1,Ohr::N,귀,أذن
2,Nase::N,코,أنف
3,Mund::N,입,فم
4,Zahn::N,이,سن
5,Zunge::N,혀,لسان
6,Lippe::N,입술,شفة
7,Wange::N,뺨,خد
8,Wange::N,뺨,وجنة
9,Gesicht::N,얼굴,وجه
10,Stirn::N,이마,جبين
11,Haar::N,털,شعر
12,Schnurrbart::N,윗수몀,شارب
13,Schnurrbart::N,코밑수염,شارب
14,Bart::N,수엄,لحية
15,Kinn::N,아래턱,ذقن
16,Kiefer[Anatomie]::N,턱,فك
17,Kehle::N,인후,حلق
18,Hals::N,목,عنق
19,Hals::N,목,رقبة
20,Genick::N,먹덜이,قفا
21,Kopf::N,머리,رأس
22,Rücken::N,든,ظهر
23,Bauch::N,배,بطن
24,Nabel::N,배꼽,سرة
25,Busen::N,가슴속,ثدي
26,Brust::N,가슴,صدر
27,Schulter::N,어깨,كتف
28,Arm::N,팔,ذراع
29,Ellenbogen::N,팔쿰치,كوع
30,Hand::N,손,يد
31,Handfläche::N,손바닥,كف
32,Finger::N,속가락,إصبع
33,Fingernagel::N,손톱,ظفر
34,Nagel[Anatomie]::N,손톱,ظفر
35,Zeh::N,발가락,إصبع القدم
36,Fuß::N,발,قدم
37,Ferse::N,발꿈치,كعب
38,Knie::N,무릎,ركبة
39,Oberschenkel::N,허벅다리,فخذ
40,Bein::N,다리,ساق
41,Körper::N,구간,جسم
42,Haut::N,살갗,بشرة
43,Blut::N,피,دم
44,Ader::N,정맥,عرق
45,Sehne::N,현,طنب
46,Knochen::N,뼈,عظم
47,Gehirn::N,뇌,دماغ
48,Gehirn::N,뇌수,دماغ
49,Herz::N,염통,قلب
50,Magen::N,위,معدة
51,Leber::N,간,كبد
52,Atem::N,기식,نفس
53,Hunger::N,공복,جوع
54,Träne::N,눈물,دمعة
55,Geschmack::N,기호,طعم
56,Geschmack::N,기호,مذاق
57,Geruch::N,냄새,رائحة
58,Schlaf::N,수면,نوم
59,Schlaf::N,수면,منام
60,Traum::N,쿰,حلم
61,Himmel::N,하늘,سماء
62,Sonne::N,해,شمس
63,Mond::N,달,قمر
64,Stern::N,별,نجم
65,Stern::N,별,كوكب
66,Luft::N,동준,هواء
67,Luft::N,가스채,هواء
68,Wind::N,바람,ريح
69,Welle::N,물결,موجة
70,Wasser::N,물,ماء
71,Stein::N,돌,حجر
72,Boden::N,바닥,تراب
73,Erde::N,흙,أرض
74,Staub::N,먼지,غبار
75,Rauch::N,연기,دخان
76,Funke::N,불티,شرارة
77,Feuer::N,불,نار
78,Licht::N,불,نور
79,Licht::N,불,ضوء
80,Schatten::N,어스레함,ظل
81,Schatten::N,어스레함,فيء
82,Wetter::N,기상,جو
83,Wetter::N,기상,طقس
