,Concept_ID,tr,ady
0,Auge::N,göz,нэ
1,Ohr::N,kulak,тхьакӏу́м
2,Nase::N,burun,пэ
3,Mund::N,ağız,жэ
4,Zahn::N,diş,цэ
5,Zunge::N,dil,бзэгу
6,Lippe::N,dudak,ӏупшӏэ́
7,Wange::N,yanak,нэкӏу́шъу
8,Gesicht::N,yüz,нэ́гу
9,Stirn::N,alın,натӏэ́
10,Haar::N,saç,шъхьацы́
11,Schnurrbart::N,bıyık,
12,Bart::N,sakal,жакӏэ́
13,Kinn::N,çene,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,çene,жэпкъы́
15,Kehle::N,boğaz,чый
16,Hals::N,boyun,пшъэ
17,Hals::N,gerdan,пшъэ
18,Genick::N,ense,шъхьэпхэтыку
19,Kopf::N,baş,шъхьэ́
20,Kopf::N,kafa,шъхьэ́
21,Rücken::N,arka,кӏыбы́
22,Bauch::N,karın,ныбэ́
23,Nabel::N,göbek,
24,Busen::N,koyun,бгъэ́
25,Brust::N,göğüs,бгъэ́
26,Schulter::N,omuz,блыпкъ
27,Arm::N,kol,ӏэ
28,Ellenbogen::N,dirsek,ӏэнтэ́гъу
29,Hand::N,el,ӏэтхьэцу
30,Handfläche::N,avuç,ӏэ́гу
31,Handfläche::N,el ayası,ӏэ́гу
32,Finger::N,parmak,ӏэхъуа́мб
33,Fingernagel::N,el tırnağı,ӏэбжъа́н
34,Nagel[Anatomie]::N,tırnak,ӏэбжъа́н
35,Zeh::N,ayak parmağı,ӏэхъуа́мб
36,Fuß::N,ayak,лъэгу
37,Ferse::N,topuk,лъэдакъэ
38,Knie::N,diz,лъагуа́ндж
39,Oberschenkel::N,uyluk,ко
40,Bein::N,bacak,лъакъо́
41,Körper::N,vücut,пкъышъол
42,Haut::N,cilt,кӏы́шъу
43,Blut::N,kan,лъы
44,Ader::N,damar,льытф
45,Sehne::N,kiriş,фэ
46,Knochen::N,kemik,къупшъхьэ́
47,Gehirn::N,beyin,куцӏы
48,Herz::N,kalp,гу
49,Herz::N,yürek,гу
50,Magen::N,mide,мышкӏу
51,Leber::N,karaciğer,шӏу
52,Atem::N,nefes,къэщэныр
53,Hunger::N,açlık,гъаблэ́
54,Träne::N,gözyaşı,нэпсы
55,Geschmack::N,tat,ӏэшӏугъа́кӏ
56,Geschmack::N,lezzet,ӏэшӏугъа́кӏ
57,Geruch::N,koku,мэ
58,Schlaf::N,uyku,пчыхьы́пӏ
59,Traum::N,düş,пчыхьы́пӏ
60,Traum::N,rüya,пчыхьы́пӏ
61,Himmel::N,gök,уашъо́
62,Sonne::N,güneş,тыгъэ
63,Mond::N,ay,мазэ
64,Stern::N,yıldız,жъуагъо́
65,Luft::N,hava,жьы
66,Wind::N,yel,жьыбгъэ́
67,Wind::N,rüzgâr,жьыбгъэ́
68,Welle::N,dalga,ор
69,Welle::N,dalga,оры
70,Wasser::N,su,псы
71,Stein::N,taş,мыжъо́
72,Boden::N,yer,чӏ́ыгу
73,Boden::N,zemin,чӏ́ыгу
74,Erde::N,toprak,чӏ́ыгу
75,Staub::N,toz,сап
76,Rauch::N,duman,ӏугъо́
77,Funke::N,kıvılcım,мэшӏуа́ч
78,Feuer::N,ateş,машӏо́
79,Licht::N,ışık,нэфы
80,Licht::N,ışık,нэфын
81,Schatten::N,gölge,жьау́
82,Schatten::N,gölge,ныбжьыкъу
83,Wetter::N,hava,
84,Nebel::N,pus,пща́гъу
85,Wolke::N,bulut,ошъуапщэ
86,Regen::N,yağmur,ощхы
87,Schnee::N,kar,осы́
88,Eis::N,buz,мылы
89,Frost::N,don,
90,Kälte::N,soğukluk,чъыӏэ́
91,Hitze::N,sıcaklık,фэба́е
92,Raureif::N,kırç,
93,Regenbogen::N,gökkuşağı, лэгъупэкъо́пс
94,Donner::N,gök gürlemesi,шыблэ́
95,Strömung::N,akıntı,ток
96,Strömung::N,cereyan,ток
97,Tropfen::N,damla,ткӏопс
98,Tropfen::N,damla,гъуаткӏу
99,Schaum::N,köpük,тхъурбэ
100,Schmutz::N,çamur,псынжъы
101,Schmutz::N,pislik,псынжъы
102,See::N,göl,хыку́м
103,See::N,göl,псыхъура́й
104,Sumpf::N,batak,орыжъ
105,Moor::N,cılgıt,орыжъ
106,Wiese::N,çimen,хъупӏэ́
107,Wiese::N,çimen,мэкъупӏ
108,Wald::N,koru,мэзы́
109,Wald::N,orman,мэзы́
110,Hügel::N,tepe,ӏуашъхь
111,Anhöhe::N,tümsek,чӏыӏэтыгъ
112,Anhöhe::N,yükseklik,чӏыӏэтыгъ
113,Berg::N,dağ,къушъхьэ́
114,Gipfel::N,zirve,шыгу
115,Höhle::N,in,гъочӏэгъ
116,Höhle::N,mağara,гъочӏэгъ
117,Abhang::N,bayır,чапэ
118,Quelle::N,pınar,псынэчэ́чъ
119,Quelle::N,kaynak,псынэчэ́чъ
120,Bach::N,çay,псышкуашку
121,Bach::N,dere,псышкуашку
122,Fluss::N,nehir,псыхъо́
123,Ufer::N,kıyı,нэпкъы
124,Ufer::N,sahil,нэпкъы
125,Küste::N,kıyı,ӏушъо
126,Küste::N,sahil,ӏушъо
127,Festland::N,kara,чӏл́ыгу
128,Meer::N,deniz,хы
129,Bucht::N,koy,хыблыгу
130,Bucht::N,körfez,хыблыгу
131,Insel::N,ada,хыгъэхъу́н
132,Blume::N,çiçek,къэгъа́гь
133,Gras::N,ot,уцы́
134,Gras::N,çim,уцы́
135,Wurzel::N,kök,лъапсэ́
136,Baum::N,ağaç,чъыгы́
137,Stamm::N,gövde,пкъы
138,Rinde::N,kabuk,пхъашъо́
139,Ast::N,dal,куамэ
140,Ast::N,budak,куамэ
141,Zweig::N,dal,къутамэ́
142,Blatt::N,yaprak,тхьап
143,Birke::N,huş,пчэн
144,Kiefer[Baum]::N,çam,сэснэй
145,Weide[Baum]::N,söğüt,пце́л
146,Tanne::N,çam,ель
147,Tanne::N,köknar,ель
148,Horn::N,boynuz,бжъэ
149,Feder::N,tüy,къамӏы́й
150,Fell::N,post,шъо
151,Flügel::N,kanat,тамэ́
152,Klaue::N,pençe,лъэбжъа́н
