,Concept_ID,az,hu
0,Auge::N,göz,szem
1,Ohr::N,qulaq,fül
2,Nase::N,burun,orr
3,Mund::N,ağız,száj
4,Zahn::N,diş,fog
5,Zunge::N,dil,nyelv
6,Lippe::N,dodaq,ajak
7,Wange::N,yanaq,orca
8,Gesicht::N,üz,arc
9,Stirn::N,alın,homlok
10,Haar::N,saç,haj
11,Schnurrbart::N,bığ,bajusz
12,Bart::N,saqqal,szakáll
13,Kinn::N,çənə,áll
14,Kiefer[Anatomie]::N,çənə,állkapocs
15,Kehle::N,boğaz,gége
16,Kehle::N,boğaz,torok
17,Hals::N,boyun,nyak
18,Genick::N,ənsə,tarkó
19,Kopf::N,baş,fő
20,Kopf::N,baş,fej
21,Rücken::N,bel,hát
22,Bauch::N,qarın,has
23,Nabel::N,göbək,köldök
24,Busen::N,məmə,mell
25,Busen::N,məmə,kebel
26,Brust::N,döş,mell
27,Schulter::N,çiyin,váll
28,Arm::N,qol,kar
29,Ellenbogen::N,dirsək,könyök
30,Hand::N,əl,kéz
31,Handfläche::N,ovuc,tenyér
32,Finger::N,barmaq,ujj
33,Fingernagel::N,barmaq dırnağı,köröm
34,Nagel[Anatomie]::N,dırnak,köröm
35,Zeh::N,ayaq barmağı,lábujj
36,Fuß::N,ayaq,láb
37,Ferse::N,daban,sarok
38,Knie::N,diz,térd
39,Oberschenkel::N,bud,comb
40,Bein::N,qıç,láb
41,Bein::N,qıç,lábszár
42,Körper::N,əndam,test
43,Haut::N,dəri,bőr
44,Blut::N,qan,vér
45,Ader::N,damar,ér
46,Sehne::N,vətər,ín
47,Knochen::N,sümük,csont
48,Gehirn::N,beyin,agy
49,Gehirn::N,beyin,agyvelő
50,Herz::N,ürək,szív
51,Magen::N,mədə,gyomor
52,Leber::N,qara ciyər,máj
53,Atem::N,nəfəs,lehelet
54,Atem::N,nəfəs,lélegzet
55,Hunger::N,aclıq,éhség
56,Träne::N,göz yaşı,könny
57,Geschmack::N,tam,íz
58,Geschmack::N,ləzzət,íz
59,Geruch::N,qoxu,szag
60,Schlaf::N,yuxu,álom
61,Schlaf::N,yuxu,alvás
62,Traum::N,röya,álom
63,Himmel::N,göy,ég
64,Himmel::N,göy,menny
65,Himmel::N,səma,ég
66,Himmel::N,səma,menny
67,Sonne::N,günəş,nap
68,Mond::N,ay,hold
69,Stern::N,ulduz,csillag
70,Luft::N,hava,levegő
71,Wind::N,yel,szél
72,Wind::N,külək,szél
73,Welle::N,dalğa,hullám
74,Wasser::N,su,víz
75,Stein::N,daş,kő
76,Boden::N,yer,föld
77,Boden::N,yer,talaj
78,Boden::N,zəmin,föld
79,Boden::N,zəmin,talaj
80,Erde::N,yer torpaq,föld
81,Staub::N,toz,por
82,Rauch::N,tüstü,füst
83,Funke::N,qığılcım,szikra
84,Feuer::N,od,tűz
85,Licht::N,işıq,fény
86,Schatten::N,kölgə,árnyék
87,Wetter::N,hava,idő
88,Wetter::N,hava,időjárás
89,Nebel::N,duman,köd
90,Wolke::N,bulud,felhő
91,Regen::N,yağış,eső
92,Regen::N,yağmur,eső
93,Schnee::N,qar,hó
94,Eis::N,buz,jég
95,Frost::N,ayaz,fagy
96,Kälte::N,soyuq,hideg
97,Hitze::N,coşğunluq,hő
98,Hitze::N,coşğunluq,hőség
99,Raureif::N,qırov,zúzmara
100,Regenbogen::N,göy qurşağı,szivárvány
101,Donner::N,göy gurultusu,dörgés
102,Donner::N,göy gurultusu,mennydörgés
103,Strömung::N,axın,áramlat
104,Tropfen::N,damcı,csepp
105,Schaum::N,köpük,hab
106,Schaum::N,köpük,tajték
107,Schmutz::N,çamır,piszok
108,See::N,göl,tó
109,Sumpf::N,bataqlıq,mocsár
110,Moor::N,bataqlıq,láp
111,Wiese::N,çəmən,rét
112,Wiese::N,çəmən,mező
113,Wald::N,meşə,erdő
114,Hügel::N,təpə,domb
115,Anhöhe::N,təpə,magaslat
116,Berg::N,dağ,hegy
117,Gipfel::N,zirvə,csúcs
118,Höhle::N,mağara,barlang
119,Abhang::N,yamac,lejtő
120,Quelle::N,bulaq,forrás
121,Bach::N,kiçik çay,patak
122,Fluss::N,çay,folyó
123,Ufer::N,kənar,part
124,Küste::N,sahil,tengerpart
125,Festland::N,materik,szárazföld
126,Meer::N,dəniz,tenger
127,Bucht::N,körfəz,öböl
128,Insel::N,ada,sziget
129,Blume::N,çiçək,virág
130,Gras::N,ot,fű
131,Wurzel::N,kök,gyökér
132,Baum::N,ağac,fa
133,Stamm::N,gövdə,tő
134,Stamm::N,gövdə,törzs
135,Rinde::N,qabıq,kéreg
136,Ast::N,şax,ág
137,Zweig::N,budaq,gally
138,Blatt::N,yarpaq,levél
139,Birke::N,tozağacı,nyír
140,Kiefer[Baum]::N,şam,fenyő
141,Weide[Baum]::N,söyüd,fűz
142,Tanne::N,küknar,fenyő
143,Horn::N,buynuz,szarv
144,Feder::N,tük,toll
145,Feder::N,lələk,toll
146,Fell::N,xəz,szőr
147,Fell::N,xəz,bunda
148,Flügel::N,qanad,szárny
149,Klaue::N,pəncə,köröm
150,Kralle::N,dırnaq,karom
151,Schwanz::N,quyruq,farok
152,Ei::N,yumurta,tojás
153,Nest::N,yuva,fészek
154,Bau::N,yuva,odú
155,Tier::N,heyvan,állat
156,Herde::N,sürü,nyáj
157,Herde::N,sürü,csorda
158,Kuh::N,inək,tehén
159,Bulle::N,öküz,bika
160,Pferd::N,at,ló
161,Schaf::N,qoyun,juh
162,Schaf::N,qoyun,birka
163,Schwein::N,donuz,sertés
164,Hund::N,it,eb
165,Hund::N,it,kutya
166,Hund::N,köpək,eb
167,Hund::N,köpək,kutya
168,Katze::N,pişik,macska
169,Bär::N,ayı,medve
170,Eichhörnchen::N,dələ,mókus
171,Elch::N,sığın,jávorszarvas
172,Fuchs::N,tülkü,róka
173,Hase::N,dovşan,nyúl
174,Maus::N,siçan,egér
175,Wolf::N,qurd,farkas
176,Vogel::N,quş,madár
177,Schwarm::N,sürü,raj
178,Huhn::N,toyuq,tyúk
179,Hahn::N,xoruz,kakas
180,Gans::N,qaz,lúd
181,Gans::N,qaz,liba
182,Adler::N,qartal,sas
183,Adler::N,qaraquş,sas
184,Ente::N,ördək,kacsa
185,Eule::N,bayquş,bagoly
186,Kranich::N,durna,daru
187,Krähe::N,qarğa,varjú
188,Kuckuck::N,ququ,kakukk
189,Schwan::N,qu quşu,hattyú
190,Fisch::N,balıq,hal
191,Barsch::N,tar,sügér
192,Hecht::N,durnabalığı,csuka
193,Schlange[Tier]::N,ilan,kígyó
194,Wurm::N,qurd,kukac
195,Spinne::N,hörümçək,pók
196,Ameise::N,qarışqa,hangya
197,Laus::N,bit,tetű
198,Mücke::N,ağcaqanad,szúnyog
199,Fliege::N,milçək,légy
200,Schmetterling::N,kəpənək,lepke
201,Schmetterling::N,kəpənək,pillangó
202,Beere::N,gilə,bogyó
203,Apfel::N,alma,alma
204,Pilz::N,göbələk,gomba
205,Zwiebel::N,soğan,hagyma
206,Saat::N,əkin,vetőmag
207,Korn::N,taxıl,mag
208,Korn::N,taxıl,szem
209,Heu::N,quru ot,széna
210,Schale::N,qabıq,héj
211,Grube::N,çuxur,verem
212,Falle::N,tələ,csapda
213,Falle::N,duzaq,csapda
214,Schlinge::N,ilmək,tőr
215,Spur::N,iz,nyom
216,Asche::N,kül,hamu
217,Dreck::N,kir,sár
218,Dreck::N,kir,piszok
219,Eisen::N,dəmir,vas
220,Gold::N,altun,arany
221,Silber::N,gümüş,ezüst
222,Kohle::N,kömür,szén
223,Glas::N,şüşə,üveg
224,Lehm::N,gil,agyag
225,Lehm::N,gil,vályog
226,Lehm::N,palçıq,agyag
227,Lehm::N,palçıq,vályog
228,Sand::N,qum,homok
229,Mensch::N,adam,ember
230,Mensch::N,insan,ember
231,Mann::N,kişi,úr
232,Mann::N,kişi,férfi
233,Frau::N,qadın,nő
234,Frau::N,qadın,asszony
235,Kind::N,uşaq,gyerek
236,Kind::N,uşaq,gyermek
237,Junge::N,oğlan,fiú
238,Mädchen::N,qız,lány
239,Familie::N,ailə,család
240,Großvater::N,baba,nagyapa
241,Großmutter::N,nənə,nagyanya
242,Eltern::N,valideyn,szülők
243,Vater::N,ata,apa
244,Vater::N,ata,atya
245,Mutter::N,ana,anya
246,Sohn::N,oğul,fiú
247,Tochter::N,qız,lány
248,Bruder::N,qardaş,fivér
249,Bruder::N,qardaş,testvér
250,Schwester::N,bacı,nővér
251,Schwester::N,bacı,lánytestvér
252,Onkel::N,əmi,nagybácsi
253,Onkel::N,dayı,nagybácsi
254,Tante::N,bibi,nagynéni
255,Ehemann::N,ər,férj
256,Ehefrau::N,arvad,feleség
257,Freude::N,nəşə,öröm
258,Freude::N,sevinc,öröm
259,Gelächter::N,gülüş,nevetés
260,Gelächter::N,gülüş,hahotázás
261,Gelächter::N,qəhqəhə,nevetés
262,Gelächter::N,qəhqəhə,hahotázás
263,Glück::N,səadət,boldogság
264,Glück::N,xoşbəxtlik,boldogság
265,Kummer::N,qəm,bánat
266,Kummer::N,kədər,bánat
267,Wunsch::N,arzu,óhaj
268,Lust::N,həvəs,kedv
269,Geist::N,ruh,elme
270,Geist::N,ruh,szellem
271,Gedanke::N,fikir,gondolat
272,Gedanke::N,düşüncə,gondolat
273,Gedächtnis::N,xatir,emlékezet
274,Gedächtnis::N,hafizə,emlékezet
275,Verstand::N,ağıl,ész
276,Verstand::N,ağıl,értelem
277,Sinn::N,məna,értelem
278,Grund::N,səbəb,ok
279,Grund::N,səbəb,alap
280,Wahrheit::N,haqq,igaz
281,Wahrheit::N,haqq,igazság
282,Wahrheit::N,doğruluq,igaz
283,Wahrheit::N,doğruluq,igazság
284,Gespräch::N,söhbət,beszélgetés
285,Gespräch::N,qonuşma,beszélgetés
286,Märchen::N,nağıl,mese
287,Erzählung::N,hekayə,elbeszélés
288,Nachricht::N,xəbər,hír
289,Nachricht::N,xəbər,híradás
290,Neuigkeit::N,xəbər,újság
