,Concept_ID,kl,sl
0,Auge::N,isi,okó
1,Ohr::N,siut,uhó
2,Mund::N,paaq,ústa
3,Mund::N,qaneq,ústa
4,Zahn::N,kigut,zób
5,Zunge::N,oqaq,jêzik
6,Lippe::N,qarloq,ústnica
7,Wange::N,ersaq,líce
8,Gesicht::N,kiinaq,oblíčje
9,Stirn::N,qaaq,čêlo
10,Haar::N,meqqoq,lás
11,Bart::N,umik,bráda
12,Kinn::N,talloq,bráda
13,Kiefer[Anatomie]::N,alleroq,čeljúst
14,Kehle::N,malaq,gŕlo
15,Hals::N,qungaseq,vrát
16,Genick::N,pukusuk,zatílnik
17,Kopf::N,niaqoq,gláva
18,Rücken::N,qimerlut,hrbèt
19,Bauch::N,naaq,trébuh
20,Nabel::N,qalaseq,pópek
21,Busen::N,iviangeq,nédrja
22,Brust::N,iviangeq,pŕsi
23,Schulter::N,ersik,ráma
24,Schulter::N,ersik,plêče
25,Schulter::N,assaqqoq,ráma
26,Schulter::N,assaqqoq,plêče
27,Arm::N,taleq,rôka
28,Ellenbogen::N,ikusik,komólec
29,Hand::N,assak,rôka
30,Handfläche::N,itumak,dlán
31,Finger::N,inuak,pŕst
32,Fingernagel::N,kikiak,nóht na rôki
33,Nagel[Anatomie]::N,kukik,nóht
34,Zeh::N,isigak,pŕst na nôgi
35,Ferse::N,kimmik,pêta
36,Knie::N,seeqqoq,koléno
37,Oberschenkel::N,uppat,stêgno
38,Oberschenkel::N,quttoraq,stêgno
39,Bein::N,isigak,nôga
40,Körper::N,timi,teló
41,Haut::N,mattak,kóža
42,Blut::N,aak,krí
43,Ader::N,taqaq,žíla
44,Sehne::N,ujalu,kíta
45,Sehne::N,ujaloq,kíta
46,Knochen::N,saanikut,kóst
47,Gehirn::N,qarasaq,možgáni
48,Herz::N,uummat,srcé
49,Magen::N,aqajaroq,želódec
50,Leber::N,tinguk,jétra
51,Atem::N,anerneq,díh
52,Hunger::N,kaanneq,glád
53,Träne::N,qia,sólza
54,Träne::N,qiak,sólza
55,Geschmack::N,qilanaartuut,okús
56,Geruch::N,tipi,vónj
57,Geruch::N,tipik,vónj
58,Traum::N,sinnattoq,sánje
59,Traum::N,sinnattugaq,sánje
60,Himmel::N,qilak,nebó
61,Sonne::N,seqineq,sónce
62,Mond::N,qaammat,lúna
63,Mond::N,qaammat,mésec
64,Stern::N,ulloriaq,zvézda
65,Luft::N,silaannaq,zràk
66,Wind::N,anori,véter
67,Wind::N,anorsarik,véter
68,Welle::N,aalappaa,vál
69,Wasser::N,imeq,vôda
70,Stein::N,ujarak,kámen
71,Boden::N,nateq,tlà
