,Concept_ID,bn,cv
0,Auge::N,চক্ষু,куҫ
1,Ohr::N,কর্ণ,хӑлха
2,Nase::N,নাক,сӑмса
3,Mund::N,মুখ,ҫӑвар
4,Zahn::N,দাঁত,шӑл
5,Zunge::N,জিহবা,чӗлхе
6,Lippe::N,অধর,тута
7,Wange::N,গণ্ড,пит ҫӑмарти
8,Gesicht::N,মুখমণ্ডল,пит
9,Gesicht::N,মুখমণ্ডল,пит-куҫ
10,Stirn::N,কপাল,ҫамка
11,Haar::N,চুল,ҫӳҫ
12,Schnurrbart::N,গোঁফ,усси
13,Bart::N,শ্মশ্রু,сухал
14,Kinn::N,চিবুক,янах
15,Kiefer[Anatomie]::N,চোয়াল,янах
16,Kehle::N,কণ্ঠ,пыр
17,Kehle::N,কণ্ঠ,карланкӑ
18,Hals::N,গল,пыр
19,Genick::N,ঘাড়,ӗнсе
20,Kopf::N,মাথা,пуҫ
21,Rücken::N,পৃষ্ঠ,ҫурӑм
22,Bauch::N,উদর,
23,Nabel::N,নাভি,кӑвапа
24,Busen::N,স্তন,кӑкӑр
25,Brust::N,বুক,умӗ
26,Schulter::N,স্কন্ধ,хул пуҫҫи
27,Arm::N,বাহু,алӑ
28,Ellenbogen::N,কনুই,чавса
29,Hand::N,হাত,алӑ сыппи
30,Handfläche::N,করতল,ал лаппи
31,Finger::N,আঙ্গুল,пӳрне
32,Fingernagel::N,হাতের নখ,чӗрне
33,Nagel[Anatomie]::N,নখ,чӗрне
34,Zeh::N,আঙ্গুল,пӳрне
35,Fuß::N,পা,ура лаппи
36,Ferse::N,গোড়ালি,кӗле
37,Knie::N,হাঁটু,чӗркуҫҫи
38,Oberschenkel::N,ঊরু,пӗҫӗ
39,Bein::N,পা,ура
40,Körper::N,দেহ,ӳт
41,Körper::N,দেহ,ӳт-пӳ
42,Haut::N,ত্বক,тир
43,Blut::N,রক্ত,юн
44,Ader::N,শিরা,вена
45,Sehne::N,কণ্ডরা,шӑнӑр
46,Knochen::N,অস্থি,шӑмӑ
47,Gehirn::N,মস্তিষ্ক,миме
48,Herz::N,হৃৎপিণ্ড,чӗре
49,Magen::N,পাকস্থলী,хырӑмлӑх
50,Leber::N,যকৃৎ,пӗвер
51,Atem::N,শ্বাস,сывлав
52,Hunger::N,ক্ষুধা,выҫлӑх
53,Träne::N,অশ্রু,куҫҫуль
54,Geschmack::N,স্বাদ,техӗм
55,Geruch::N,গন্ধ,шӑршӑ
56,Schlaf::N,ঘুম,ыйхӑ
57,Traum::N,স্বপ্ন,тӗлӗк
58,Himmel::N,আকাশ,пӗлӗт
59,Sonne::N,সূর্য,хӗвел
60,Mond::N,চন্দ্র,уйӑх
61,Stern::N,নক্ষত্র,ҫӑлтӑр
62,Luft::N,বায়ু,сывлӑш
63,Wind::N,বাতাস,ҫил
64,Welle::N,ঢেউ,хум
65,Welle::N,তরঙ্গ,хум
66,Wasser::N,জল,шыв
67,Wasser::N,জল,шыв-шур
68,Stein::N,ঢিল,чул
69,Stein::N,প্রস্তর,чул
