,Concept_ID,fr,bg
0,Auge::N,œil,око
1,Ohr::N,oreille,ухо
2,Nase::N,nez,нос
3,Mund::N,bouche,уста
4,Zahn::N,dent,зъб
5,Zunge::N,langue,език
6,Lippe::N,lèvre,устна
7,Wange::N,joue,буза
8,Gesicht::N,face,лице
9,Gesicht::N,face,образ
10,Gesicht::N,visage,лице
11,Gesicht::N,visage,образ
12,Stirn::N,front,чело
13,Haar::N,cheveu,коса
14,Haar::N,cheveu,косъм
15,Schnurrbart::N,moustache,мустаци
16,Bart::N,barbe,брада
17,Kinn::N,menton,брада
18,Kinn::N,menton,брадичка
19,Kiefer[Anatomie]::N,mâchoire,челюст
20,Kehle::N,gorge,гърло
21,Hals::N,cou,врат
22,Genick::N,nuque,тил
23,Kopf::N,tête,глава
24,Rücken::N,dos,гръб
25,Bauch::N,ventre,корем
26,Nabel::N,nombril,пъп
27,Busen::N,sein,бозка
28,Brust::N,poitrine,гръд
29,Schulter::N,épaule,рамо
30,Schulter::N,épaule,плещи
31,Arm::N,bras,ръка
32,Ellenbogen::N,coude,лакът
33,Hand::N,main,ръка
34,Hand::N,main,китка
35,Handfläche::N,paume,длан
36,Finger::N,doigt,пръст
37,Fingernagel::N,ongle,нокът
38,Nagel[Anatomie]::N,ongle,нокът
39,Zeh::N,orteil,пръст на крак
40,Zeh::N,doigt de pied,пръст на крак
41,Fuß::N,pied,крак
42,Fuß::N,pied,нога
43,Ferse::N,talon,пета
44,Knie::N,genou,коляно
45,Oberschenkel::N,cuisse,бедро
46,Bein::N,jambe,крак
47,Bein::N,jambe,нога
48,Körper::N,corps,тяло
49,Haut::N,peau,кожа
50,Blut::N,sang,кръв
51,Ader::N,veine,вена
52,Ader::N,veine,артерия
53,Sehne::N,tendon,жила
54,Sehne::N,tendon,сухожилие
55,Knochen::N,os,кост
56,Gehirn::N,cerveau,мозък
57,Herz::N,cœur,сърце
58,Magen::N,estomac,стомах
59,Leber::N,foie,черен дроб
60,Atem::N,haleine,дишане
61,Hunger::N,faim,глад
62,Träne::N,larme,сълза
63,Geschmack::N,goût,вкус
64,Geschmack::N,saveur,вкус
65,Geruch::N,odeur,миризма
66,Schlaf::N,sommeil,сън
67,Traum::N,songe,сън
68,Himmel::N,ciel,небе
69,Sonne::N,soleil,слънце
70,Mond::N,lune,луна
71,Mond::N,lune,месец
72,Stern::N,étoile,звезда
73,Luft::N,air,въздух
74,Wind::N,vent,вятър
75,Welle::N,vague,вълна
76,Wasser::N,eau,вода
77,Stein::N,pierre,камък
78,Boden::N,sol,земя
79,Boden::N,sol,почва
80,Boden::N,terrain,земя
81,Boden::N,terrain,почва
82,Erde::N,terre,земя
83,Erde::N,terre,почва
84,Staub::N,poussière,прах
85,Rauch::N,fumée,дим
86,Rauch::N,fumée,пушек
87,Funke::N,étincelle,искра
88,Feuer::N,feu,огън
89,Licht::N,lumière,светлина
90,Schatten::N,ombre,сянка
91,Wetter::N,temps,време
92,Nebel::N,brume,мъгла
93,Nebel::N,brouillard,мъгла
94,Wolke::N,nuage,облак
95,Regen::N,pluie,дъжд
96,Schnee::N,neige,сняг
97,Eis::N,glace,лед
98,Frost::N,gel,мраз
99,Frost::N,gelée,мраз
100,Kälte::N,froid,студ
101,Hitze::N,chaleur,жега
102,Hitze::N,chaleur,горещина
103,Raureif::N,givre,скреж
104,Raureif::N,givre,слана
105,Regenbogen::N,arc-en-ciel,дъга
106,Donner::N,tonnerre,гръм
107,Strömung::N,courant,течение
108,Tropfen::N,goutte,капка
109,Schaum::N,écume,пяна
110,Schaum::N,mousse,пяна
111,Schmutz::N,boue,кал
112,Schmutz::N,boue,мръсотия
113,Schmutz::N,saleté,кал
114,Schmutz::N,saleté,мръсотия
115,See::N,lac,езеро
116,Sumpf::N,marais,блато
117,Sumpf::N,marécage,блато
118,Moor::N,tourbière,мочурище
119,Wiese::N,pré,ливада
120,Wald::N,bois,гора
121,Wald::N,forêt,гора
122,Hügel::N,coteau,рид
123,Hügel::N,coteau,хълм
124,Hügel::N,colline,рид
125,Hügel::N,colline,хълм
126,Anhöhe::N,éminence,могила
127,Anhöhe::N,éminence,възвишение
128,Anhöhe::N,élévation,могила
129,Anhöhe::N,élévation,възвишение
130,Berg::N,mont,планина
131,Berg::N,montagne,планина
132,Gipfel::N,cime,връх
133,Gipfel::N,sommet,връх
134,Höhle::N,caverne,пещера
135,Abhang::N,pente,склон
136,Abhang::N,pente,стръмнина
137,Abhang::N,versant,склон
138,Abhang::N,versant,стръмнина
139,Quelle::N,source,извор
140,Quelle::N,fontaine,извор
141,Bach::N,ruisseau,поток
142,Fluss::N,fleuve,река
143,Fluss::N,rivière,река
144,Ufer::N,bord,бряг
145,Ufer::N,rivage,бряг
146,Küste::N,côte,бряг
147,Küste::N,côte,крайбрежие
148,Festland::N,terre ferme,суша
149,Meer::N,mer,море
150,Bucht::N,baie,залив
151,Insel::N,île,остров
152,Blume::N,fleur,цвете
153,Gras::N,herbe,трева
154,Wurzel::N,racine,корен
155,Baum::N,arbre,дърво
156,Stamm::N,tronc,стъбло
157,Rinde::N,écorce,кора
158,Ast::N,branche,клон
159,Zweig::N,rameau,клон
160,Blatt::N,feuille,лист
161,Birke::N,bouleau,бреза
162,Kiefer[Baum]::N,pin,бор
163,Weide[Baum]::N,saule,върба
164,Tanne::N,sapin,ела
165,Horn::N,corne,рог
166,Feder::N,plume,перо
167,Fell::N,peau,кожа
168,Flügel::N,aile,крило
169,Klaue::N,serre,нокът
170,Kralle::N,ongle,нокът
171,Kralle::N,griffe,нокът
172,Schwanz::N,queue,опашка
173,Ei::N,œuf,яйце
174,Nest::N,nid,гнездо
175,Bau::N,terrier,дупка
176,Tier::N,animal,животно
177,Herde::N,troupeau,стадо
178,Kuh::N,vache,крава
179,Bulle::N,taureau,бик
180,Pferd::N,cheval,кон
181,Schaf::N,mouton,овца
182,Schwein::N,porc,свиня
183,Schwein::N,cochon,свиня
184,Hund::N,chien,куче
185,Katze::N,chat,котка
186,Bär::N,ours,мечка
187,Eichhörnchen::N,écureuil,катерица
188,Elch::N,élan,лос
189,Fuchs::N,renard,лисица
190,Hase::N,lièvre,заек
191,Maus::N,souris,мишка
192,Wolf::N,loup,вълк
193,Vogel::N,oiseau,птица
194,Schwarm::N,nuée,рой
195,Schwarm::N,nuée,рояк
196,Schwarm::N,volée,рой
197,Schwarm::N,volée,рояк
198,Huhn::N,poule,кокошка
199,Hahn::N,coq,петел
200,Gans::N,oie,гъска
201,Adler::N,aigle,орел
202,Ente::N,canard,патица
203,Eule::N,hibou,сова
204,Kranich::N,grue,жерав
205,Krähe::N,corneille,врана
206,Kuckuck::N,coucou,кукувица
207,Schwan::N,cygne,лебед
208,Fisch::N,poisson,риба
209,Barsch::N,perche,костур
210,Hecht::N,brochet,щука
211,Schlange[Tier]::N,serpent,змия
212,Wurm::N,ver,червей
213,Spinne::N,araignée,паяк
214,Ameise::N,fourmi,мравка
215,Laus::N,pou,въшка
216,Mücke::N,moucheron,комар
217,Fliege::N,mouche,муха
218,Schmetterling::N,papillon,пеперуда
219,Beere::N,baie,плод
220,Apfel::N,pomme,ябълка
221,Pilz::N,champignon,гъба
222,Zwiebel::N,oignon,лук
223,Zwiebel::N,oignon,кромид
224,Saat::N,semence,семе
225,Korn::N,grain,зърно
226,Heu::N,foin,сено
227,Schale::N,pelure,кора
228,Grube::N,fosse,яма
229,Grube::N,fosse,дупка
230,Falle::N,piège,примка
231,Schlinge::N,lacs,клуп
232,Spur::N,trace,диря
233,Spur::N,trace,следа
234,Asche::N,cendre,пепел
235,Dreck::N,crotte,кал
236,Eisen::N,fer,желязо
237,Gold::N,or,злато
238,Silber::N,argent,сребро
239,Kohle::N,charbon,въглища
240,Glas::N,verre,стъкло
241,Lehm::N,glaise,глина
242,Sand::N,sable,пясък
243,Mensch::N,homme,човек
244,Mann::N,homme,мъж
245,Frau::N,femme,жена
246,Kind::N,enfant,дете
247,Junge::N,garçon,момче
248,Mädchen::N,fille,момиче
249,Mädchen::N,jeune fille,момиче
250,Familie::N,famille,фамилия
251,Familie::N,famille,семейство
252,Großvater::N,grand-père,дядо
