,Concept_ID,la,sl
0,Auge::N,oculus,okó
1,Ohr::N,auris,uhó
2,Nase::N,nasus,nós
3,Mund::N,os,ústa
4,Zahn::N,dens,zób
5,Zunge::N,lingua,jêzik
6,Lippe::N,labrum,ústnica
7,Wange::N,gena,líce
8,Gesicht::N,vultus,oblíčje
9,Stirn::N,frons,čêlo
10,Haar::N,capillus,lás
11,Schnurrbart::N,barba labri superioris,bŕki
12,Bart::N,barba,bráda
13,Kinn::N,mentum,bráda
14,Kiefer[Anatomie]::N,mala,čeljúst
15,Kehle::N,iugulums,gŕlo
16,Hals::N,collum,vrát
17,Genick::N,cervices,zatílnik
18,Kopf::N,caput,gláva
19,Rücken::N,tergum,hrbèt
20,Bauch::N,venter,trébuh
21,Nabel::N,umbilicus,pópek
22,Busen::N,sinus,nédrja
23,Brust::N,pectus,pŕsi
24,Schulter::N,umerus,ráma
25,Schulter::N,umerus,plêče
26,Arm::N,bracchium,rôka
27,Ellenbogen::N,cubitum,komólec
28,Hand::N,manus,rôka
29,Handfläche::N,palma,dlán
30,Finger::N,digitus,pŕst
31,Fingernagel::N,unguiculus,nóht na rôki
32,Nagel[Anatomie]::N,unguis,nóht
33,Zeh::N,digitus,pŕst na nôgi
34,Fuß::N,pes,nôga
35,Ferse::N,calx,pêta
36,Knie::N,genu,koléno
37,Oberschenkel::N,femur,stêgno
38,Bein::N,crus,nôga
39,Körper::N,corpus,teló
40,Haut::N,cutis,kóža
41,Haut::N,pellis,kóža
42,Blut::N,sanguis,krí
43,Ader::N,vena,žíla
44,Sehne::N,nervus,kíta
45,Knochen::N,os,kóst
46,Gehirn::N,cerebrum,možgáni
47,Herz::N,cor,srcé
48,Herz::N,animus,srcé
49,Magen::N,stomachus,želódec
50,Leber::N,iecur,jétra
51,Atem::N,spiritus,díh
52,Hunger::N,fames,glád
53,Träne::N,lacrima,sólza
54,Geschmack::N,sapor,okús
55,Geschmack::N,gustus,okús
56,Geruch::N,odor,vónj
57,Schlaf::N,somnus,sèn
58,Schlaf::N,somnus,spánec
59,Traum::N,somnium,sánje
60,Himmel::N,caelum,nebó
61,Sonne::N,sol,sónce
62,Mond::N,luna,lúna
63,Mond::N,luna,mésec
64,Stern::N,sidus,zvézda
65,Stern::N,stella,zvézda
66,Luft::N,aer,zràk
67,Wind::N,ventus,véter
68,Welle::N,unda,vál
69,Wasser::N,aqua,vôda
70,Stein::N,lapis,kámen
71,Boden::N,solum,tlà
72,Erde::N,terra,pŕst
73,Erde::N,terra,zêmlja
74,Staub::N,pulvis,práh
75,Rauch::N,fumus,dìm
76,Funke::N,scintilla,ískra
77,Feuer::N,ignis,ôgenj
78,Licht::N,lux,lúč
79,Licht::N,lumen,lúč
80,Schatten::N,umbra,sénca
81,Wetter::N,caelum,vrême
82,Wetter::N,tempestas,vrême
83,Nebel::N,nebula,meglà
84,Wolke::N,nubes,oblák
85,Regen::N,imber,dèž
86,Regen::N,pluvia,dèž
87,Schnee::N,nix,snég
88,Eis::N,glacies,léd
89,Frost::N,gelu,zmrzál
90,Kälte::N,frigus,mràz
91,Hitze::N,calor,pripéka
92,Hitze::N,aestus,pripéka
93,Raureif::N,pruina,ívje
94,Raureif::N,pruina,slána
95,Regenbogen::N,arcus,mávrica
96,Donner::N,tonitrus,gròm
97,Strömung::N,fluctus,strúja
98,Tropfen::N,gutta,káplja
99,Schaum::N,spuma,péna
100,Schmutz::N,sordes,nesnága
101,Schmutz::N,squalor,nesnága
102,See::N,lacus,jézero
103,Sumpf::N,palus,močvírje
104,Moor::N,palus,bárje
105,Wiese::N,pratum,trávnik
106,Wald::N,silva,lés
107,Wald::N,silva,gòzd
108,Hügel::N,collis,brég
109,Hügel::N,collis,goríca
110,Anhöhe::N,specula,gríč
111,Anhöhe::N,specula,višína
112,Berg::N,mons,gôra
113,Berg::N,mons,planína
114,Gipfel::N,vertex,vŕh
115,Höhle::N,caverna,jáma
116,Höhle::N,caverna,votlína
117,Höhle::N,spelunca,jáma
118,Höhle::N,spelunca,votlína
119,Abhang::N,declivum,pobóčje
120,Quelle::N,fons,izvír
121,Bach::N,rivus,pôtok
122,Fluss::N,flumen,réka
123,Ufer::N,ripa,brég
124,Küste::N,litus,obála
125,Küste::N,litus,obréžje
126,Festland::N,continens,celína
127,Festland::N,continens,kopnína
128,Meer::N,mare,mórje
129,Bucht::N,sinus,zalív
130,Insel::N,insula,ôtok
131,Blume::N,flos,cvetlíca
132,Gras::N,herba,tráva
133,Gras::N,gramen,tráva
134,Wurzel::N,radix,korenína
135,Baum::N,arbor,drevó
136,Stamm::N,truncus,dêblo
137,Rinde::N,cortex,lúbje
138,Rinde::N,cortex,skórja
139,Ast::N,ramus,véja
140,Zweig::N,ramus,véja
141,Blatt::N,folium,líst
142,Birke::N,betulla,bréza
143,Kiefer[Baum]::N,pinus,bòr
144,Weide[Baum]::N,salix,vŕba
145,Tanne::N,abies,hója
146,Horn::N,cornu,róg
147,Feder::N,penna,peró
148,Fell::N,pellis,kŕzno
149,Flügel::N,ala,krílo
150,Klaue::N,unguis,párkelj
151,Kralle::N,unguis,krémpelj
152,Schwanz::N,cauda,rèp
153,Ei::N,ovum,jájce
154,Nest::N,nidus,gnézdo
155,Bau::N,cavum,brlòg
156,Bau::N,latibulum,brlòg
157,Tier::N,bestia,živál
158,Herde::N,grex,čréda
159,Kuh::N,vacca,kráva
160,Bulle::N,taurus,bìk
161,Pferd::N,equus,kònj
162,Schaf::N,ovis,ôvca
163,Schwein::N,sus,svínja
164,Schwein::N,porcus,svínja
165,Hund::N,canis,pès
166,Katze::N,felis,máčka
167,Bär::N,ursus,mêdved
168,Eichhörnchen::N,sciurus,véverica
169,Elch::N,alces,lós
170,Fuchs::N,vulpes,lisíca
171,Hase::N,lepus,zájec
172,Maus::N,mus,mìš
173,Wolf::N,lupus,vólk
174,Vogel::N,avis,ptìč
175,Vogel::N,avis,ptíca
176,Schwarm::N,examen,játa
177,Huhn::N,gallina,kokóš
178,Hahn::N,gallus,petêlin
179,Gans::N,anser,gós
180,Adler::N,aquila,ôrel
181,Ente::N,anas,ráca
182,Eule::N,ulula,sôva
183,Eule::N,noctua,sôva
184,Kranich::N,grus,žerjàv
185,Krähe::N,cornix,vrána
186,Kuckuck::N,cuculus,kúkavica
187,Schwan::N,olor,labód
188,Schwan::N,cycnus,labód
189,Fisch::N,piscis,ríba
190,Barsch::N,perca,ostríž
191,Hecht::N,esox,ščúka
192,Schlange[Tier]::N,serpens,káča
193,Wurm::N,vermis,čr̀v
194,Wurm::N,vermis,glísta
195,Spinne::N,aranea,pájek
196,Ameise::N,formica,mrávlja
197,Laus::N,pediculus,úš
198,Mücke::N,culex,komár
199,Fliege::N,musca,múha
200,Schmetterling::N,papilio,metúlj
201,Beere::N,baca,jágoda
202,Apfel::N,malum,jábolko
203,Pilz::N,fungus,góba
204,Zwiebel::N,cepa,čebúla
205,Saat::N,seges,séme
206,Korn::N,granum,zŕno
207,Heu::N,faenum,senó
208,Schale::N,putamen,lupína
209,Grube::N,fovea,jáma
210,Falle::N,pedica,pást
211,Schlinge::N,laqueus,zánka
212,Schlinge::N,laqueus,pêtlja
213,Spur::N,vestigium,sléd
214,Asche::N,cinis,pepél
215,Dreck::N,lutum,bláto
216,Eisen::N,ferrum,želézo
217,Gold::N,aurum,zlató
218,Silber::N,argentum,srebró
219,Kohle::N,carbo,ógel
220,Glas::N,vitrum,stêklo
221,Lehm::N,lutum,ílo
222,Sand::N,arena,pések
223,Mensch::N,homo,člôvek
224,Mann::N,vir,móž
225,Mann::N,vir,môški
226,Frau::N,mulier,gospá
227,Frau::N,mulier,žénska
228,Kind::N,puer,déte
229,Kind::N,puer,otròk
