,Concept_ID,it,te
0,Auge::N,occhio,కన్ను
1,Ohr::N,orecchio,చెవి
2,Nase::N,naso,ముక్కు
3,Mund::N,bocca,నోరు
4,Zahn::N,dente,పల్లు
5,Zunge::N,lingua,నాలుక
6,Lippe::N,labbro,పెదవి
7,Wange::N,guancia,చెంప
8,Gesicht::N,viso,ముఖము
9,Gesicht::N,faccia,ముఖము
10,Stirn::N,fronte,నుదురు
11,Haar::N,capello,వెండ్రుక
12,Schnurrbart::N,baffi,మీసము
13,Schnurrbart::N,mustacchi,మీసము
14,Bart::N,barba,గడ్డము
15,Kinn::N,mento,గడ్డము
16,Kiefer[Anatomie]::N,mascella,దౌడ
17,Kehle::N,gola,గొంతు
18,Hals::N,collo,మెడ
19,Genick::N,nuca,మూపు
20,Kopf::N,capo,తల
21,Kopf::N,testa,తల
22,Rücken::N,dorso,వెన్ను
23,Rücken::N,schiena,వెన్ను
24,Bauch::N,ventre,కడుపు
25,Nabel::N,ombelico,బొడ్డు
26,Busen::N,seno,స్తనము
27,Brust::N,petto,ఱొమ్ము
28,Schulter::N,spalla,భుజము
29,Arm::N,braccio,చేయి
30,Ellenbogen::N,gomito,మోచేయి
31,Hand::N,mano,చేయి
32,Handfläche::N,palma,అరచేయు
33,Finger::N,dito,చేతిప్రేలు
34,Fingernagel::N,unghia,గోరు
35,Nagel[Anatomie]::N,unghia,గోరు
36,Zeh::N,dito del piede,కాలిప్రేలు
37,Fuß::N,piede,అడుగు
38,Ferse::N,tallone,మడమ
39,Ferse::N,calcagno,మడమ
40,Knie::N,ginocchio,మోకాలు
41,Oberschenkel::N,fèmore,తొడ
42,Bein::N,gamba,కాలు
43,Körper::N,corpo,కాయము
44,Haut::N,pelle,చర్మము
45,Blut::N,sangue,రక్తము
46,Ader::N,vena,సిర
47,Sehne::N,tèndine,స్నాయువు
48,Knochen::N,osso,ఎముక
49,Gehirn::N,cervello,మెదడు
50,Herz::N,cuore,హృదయము
51,Magen::N,stòmaco,కడుపు
52,Leber::N,fegato,కాలేయము
53,Atem::N,fiato,ఉపిరి
54,Atem::N,respiro,ఉపిరి
55,Hunger::N,fame,ఆకలి
56,Träne::N,làcrima,కన్నీటిచుక్క
57,Geschmack::N,gusto,రుచి
58,Geschmack::N,sapore,రుచి
59,Geruch::N,odore,వాసన
60,Schlaf::N,sonno,నిద్ర
61,Traum::N,sogno,కల
62,Himmel::N,cielo,ఆకాశము
63,Sonne::N,sole,సూర్యుడు
64,Mond::N,luna,చంద్రుడు
65,Stern::N,stella,నక్షత్రము
66,Luft::N,aria,గాలి
67,Wind::N,vento,వీచుచున్నగాలి
68,Welle::N,onda,అల
69,Wasser::N,acqua,నీరు
70,Stein::N,sasso,ఱాయి
71,Stein::N,pietra,ఱాయి
72,Boden::N,suolo,నేల
73,Boden::N,terreno,నేల
74,Erde::N,terra,మన్ను
75,Staub::N,polvere,దుమ్ము
76,Rauch::N,fumo,పొగ
77,Funke::N,scintilla,అగ్నికణము
78,Feuer::N,fuoco,అగ్ని
79,Licht::N,luce,కాంతి
80,Schatten::N,ombra,నీడ
81,Wetter::N,tempo,వాతావరణ స్థితి
82,Nebel::N,nebbia,పొగమంచు
83,Wolke::N,nube,మేఘము
84,Wolke::N,nùvola,మేఘము
85,Regen::N,pioggia,వాన
86,Schnee::N,neve,హిమము
87,Eis::N,ghiaccio,మంచుగడ్డ
88,Frost::N,gelo,పేరిన మంచు
89,Kälte::N,freddo,చలి
90,Hitze::N,caldo,వేడిమి
91,Hitze::N,calura,వేడిమి
92,Raureif::N,brina,మంచు
93,Regenbogen::N,arcobaleno,ఇంద్రధనుస్సు
94,Donner::N,tuono,ఉరుము
95,Strömung::N,corrente,ప్రవాహము
96,Tropfen::N,goccia,చుక్క
97,Schaum::N,spuma,నురుగు
98,Schaum::N,schiuma,నురుగు
99,Schmutz::N,sudiciume,మైల
100,See::N,lago,సరస్సు
101,Sumpf::N,palude,చిత్తడినేల
102,Moor::N,torbiera,చిత్తడినేల
103,Wiese::N,prato,పచ్చిక బయలు
104,Wald::N,bosco,అడవి
105,Wald::N,foresta,అడవి
106,Hügel::N,colle,చివ్నకొండ
107,Hügel::N,collina,చివ్నకొండ
108,Anhöhe::N,altura,కొండ
109,Berg::N,monte,పర్వతము
110,Berg::N,montagna,పర్వతము
111,Gipfel::N,cima,శిఖరము
112,Höhle::N,grotta,గుహ
