,Concept_ID,ku,kk
0,Auge::N,çav,көз
1,Ohr::N,guh,құлақ
2,Nase::N,bêvil,мұрын
3,Mund::N,dev,ауыз
4,Zahn::N,didan,тіс
5,Zunge::N,ziman,тіл
6,Lippe::N,lêv,ерін
7,Wange::N,dêm,ұрт
8,Wange::N,hinarik,ұрт
9,Gesicht::N,rû,бет-аузы
10,Stirn::N,enî,маңдай
11,Haar::N,por,қыл
12,Schnurrbart::N,simbêl,мұрт
13,Bart::N,rih,сақал
14,Kinn::N,zenî,иек
15,Kiefer[Anatomie]::N,arguşk,жақ
16,Kehle::N,qirik,алқым
17,Hals::N,stû,мойын
18,Hals::N,qirik,мойын
19,Genick::N,stû,желке
20,Kopf::N,serî,кәллә
21,Rücken::N,pişt,арқа
22,Bauch::N,ûr,қарын
23,Bauch::N,zik,қарын
24,Nabel::N,navik,кіндік
25,Busen::N,sîng,омырау
26,Brust::N,sîng,кеуде
27,Schulter::N,mil,иық
28,Arm::N,çepil,қол
29,Ellenbogen::N,enîşk,шынтақ
30,Hand::N,dest,қол
31,Handfläche::N,kefadest,алақан
32,Finger::N,tilî,саусақ
33,Fingernagel::N,neynuk,тырнақ
34,Nagel[Anatomie]::N,bizmar,тырнақ
35,Zeh::N,tilî linga,тырнақ
36,Zeh::N,tilî linga,тұяқ
37,Fuß::N,ling,аяқ-басы
38,Ferse::N,pahnî,өкше
39,Ferse::N,pahnî,өкшелік
40,Knie::N,kabok,тізе
41,Oberschenkel::N,rahn,жамбас
42,Bein::N,çip,аяқ
43,Körper::N,laş,дене
44,Körper::N,gowde,дене
45,Haut::N,çerm,тері
46,Blut::N,xwîn,қан
47,Ader::N,reh,көктамыр
48,Ader::N,reh,күретамыр
49,Sehne::N,reh,сіңір
50,Knochen::N,hestî,жілік
51,Gehirn::N,mêjî,ми
52,Herz::N,dil,жүрек
53,Magen::N,navêş,асқазан
54,Leber::N,kezeb,бауыр
55,Atem::N,hilm,леп
56,Hunger::N,birçîtî,ашаршылық
57,Träne::N,hêstir,жас
58,Geschmack::N,tam,дәм
59,Geschmack::N,tam,татым
60,Geschmack::N,tam,талғам
61,Geruch::N,bêhn,иіс
62,Schlaf::N,xew,ұйқы
63,Schlaf::N,xew,ұйықтау
64,Traum::N,xewn,түс
65,Himmel::N,ezman,аспан
66,Himmel::N,ezman,көқ
67,Himmel::N,ezman,таңдай
68,Sonne::N,roj,күн
69,Mond::N,heyv,ай
70,Stern::N,stêrk,жұлдыз
71,Luft::N,ba,әуе
72,Wind::N,ba,жел
73,Welle::N,şewl,толқын
74,Wasser::N,av,су
75,Stein::N,kevir,тас
76,Boden::N,herd,қыртыс
77,Erde::N,ax,топырақ
78,Staub::N,toz,шаң
79,Rauch::N,dû,түтін
80,Funke::N,çirûşk,ұшқын
81,Feuer::N,agir,алау
82,Licht::N,ronahî,шұғыла
83,Schatten::N,sî,көлеңке
84,Wetter::N,hewa,ауа райы
85,Nebel::N,mij,тұман
86,Wolke::N,ewr,бұлт
87,Regen::N,baran,жаңбыр
88,Schnee::N,berf,қар
89,Eis::N,qeşa,мұз
90,Frost::N,xûsik,суық
91,Kälte::N,serma,ызғар
92,Kälte::N,serma,суықтық
93,Hitze::N,germayî,аптап
94,Raureif::N,şext,қырау
95,Regenbogen::N,heftreng,кемпірқосақ
96,Donner::N,gire-gir,күн күркіреу
97,Strömung::N,şewl,ағын
98,Tropfen::N,dilop,тамшы
99,Schaum::N,kef,көбік
100,Schmutz::N,gemar,кір
