,Concept_ID,se,br
0,Auge::N,tjelmie,lagad
1,Auge::N,tjalmme,lagad
2,Auge::N,čalbmi,lagad
3,Auge::N,čalme,lagad
4,Auge::N,čâ´lmm,lagad
5,Auge::N,ча̄лльм,lagad
6,Ohr::N,bieljie,skouarn
7,Ohr::N,biellje,skouarn
8,Ohr::N,beallji,skouarn
9,Ohr::N,pelji,skouarn
10,Ohr::N,pe´llj,skouarn
11,Ohr::N,пе̄лльй,skouarn
12,Nase::N,njuenie,fri
13,Nase::N,njunnje,fri
14,Nase::N,njunni,fri
15,Nase::N,njuṇe,fri
16,Nase::N,njuu´nn,fri
17,Nase::N,нюннҍ,fri
18,Mund::N,njaelmie,genoù
19,Mund::N,njálmme,genoù
20,Mund::N,njálbmi,genoù
21,Mund::N,njälmi,genoù
22,Mund::N,njä´lmm,genoù
23,Mund::N,ня̄лльм,genoù
24,Zahn::N,baenie,dant
25,Zahn::N,bádne,dant
26,Zahn::N,bátni,dant
27,Zahn::N,pääṇi,dant
28,Zahn::N,pää´nn,dant
29,Zahn::N,па̄ннҍ,dant
30,Zunge::N,njoektjeme,teod
31,Zunge::N,njuovtjav,teod
32,Zunge::N,njuovčča,teod
33,Zunge::N,njuovčâ,teod
34,Zunge::N,njuhččâm,teod
35,Zunge::N,нюхчем,teod
36,Lippe::N,bangseme,muzell
37,Lippe::N,njálmmerabdda,muzell
38,Lippe::N,bavssa,muzell
39,Lippe::N,poovsâ,muzell
40,Lippe::N,põõus,muzell
41,Lippe::N,пэ̄кс,muzell
42,Wange::N,skiehrie,chot
43,Wange::N,nierra,chot
44,Wange::N,muohtu,chot
45,Wange::N,nieṛâ,chot
46,Wange::N,njiõrr,chot
47,Wange::N,нӣрр,chot
48,Gesicht::N,ååredæjja,dremm
49,Gesicht::N,muohto,dremm
50,Gesicht::N,muođut,dremm
51,Gesicht::N,ámadadju,dremm
52,Gesicht::N,muáđuh,dremm
53,Gesicht::N,muâđ,dremm
54,Gesicht::N,ка̄ссв,dremm
55,Stirn::N,gaalloe,tal
56,Stirn::N,gállo,tal
57,Stirn::N,gállu,tal
58,Stirn::N,kállu,tal
59,Stirn::N,käll,tal
60,Stirn::N,вуэххьц,tal
61,Haar::N,voepte,blev
62,Haar::N,vuoppta,blev
63,Haar::N,vuokta,blev
64,Haar::N,vuop'tâ,blev
65,Haar::N,vuõpt,blev
66,Haar::N,вӯппт,blev
67,Schnurrbart::N,bijjie-skaavtjoe,mourenn
68,Schnurrbart::N,njunjevuolskávttjá,mourenn
69,Schnurrbart::N,seamu,mourenn
70,Schnurrbart::N,siämu,mourenn
71,Schnurrbart::N,ää´bben,mourenn
72,Schnurrbart::N,о̄а̄бпан,mourenn
73,Bart::N,skaavtja,barv
74,Bart::N,skaavtjoe,barv
75,Bart::N,skávttjá,barv
76,Bart::N,seamu,barv
77,Bart::N,siämu,barv
78,Bart::N,seäm,barv
79,Bart::N,ся̄м,barv
80,Kinn::N,gaejpie,groñj
81,Kinn::N,gájbbe,groñj
82,Kinn::N,gáibi,groñj
83,Kinn::N,käibi,groñj
84,Kinn::N,käi´bb,groñj
85,Kinn::N,ка̄ййп,groñj
86,Kiefer[Anatomie]::N,gaejpie,javed
87,Kiefer[Anatomie]::N,oalol,javed
88,Kiefer[Anatomie]::N,oaloldákte,javed
89,Kiefer[Anatomie]::N,gáibi,javed
90,Kiefer[Anatomie]::N,uá'lultähti,javed
91,Kiefer[Anatomie]::N,vuâl'lõš,javed
92,Kiefer[Anatomie]::N,вуаллнешш,javed
93,Kehle::N,gealoe,gouzoug
94,Kehle::N,tjåttå,gouzoug
95,Kehle::N,njiello,gouzoug
96,Kehle::N,čotta,gouzoug
97,Kehle::N,čuudâ,gouzoug
98,Kehle::N,čoodd,gouzoug
99,Kehle::N,чонт,gouzoug
100,Kehle::N,кэ̄ҏс,gouzoug
101,Hals::N,tjeapohke,gouzoug
102,Hals::N,tjiebet,gouzoug
103,Hals::N,čeabet,gouzoug
104,Hals::N,čiäppát,gouzoug
105,Hals::N,čeäppat,gouzoug
106,Hals::N,ча̄пэх,gouzoug
107,Genick::N,tjovrese,choug
108,Genick::N,nisske,choug
109,Genick::N,niehkki,choug
110,Genick::N,niski,choug
111,Genick::N,niek'ki,choug
112,Genick::N,nji´šǩǩmaadd,choug
113,Genick::N,нышшькмоант,choug
114,Kopf::N,åejjie,penn
115,Kopf::N,oajvve,penn
116,Kopf::N,oaivi,penn
117,Kopf::N,uái'vi,penn
118,Kopf::N,vuei´vv,penn
119,Kopf::N,вуэййв,penn
120,Rücken::N,rudtje,kein
121,Rücken::N,hárddo,kein
122,Rücken::N,tjavelk,kein
123,Rücken::N,sealgi,kein
124,Rücken::N,selgi,kein
125,Rücken::N,čielgi,kein
126,Rücken::N,seä´lǧǧ,kein
127,Rücken::N,се̄лльк,kein
128,Bauch::N,tjåejjie,kof
129,Bauch::N,tjoajvve,kof
130,Bauch::N,čoavji,kof
131,Bauch::N,čuáv'ji,kof
132,Bauch::N,čåu´jj,kof
133,Bauch::N,чо̄ввьй,kof
134,Nabel::N,naepie,begel
135,Nabel::N,náhpe,begel
136,Nabel::N,náhpi,begel
137,Nabel::N,nääpi,begel
138,Nabel::N,nää´pp,begel
139,Nabel::N,на̄бпь,begel
140,Busen::N,boenge,bronn
141,Busen::N,bållå,bronn
142,Busen::N,čižži,bronn
143,Busen::N,njamma,bronn
144,Busen::N,njižže,bronn
145,Busen::N,nje´ǯǯ,bronn
146,Busen::N,раннҍт,bronn
147,Brust::N,mïelke,bruched
148,Brust::N,radde,bruched
149,Brust::N,mielgga,bruched
150,Brust::N,raddi,bruched
151,Brust::N,radde,bruched
152,Brust::N,râ´dd,bruched
153,Brust::N,раннҍт,bruched
154,Schulter::N,åelkie,skoaz
155,Schulter::N,oalgge,skoaz
156,Schulter::N,hárdu,skoaz
157,Schulter::N,ärdee,skoaz
158,Schulter::N,uál'gi,skoaz
159,Schulter::N,a´rddi,skoaz
160,Schulter::N,vuä´lǧǧ,skoaz
161,Schulter::N,вуэллык,skoaz
162,Arm::N,gïete,brec'h
163,Arm::N,giehta,brec'h
164,Arm::N,giehta,brec'h
165,Arm::N,kietâ,brec'h
166,Arm::N,kie'tâkaaṿâ,brec'h
167,Arm::N,ǩiõtt,brec'h
168,Arm::N,кӣдт,brec'h
169,Ellenbogen::N,gernjere,ilin
170,Ellenbogen::N,garŋŋel,ilin
171,Ellenbogen::N,gargŋil,ilin
172,Ellenbogen::N,käŋŋir,ilin
173,Ellenbogen::N,kõõnjâr,ilin
174,Ellenbogen::N,карьнэль,ilin
175,Hand::N,gïete,dorn
176,Hand::N,giehta,dorn
177,Hand::N,giehta,dorn
178,Hand::N,kietâ,dorn
179,Hand::N,ǩiõtt,dorn
180,Hand::N,кӣдт,dorn
181,Handfläche::N,gïeten-låapoe,palv
182,Handfläche::N,giehtavuodo,palv
183,Handfläche::N,tjårmmåvuodo,palv
184,Handfläche::N,giehtaloahpu,palv
185,Handfläche::N,kiämád,palv
186,Handfläche::N,kuámmir,palv
187,Handfläche::N,kuä´m'mer,palv
188,Handfläche::N,ǩiõttǩeä´m'men,palv
189,Handfläche::N,ко̄а̄ллдэгк,palv
190,Handfläche::N,кӣдткоалдэгк,palv
191,Finger::N,soerme,biz
192,Finger::N,tjuvdde,biz
193,Finger::N,suorbma,biz
194,Finger::N,čuvde,biz
195,Finger::N,suor'mâ,biz
196,Finger::N,suõrmm,biz
197,Finger::N,це̄ххп,biz
198,Fingernagel::N,gadtse,ivin
199,Fingernagel::N,guehpere,ivin
200,Fingernagel::N,gadtsa,ivin
201,Fingernagel::N,gazza,ivin
202,Fingernagel::N,kozzâ,ivin
203,Fingernagel::N,kõʒʒ,ivin
204,Fingernagel::N,кэ̄ннц,ivin
205,Nagel[Anatomie]::N,gadtse,ivin
206,Nagel[Anatomie]::N,guehpere,ivin
207,Nagel[Anatomie]::N,gadtsa,ivin
208,Nagel[Anatomie]::N,gazza,ivin
209,Nagel[Anatomie]::N,kozzâ,ivin
210,Nagel[Anatomie]::N,kõʒʒ,ivin
211,Nagel[Anatomie]::N,кэ̄ннц,ivin
212,Zeh::N,tjiehtjere,biz-troad
213,Zeh::N,juolggetjuvdde,biz-troad
214,Zeh::N,juolgesuorbma,biz-troad
215,Zeh::N,jyel'gisuor'mâ,biz-troad
216,Zeh::N,jue´lǧǧsuõrmm,biz-troad
217,Zeh::N,ю̄лльк-це̄һп,biz-troad
218,Fuß::N,juelkie,troad
219,Fuß::N,juolgge,troad
220,Fuß::N,juolgi,troad
221,Fuß::N,jyel'gi,troad
222,Fuß::N,jue´lǧǧ,troad
223,Fuß::N,ла̄бпь,troad
224,Ferse::N,båetskie,seul
225,Ferse::N,boasske,seul
226,Ferse::N,šušmi,seul
227,Ferse::N,šušme,seul
228,Ferse::N,jue´lǧǧkädd,seul
229,Ferse::N,ка̄ннт,seul
230,Knie::N,boelve,glin
231,Knie::N,buolvva,glin
232,Knie::N,čibbi,glin
233,Knie::N,veaŋki,glin
234,Knie::N,iidâ,glin
235,Knie::N,puõlvv,glin
236,Knie::N,пуллв,glin
237,Oberschenkel::N,ruaksja,morzhed
238,Oberschenkel::N,tjibbe,morzhed
239,Oberschenkel::N,gassaváhkká,morzhed
240,Oberschenkel::N,badjeváhkáa,morzhed
241,Oberschenkel::N,čuár'bpeeḷi,morzhed
242,Oberschenkel::N,če´bb,morzhed
243,Oberschenkel::N,чуаррбе̄лль,morzhed
244,Bein::N,juelkie,gar
245,Bein::N,juolgge,gar
246,Bein::N,juolgi,gar
247,Bein::N,jyel'gi,gar
248,Bein::N,jue´lǧǧ,gar
249,Bein::N,ю̄лльк,gar
250,Körper::N,kråahpe,korf
251,Körper::N,rumáj,korf
252,Körper::N,rumaš,korf
253,Körper::N,ruumâš,korf
254,Körper::N,rå´pp,korf
255,Körper::N,лышшьк,korf
256,Körper::N,роаӈӈьк,korf
257,Haut::N,njaltja,kroc'hen
258,Haut::N,lijkke,kroc'hen
259,Haut::N,tjuobma,kroc'hen
260,Haut::N,liiki,kroc'hen
261,Haut::N,liške,kroc'hen
262,Haut::N,le´šǩǩ,kroc'hen
263,Haut::N,лышшьк,kroc'hen
264,Blut::N,vïrre,gwad
265,Blut::N,maelie,gwad
266,Blut::N,varra,gwad
267,Blut::N,varra,gwad
268,Blut::N,vorrâ,gwad
269,Blut::N,võrr,gwad
270,Blut::N,вэ̄рр,gwad
271,Ader::N,åerie,gwazhi
272,Ader::N,aajroe,gwazhi
273,Ader::N,suodna,gwazhi
274,Ader::N,varrasuotna,gwazhi
275,Ader::N,suoṇâ,gwazhi
276,Ader::N,suõnn,gwazhi
277,Ader::N,сӯнн,gwazhi
278,Sehne::N,soene,stir
279,Sehne::N,gåårtenje,stir
280,Sehne::N,suodna,stir
281,Sehne::N,suotna,stir
282,Sehne::N,suoṇâ,stir
283,Sehne::N,suõnn,stir
284,Sehne::N,сӯнн,stir
285,Knochen::N,måara,askorn
286,Knochen::N,måaroe,askorn
287,Knochen::N,dákte,askorn
288,Knochen::N,dákti,askorn
289,Knochen::N,tähti,askorn
290,Knochen::N,tä´htt,askorn
291,Knochen::N,та̄ххт,askorn
292,Knochen::N,та̄ффьт,askorn
293,Gehirn::N,aajla,empenn
294,Gehirn::N,vuojŋam,empenn
295,Gehirn::N,vuoigŋašat,empenn
296,Gehirn::N,vuoi'ŋâšeh,empenn
297,Gehirn::N,vuo'ivâšneh,empenn
298,Gehirn::N,vuõivâšn,empenn
299,Gehirn::N,вуэййвэшна,empenn
300,Herz::N,vaajmoe,kalon
301,Herz::N,tsåhke,kalon
302,Herz::N,váibmu,kalon
303,Herz::N,váimu,kalon
304,Herz::N,čââ´đ,kalon
305,Herz::N,кӯттҌк,kalon
306,Magen::N,tjåejjie,stomog
307,Magen::N,tjoajvve,stomog
308,Magen::N,čoavji,stomog
309,Magen::N,čuáv'ji,stomog
310,Magen::N,čåu´jj,stomog
311,Magen::N,чо̄ввьй,stomog
