,Concept_ID,et,kv
0,Auge::N,silm,син
1,Ohr::N,kõrv,пель
2,Nase::N,nina,ныр
3,Mund::N,suu,ӧм
4,Zahn::N,hammas,пинь
5,Zunge::N,keel,кыв
6,Lippe::N,huul,тырп
7,Wange::N,põsk,рожабан
8,Gesicht::N,nägu,бан
9,Stirn::N,otsmik,кымӧс
10,Haar::N,juus,юрси
11,Schnurrbart::N,vurrud,уссэз
12,Schnurrbart::N,vuntsid,уссэз
13,Bart::N,habe,тош
14,Kinn::N,lõug,тшӧка
15,Kiefer[Anatomie]::N,lõualuu,ан
16,Kehle::N,kõri,юан
17,Hals::N,kael,юан
18,Genick::N,kukal,юр бӧр
19,Kopf::N,pea,юр
20,Rücken::N,selg,мышк
21,Bauch::N,kõht,кынӧм
22,Nabel::N,naba,гӧг
23,Busen::N,rind,морос
24,Brust::N,rind,морос
25,Schulter::N,õlg,пельпон
26,Arm::N,käsivars,ки
27,Ellenbogen::N,küünarnukk,гырдзза
28,Hand::N,käsi,кикар
29,Handfläche::N,pihk,ки пыдӧс
30,Finger::N,sõrm,чунь
31,Fingernagel::N,küüs,гыж
32,Nagel[Anatomie]::N,küüs,гыж
33,Zeh::N,varvas,чунь
34,Fuß::N,jalg,кокпыдӧс
35,Ferse::N,kand,кокдзир
36,Knie::N,põlv,пидзӧс
37,Oberschenkel::N,reis,лядьбей
38,Bein::N,jalg,кок
39,Körper::N,ihu,вывтыр
40,Körper::N,keha,вывтыр
41,Haut::N,nahk,кучик
42,Blut::N,veri,вир
43,Ader::N,veen,сӧн
44,Sehne::N,kõõlus,жила
45,Knochen::N,luu,коска
46,Gehirn::N,aju,вем
47,Herz::N,süda,сьӧлӧм
48,Magen::N,magu,жӧвдӧк
49,Leber::N,maks,мус
50,Atem::N,hingeõhk,лолалӧм
51,Atem::N,hingamine,лолалӧм
52,Hunger::N,nälg,тшыг
53,Träne::N,pisar,синва
54,Geschmack::N,maitse,кӧр
55,Geruch::N,lõhn,дук
56,Schlaf::N,uni,он
57,Traum::N,unenägu,вӧт
58,Himmel::N,taevas,небо
59,Sonne::N,päike,шондi
60,Mond::N,kuu,тӧлiсь
61,Stern::N,täht,кӧдзыв
62,Luft::N,õhk,ру
63,Wind::N,tuul,тӧв
64,Welle::N,laine,гы
65,Wasser::N,vesi,ва
66,Stein::N,kivi,из
67,Boden::N,maa,му
68,Boden::N,pinnas,му
69,Erde::N,maa,му
70,Staub::N,põrm,бус
71,Rauch::N,suits,тшын
72,Funke::N,säde,бичир
73,Feuer::N,tuli,би
74,Licht::N,valgus,би
75,Schatten::N,vari,вуджӧр
76,Wetter::N,ilm,погоддя
77,Nebel::N,udu,туман
78,Wolke::N,pilv,кымӧр
79,Regen::N,sadu,зэр
80,Schnee::N,lumi,лым
81,Eis::N,jää,йы
82,Frost::N,pakane,мороз
83,Kälte::N,külm,кӧдзыт
84,Kälte::N,külmus,кӧдзыт
85,Hitze::N,kuumus,ӧд
86,Hitze::N,palavus,ӧд
87,Raureif::N,härmatis,кижа
88,Regenbogen::N,vikerkaar,енӧшка
89,Donner::N,kõu,гым
90,Donner::N,müristamine,гым
91,Strömung::N,voolus,визывтӧм
92,Strömung::N,jõevool,визывтӧм
93,Tropfen::N,tilk,тёп
94,Schaum::N,vaht,быг
95,Schmutz::N,pori,нять
96,Schmutz::N,mustus,нять
97,See::N,järv,ты
98,Sumpf::N,soo,арай
99,Moor::N,raba,нюр
100,Wiese::N,aas,видз
101,Wiese::N,nurm,видз
102,Wald::N,mets,вӧр
103,Hügel::N,küngas,мыльк
104,Anhöhe::N,küngas,вывтас
105,Anhöhe::N,küngas,вылынін
106,Berg::N,mägi,керӧс
107,Gipfel::N,mäetipp,йыв
108,Höhle::N,koobas,нора
109,Abhang::N,nõlvak,покат
110,Quelle::N,allikas,больган
111,Bach::N,oja,шор
112,Fluss::N,jõgi,ю
113,Ufer::N,kallas,берег
114,Küste::N,rannik,берег
115,Festland::N,mander,му
116,Festland::N,maismaa,му
117,Meer::N,meri,море
118,Bucht::N,laht,курья
119,Insel::N,saar,
120,Blume::N,lill,цветок
121,Gras::N,rohi,турун
122,Wurzel::N,juur,вуж
123,Baum::N,puu,пу
124,Stamm::N,tüvi,мыр
125,Stamm::N,tüvi,кер
126,Rinde::N,koor,кач
127,Ast::N,oks,ув
128,Zweig::N,oks,ув
129,Blatt::N,leht,лист
130,Birke::N,kask,кыдз
131,Kiefer[Baum]::N,mänd,пожум
132,Weide[Baum]::N,paju,бадь
133,Tanne::N,nulg,кӧз
134,Horn::N,sarv,сюр
135,Feder::N,sulg,гӧн
136,Fell::N,karvkate,кучик
137,Fell::N,karusnahk,кучик
138,Flügel::N,tiib,борд
139,Flügel::N,tiivik,борд
140,Klaue::N,küüs,гыж
141,Kralle::N,küünis,кабыр
142,Schwanz::N,saba,бӧж
143,Ei::N,muna,кольть
144,Nest::N,pesa,поз
145,Bau::N,urg,осьта
146,Bau::N,urg,нора
147,Tier::N,loom,зверь
148,Herde::N,kari,гурт
149,Kuh::N,lehm,мӧс
150,Bulle::N,pull,ӧшка
151,Pferd::N,hobune,вӧв
152,Schaf::N,lammas,баля
153,Schwein::N,siga,порсь
154,Hund::N,koer,пон
155,Katze::N,kass,кань
156,Bär::N,karu,ош
157,Eichhörnchen::N,orav,ур
158,Elch::N,põder,вӧр мӧс
159,Fuchs::N,rebane,руч
160,Hase::N,jänes,кӧч
161,Maus::N,hiir,шыр
162,Wolf::N,hunt,кӧин
163,Vogel::N,lind,кай
164,Schwarm::N,parv,стая
165,Schwarm::N,parv,чукӧр
166,Huhn::N,kana,курӧг
167,Hahn::N,kukk,петух
168,Hahn::N,kukk,ай курӧг
169,Gans::N,hani,дзодзог
170,Adler::N,kotkas,куч
171,Adler::N,kotkas,кутш
172,Ente::N,part,утка
173,Eule::N,kakk,тупка
174,Eule::N,öökull,тупка
175,Kranich::N,kurg,тури
176,Krähe::N,vares,рака
177,Kuckuck::N,kägu,кӧк
178,Schwan::N,luik,юсь
179,Fisch::N,kala,чери
180,Barsch::N,ahven,ёкыш
181,Hecht::N,haug,сирпинь
182,Schlange[Tier]::N,uss,змей
183,Wurm::N,uss,номыр
184,Wurm::N,vagel,номыр
185,Spinne::N,ämblik,черань
186,Ameise::N,sipelgas,кӧдзывкар
187,Laus::N,täi,ляпа той
188,Mücke::N,sääsk,ном
189,Fliege::N,kärbes,гут
190,Schmetterling::N,liblikas,бабыв
191,Beere::N,mari,ягӧд
192,Apfel::N,õun,яблоко
193,Pilz::N,seen,тшак
194,Zwiebel::N,sibul,грез
195,Saat::N,seeme,кӧдзыс
196,Korn::N,iva,сю
197,Korn::N,tera,сю
198,Heu::N,hein,турун
199,Schale::N,koor,кыш
200,Schale::N,koor,киль
201,Grube::N,kaevand,яма
202,Falle::N,lõks,нальк
203,Falle::N,lõks,кляпча
204,Falle::N,püünis,нальк
205,Falle::N,püünis,кляпча
206,Schlinge::N,aas,лӧч
207,Spur::N,jälg,туй
208,Asche::N,tuhk,пӧим
209,Dreck::N,saast,нять
210,Dreck::N,mustus,нять
211,Eisen::N,raud,кӧрт
212,Gold::N,kuld,зарни
213,Silber::N,hõbe,язісь
214,Kohle::N,süsi,шом
215,Kohle::N,süsi,уголь
216,Glas::N,klaas,стекло
217,Lehm::N,savi,сёй
218,Sand::N,liiv,лыа
219,Mensch::N,inimene,морт
220,Mann::N,mees,мужик
221,Frau::N,naine,инька
222,Kind::N,laps,кага
223,Junge::N,poiss,зонка
224,Mädchen::N,tüdruk,нывкаок
225,Familie::N,perekond,семья
226,Großvater::N,vanaisa,дед
227,Großmutter::N,vanaema,баб
228,Eltern::N,vanemad,ай-мам
229,Vater::N,isa,ай
230,Mutter::N,ema,мам
231,Sohn::N,poeg,зон
232,Tochter::N,tütar,ныв
233,Bruder::N,vend,вон
234,Schwester::N,õde,сой
235,Onkel::N,onu,дядь
236,Tante::N,tädi,айӧлӧн сой
237,Tante::N,tädi,ичинь
238,Ehemann::N,mees,жӧник
239,Ehemann::N,abikaasa,жӧник
240,Ehefrau::N,naine,инь
241,Ehefrau::N,abikaasa,инь
242,Freude::N,rõõm,гаж
243,Freude::N,rõõm,радъялӧм
244,Gelächter::N,naer,сералӧм
245,Glück::N,õnn,мичлун
246,Kummer::N,mure,шог
247,Kummer::N,kurbus,шог
248,Wunsch::N,soov,мӧдӧм
249,Wunsch::N,soov,охотитӧм
250,Lust::N,himu,охота
251,Geist::N,vaim,лов
252,Gedanke::N,mõte,дума
253,Gedächtnis::N,mälu,тӧдвыв
254,Verstand::N,aru,вежӧр
255,Verstand::N,mõistus,вежӧр
256,Sinn::N,tähendus,ылӧс
257,Grund::N,põhjus,мог
258,Wahrheit::N,tõde,правда
259,Gespräch::N,kõne,сёрни
260,Gespräch::N,vestlus,сёрни
261,Märchen::N,muinasjutt,сказка
262,Erzählung::N,jutustus,висьт
263,Nachricht::N,teade,юӧр
264,Nachricht::N,teade,висьталӧм
265,Neuigkeit::N,uudis,новость
266,Name::N,nimi,ним
267,Rätsel::N,mõistatus,загадка
268,Rede::N,kõne,сёрни
269,Sprache::N,keel,кыв
270,Stimme::N,hääl,голос
271,Wort::N,sõna,кыв
272,Zeichen::N,märk,пас
273,Ruf::N,hüüe,чуксӧм
274,Ruf::N,hüüe,чукӧстӧм
275,Lärm::N,müra,шум
276,Laut::N,hääl,шы
277,Ton::N,toon,гор
278,Lied::N,laul,сьыланкыв
279,Ruhe::N,rahu,спокой
280,Ruhe::N,vaikus,спокой
281,Leute::N,inimesed,йӧз
282,Volk::N,rahvas,йӧз
283,Volk::N,rahvas,народ
284,Arbeit::N,töö,удж
285,Gast::N,külaline,гӧсь
286,Geschenk::N,kingitus,гӧснеч
287,Geschenk::N,kingitus,подарок
288,Spiel::N,mäng,орсӧм
289,Gesellschaft::N,selts,компания
290,Hilfe::N,abi,отсӧт
291,Freund::N,sõber,модз
292,Freund::N,sõber,дружок
293,Kamerad::N,sõber,тӧдса
294,Angelegenheit::N,asi,дело
295,Anzahl::N,arv,лыд
296,Anzahl::N,hulk,лыд
297,Art::N,liik,пӧлӧс
298,Stück::N,tükk,тор
299,Teil::N,osa,юкӧм
300,Hälfte::N,pool,джын
301,Kreis::N,ring,круг
302,Kreuz::N,rist,перна
303,Linie::N,joon,визь
304,Strich::N,joon,кырӧв
305,Abstand::N,vahe,колас
306,Entfernung::N,kaugus,ылына
307,Entfernung::N,vahemaa,ылына
308,Gegend::N,ümbrus,места
309,Platz::N,ruum,места
310,Ort::N,paik,места
311,Seite::N,pool,ладор
312,Mitte::N,keskpaik,шӧр
313,Gegenstand::N,ese,тор
314,Sache::N,ese,тор
315,Rand::N,äär,дор
316,Rand::N,serv,дор
317,Kante::N,kant,ордлы
318,Ecke::N,nurk,пельӧс
319,Spitze::N,teravik,йыв
320,Ende::N,ots,йыв
321,Ende::N,jupp,йыв
322,Loch::N,auk,осьта
323,Winkel::N,nurk,пельӧс
324,Muster::N,muster,сер
325,Größe::N,suurus,ыжда
326,Länge::N,pikkus,кузя
327,Höhe::N,kõrgus,сувда
328,Höhe::N,kõrgus,вылына
329,Gewicht::N,kaal,сьӧкта
330,Gewicht::N,raskus,сьӧкта
331,Menge::N,arv,
332,Menge::N,hulk,
333,Haufen::N,hunnik,куча
334,Reihe::N,rivi,лёдз
335,Boot::N,paat,пыж
336,Ruder::N,aer,пелыс
337,Schlitten::N,saan,додь
338,Ski::N,suusk,лямпа
339,Lagerfeuer::N,lõke,бипур
340,Last::N,koorem,тягота
341,Gang::N,käik,мунӧм
342,Schritt::N,samm,вожмӧв
343,Norden::N,põhi,ой
344,Süden::N,lõuna,лун
345,Westen::N,lääs,рытвыв
346,Osten::N,ida,асыв
347,Holz::N,puu,пу
348,Brett::N,saelaud,пӧв
349,Platte::N,plaat,плита
350,Stütze::N,tugi,пика
351,Stange::N,latt,зор
352,Stange::N,latt,потш
353,Stange::N,teivas,зор
354,Stange::N,teivas,потш
355,Stock::N,kepp,бедь
356,Stab::N,varras,шест
357,Rohr::N,toru,труба
358,Haus::N,maja,керку
359,Heim::N,kodu,керку
360,Ofen::N,ahi,пӧжавны
361,Fußboden::N,põrand,джодж
362,Tisch::N,laud,пызан
363,Stuhl::N,tool,стул
364,Wiege::N,häll,зыбка
365,Wiege::N,kätki,зыбка
366,Bett::N,voodi,кровать
367,Regal::N,riiul,джадж
368,Kiste::N,kast,ящик
369,Fenster::N,aken,ӧшын
370,Tür::N,uks,ыбӧс
371,Tor::N,värav,ворота
372,Zaun::N,aed,забор
373,Zaun::N,tara,забор
374,Dach::N,katus,крыша
375,Leiter::N,redel,лиснич
376,Besen::N,luud,рос
377,Spaten::N,labidas,зыр
378,Schaufel::N,kühvel,зыр
379,Gabel::N,kahvel,вила
380,Löffel::N,lusikas,пань
381,Messer::N,nuga,пурт
382,Nagel::N,nael,кӧрттув
383,Netz::N,võrk,кыйӧт
384,Haken::N,haak,ем
385,Haken::N,konks,ем
386,Griff::N,sang,пу
387,Griff::N,käepide,пу
388,Schloss::N,lukk,замок
389,Bild::N,pilt,картина
390,Figur::N,kuju,мыгӧр
391,Figur::N,kujund,мыгӧр
392,Puppe::N,nukk,акань
393,Beutel::N,paun,мешӧк
394,Bündel::N,kimp,нин
395,Tasche::N,kott,сумка
396,Eimer::N,pang,ведра
397,Eimer::N,ämber,ведра
398,Deckel::N,kaas,вевт
399,Geschirr::N,nõud,доз
400,Geschirr::N,nõud,бекӧрпань
401,Sack::N,kott,мешӧк
402,Tasse::N,tass,бекӧр
403,Topf::N,pada,кастрюля
404,Kessel::N,pada,пӧрт
405,Essen::N,söök,сёйӧм
406,Nahrung::N,toit,вердан
407,Speise::N,roog,сёян
408,Fleisch::N,liha,яй
409,Getreide::N,teravili,сю
410,Brei::N,puder,каша
411,Brot::N,sai,нянь
412,Brot::N,leib,нянь
413,Scheibe::N,viil,шӧрӧм
414,Scheibe::N,viilukas,шӧрӧм
415,Fett::N,rasv,гос
416,Butter::N,või,ви
417,Öl::N,õli,ви
418,Salz::N,sool,сов
419,Suppe::N,supp,шыд
