,Concept_ID,cs,uz
0,Auge::N,oko,ko'z
1,Ohr::N,ucho,quloq
2,Nase::N,nos,burun
3,Mund::N,pusa,og'iz
4,Zahn::N,zub,tish
5,Zunge::N,jazyk,til
6,Lippe::N,ret,dudoq
7,Wange::N,tvář,bet
8,Gesicht::N,obličej,yuz
9,Stirn::N,čelo,manglay
10,Haar::N,vlas,soch
11,Haar::N,vlasy,soch
12,Schnurrbart::N,kníry,mo'ylov
13,Bart::N,vousy,soqol
14,Kinn::N,brada,ängak
15,Kiefer[Anatomie]::N,čelist,iyak
16,Kehle::N,hrdlo,bo'g'iz
17,Hals::N,krk,bo'yin
18,Genick::N,týl,gardan
19,Kopf::N,hlava,bosh
20,Rücken::N,záda,orqa
21,Rücken::N,hřbet,orqa
22,Bauch::N,břicho,qorin
23,Nabel::N,pupek,kindik
24,Busen::N,ňadra,ämchak
25,Brust::N,prsa,ko'krak
26,Schulter::N,plece,elka
27,Schulter::N,rameno,elka
28,Arm::N,ruka,bilak
29,Ellenbogen::N,loket,tirsak
30,Hand::N,ruka,qo'l
31,Handfläche::N,dlaň,kaft
32,Finger::N,prst,barmoq
33,Fingernagel::N,nehet,tirnoq
34,Nagel[Anatomie]::N,nehet,tirnoq
35,Zeh::N,prst u nohy,oyoq barmog'i
36,Fuß::N,noha,oyoq
37,Ferse::N,pata,tovon
38,Knie::N,koleno,tiz
39,Oberschenkel::N,stehno,son
40,Bein::N,noha,oyoq
41,Körper::N,tělo,badna
42,Haut::N,kůže,teri
43,Blut::N,krev,qon
44,Ader::N,céva,qon tomir
45,Sehne::N,šlacha,tomir
46,Knochen::N,kost,suyak
47,Gehirn::N,mozek,miya
48,Herz::N,srdce,qalb
49,Magen::N,žaludek,oshqozon
50,Leber::N,játra,bag'ir
51,Atem::N,dech,dam
52,Hunger::N,hlad,ochlik
53,Träne::N,slza,yosh
54,Geschmack::N,vkus,tam
55,Geruch::N,vůně,jid
56,Geruch::N,zápach,jid
57,Schlaf::N,spánek,uyqu
58,Traum::N,sen,tush
59,Himmel::N,nebe,osmon
60,Sonne::N,slunce,quyosh
61,Mond::N,měsíc,oy
62,Stern::N,hvězda,yulduz
63,Luft::N,vzduch,havo
64,Wind::N,vítr,el
65,Welle::N,vlna,to'lqin
66,Wasser::N,voda,suv
67,Stein::N,kámen,tosh
68,Boden::N,půda,tuproq
69,Erde::N,země,er
70,Staub::N,prach,chang
71,Rauch::N,dým,tutun
72,Rauch::N,kouř,tutun
73,Funke::N,jiskra,yalt
74,Feuer::N,oheň,o't
75,Licht::N,světlo,yorug'
76,Schatten::N,stín,soya
77,Wetter::N,počasí,havo
78,Nebel::N,mlha,tuman
79,Wolke::N,mrak,bulut
80,Wolke::N,oblak,bulut
81,Regen::N,déšť,yomg'ir
82,Schnee::N,sníh,qor
83,Eis::N,led,muz
84,Frost::N,mráz,ajoz
85,Kälte::N,chlad,ajoz
86,Hitze::N,horko,issiq
