,Concept_ID,lbe,cy
0,Auge::N,я,llygad
1,Ohr::N,вичӏи,clust
2,Nase::N,май,trwyn
3,Mund::N,кьацӏ,ceg
4,Zahn::N,ккарччи,dant
5,Zunge::N,маз,tafod
6,Lippe::N,мурччи,gwefus
7,Wange::N,чӏав,boch
8,Gesicht::N,лажин,wyneb
9,Stirn::N,ненттабакӏ,talcen
10,Haar::N,чӏара,blew
11,Schnurrbart::N,ссирссилтту,mwstas
12,Bart::N,чӏири,barf
13,Kinn::N,лунттубакӏ,gên
14,Kiefer[Anatomie]::N,ххинчулул,gên
15,Kehle::N,кьакьари,gwddf
16,Hals::N,ссурссу,gwddf
17,Genick::N,махъабакӏ,gwar
18,Genick::N,махъабакӏ,gwegil
19,Kopf::N,бакӏ,pen
20,Rücken::N,ттиликӏ,cefn
21,Bauch::N,лякьа,bol
22,Nabel::N,цӏумуккутӏ,bogail
23,Busen::N,ккукку,bron
24,Brust::N,хъазам,brest
25,Schulter::N,хъачӏ,ysgwydd
26,Arm::N,ка,braich
27,Ellenbogen::N,ссюрхъ,penelin
28,Hand::N,бартка,llaw
29,Handfläche::N,хъат,palf
30,Handfläche::N,битӏянхъ,palf
31,Finger::N,кӏисса,bys
32,Fingernagel::N,михь,ewin
33,Nagel[Anatomie]::N,михь,ewin
34,Zeh::N,кӏисса,bys troed
35,Fuß::N,чӏанччан,troed
36,Ferse::N,никъа,sawdl
37,Knie::N,ник,glin
38,Oberschenkel::N,жира,clun
39,Bein::N,ччан,coes
40,Körper::N,чурх,corff
41,Haut::N,бурчу,croen
42,Blut::N,оь,gwaed
43,Ader::N,тунну,gwythïen
44,Sehne::N,хьхьа,gewyn
45,Knochen::N,ттаркӏ,asgwrn
46,Gehirn::N,ня,ymennydd
47,Herz::N,дакӏ,calon
48,Herz::N,къюкӏ,calon
49,Magen::N,лякьа,cylla
50,Magen::N,лякьа,stumog
51,Atem::N,ссихӏ ласаву,anadl
52,Atem::N,ссихӏ бигьаву,anadl
53,Hunger::N,ккаши,newyn
54,Träne::N,макь,deigryn
55,Geschmack::N,тӏин,cyflas
56,Geschmack::N,тӏааьн,cyflas
57,Geruch::N,кьанкь,aroglau
58,Schlaf::N,шану,cwsg
59,Traum::N,макӏру,breuddwyd
60,Himmel::N,ссав,awyr
61,Sonne::N,баргъ,haul
62,Mond::N,барз,lleuad
63,Stern::N,цӏуку,seren
64,Luft::N,гьава,awyr
65,Wind::N,марч,gwynt
66,Welle::N,щатӏи,ton
67,Wasser::N,щин,dŵr
68,Stein::N,чару,carreg
69,Boden::N,аьрщи,llawr
70,Erde::N,аьрщи,pridd
71,Staub::N,ххит,llwch
72,Rauch::N,пуркӏу,mwg
73,Funke::N,пиягь,gwreichioni
74,Feuer::N,цӏу,tân
75,Licht::N,чани,golau
76,Schatten::N,ххют,cysgod
77,Wetter::N,гьава,tywydd
78,Nebel::N,шархь ттурлу,niwl
79,Wolke::N,ттурлу,cwmwl
80,Regen::N,гъарал,glaw
81,Schnee::N,марххала,ôd
82,Schnee::N,марххала,eira
83,Eis::N,микӏ,iâ
84,Frost::N,дяркъу,rhew
85,Frost::N,замгьар,rhew
86,Kälte::N,дяркъу,oerni
87,Kälte::N,дяркъу,annwyd
88,Hitze::N,кӏиришиву,gwres
89,Raureif::N,сил,barrug
90,Raureif::N,бурса,barrug
91,Regenbogen::N,ссурул ккуртта,enfys
92,Donner::N,къув,tyrfau
93,Strömung::N,экьинанаву,cerrynt
94,Tropfen::N,кӏунтӏ,dafn
95,Tropfen::N,кӏунтӏ,diferyn
96,Schaum::N,хьама,ewyn
97,Schmutz::N,кьяркьи,baw
98,Schmutz::N,кьяркьи,budreddi
99,See::N,бяр,llyn
100,Sumpf::N,кунцӏа,cors
101,Wiese::N,кьан,dôl
102,Wald::N,вацӏа,coedwig
103,Hügel::N,бакӏу,bryn
104,Berg::N,зунтту,mynydd
