,Concept_ID,ab,sl
0,Auge::N,ала,okó
1,Ohr::N,алымҳа,uhó
2,Nase::N,аҧынҵа,nós
3,Mund::N,аҧышə,ústa
4,Zahn::N,ахаҧыц,zób
5,Zunge::N,абз,jêzik
6,Lippe::N,ақьышə,ústnica
7,Wange::N,аӡамҩа,líce
8,Gesicht::N,аҿы,oblíčje
9,Stirn::N,алахь,čêlo
10,Haar::N,ахəыц,lás
11,Schnurrbart::N,аҧаҵа,bŕki
12,Bart::N,ажакьа,bráda
13,Kinn::N,ацламкəыгə,bráda
14,Kiefer[Anatomie]::N,ацламҳəа,čeljúst
15,Kehle::N,ахəда,gŕlo
16,Hals::N,ахəда,vrát
17,Genick::N,ахəдаџьал,zatílnik
18,Kopf::N,ахы,gláva
19,Rücken::N,азқəа,hrbèt
20,Bauch::N,амгəа,trébuh
21,Nabel::N,аҷапан,pópek
22,Busen::N,агəыҧҳəы,nédrja
23,Brust::N,агəышҧы,pŕsi
24,Schulter::N,ажəҩахыр,ráma
25,Schulter::N,ажəҩахыр,plêče
26,Arm::N,амахəар,rôka
27,Ellenbogen::N,амашьхəылҵ,komólec
28,Hand::N,анапы,rôka
29,Handfläche::N,анапсаргəыҵа,dlán
30,Finger::N,анацəа,pŕst
31,Fingernagel::N,анапхыц,nóht na rôki
32,Nagel[Anatomie]::N,ашьапхыц,nóht
33,Zeh::N,ашьацəа,pŕst na nôgi
34,Fuß::N,ашьапсыргəыҵа,nôga
35,Ferse::N,ашьхəа,pêta
36,Knie::N,ашьамхы,koléno
37,Oberschenkel::N,ауаҭəа,stêgno
38,Bein::N,ашьапы,nôga
39,Körper::N,ацəеижь,teló
40,Haut::N,ацəа,kóža
41,Blut::N,ашьа,krí
42,Ader::N,ада,žíla
43,Sehne::N,адаш,kíta
44,Knochen::N,абаҩ,kóst
45,Gehirn::N,ахшлыбаҩ,možgáni
46,Gehirn::N,ахшыбаҩ,možgáni
47,Herz::N,агəы,srcé
48,Magen::N,аца,želódec
49,Magen::N,ацар,želódec
50,Leber::N,агəаҵəа,jétra
51,Atem::N,аҧсыҧлагаҩгара,díh
52,Hunger::N,амла,glád
53,Träne::N,алабжыш,sólza
54,Geschmack::N,агьама,okús
55,Geruch::N,афҩы,vónj
56,Schlaf::N,ацəа,sèn
57,Schlaf::N,ацəа,spánec
58,Traum::N,аҧхыӡ,sánje
59,Himmel::N,ажəҩан,nebó
60,Sonne::N,амра,sónce
61,Mond::N,амза,lúna
62,Mond::N,амза,mésec
63,Stern::N,аеҵəа,zvézda
64,Luft::N,аҳаир,zràk
65,Wind::N,аҧша,véter
66,Welle::N,ацəқəырҧа,vál
67,Wasser::N,аӡы,vôda
68,Stein::N,ахаҳə,kámen
69,Boden::N,адгьыл,tlà
70,Erde::N,адгьыл,pŕst
71,Erde::N,адгьыл,zêmlja
72,Staub::N,асаба,práh
73,Rauch::N,алҩа,dìm
74,Funke::N,акəиц,ískra
75,Funke::N,ацҧхь,ískra
76,Feuer::N,амца,ôgenj
77,Licht::N,алашара,lúč
78,Schatten::N,ашəшьыра,sénca
79,Wetter::N,амш,vrême
80,Nebel::N,анаҟəа,meglà
81,Wolke::N,аҧсҭҳəа,oblák
82,Regen::N,ақəа,dèž
83,Schnee::N,асы,snég
84,Eis::N,аҵаа,léd
