,Concept_ID,os,mrj
0,Auge::N,цӕст,сӹнзӓ
1,Ohr::N,хъус,пӹлӹш
2,Nase::N,фындз,нер
3,Mund::N,дзых,ышма
4,Zahn::N,дӕндаг,пӱ
5,Zunge::N,ӕвзаг,йӹлмӹ
6,Lippe::N,был,тӹрвӹ
7,Wange::N,рус,шӹргӹ
8,Wange::N,уадул,шӹргӹ
9,Wange::N,ӕхсӕрфарс,шӹргӹ
10,Gesicht::N,цӕсгом,лицӓ
11,Stirn::N,ных,лепкӓ
12,Haar::N,хил,ӱп
13,Schnurrbart::N,рихи,öрш
14,Bart::N,зачъе,пандаш
15,Kinn::N,роцъо,онгылаш
16,Kiefer[Anatomie]::N,ӕфсӕр,пӱ арата
17,Kehle::N,хъуыр,логер
18,Hals::N,къубал,шӱ
19,Genick::N,къӕбут,ланга
20,Kopf::N,сӕр,вуй
21,Rücken::N,фӕсонтӕ,туп
22,Bauch::N,гуыбын,мӹшкӹр
23,Nabel::N,бикъ,кӹлӹмдӹ
24,Busen::N,дзидзи,цӹзӹ
25,Brust::N,риу,мел
26,Schulter::N,уӕхск,ӹнгӹжӓ
27,Arm::N,цонг,кид
28,Ellenbogen::N,рæмбын,кӹнервуй
29,Hand::N,къух,лапа
30,Handfläche::N,армытъӕпӕн,кид лапа
31,Finger::N,ӕнруылдз,парня
32,Fingernagel::N,ных,кӹч
33,Nagel[Anatomie]::N,ных,кӹч
34,Zeh::N,къух,парня
35,Fuß::N,фад,ял лапа
36,Ferse::N,зӕвӕт,ялгавал
37,Ferse::N,зӕвӕт,ял кавал
38,Knie::N,уӕраг,пылвуй
39,Oberschenkel::N,агъд,ӓрдӹ
40,Bein::N,зӕнг,ял
41,Körper::N,буар,монгыр
42,Haut::N,царм,кавашты
43,Blut::N,туг,вӹр
44,Ader::N,дадзин,вӹршӓр
45,Ader::N,тугдадзин,вӹршӓр
46,Sehne::N,хъиутæ,кукшышӱн
47,Sehne::N,нуар,кукшышӱн
48,Knochen::N,стӕг,лу
49,Gehirn::N,магъз,вим
50,Herz::N,зӕрдӕ,шӱм
51,Magen::N,ахсӕн,шӱм
52,Leber::N,игæр,мокш
53,Atem::N,улӕфт,шӱлӹш
54,Hunger::N,стонг,шужымаш
55,Träne::N,цæссыг,сӹнзӓвӹд
56,Geschmack::N,ад,тот
57,Geruch::N,смаг,пыш
58,Schlaf::N,хуыссӕг,ом
59,Traum::N,фын,ом
60,Himmel::N,арв,пӹлгом
61,Himmel::N,уӕларв,пӹлгом
62,Sonne::N,хур,кечӹ
63,Mond::N,мӕй,тӹлзӹ
