,Concept_ID,sq,ko
0,Auge::N,sy,눈
1,Ohr::N,vesh,귀
2,Nase::N,hundë,코
3,Mund::N,gojë,입
4,Zahn::N,dhëmb,이
5,Zunge::N,gjuhë,혀
6,Lippe::N,buzë,입술
7,Wange::N,faqe,뺨
8,Wange::N,mollëz,뺨
9,Gesicht::N,fytyrë,얼굴
10,Stirn::N,ballë,이마
11,Haar::N,flokë,털
12,Schnurrbart::N,mustaqe,윗수몀
13,Schnurrbart::N,mustaqe,코밑수염
14,Bart::N,mjekër,수엄
15,Kinn::N,mjekër,아래턱
16,Kiefer[Anatomie]::N,nofull,턱
17,Kehle::N,fyt,인후
18,Kehle::N,grykë,인후
19,Hals::N,qafë,목
20,Genick::N,arrëz,먹덜이
21,Kopf::N,kokë,머리
22,Rücken::N,kurriz,든
23,Bauch::N,bark,배
24,Nabel::N,kërthizë,배꼽
25,Busen::N,gji,가슴속
26,Brust::N,gjoks,가슴
27,Brust::N,kraharor,가슴
28,Schulter::N,sup,어깨
29,Schulter::N,krah,어깨
30,Arm::N,krah,팔
31,Ellenbogen::N,bërryl,팔쿰치
32,Hand::N,dorë,손
33,Handfläche::N,pëllëmbë,손바닥
34,Finger::N,gisht,속가락
35,Fingernagel::N,thua,손톱
36,Nagel[Anatomie]::N,thua,손톱
37,Zeh::N,gisht i këmbës,발가락
38,Fuß::N,këmbë,발
39,Ferse::N,thembër,발꿈치
40,Knie::N,gju,무릎
41,Oberschenkel::N,kofshë,허벅다리
42,Bein::N,këmbë,다리
43,Körper::N,trup,구간
44,Haut::N,lëkurë,살갗
45,Blut::N,gjak,피
46,Ader::N,venë,정맥
47,Sehne::N,dell,현
48,Knochen::N,asht,뼈
49,Knochen::N,kockë,뼈
50,Gehirn::N,tru,뇌
51,Gehirn::N,tru,뇌수
52,Herz::N,zemër,염통
53,Magen::N,stomak,위
54,Leber::N,mëlçi,간
55,Atem::N,frymë,기식
56,Hunger::N,uri,공복
57,Träne::N,lot,눈물
58,Geschmack::N,shije,기호
59,Geruch::N,erë,냄새
60,Schlaf::N,gjumë,수면
61,Traum::N,ëndërr,쿰
62,Himmel::N,qiell,하늘
63,Sonne::N,diell,해
64,Mond::N,hënë,달
65,Stern::N,yll,별
66,Luft::N,ajër,동준
67,Luft::N,ajër,가스채
68,Wind::N,erë,바람
69,Welle::N,valë,물결
70,Welle::N,dallgë,물결
71,Wasser::N,ujë,물
72,Stein::N,gur,돌
73,Boden::N,tokë,바닥
74,Boden::N,truall,바닥
75,Erde::N,dhe,흙
76,Erde::N,baltë,흙
77,Staub::N,pluhur,먼지
78,Rauch::N,tym,연기
79,Funke::N,xixë,불티
80,Funke::N,shkëndijë,불티
81,Feuer::N,zjarr,불
82,Licht::N,dritë,불
83,Schatten::N,hije,어스레함
84,Wetter::N,mot,기상
85,Nebel::N,mjegull,안개
86,Wolke::N,re,구름
87,Regen::N,shi,비
88,Schnee::N,borë,눈
89,Eis::N,akull,얼음
90,Frost::N,ngricë,혹한
91,Kälte::N,të ftohtë,추위
92,Kälte::N,të ftohtë,차가움
93,Hitze::N,vapë,고온
94,Hitze::N,vapë,더위
95,Hitze::N,nxehtësi,고온
96,Hitze::N,nxehtësi,더위
97,Raureif::N,cikmë,
98,Regenbogen::N,ylber,무지개
99,Donner::N,gjëmim,뇌명
100,Donner::N,bubullimë,뇌명
101,Strömung::N,rrymë,유동
102,Tropfen::N,pikë,물방울
103,Schaum::N,shkumë,포말
104,Schmutz::N,baltë,때
105,See::N,liqen,호수
106,Sumpf::N,batak,습지
107,Moor::N,kënetë,저습지
108,Wiese::N,livadh,목초지
109,Wald::N,pyll,숲
110,Hügel::N,kodër,언덕
111,Anhöhe::N,bregore,언덕
112,Berg::N,mal,산
113,Gipfel::N,kulm,졀졍
114,Höhle::N,shpellë,공동
115,Höhle::N,zgafelle,공동
116,Abhang::N,shpat,몰매
117,Abhang::N,tatëpjetë,몰매
118,Quelle::N,krua,근원
119,Quelle::N,burim,근원
120,Bach::N,virua,내
121,Fluss::N,lumë,강
122,Ufer::N,breg,강변
123,Ufer::N,breg,바닷가
124,Küste::N,anëdet,해변
125,Küste::N,anëdet,해변가
126,Küste::N,bregdet,해변
127,Küste::N,bregdet,해변가
128,Festland::N,kontinent,본토
129,Meer::N,det,바다
130,Bucht::N,gji deti,협만
131,Insel::N,ishull,섬
132,Insel::N,ujdhesë,섬
133,Blume::N,lule,꽃
134,Gras::N,bar,풀
135,Wurzel::N,rrënjë,뿌리
136,Baum::N,pemë,나무
137,Stamm::N,trung,대
138,Rinde::N,lëvore,나무껍질
139,Ast::N,degë,가지
140,Zweig::N,bisk,가지
141,Blatt::N,fletë,잎
142,Blatt::N,gjethe,잎
143,Birke::N,mështekën,자작나무
144,Kiefer[Baum]::N,pishë,소나무
145,Weide[Baum]::N,shelg,쉬양버들
146,Tanne::N,bredh,전나무
147,Horn::N,bri,뿔
148,Feder::N,pupël,깃털
149,Fell::N,lëkurë,피혁모피
150,Flügel::N,krah,날개
151,Flügel::N,fletë,날개
152,Klaue::N,kthetër,갈고리 발톺
153,Kralle::N,thua,발툭
154,Kralle::N,kthetër,발툭
155,Schwanz::N,bisht,꼬리
156,Ei::N,vezë,알
157,Nest::N,fole,보금자리
158,Bau::N,strofkë,굴
159,Tier::N,kafshë,짐승
160,Herde::N,kope,가축의떼
161,Herde::N,grigjë,가축의떼
162,Kuh::N,lopë,암소
163,Bulle::N,dem,황소
164,Pferd::N,kalë,말
165,Schaf::N,dele,양
166,Schwein::N,derr,돼지
167,Hund::N,qen,개
168,Katze::N,mace,고양이
169,Bär::N,ari,콤
170,Eichhörnchen::N,ketër,다람쥐
171,Elch::N,dre brilopatë,고라니
172,Fuchs::N,dhelpër,여우
173,Hase::N,lepur,토끼
174,Maus::N,mi,쥐
175,Wolf::N,ujk,늑대
176,Vogel::N,zog,새
177,Vogel::N,shpend,새
178,Schwarm::N,luzmë,뗴
179,Huhn::N,pulë,암탉
180,Hahn::N,gjel,수탉
181,Hahn::N,këndes,수탉
182,Gans::N,patë,거위
183,Adler::N,shqiponjë,수리
184,Ente::N,rosë,오리
185,Eule::N,buf,부엉이
186,Kranich::N,lejlek,두루미
187,Kranich::N,kurrillë,두루미
188,Krähe::N,sorrë,까마귀
189,Kuckuck::N,qyqe,뻐꾸기
190,Schwan::N,mjellmë,배조
191,Fisch::N,peshk,물고기
192,Barsch::N,purtekë,농어
193,Hecht::N,mlysh,에속스
194,Schlange[Tier]::N,gjarpër,뱀
195,Wurm::N,krimb,벌레
196,Spinne::N,marimangë,거미
197,Ameise::N,thnegël,개미
198,Ameise::N,milingonë,개미
199,Laus::N,morr,이
200,Mücke::N,kunup,모기
201,Mücke::N,mushkonjë,모기
202,Fliege::N,mizë,날기
203,Schmetterling::N,flutur,나비
204,Beere::N,frutë,장과
205,Beere::N,manaferrë,장과
206,Apfel::N,mollë,사과
