,Concept_ID,hy,la
0,Auge::N,աչք,oculus
1,Ohr::N,ականջ,auris
2,Nase::N,քիթ,nasus
3,Mund::N,բերան,os
4,Zahn::N,ատամ,dens
5,Zunge::N,լեզու,lingua
6,Lippe::N,շրթունք,labrum
7,Wange::N,այտ,gena
8,Wange::N,թուշ,gena
9,Gesicht::N,դեմք,vultus
10,Stirn::N,ճակատ,frons
11,Haar::N,մազ,capillus
12,Schnurrbart::N,բեղ,barba labri superioris
13,Bart::N,մորուք,barba
14,Kinn::N,կզակ,mentum
15,Kiefer[Anatomie]::N,ծնոտ,mala
16,Kehle::N,կոկորդ,iugulums
17,Hals::N,վիզ,collum
18,Hals::N,պարանոց,collum
19,Genick::N,ծոծրակ,cervices
20,Kopf::N,գլուխ,caput
21,Rücken::N,մեջք,tergum
22,Bauch::N,փոր,venter
23,Bauch::N,որովայն,venter
24,Nabel::N,պորտ,umbilicus
25,Busen::N,ծոց,sinus
26,Brust::N,կուրծք,pectus
27,Schulter::N,ուս,umerus
28,Arm::N,թեւ,bracchium
29,Arm::N,բազուկ,bracchium
30,Ellenbogen::N,արմունկ,cubitum
31,Hand::N,ձեռք,manus
32,Handfläche::N,ափ,palma
33,Finger::N,մատ,digitus
34,Fingernagel::N,եղունգ,unguiculus
35,Nagel[Anatomie]::N,եղունգ,unguis
36,Zeh::N,ոտքի մատ,digitus
37,Fuß::N,ոտք,pes
38,Ferse::N,գարշապար,calx
39,Knie::N,ծունկ,genu
40,Oberschenkel::N,ազդր,femur
41,Bein::N,ոտք,crus
42,Körper::N,մարմին,corpus
43,Haut::N,մաշկ,cutis
44,Haut::N,մաշկ,pellis
45,Blut::N,արյուն,sanguis
46,Ader::N,երակ,vena
47,Sehne::N,ջիղ,nervus
48,Sehne::N,ձգտան,nervus
49,Knochen::N,ոսկոր,os
50,Gehirn::N,խելք,cerebrum
51,Herz::N,սիրտ,cor
52,Herz::N,սիրտ,animus
53,Magen::N,ստամոքս,stomachus
54,Leber::N,լյարդ,iecur
55,Atem::N,շունչ,spiritus
56,Hunger::N,քաղց,fames
57,Träne::N,արտասուք,lacrima
58,Geschmack::N,համ,sapor
59,Geschmack::N,համ,gustus
60,Geschmack::N,բուրմունք,sapor
61,Geschmack::N,բուրմունք,gustus
62,Geruch::N,հոտ,odor
63,Geruch::N,բուրում,odor
64,Schlaf::N,քուն,somnus
65,Traum::N,երազ,somnium
66,Himmel::N,երկինք,caelum
67,Sonne::N,արեւ,sol
68,Mond::N,լուսին,luna
69,Stern::N,աստղ,sidus
70,Stern::N,աստղ,stella
71,Luft::N,օդ,aer
72,Wind::N,քամի,ventus
73,Welle::N,ալիք,unda
74,Wasser::N,ջուր,aqua
75,Stein::N,քար,lapis
76,Boden::N,գետին,solum
77,Erde::N,հող,terra
78,Staub::N,փոշի,pulvis
79,Rauch::N,ծուխ,fumus
80,Funke::N,կայծ,scintilla
81,Feuer::N,կրակ,ignis
82,Feuer::N,հրդեհ,ignis
83,Licht::N,լույս,lux
84,Licht::N,լույս,lumen
85,Schatten::N,ստվեր,umbra
86,Wetter::N,եղանակ,caelum
87,Wetter::N,եղանակ,tempestas
88,Nebel::N,մեգ,nebula
89,Nebel::N,մառախուղ,nebula
90,Wolke::N,ամպ,nubes
91,Regen::N,անձրև,imber
92,Regen::N,անձրև,pluvia
93,Schnee::N,ձյուն,nix
94,Eis::N,սառույց,glacies
95,Frost::N,սառնամանիք,gelu
96,Kälte::N,դող,frigus
97,Hitze::N,շոգ,calor
98,Hitze::N,շոգ,aestus
99,Raureif::N,ցօղեղեամ,pruina
100,Regenbogen::N,ծիածան,arcus
101,Donner::N,որոտ,tonitrus
102,Strömung::N,հոսանք,fluctus
103,Tropfen::N,կաթիլ,gutta
104,Schaum::N,փրփուր,spuma
105,Schmutz::N,կեղտ,sordes
106,Schmutz::N,կեղտ,squalor
107,See::N,լիճ,lacus
108,Sumpf::N,ճահիճ,palus
109,Moor::N,ճահիճ,palus
110,Wiese::N,մարգագետին,pratum
111,Wald::N,անտառ,silva
112,Hügel::N,բլուր,collis
113,Anhöhe::N,բարձունք,specula
114,Berg::N,լեռ,mons
115,Gipfel::N,գագաթ,vertex
116,Gipfel::N,կատար,vertex
117,Höhle::N,քարայր,caverna
118,Höhle::N,քարայր,spelunca
119,Abhang::N,լանջ,declivum
120,Abhang::N,զառիվայր,declivum
121,Quelle::N,աղբյուր,fons
122,Bach::N,վտակ,rivus
123,Fluss::N,գետ,flumen
124,Ufer::N,ծովափ,ripa
125,Küste::N,ափ,litus
126,Küste::N,ծովափ,litus
127,Festland::N,ցամաք,continens
128,Meer::N,ծով,mare
129,Bucht::N,հաչիւն,sinus
130,Insel::N,վղզի,insula
131,Blume::N,ծաղիկ,flos
132,Gras::N,խոտ,herba
133,Gras::N,խոտ,gramen
134,Wurzel::N,արմատ,radix
135,Baum::N,ծառ,arbor
136,Stamm::N,իրան,truncus
137,Rinde::N,կեղեւ,cortex
138,Rinde::N,հաչոց,cortex
