,Concept_ID,be,br
0,Auge::N,вока,lagad
1,Ohr::N,вуха,skouarn
2,Nase::N,нос,fri
3,Mund::N,рот,genoù
4,Zahn::N,зуб,dant
5,Zunge::N,язык,teod
6,Lippe::N,губа,muzell
7,Wange::N,шчака,chot
8,Gesicht::N,твар,dremm
9,Stirn::N,лоб,tal
10,Haar::N,волас,blev
11,Haar::N,валасы,blev
12,Schnurrbart::N,вус,mourenn
13,Schnurrbart::N,вусы,mourenn
14,Bart::N,барада,barv
15,Kinn::N,падбародак,groñj
16,Kiefer[Anatomie]::N,сківіца,javed
17,Kehle::N,горла,gouzoug
18,Hals::N,шыя,gouzoug
19,Genick::N,патыліца,choug
20,Kopf::N,галава,penn
21,Rücken::N,спіна,kein
22,Bauch::N,жывот,kof
23,Nabel::N,пупок,begel
24,Busen::N,грудзі,bronn
25,Brust::N,грудзі,bruched
26,Schulter::N,плячо,skoaz
27,Arm::N,рука,brec'h
28,Ellenbogen::N,локаць,ilin
29,Hand::N,кісць,dorn
30,Handfläche::N,далонь,palv
31,Finger::N,палец,biz
32,Fingernagel::N,ногаць,ivin
33,Nagel[Anatomie]::N,ногаць,ivin
34,Zeh::N,палец,biz-troad
35,Fuß::N,нага,troad
36,Ferse::N,пята,seul
37,Ferse::N,пятка,seul
38,Knie::N,калена,glin
39,Oberschenkel::N,бядро,morzhed
40,Oberschenkel::N,сцягно,morzhed
41,Bein::N,нага,gar
42,Körper::N,цела,korf
43,Haut::N,скура,kroc'hen
44,Blut::N,кроў,gwad
45,Ader::N,вена,gwazhi
46,Ader::N,сасуд,gwazhi
47,Sehne::N,жыла,stir
48,Sehne::N,цеціва,stir
49,Sehne::N,сухажылле,stir
50,Knochen::N,косць,askorn
51,Gehirn::N,мозг,empenn
52,Herz::N,сэрца,kalon
53,Magen::N,страўнік,stomog
54,Leber::N,печань,avu
55,Atem::N,дыханне,anal
56,Hunger::N,голад,naon
57,Träne::N,сляза,daer
58,Geschmack::N,смак,blaz
59,Geruch::N,пах,c'hwezh
60,Schlaf::N,сон,kousked
61,Traum::N,сон,hune
62,Himmel::N,неба,oabl
63,Sonne::N,сонца,heol
64,Mond::N,месяц,loar
65,Stern::N,зорка,steredenn
66,Luft::N,паветра,aer
67,Wind::N,вецер,avel
68,Welle::N,хваля,houlenn
69,Wasser::N,вада,dour
70,Stein::N,камень,maen
71,Boden::N,глеба,tachenn
72,Erde::N,зямля,douar
73,Staub::N,пыл,poultr
74,Rauch::N,дым,moged
75,Funke::N,іскра,ful
76,Feuer::N,агонь,tan
77,Licht::N,святло,gouloù
