,Concept_ID,se,ga
0,Auge::N,tjelmie,súil
1,Auge::N,tjalmme,súil
2,Auge::N,čalbmi,súil
3,Auge::N,čalme,súil
4,Auge::N,čâ´lmm,súil
5,Auge::N,ча̄лльм,súil
6,Ohr::N,bieljie,cluas
7,Ohr::N,biellje,cluas
8,Ohr::N,beallji,cluas
9,Ohr::N,pelji,cluas
10,Ohr::N,pe´llj,cluas
11,Ohr::N,пе̄лльй,cluas
12,Nase::N,njuenie,soc
13,Nase::N,njunnje,soc
14,Nase::N,njunni,soc
15,Nase::N,njuṇe,soc
16,Nase::N,njuu´nn,soc
17,Nase::N,нюннҍ,soc
18,Mund::N,njaelmie,béal
19,Mund::N,njálmme,béal
20,Mund::N,njálbmi,béal
21,Mund::N,njälmi,béal
22,Mund::N,njä´lmm,béal
23,Mund::N,ня̄лльм,béal
24,Zahn::N,baenie,fiacail
25,Zahn::N,bádne,fiacail
26,Zahn::N,bátni,fiacail
27,Zahn::N,pääṇi,fiacail
28,Zahn::N,pää´nn,fiacail
29,Zahn::N,па̄ннҍ,fiacail
30,Zunge::N,njoektjeme,teanga
31,Zunge::N,njuovtjav,teanga
32,Zunge::N,njuovčča,teanga
33,Zunge::N,njuovčâ,teanga
34,Zunge::N,njuhččâm,teanga
35,Zunge::N,нюхчем,teanga
36,Lippe::N,bangseme,liopa
37,Lippe::N,njálmmerabdda,liopa
38,Lippe::N,bavssa,liopa
39,Lippe::N,poovsâ,liopa
40,Lippe::N,põõus,liopa
41,Lippe::N,пэ̄кс,liopa
42,Wange::N,skiehrie,grua
43,Wange::N,skiehrie,leiceann
44,Wange::N,nierra,grua
45,Wange::N,nierra,leiceann
46,Wange::N,muohtu,grua
47,Wange::N,muohtu,leiceann
48,Wange::N,nieṛâ,grua
49,Wange::N,nieṛâ,leiceann
50,Wange::N,njiõrr,grua
51,Wange::N,njiõrr,leiceann
52,Wange::N,нӣрр,grua
53,Wange::N,нӣрр,leiceann
54,Gesicht::N,ååredæjja,éadan
55,Gesicht::N,ååredæjja,aghaidh
56,Gesicht::N,muohto,éadan
57,Gesicht::N,muohto,aghaidh
58,Gesicht::N,muođut,éadan
59,Gesicht::N,muođut,aghaidh
60,Gesicht::N,ámadadju,éadan
61,Gesicht::N,ámadadju,aghaidh
62,Gesicht::N,muáđuh,éadan
63,Gesicht::N,muáđuh,aghaidh
64,Gesicht::N,muâđ,éadan
65,Gesicht::N,muâđ,aghaidh
66,Gesicht::N,ка̄ссв,éadan
67,Gesicht::N,ка̄ссв,aghaidh
68,Stirn::N,gaalloe,baithis
69,Stirn::N,gaalloe,clár éadain
70,Stirn::N,gállo,baithis
71,Stirn::N,gállo,clár éadain
72,Stirn::N,gállu,baithis
73,Stirn::N,gállu,clár éadain
74,Stirn::N,kállu,baithis
75,Stirn::N,kállu,clár éadain
76,Stirn::N,käll,baithis
77,Stirn::N,käll,clár éadain
78,Stirn::N,вуэххьц,baithis
79,Stirn::N,вуэххьц,clár éadain
80,Haar::N,voepte,gruaig
81,Haar::N,vuoppta,gruaig
82,Haar::N,vuokta,gruaig
83,Haar::N,vuop'tâ,gruaig
84,Haar::N,vuõpt,gruaig
85,Haar::N,вӯппт,gruaig
86,Schnurrbart::N,bijjie-skaavtjoe,croiméal
87,Schnurrbart::N,njunjevuolskávttjá,croiméal
88,Schnurrbart::N,seamu,croiméal
89,Schnurrbart::N,siämu,croiméal
90,Schnurrbart::N,ää´bben,croiméal
91,Schnurrbart::N,о̄а̄бпан,croiméal
92,Bart::N,skaavtja,féasóg
93,Bart::N,skaavtjoe,féasóg
94,Bart::N,skávttjá,féasóg
95,Bart::N,seamu,féasóg
96,Bart::N,siämu,féasóg
97,Bart::N,seäm,féasóg
98,Bart::N,ся̄м,féasóg
99,Kinn::N,gaejpie,smig
100,Kinn::N,gájbbe,smig
