,Concept_ID,zh,vep
0,Auge::N,眼睛,sil'm
1,Ohr::N,耳朵,korv
2,Nase::N,鼻子,nena
3,Mund::N,嘴,su
4,Zahn::N,牙齿,pi
5,Zahn::N,牙齿,hambaz
6,Zunge::N,舌头,kel'
7,Lippe::N,嘴唇,hul'
8,Wange::N,面颊,modpolišk
9,Gesicht::N,脸,mod
10,Stirn::N,额,oc
11,Haar::N,头发,tuk
12,Haar::N,头发,hibuz
13,Schnurrbart::N,髭须,habinod
14,Bart::N,胡子,bard
15,Kinn::N,下巴,löug
16,Kiefer[Anatomie]::N,颌,hambazlu
17,Kehle::N,嗓子,kurk
18,Hals::N,颈,kagl
19,Genick::N,后颈,tagarai
20,Kopf::N,头,pä
21,Rücken::N,背,sel'g
22,Bauch::N,肚子,vac
23,Bauch::N,肚子,koht
24,Nabel::N,肚脐,naba
25,Busen::N,胸脯,niža
26,Brust::N,胸,rind
27,Schulter::N,肩膀,oug
28,Arm::N,臂膀,käzi
29,Ellenbogen::N,肘,künambruz
30,Hand::N,手,käzi
31,Hand::N,手,käzitera
32,Handfläche::N,手掌,kämen
33,Finger::N,手指,sor'm
34,Fingernagel::N,指甲,künz'
35,Nagel[Anatomie]::N,指甲,künz'
36,Zeh::N,脚趾,barbaz
37,Fuß::N,脚,jaug
38,Ferse::N,后跟,kand
39,Knie::N,膝,komb
40,Knie::N,膝,pol'v
41,Oberschenkel::N,大腿,riiže
42,Bein::N,腿,jaug
43,Körper::N,身体,hibj
44,Haut::N,皮肤,nahk
45,Blut::N,血,čak
46,Blut::N,血,veri
47,Ader::N,血管,son'
48,Sehne::N,腱,jände
49,Knochen::N,骨,lu
50,Gehirn::N,脑,aivod
51,Herz::N,心,südäin
52,Magen::N,胃,südäikoht
53,Leber::N,肝,maks
54,Atem::N,呼吸,hengaiduz
55,Hunger::N,饿,näl'g
56,Träne::N,眼泪,kündal'
57,Geschmack::N,味道,magu
58,Geruch::N,气味,haju
59,Schlaf::N,睡眠,uni
60,Traum::N,梦,unikuva
61,Himmel::N,天空,taivaz
62,Sonne::N,太阳,päiväine
63,Mond::N,月亮,kudmaine
64,Stern::N,星,tähtaz
65,Luft::N,空气,il'm
66,Wind::N,风,döl
67,Wind::N,风,tullei
68,Welle::N,波,ald
69,Welle::N,波,laineh
70,Wasser::N,水,vezi
71,Stein::N,石头,kivi
72,Boden::N,地面,ma
73,Boden::N,地面,pohj
74,Erde::N,地,ma
75,Staub::N,灰尘,pölü
76,Rauch::N,烟,savu
77,Funke::N,火花,kibin
78,Feuer::N,火,lämoi
79,Licht::N,光,vauktuz
80,Schatten::N,影子,pil'vez
81,Schatten::N,影子,kuvahaine
82,Wetter::N,天气,sä
83,Nebel::N,雾,sumeg
84,Wolke::N,云,pil'v
85,Regen::N,雨,vihm
86,Schnee::N,雪,lumi
87,Eis::N,冰,jä
88,Frost::N,霜冻,hala
89,Frost::N,霜冻,pakaine
90,Kälte::N,寒冷,vilu
91,Hitze::N,炎热,räk
